fes;time;f
1;63;2147484534
2;63;2147484533
6;78;2147484531
7;78;2147484529
9;78;2147484528
11;78;2147484525
13;78;2147484515
20;94;2147484514
21;94;2147484512
28;94;2147484509
31;94;2147484508
34;94;2147484507
37;94;2147484505
38;94;2147484504
41;111;2147484503
42;111;2147484496
51;111;2147484493
54;111;2147484491
55;111;2147484490
65;111;2147484489
85;126;2147484488
86;126;2147484487
88;126;2147484485
91;126;2147484478
92;126;2147484476
98;126;2147484475
103;142;2147484471
106;142;2147484467
108;142;2147484465
110;142;2147484461
111;142;2147484460
114;142;2147484459
119;142;2147484456
120;142;2147484454
121;142;2147484451
122;142;2147484448
123;142;2147484444
125;142;2147484442
130;142;2147484441
133;142;2147484437
136;158;2147484436
142;158;2147484434
144;158;2147484431
148;158;2147484430
150;158;2147484429
152;158;2147484427
157;158;2147484426
160;158;2147484425
166;158;2147484423
167;173;2147484422
168;173;2147484418
171;173;2147484415
173;173;2147484407
177;173;2147484406
182;173;2147484404
184;173;2147484396
186;173;2147484394
189;173;2147484390
196;173;2147484389
198;173;2147484387
199;173;2147484386
203;189;2147484384
204;189;2147484383
205;189;2147484380
214;189;2147484379
215;189;2147484377
216;189;2147484376
222;189;2147484375
226;189;2147484374
230;189;2147484373
234;189;2147484372
237;189;2147484371
244;204;2147484366
249;204;2147484364
250;204;2147484363
252;204;2147484362
254;204;2147484359
255;204;2147484353
261;204;2147484352
265;204;2147484347
267;204;2147484345
273;204;2147484343
278;204;2147484342
285;220;2147484339
289;220;2147484338
306;220;2147484337
311;220;2147484327
320;220;2147484326
325;220;2147484323
328;220;2147484320
329;220;2147484316
330;236;2147484313
335;236;2147484305
336;236;2147484304
346;236;2147484302
347;236;2147484300
348;236;2147484296
357;236;2147484295
362;236;2147484293
371;236;2147484291
373;251;2147484289
377;251;2147484287
386;251;2147484285
393;251;2147484284
396;251;2147484283
399;251;2147484281
400;251;2147484280
402;251;2147484277
404;251;2147484276
409;251;2147484273
413;251;2147484270
422;267;2147484264
430;267;2147484263
433;267;2147484262
438;267;2147484258
445;267;2147484257
448;267;2147484256
460;267;2147484254
463;267;2147484251
483;283;2147484250
485;283;2147484249
489;283;2147484244
495;283;2147484240
502;283;2147484235
505;283;2147484234
506;283;2147484233
507;298;2147484232
509;298;2147484231
513;298;2147484229
514;298;2147484227
523;298;2147484226
524;298;2147484225
532;298;2147484221
540;298;2147484219
561;314;2147484216
572;314;2147484215
581;314;2147484214
582;314;2147484213
601;329;2147484212
602;329;2147484211
603;329;2147484209
612;329;2147484208
617;329;2147484207
629;329;2147484206
635;345;2147484204
654;345;2147484203
668;345;2147484202
682;361;2147484197
683;361;2147484196
686;361;2147484192
700;361;2147484191
706;361;2147484190
712;361;2147484189
719;361;2147484188
725;376;2147484187
727;376;2147484184
728;376;2147484183
732;376;2147484181
733;376;2147484179
741;376;2147484178
749;376;2147484177
757;376;2147484175
765;376;2147484174
774;392;2147484173
777;392;2147484172
783;392;2147484171
794;392;2147484168
795;392;2147484167
801;392;2147484166
807;392;2147484162
827;407;2147484161
844;407;2147484160
872;423;2147484157
873;423;2147484156
874;423;2147484155
876;423;2147484153
881;423;2147484152
884;423;2147484151
885;423;2147484150
888;423;2147484146
896;423;2147484144
897;423;2147484139
903;423;2147484138
927;439;2147484137
928;439;2147484136
931;439;2147484135
953;439;2147484134
962;454;2147484131
965;454;2147484130
969;454;2147484129
983;454;2147484127
990;454;2147484124
991;454;2147484122
1010;470;2147484121
1027;470;2147484120
1038;470;2147484119
1053;486;2147484118
1054;486;2147484116
1061;486;2147484113
1065;486;2147484110
1066;486;2147484108
1070;486;2147484107
1073;486;2147484106
1076;486;2147484104
1111;501;2147484103
1113;501;2147484102
1122;501;2147484101
1128;501;2147484100
1141;501;2147484099
1143;501;2147484096
1152;517;2147484095
1157;517;2147484094
1158;517;2147484093
1162;517;2147484091
1178;517;2147484090
1186;517;2147484089
1187;517;2147484086
1199;532;2147484085
1201;532;2147484084
1206;532;2147484083
1208;532;2147484082
1217;532;2147484081
1218;532;2147484080
1226;532;2147484079
1228;532;2147484078
1229;532;2147484077
1230;532;2147484076
1236;548;2147484075
1240;548;2147484073
1252;548;2147484072
1255;548;2147484071
1273;548;2147484070
1288;564;2147484069
1290;564;2147484068
1332;579;2147484065
1336;579;2147484064
1339;579;2147484063
1358;579;2147484062
1359;579;2147484060
1371;595;2147484059
1374;595;2147484057
1375;595;2147484056
1380;595;2147484055
1386;595;2147484054
1405;595;2147484053
1414;595;2147484052
1415;595;2147484051
1423;611;2147484050
1427;611;2147484049
1430;611;2147484048
1432;611;2147484047
1467;611;2147484046
1480;626;2147484045
1484;626;2147484043
1488;626;2147484041
