fes;time;f
1;47;2147484347
6;63;2147484346
7;63;2147484344
9;63;2147484343
15;63;2147484342
19;63;2147484341
21;78;2147484340
23;78;2147484339
26;78;2147484337
32;78;2147484336
34;78;2147484332
35;78;2147484331
36;78;2147484330
41;78;2147484328
46;94;2147484327
47;94;2147484325
48;94;2147484324
49;94;2147484322
51;94;2147484321
52;94;2147484319
53;94;2147484318
58;94;2147484317
60;94;2147484315
61;94;2147484313
62;94;2147484309
65;94;2147484308
73;94;2147484305
79;94;2147484297
80;94;2147484296
87;109;2147484295
95;109;2147484294
96;109;2147484292
99;109;2147484291
304;188;2147484288
311;188;2147484286
316;188;2147484283
317;188;2147484282
324;188;2147484279
329;203;2147484278
337;203;2147484276
339;203;2147484275
341;203;2147484271
342;203;2147484270
344;203;2147484269
345;203;2147484268
347;203;2147484265
354;203;2147484262
355;203;2147484261
360;203;2147484260
363;203;2147484258
365;203;2147484256
372;203;2147484254
374;203;2147484253
378;203;2147484250
380;203;2147484241
382;203;2147484240
387;219;2147484237
389;219;2147484236
391;219;2147484234
396;219;2147484232
707;312;2147484230
709;312;2147484229
713;312;2147484228
720;312;2147484225
724;312;2147484223
725;312;2147484218
726;312;2147484217
730;312;2147484216
732;312;2147484215
733;312;2147484214
740;312;2147484212
744;312;2147484211
745;312;2147484210
752;328;2147484209
755;328;2147484208
758;328;2147484207
759;328;2147484206
760;328;2147484205
762;328;2147484202
763;328;2147484197
767;328;2147484195
771;328;2147484192
773;328;2147484191
783;328;2147484189
786;328;2147484187
791;328;2147484186
797;328;2147484185
798;328;2147484184
800;328;2147484183
1153;422;2147484181
1162;437;2147484180
1170;437;2147484175
1172;437;2147484174
1176;437;2147484172
1180;437;2147484171
1183;437;2147484169
1187;437;2147484167
1189;437;2147484163
1191;437;2147484162
1192;437;2147484160
1198;437;2147484159
1981;672;2147484158
1982;672;2147484157
1983;672;2147484155
1986;672;2147484151
2346;766;2147484149
2350;766;2147484147
2351;766;2147484144
2357;781;2147484138
2373;781;2147484136
2375;781;2147484134
2376;781;2147484133
2379;781;2147484131
2381;781;2147484130
2386;781;2147484127
2390;781;2147484126
2391;781;2147484123
2394;781;2147484115
2397;781;2147484114
3090;953;2147484111
3093;953;2147484107
3094;953;2147484105
3098;953;2147484104
3107;953;2147484103
3124;953;2147484098
3130;953;2147484097
3145;969;2147484095
3155;969;2147484093
3156;969;2147484092
3167;969;2147484091
3177;969;2147484090
3183;969;2147484089
3186;969;2147484086
3193;969;2147484085
3198;969;2147484083
3200;969;2147484082
6293;1797;2147484081
6296;1797;2147484080
6307;1797;2147484079
6309;1797;2147484077
6311;1797;2147484076
6326;1812;2147484075
6329;1812;2147484074
6345;1812;2147484071
6354;1812;2147484069
6360;1812;2147484068
6369;1812;2147484066
6374;1828;2147484064
6381;1828;2147484063
6389;1828;2147484062
6396;1828;2147484061
7101;2000;2147484060
7103;2000;2147484059
7116;2000;2147484058
7122;2000;2147484053
7123;2000;2147484052
7143;2015;2147484051
7148;2015;2147484048
7152;2015;2147484047
7161;2015;2147484046
7166;2015;2147484045
7186;2015;2147484044
7188;2015;2147484043
7191;2015;2147484042
7193;2015;2147484040
7201;2031;2147484039
7212;2031;2147484038
7221;2031;2147484037
7225;2031;2147484036
7228;2031;2147484035
7229;2031;2147484034
7235;2031;2147484033
7238;2031;2147484031
7248;2031;2147484030
7258;2031;2147484028
7263;2031;2147484027
7267;2046;2147484026
7270;2046;2147484025
7271;2046;2147484024
7306;2046;2147484023
7323;2046;2147484022
7326;2062;2147484020
7335;2062;2147484018
7350;2062;2147484016
7362;2062;2147484015
7373;2062;2147484012
7379;2062;2147484011
7382;2062;2147484008
7383;2062;2147484007
7395;2078;2147484006
7402;2078;2147484002
7427;2078;2147484000
7434;2078;2147483999
7446;2078;2147483998
7471;2093;2147483997
7489;2093;2147483995
7498;2093;2147483994
7512;2093;2147483993
7513;2093;2147483992
7518;2093;2147483991
7542;2109;2147483990
7543;2109;2147483989
7556;2109;2147483987
7574;2109;2147483986
7581;2109;2147483985
7585;2109;2147483984
7591;2125;2147483983
7618;2125;2147483981
7631;2125;2147483980
7644;2125;2147483979
7646;2125;2147483978
7662;2140;2147483977
7670;2140;2147483976
7683;2140;2147483975
7685;2140;2147483974
7688;2140;2147483972
7694;2140;2147483971
7695;2140;2147483970
7713;2140;2147483968
7720;2140;2147483967
7724;2156;2147483966
7726;2156;2147483963
7745;2156;2147483961
7746;2156;2147483960
7753;2156;2147483958
7758;2156;2147483957
7760;2156;2147483956
7769;2156;2147483955
7804;2171;2147483954
7815;2171;2147483953
7820;2171;2147483951
7850;2171;2147483950
7860;2187;2147483949
7862;2187;2147483948
7873;2187;2147483947
7896;2187;2147483945
7910;2187;2147483944
7913;2187;2147483943
7916;2187;2147483942
7936;2203;2147483941
7939;2203;2147483940
7970;2203;2147483939
17522;4686;2147483938
17537;4686;2147483937
17544;4686;2147483936
17546;4686;2147483934
17547;4686;2147483933
17555;4686;2147483931
17557;4686;2147483930
17573;4702;2147483929
17598;4702;2147483928
17620;4702;2147483927
17622;4702;2147483926
17627;4702;2147483925
17639;4718;2147483924
17662;4718;2147483923
17700;4718;2147483922
17722;4733;2147483921
17739;4733;2147483919
17760;4733;2147483917
17795;4749;2147483916
17801;4749;2147483914
17804;4749;2147483913
17855;4765;2147483911
17865;4765;2147483909
17894;4765;2147483908
17921;4780;2147483906
17922;4780;2147483904
17928;4780;2147483903
17930;4780;2147483902
17947;4780;2147483901
17950;4780;2147483900
17951;4780;2147483898
17957;4780;2147483897
17969;4780;2147483896
17990;4796;2147483895
18003;4796;2147483894
18057;4811;2147483893
18073;4811;2147483892
18119;4827;2147483891
18140;4827;2147483890
18147;4827;2147483889
18152;4827;2147483888
18202;4843;2147483887
18262;4858;2147483886
18292;4874;2147483883
18300;4874;2147483882
18322;4874;2147483881
18327;4874;2147483880
18343;4874;2147483879
18353;4890;2147483878
18362;4890;2147483877
18403;4890;2147483876
18407;4905;2147483875
18419;4905;2147483874
18437;4905;2147483873
18439;4905;2147483872
18447;4905;2147483871
18500;4921;2147483870
18568;4936;2147483869
18619;4952;2147483868
18623;4952;2147483867
18644;4952;2147483866
18660;4968;2147483864
18664;4968;2147483863
18710;4968;2147483862
18713;4968;2147483861
18860;5015;2147483860
18866;5015;2147483859
18881;5015;2147483858
18899;5015;2147483857
19023;5046;2147483852
19025;5046;2147483851
19090;5061;2147483850
19133;5077;2147483849
19178;5093;2147483848
38166;9975;2147483847
38189;9975;2147483846
