fes;time;f
1;62;656
2;62;650
11;62;649
15;78;647
20;78;641
21;78;637
33;78;636
37;94;632
38;94;628
42;94;627
48;94;626
51;94;625
53;94;624
54;94;623
62;109;621
63;109;620
64;109;617
71;109;614
72;109;612
73;109;611
74;109;610
76;109;609
78;109;606
81;109;603
85;109;600
90;109;599
94;109;597
96;125;594
98;125;593
105;125;590
107;125;589
110;125;586
111;125;581
113;125;580
115;125;579
116;125;578
117;125;576
118;125;573
122;125;572
133;125;571
134;125;570
141;125;568
143;141;567
147;141;566
151;141;564
153;141;563
160;141;562
161;141;561
169;141;560
172;141;557
174;141;556
181;141;555
184;141;552
185;141;550
188;156;548
190;156;547
193;156;546
196;156;542
208;156;540
211;156;538
214;156;537
216;156;535
227;156;534
232;156;533
243;172;532
247;172;529
251;172;528
255;172;527
257;172;525
259;172;522
262;172;518
264;172;517
265;172;516
267;172;515
271;172;514
272;172;512
275;172;511
284;172;510
287;172;509
292;187;508
301;187;507
302;187;503
308;187;500
321;187;499
322;187;496
327;187;495
336;187;493
343;187;491
347;203;488
349;203;486
353;203;485
359;203;482
372;203;480
374;203;478
376;203;477
395;203;476
396;203;475
397;203;472
401;203;471
404;219;469
405;219;467
411;219;466
418;219;463
430;219;462
433;219;460
439;219;458
443;219;456
470;234;455
475;234;452
476;234;451
478;234;447
480;234;444
487;234;442
489;234;441
492;234;440
494;234;439
495;234;438
498;234;437
500;250;436
502;250;435
518;250;434
525;250;432
528;250;431
533;250;429
535;250;427
545;250;426
550;250;425
554;250;423
556;266;422
559;266;421
561;266;420
563;266;417
576;266;415
577;266;413
583;266;412
601;266;411
604;266;409
607;266;408
609;266;407
611;266;406
613;266;405
629;281;402
636;281;401
640;281;400
643;281;398
650;281;397
652;281;396
654;281;395
660;281;393
664;281;391
665;281;389
677;297;388
685;297;387
687;297;384
694;297;383
703;297;382
709;297;381
715;297;380
737;312;378
740;312;377
743;312;376
747;312;375
765;312;374
768;312;373
770;312;372
772;312;371
782;312;369
786;312;368
801;328;367
803;328;366
807;328;365
815;328;364
819;328;363
821;328;362
825;328;361
833;328;359
856;344;358
859;344;356
867;344;355
871;344;354
876;344;353
884;344;352
887;344;351
900;344;350
913;359;348
943;359;347
950;359;346
976;375;345
979;375;343
983;375;342
990;375;341
997;375;340
998;375;339
999;375;337
1007;375;335
1014;375;334
1019;391;333
1022;391;332
1023;391;331
1045;391;330
1056;391;329
1074;391;328
1085;406;327
1100;406;326
1105;406;325
1107;406;324
1118;406;323
1130;406;322
1137;406;321
1162;422;319
1177;422;318
1181;422;316
1185;422;315
1186;422;314
1192;422;313
1194;422;312
1204;422;311
1211;437;310
1219;437;309
1221;437;307
1226;437;306
1233;437;304
1242;437;303
1262;437;302
1269;453;301
1277;453;300
1281;453;299
1284;453;298
1286;453;297
1287;453;296
1293;453;295
1312;453;294
1325;453;293
1351;469;292
1369;469;291
1381;469;290
1446;484;289
1484;500;288
1501;500;287
1513;516;285
1541;516;284
