fes;time;f
1;47;2147484391
4;47;2147484390
8;62;2147484389
9;62;2147484385
10;62;2147484384
12;62;2147484382
18;78;2147484381
20;78;2147484380
21;78;2147484375
26;78;2147484374
27;78;2147484373
30;78;2147484372
39;94;2147484370
44;94;2147484366
45;94;2147484365
46;94;2147484363
47;94;2147484359
50;94;2147484358
51;94;2147484353
53;94;2147484351
55;94;2147484341
64;94;2147484338
68;94;2147484334
70;94;2147484333
71;94;2147484332
73;109;2147484328
74;109;2147484327
75;109;2147484324
77;109;2147484323
81;109;2147484322
83;109;2147484320
86;109;2147484318
89;109;2147484317
98;109;2147484316
99;109;2147484315
100;109;2147484313
101;109;2147484312
102;109;2147484311
103;109;2147484310
106;109;2147484309
107;109;2147484308
109;109;2147484307
110;109;2147484306
112;109;2147484305
114;109;2147484299
115;109;2147484295
116;109;2147484292
118;125;2147484291
121;125;2147484289
131;125;2147484287
135;125;2147484281
137;125;2147484279
143;125;2147484278
150;125;2147484276
151;125;2147484275
155;125;2147484274
157;125;2147484270
158;125;2147484269
161;125;2147484263
167;140;2147484255
169;140;2147484252
171;140;2147484245
173;140;2147484244
182;140;2147484239
184;140;2147484237
188;140;2147484236
191;140;2147484235
192;140;2147484233
194;140;2147484231
198;140;2147484229
201;140;2147484228
204;140;2147484227
205;140;2147484223
206;140;2147484219
211;156;2147484217
215;156;2147484215
219;156;2147484214
220;156;2147484211
222;156;2147484210
228;156;2147484209
232;156;2147484204
236;156;2147484202
253;156;2147484200
256;156;2147484198
257;156;2147484197
271;172;2147484196
272;172;2147484195
279;172;2147484194
290;172;2147484193
297;172;2147484192
298;172;2147484188
299;172;2147484186
306;172;2147484185
309;172;2147484184
312;172;2147484183
316;172;2147484181
319;172;2147484180
320;172;2147484179
324;172;2147484178
326;187;2147484177
334;187;2147484175
336;187;2147484174
338;187;2147484169
351;187;2147484167
353;187;2147484166
355;187;2147484164
356;187;2147484163
366;187;2147484161
367;187;2147484160
369;187;2147484159
370;187;2147484157
371;187;2147484156
375;187;2147484155
379;187;2147484154
389;203;2147484150
392;203;2147484149
395;203;2147484147
400;203;2147484146
406;203;2147484145
417;203;2147484143
424;203;2147484140
447;203;2147484139
454;219;2147484137
456;219;2147484134
457;219;2147484133
465;219;2147484132
466;219;2147484131
470;219;2147484129
471;219;2147484128
476;219;2147484127
485;219;2147484126
486;219;2147484124
489;219;2147484122
491;219;2147484118
492;219;2147484117
511;219;2147484116
512;219;2147484115
513;219;2147484114
515;234;2147484113
520;234;2147484112
525;234;2147484111
529;234;2147484110
530;234;2147484109
533;234;2147484108
534;234;2147484107
540;234;2147484104
548;234;2147484102
553;234;2147484101
554;234;2147484099
563;234;2147484090
569;234;2147484089
574;250;2147484087
578;250;2147484086
580;250;2147484085
581;250;2147484081
583;250;2147484080
586;250;2147484079
592;250;2147484077
593;250;2147484076
595;250;2147484075
608;250;2147484074
612;250;2147484073
615;250;2147484071
616;250;2147484070
618;250;2147484069
620;250;2147484068
630;250;2147484067
634;265;2147484066
640;265;2147484065
645;265;2147484064
646;265;2147484063
649;265;2147484061
651;265;2147484060
655;265;2147484058
660;265;2147484057
665;265;2147484056
670;265;2147484055
674;265;2147484054
675;265;2147484053
677;265;2147484050
681;265;2147484048
687;265;2147484047
695;281;2147484046
696;281;2147484044
712;281;2147484043
713;281;2147484041
733;281;2147484039
734;281;2147484038
738;281;2147484037
740;281;2147484036
744;281;2147484030
768;297;2147484028
769;297;2147484027
771;297;2147484026
783;297;2147484025
784;297;2147484024
793;297;2147484023
794;297;2147484022
797;297;2147484021
810;312;2147484019
823;312;2147484017
829;312;2147484015
830;312;2147484014
835;312;2147484012
840;312;2147484011
842;312;2147484010
845;312;2147484009
847;312;2147484008
849;312;2147484007
861;312;2147484004
871;328;2147484003
880;328;2147484002
894;328;2147484000
900;328;2147483998
