fes;time;f
1;62;2147484352
8;62;2147484350
11;62;2147484347
13;78;2147484345
15;78;2147484343
19;78;2147484339
22;78;2147484338
27;78;2147484336
31;78;2147484335
32;78;2147484332
33;94;2147484331
35;94;2147484328
36;94;2147484325
38;94;2147484324
40;94;2147484322
43;94;2147484321
54;94;2147484318
55;94;2147484314
61;109;2147484312
63;109;2147484310
66;109;2147484309
67;109;2147484304
69;109;2147484301
73;109;2147484300
74;109;2147484299
76;109;2147484298
77;109;2147484297
78;109;2147484295
79;109;2147484293
82;109;2147484292
83;109;2147484291
104;125;2147484288
105;125;2147484285
107;125;2147484282
112;125;2147484272
113;125;2147484270
116;125;2147484269
118;125;2147484268
121;125;2147484267
122;125;2147484265
124;125;2147484264
125;125;2147484262
126;125;2147484261
130;125;2147484258
131;125;2147484256
133;125;2147484254
135;125;2147484252
143;125;2147484248
144;125;2147484247
147;141;2147484245
149;141;2147484243
151;141;2147484242
155;141;2147484238
170;141;2147484232
171;141;2147484230
174;141;2147484229
180;141;2147484228
181;141;2147484227
184;141;2147484226
185;141;2147484224
186;141;2147484221
192;156;2147484217
206;156;2147484215
213;156;2147484214
220;156;2147484212
223;156;2147484210
224;156;2147484207
227;156;2147484205
229;156;2147484202
235;172;2147484200
241;172;2147484198
250;172;2147484197
256;172;2147484194
268;172;2147484193
271;172;2147484192
275;172;2147484189
280;172;2147484187
283;172;2147484185
288;187;2147484181
296;187;2147484179
300;187;2147484177
301;187;2147484175
305;187;2147484172
308;187;2147484171
309;187;2147484170
314;187;2147484169
317;187;2147484168
324;187;2147484167
330;187;2147484166
332;187;2147484164
333;203;2147484162
336;203;2147484161
339;203;2147484160
344;203;2147484158
345;203;2147484155
351;203;2147484153
357;203;2147484151
359;203;2147484149
364;203;2147484148
367;203;2147484147
370;203;2147484145
376;203;2147484144
385;219;2147484143
390;219;2147484141
406;219;2147484139
407;219;2147484138
418;219;2147484135
420;219;2147484132
425;219;2147484131
429;219;2147484130
440;219;2147484129
454;234;2147484127
458;234;2147484126
460;234;2147484125
470;234;2147484124
472;234;2147484123
474;234;2147484122
477;234;2147484121
478;234;2147484118
484;234;2147484116
486;234;2147484114
488;234;2147484112
491;234;2147484111
495;234;2147484110
496;234;2147484109
504;250;2147484108
510;250;2147484106
511;250;2147484104
512;250;2147484103
517;250;2147484102
530;250;2147484101
532;250;2147484100
538;250;2147484099
542;250;2147484098
550;250;2147484097
559;266;2147484096
560;266;2147484094
561;266;2147484088
565;266;2147484087
567;266;2147484086
572;266;2147484085
593;266;2147484084
596;266;2147484083
598;281;2147484081
602;281;2147484080
606;281;2147484079
