fes;time;f
1;62;2147484372
2;62;2147484371
6;62;2147484369
7;62;2147484368
9;62;2147484366
15;78;2147484364
26;78;2147484360
29;93;2147484357
31;93;2147484356
32;93;2147484348
34;93;2147484345
35;93;2147484344
37;93;2147484342
42;93;2147484338
46;93;2147484337
51;109;2147484335
53;109;2147484333
54;109;2147484328
60;109;2147484326
62;109;2147484325
63;109;2147484323
65;109;2147484320
68;109;2147484319
72;109;2147484318
75;109;2147484316
76;109;2147484314
83;125;2147484311
91;125;2147484310
94;125;2147484309
95;125;2147484307
96;125;2147484305
97;125;2147484302
103;125;2147484301
106;125;2147484300
109;125;2147484299
112;125;2147484295
116;125;2147484294
120;125;2147484293
121;140;2147484292
126;140;2147484288
127;140;2147484287
132;140;2147484279
134;140;2147484278
137;140;2147484276
149;140;2147484274
154;140;2147484271
157;140;2147484270
159;140;2147484258
163;156;2147484257
168;156;2147484255
174;156;2147484254
177;156;2147484244
180;156;2147484243
186;156;2147484241
187;156;2147484240
195;156;2147484235
196;156;2147484234
198;156;2147484224
199;156;2147484216
201;156;2147484215
205;156;2147484214
206;156;2147484211
213;172;2147484210
216;172;2147484209
220;172;2147484204
222;172;2147484202
227;172;2147484201
233;172;2147484200
235;172;2147484196
236;172;2147484194
238;172;2147484193
240;172;2147484188
241;172;2147484187
244;172;2147484181
246;172;2147484179
249;172;2147484172
258;187;2147484170
261;187;2147484169
265;187;2147484165
266;187;2147484160
269;187;2147484153
279;187;2147484152
280;187;2147484150
282;187;2147484148
283;187;2147484146
288;187;2147484139
289;187;2147484138
290;187;2147484137
296;187;2147484136
299;203;2147484134
308;203;2147484132
316;203;2147484131
319;203;2147484130
320;203;2147484128
322;203;2147484127
329;203;2147484126
334;218;2147484123
338;218;2147484120
340;218;2147484119
341;218;2147484116
343;218;2147484115
348;218;2147484114
378;234;2147484110
382;234;2147484108
386;234;2147484107
400;234;2147484106
409;234;2147484105
412;234;2147484102
413;250;2147484101
415;250;2147484098
417;250;2147484097
434;250;2147484096
435;250;2147484095
437;250;2147484094
446;250;2147484093
451;250;2147484091
464;250;2147484090
465;250;2147484089
466;250;2147484088
468;250;2147484086
477;265;2147484083
478;265;2147484082
483;265;2147484081
486;265;2147484079
489;265;2147484078
493;265;2147484076
497;265;2147484073
498;265;2147484072
499;265;2147484070
500;265;2147484068
501;265;2147484067
504;265;2147484065
508;265;2147484064
522;265;2147484063
532;281;2147484062
535;281;2147484057
542;281;2147484054
545;281;2147484053
548;281;2147484052
557;281;2147484051
562;281;2147484050
575;281;2147484049
576;281;2147484048
579;297;2147484047
593;297;2147484045
596;297;2147484044
603;297;2147484043
606;297;2147484042
614;297;2147484039
618;297;2147484038
620;297;2147484036
628;297;2147484035
636;312;2147484034
638;312;2147484032
644;312;2147484031
672;312;2147484029
684;312;2147484028
699;328;2147484027
709;328;2147484026
728;328;2147484025
751;343;2147484023
756;343;2147484022
759;343;2147484020
779;343;2147484014
783;343;2147484012
789;343;2147484011
790;343;2147484010
797;343;2147484009
800;343;2147484008
802;343;2147484007
807;343;2147484005
825;359;2147484004
859;359;2147484003
869;359;2147484002
873;375;2147483999
881;375;2147483998
885;375;2147483997
892;375;2147483996
906;375;2147483995
907;375;2147483993
909;375;2147483992
915;375;2147483991
916;375;2147483990
975;390;2147483989
976;390;2147483988
1001;406;2147483986
1003;406;2147483985
1017;406;2147483984
1018;406;2147483983
1027;406;2147483981
1029;406;2147483980
1034;406;2147483979
1042;406;2147483978
1052;406;2147483977
1056;406;2147483976
1067;422;2147483975
1075;422;2147483974
1140;437;2147483973
1156;437;2147483972
1159;437;2147483971
1170;437;2147483970
1171;437;2147483969
1176;437;2147483966
1187;453;2147483963
1191;453;2147483962
1213;453;2147483961
1221;453;2147483960
1225;453;2147483959
1228;453;2147483957
1253;468;2147483956
1257;468;2147483955
1296;468;2147483954
1300;468;2147483953
1313;484;2147483952
1323;484;2147483950
1335;484;2147483949
1346;484;2147483947
1351;484;2147483946
1361;484;2147483945
1398;500;2147483944
1415;500;2147483943
1418;500;2147483942
1441;515;2147483940
1445;515;2147483939
1452;515;2147483937
1473;515;2147483935
1480;515;2147483934
1498;531;2147483933
1502;531;2147483932
1531;531;2147483931
1571;547;2147483929
1580;547;2147483928
1612;547;2147483927
1620;562;2147483926
1624;562;2147483924
1630;562;2147483923
1632;562;2147483920
1644;562;2147483919
1645;562;2147483918
1647;562;2147483917
1652;562;2147483916
1669;562;2147483915
1683;578;2147483914
1684;578;2147483912
1690;578;2147483911
1712;578;2147483910
1720;578;2147483909
1765;593;2147483908
1791;609;2147483907
1795;609;2147483906
1796;609;2147483905
1810;609;2147483904
1814;609;2147483902
1847;609;2147483901
1849;625;2147483898
1852;625;2147483897
1887;625;2147483895
1901;625;2147483894
1929;640;2147483892
1948;640;2147483891
1949;640;2147483890
1951;640;2147483889
1992;656;2147483888
1996;656;2147483887
2013;656;2147483886
2018;656;2147483885
2026;656;2147483884
2054;671;2147483883
2072;671;2147483882
2077;671;2147483881
2108;687;2147483880
2113;687;2147483878
2212;718;2147483877
2244;718;2147483876
2261;718;2147483875
2286;734;2147483874
2304;734;2147483873
2335;750;2147483872
2416;765;2147483871
2424;765;2147483870
2433;765;2147483869
2460;765;2147483868
2470;781;2147483867
2507;781;2147483866
2516;781;2147483865
2575;796;2147483864
2833;859;2147483862
2847;859;2147483861
2892;875;2147483860
2937;890;2147483859
3066;921;2147483858
3083;921;2147483857
3236;953;2147483855
3256;968;2147483854
3344;984;2147483853
3359;984;2147483852
3376;1000;2147483851
3399;1000;2147483850
3401;1000;2147483849
3412;1000;2147483848
3434;1000;2147483847
3474;1015;2147483846
3541;1031;2147483845
3561;1031;2147483844
3562;1031;2147483843
3609;1046;2147483842
3643;1062;2147483841
3673;1062;2147483840
3683;1062;2147483839
3710;1078;2147483838
3763;1093;2147483837
3837;1109;2147483836
3872;1109;2147483835
3885;1125;2147483834
4119;1171;2147483833
4120;1171;2147483832
4212;1203;2147483831
4234;1203;2147483830
4296;1218;2147483829
4420;1249;2147483828
4429;1249;2147483827
4522;1265;2147483826
4572;1281;2147483824
4612;1296;2147483823
4685;1312;2147483822
4688;1312;2147483821
4698;1312;2147483820
4729;1328;2147483819
4864;1359;2147483818
4890;1359;2147483817
4901;1359;2147483816
4937;1374;2147483815
5084;1406;2147483814
5140;1421;2147483813
5154;1421;2147483812
5185;1421;2147483811
5240;1437;2147483810
5247;1437;2147483809
5283;1453;2147483808
5301;1453;2147483807
5387;1468;2147483806
5422;1484;2147483805
5425;1484;2147483804
5545;1515;2147483803
5639;1531;2147483802
5645;1546;2147483801
5671;1546;2147483800
5784;1578;2147483799
5804;1578;2147483798
5846;1593;2147483797
5897;1609;2147483796
5902;1609;2147483795
5903;1609;2147483794
6011;1624;2147483793
6017;1624;2147483792
6134;1656;2147483791
6170;1671;2147483790
6180;1671;2147483789
6406;1718;2147483788
6461;1734;2147483787
6523;1749;2147483786
6534;1749;2147483785
6557;1765;2147483784
6585;1765;2147483783
6608;1765;2147483782
6661;1781;2147483781
6671;1781;2147483780
6993;1859;2147483779
7077;1890;2147483778
7221;1921;2147483777
7358;1952;2147483776
7515;1999;2147483775
7545;1999;2147483774
7739;2046;2147483773
7750;2062;2147483772
7929;2093;2147483771
8011;2124;2147483770
8012;2124;2147483769
8069;2140;2147483768
8089;2140;2147483767
8231;2171;2147483766
8618;2265;2147483765
8680;2280;2147483764
8727;2296;2147483763
8872;2327;2147483762
8894;2327;2147483761
9045;2374;2147483760
9273;2421;2147483759
9387;2452;2147483758
9544;2484;2147483757
9627;2515;2147483756
9811;2546;2147483755
9821;2562;2147483754
10025;2607;2147483753
10234;2654;2147483752
10312;2685;2147483751
10352;2685;2147483750
10563;2732;2147483749
10664;2763;2147483748
10750;2779;2147483747
10918;2826;2147483746
11066;2857;2147483745
11195;2888;2147483744
11656;2998;2147483742
11678;3013;2147483741
11733;3013;2147483740
12124;3122;2147483739
12155;3122;2147483738
12339;3169;2147483736
12364;3169;2147483735
12683;3247;2147483734
12733;3263;2147483733
12856;3294;2147483732
13516;3451;2147483730
14038;3576;2147483729
14171;3622;2147483726
14212;3622;2147483725
14520;3700;2147483724
14606;3732;2147483723
14633;3732;2147483722
14904;3794;2147483721
14917;3794;2147483720
15047;3825;2147483719
15177;3857;2147483718
15373;3904;2147483717
15979;4060;2147483716
16318;4138;2147483715
16710;4232;2147483714
17458;4419;2147483713
17482;4419;2147483712
17647;4466;2147483711
17943;4528;2147483710
18406;4638;2147483709
18441;4653;2147483708
18818;4747;2147483707
19293;4856;2147483706
19703;4966;2147483705
19914;5013;2147483703
19951;5013;2147483702
21036;5294;2147483701
21565;5419;2147483700
21593;5419;2147483699
21623;5434;2147483698
21736;5450;2147483697
22142;5544;2147483696
22578;5653;2147483695
22671;5684;2147483694
24284;6059;2147483693
24377;6091;2147483692
24516;6122;2147483691
24672;6153;2147483690
26365;6559;2147483689
27484;6825;2147483688
29649;7340;2147483687
32186;7965;2147483686
35002;8637;2147483685
35614;8777;2147483684
35878;8856;2147483683
36309;8949;2147483682
37670;9277;2147483681
37746;9293;2147483678
38450;9465;2147483676
41728;10277;2147483675
43324;10656;2147483674
43598;10735;2147483673
45367;11156;2147483672
46128;11344;2147483671
48067;11812;2147483670
49727;12219;2147483669
50151;12312;2147483668
53966;13234;2147483667
54232;13312;2147483666
55407;13593;2147483665
57825;14171;2147483664
59098;14468;2147483663
92336;22513;2147483662
99366;24213;2147483661
161286;39216;2147483660
354372;86069;2147483659
355846;86413;2147483658
359009;87193;2147483657
359312;87256;2147483656
