fes;time;f
1;47;2147484232
4;62;2147484231
5;62;2147484230
8;78;2147484228
13;78;2147484226
14;78;2147484224
15;78;2147484223
20;78;2147484220
25;94;2147484219
27;94;2147484218
31;94;2147484217
32;94;2147484216
38;94;2147484214
45;109;2147484213
47;109;2147484211
49;109;2147484209
57;109;2147484207
59;109;2147484206
65;125;2147484204
70;125;2147484203
71;125;2147484201
73;125;2147484200
83;125;2147484199
84;125;2147484198
87;125;2147484197
88;140;2147484196
101;140;2147484194
104;140;2147484193
108;140;2147484191
124;156;2147484182
127;156;2147484180
138;172;2147484179
148;172;2147484178
150;172;2147484176
153;172;2147484173
154;172;2147484172
155;172;2147484171
164;187;2147484169
166;187;2147484168
174;187;2147484165
181;187;2147484163
189;203;2147484162
190;203;2147484159
198;203;2147484155
203;203;2147484147
210;203;2147484146
212;218;2147484145
223;218;2147484143
224;218;2147484141
228;218;2147484140
230;218;2147484139
233;218;2147484137
234;218;2147484136
242;234;2147484134
252;234;2147484133
255;234;2147484132
262;234;2147484131
266;234;2147484129
268;234;2147484123
282;250;2147484116
284;250;2147484115
285;250;2147484114
293;265;2147484113
305;265;2147484112
322;281;2147484110
336;281;2147484109
337;281;2147484101
338;281;2147484100
343;281;2147484099
344;281;2147484098
366;297;2147484097
367;297;2147484096
368;297;2147484095
373;297;2147484093
380;312;2147484088
382;312;2147484087
385;312;2147484086
393;312;2147484085
400;312;2147484084
409;328;2147484083
423;328;2147484082
442;343;2147484077
444;343;2147484076
446;343;2147484074
460;359;2147484073
469;359;2147484070
482;375;2147484068
488;375;2147484067
491;375;2147484065
498;375;2147484063
499;375;2147484062
501;375;2147484061
505;375;2147484060
511;390;2147484058
544;406;2147484057
554;406;2147484056
564;406;2147484052
571;422;2147484051
580;422;2147484050
582;422;2147484048
588;422;2147484046
599;437;2147484045
601;437;2147484044
607;437;2147484039
616;453;2147484037
624;453;2147484035
629;468;2147484034
637;468;2147484032
640;468;2147484031
647;468;2147484029
651;468;2147484028
652;468;2147484027
653;468;2147484025
655;484;2147484024
656;484;2147484020
664;484;2147484018
670;484;2147484016
671;484;2147484015
676;484;2147484014
690;500;2147484012
691;500;2147484011
700;500;2147484009
709;515;2147484006
749;531;2147484005
754;547;2147484004
762;547;2147484003
767;547;2147484002
788;562;2147484001
791;562;2147484000
795;562;2147483999
804;562;2147483996
829;578;2147483995
856;593;2147483994
862;593;2147483993
865;593;2147483992
878;609;2147483991
885;609;2147483990
891;609;2147483989
903;625;2147483987
904;625;2147483986
910;625;2147483984
972;656;2147483982
976;656;2147483981
984;656;2147483980
987;656;2147483979
993;672;2147483977
1013;672;2147483976
1015;672;2147483975
1017;672;2147483974
1018;672;2147483973
1026;687;2147483971
1032;687;2147483970
1050;687;2147483969
1056;687;2147483968
1074;703;2147483967
1078;703;2147483966
1083;703;2147483964
1094;718;2147483963
1099;718;2147483961
1112;718;2147483960
1116;734;2147483958
1145;734;2147483957
1151;750;2147483956
1177;765;2147483955
1196;765;2147483954
1219;781;2147483953
1247;796;2147483952
1254;796;2147483951
1265;812;2147483950
1276;812;2147483949
1286;812;2147483948
1298;828;2147483947
1332;843;2147483946
1340;843;2147483945
1348;843;2147483944
1360;859;2147483943
1362;859;2147483942
1364;859;2147483941
1371;859;2147483938
1388;859;2147483937
1404;875;2147483936
1426;890;2147483935
1435;890;2147483934
1444;890;2147483933
1456;906;2147483932
1457;906;2147483931
1462;906;2147483930
1477;906;2147483929
1479;906;2147483928
1503;921;2147483927
1517;937;2147483926
1524;937;2147483925
1526;937;2147483924
1581;968;2147483923
1588;968;2147483922
1636;984;2147483921
1653;1000;2147483920
1670;1000;2147483919
1679;1015;2147483918
1698;1015;2147483917
1712;1031;2147483915
1768;1046;2147483914
1772;1062;2147483913
1773;1062;2147483912
1780;1062;2147483911
1800;1062;2147483910
1803;1062;2147483909
1811;1078;2147483908
1816;1078;2147483907
1830;1078;2147483906
1855;1093;2147483905
1857;1093;2147483904
1871;1109;2147483903
1879;1109;2147483900
1884;1109;2147483899
1896;1109;2147483898
1935;1140;2147483897
1970;1156;2147483896
1993;1171;2147483895
1997;1171;2147483894
2027;1187;2147483893
2033;1187;2147483892
2070;1203;2147483891
2079;1203;2147483890
2082;1218;2147483889
2117;1234;2147483888
2119;1234;2147483887
2130;1234;2147483886
2156;1250;2147483885
2159;1250;2147483884
2195;1265;2147483883
2219;1281;2147483882
2266;1296;2147483881
2281;1312;2147483879
2292;1312;2147483877
2303;1312;2147483876
2304;1312;2147483875
2312;1328;2147483874
2429;1374;2147483872
2447;1390;2147483871
2464;1390;2147483870
2489;1406;2147483869
2532;1437;2147483868
2536;1437;2147483867
2557;1437;2147483866
2566;1453;2147483865
2579;1453;2147483864
2612;1468;2147483863
