fes;time;f
1;46;2147484184
3;62;2147484183
10;78;2147484182
11;78;2147484180
20;78;2147484179
25;93;2147484178
29;93;2147484177
30;93;2147484176
35;93;2147484175
36;93;2147484174
43;109;2147484173
47;109;2147484170
48;109;2147484168
49;109;2147484166
65;109;2147484165
68;125;2147484163
72;125;2147484161
73;125;2147484160
77;125;2147484156
87;125;2147484155
91;140;2147484154
92;140;2147484153
94;140;2147484151
98;140;2147484150
100;140;2147484149
467;359;2147484148
470;359;2147484147
473;359;2147484145
474;359;2147484143
476;359;2147484141
477;359;2147484140
479;359;2147484139
491;359;2147484138
493;359;2147484134
500;375;2147484133
725;499;2147484131
727;499;2147484130
728;499;2147484129
732;499;2147484126
735;499;2147484123
746;499;2147484122
757;515;2147484120
765;515;2147484119
769;515;2147484117
771;515;2147484116
777;531;2147484114
783;531;2147484112
789;531;2147484111
798;531;2147484110
1175;718;2147484109
1176;718;2147484106
1179;734;2147484104
1183;734;2147484102
1188;734;2147484100
1196;734;2147484099
1197;734;2147484098
1987;1124;2147484096
1988;1124;2147484094
1996;1124;2147484092
1997;1124;2147484089
2726;1484;2147484088
2739;1484;2147484086
2740;1484;2147484085
2743;1484;2147484084
2760;1499;2147484083
2762;1499;2147484081
2771;1499;2147484080
2772;1499;2147484079
2778;1499;2147484078
2780;1499;2147484077
2784;1499;2147484076
2800;1515;2147484075
2802;1515;2147484074
2809;1515;2147484073
2836;1530;2147484072
2840;1530;2147484071
2841;1530;2147484069
2850;1530;2147484068
2851;1530;2147484067
2857;1546;2147484066
2858;1546;2147484065
2859;1546;2147484063
2860;1546;2147484061
2862;1546;2147484060
2863;1546;2147484058
2872;1546;2147484057
2875;1546;2147484056
2880;1546;2147484055
2884;1562;2147484054
2896;1562;2147484053
2916;1577;2147484052
2921;1577;2147484049
2925;1577;2147484048
2927;1577;2147484047
2953;1593;2147484045
2954;1593;2147484044
2958;1593;2147484043
2967;1593;2147484042
2971;1593;2147484041
2990;1609;2147484040
2995;1609;2147484039
3004;1609;2147484038
3006;1609;2147484034
3014;1624;2147484033
3033;1624;2147484031
3051;1640;2147484029
3054;1640;2147484028
3055;1640;2147484027
3057;1640;2147484026
3062;1640;2147484025
3069;1640;2147484023
3071;1655;2147484022
3082;1655;2147484021
3097;1655;2147484020
3103;1671;2147484019
3108;1671;2147484017
3111;1671;2147484015
3115;1671;2147484014
3131;1671;2147484012
3132;1687;2147484011
3138;1687;2147484010
3150;1687;2147484008
3153;1687;2147484007
3170;1702;2147484006
6373;3249;2147484005
6380;3249;2147484004
6957;3530;2147484003
6962;3530;2147484002
6965;3530;2147483998
6974;3546;2147483997
6975;3546;2147483995
6998;3546;2147483994
6999;3546;2147483993
7004;3561;2147483992
7020;3561;2147483990
7021;3561;2147483989
7030;3561;2147483988
7037;3577;2147483987
7042;3577;2147483986
7043;3577;2147483984
7051;3577;2147483983
7057;3577;2147483982
7068;3593;2147483979
7072;3593;2147483977
7113;3608;2147483975
7114;3608;2147483974
7137;3624;2147483972
7148;3624;2147483971
7152;3624;2147483970
7168;3639;2147483969
7175;3639;2147483968
7180;3639;2147483967
7206;3655;2147483966
7207;3655;2147483965
7215;3655;2147483964
7219;3655;2147483963
7221;3655;2147483962
7239;3671;2147483961
7243;3671;2147483960
7247;3671;2147483959
7255;3671;2147483958
7280;3686;2147483957
7281;3686;2147483956
7295;3702;2147483953
7311;3702;2147483951
7313;3702;2147483950
7322;3702;2147483949
7344;3718;2147483947
7356;3718;2147483946
7357;3718;2147483944
7365;3733;2147483943
7399;3749;2147483942
7406;3749;2147483940
7411;3749;2147483938
7413;3749;2147483937
7415;3749;2147483936
7448;3764;2147483935
7453;3764;2147483934
7460;3780;2147483933
7474;3780;2147483932
7475;3780;2147483931
7487;3780;2147483930
7501;3796;2147483928
7510;3796;2147483926
7514;3796;2147483925
7518;3796;2147483924
7520;3796;2147483921
7521;3796;2147483919
7540;3811;2147483918
7557;3811;2147483917
7564;3827;2147483916
7574;3827;2147483915
7577;3827;2147483914
7601;3842;2147483913
7608;3842;2147483912
7619;3842;2147483911
7628;3858;2147483909
7635;3858;2147483907
7652;3858;2147483906
7658;3874;2147483905
