fes;time;f
1;47;2147484194
3;47;2147484193
12;62;2147484189
26;78;2147484186
31;78;2147484185
32;78;2147484184
35;94;2147484183
36;94;2147484180
44;94;2147484179
45;94;2147484177
64;109;2147484175
70;109;2147484171
72;109;2147484168
75;109;2147484167
78;109;2147484166
79;125;2147484164
92;125;2147484163
104;141;2147484162
115;141;2147484161
117;141;2147484160
126;141;2147484157
128;141;2147484156
139;156;2147484154
143;156;2147484153
147;156;2147484152
163;172;2147484151
168;172;2147484148
186;187;2147484146
198;203;2147484145
200;203;2147484144
201;203;2147484143
202;203;2147484135
218;219;2147484134
219;219;2147484133
226;219;2147484130
244;234;2147484129
250;234;2147484127
253;234;2147484126
255;234;2147484124
270;250;2147484123
272;250;2147484121
274;250;2147484120
276;250;2147484117
294;266;2147484116
299;266;2147484114
303;266;2147484113
312;266;2147484112
317;266;2147484111
318;266;2147484110
324;281;2147484107
328;281;2147484106
329;281;2147484105
330;281;2147484100
331;281;2147484099
332;281;2147484098
344;281;2147484095
347;281;2147484092
348;297;2147484091
351;297;2147484090
354;297;2147484088
360;297;2147484086
364;297;2147484081
365;297;2147484080
368;297;2147484078
376;312;2147484077
377;312;2147484076
391;312;2147484075
392;312;2147484074
394;312;2147484069
401;312;2147484068
408;328;2147484067
419;328;2147484066
423;328;2147484065
430;328;2147484064
445;344;2147484063
453;344;2147484062
467;359;2147484061
487;375;2147484060
500;375;2147484059
501;375;2147484054
507;375;2147484053
511;375;2147484052
517;390;2147484051
539;406;2147484049
548;406;2147484047
549;406;2147484046
577;422;2147484044
580;422;2147484042
584;422;2147484039
587;422;2147484038
595;437;2147484037
598;437;2147484036
601;437;2147484035
606;437;2147484034
608;437;2147484032
616;437;2147484030
618;453;2147484029
628;453;2147484027
633;453;2147484026
647;469;2147484023
655;469;2147484022
659;469;2147484021
674;469;2147484020
676;469;2147484019
677;484;2147484018
678;484;2147484017
700;500;2147484016
701;500;2147484014
708;500;2147484013
726;515;2147484012
730;515;2147484011
731;515;2147484010
742;515;2147484008
744;515;2147484007
747;515;2147484006
754;531;2147484004
764;531;2147484003
766;531;2147484002
776;531;2147484001
787;547;2147484000
791;547;2147483999
799;547;2147483998
800;547;2147483997
808;547;2147483995
816;562;2147483994
819;562;2147483993
825;562;2147483992
834;562;2147483991
837;562;2147483990
848;578;2147483989
860;578;2147483988
870;578;2147483987
875;594;2147483986
878;594;2147483985
887;594;2147483984
904;609;2147483983
909;609;2147483982
912;609;2147483981
917;609;2147483978
942;625;2147483976
952;625;2147483975
964;640;2147483974
966;640;2147483972
970;640;2147483970
979;640;2147483969
980;640;2147483968
993;656;2147483967
1002;656;2147483965
1008;656;2147483964
1023;672;2147483961
1025;672;2147483959
1047;687;2147483958
1049;687;2147483957
1051;687;2147483955
1053;687;2147483954
1059;687;2147483953
1064;687;2147483952
1097;703;2147483951
1100;703;2147483949
1119;719;2147483948
1132;719;2147483947
1144;734;2147483946
1146;734;2147483945
1179;750;2147483943
1195;750;2147483941
1199;765;2147483940
1201;765;2147483939
1204;765;2147483938
1210;765;2147483937
1211;765;2147483936
1227;765;2147483935
1244;781;2147483934
1250;781;2147483933
1271;797;2147483932
1295;812;2147483930
1313;812;2147483929
1318;828;2147483927
1329;828;2147483926
1359;844;2147483925
1374;844;2147483924
1380;844;2147483922
1393;859;2147483921
1424;875;2147483920
1426;875;2147483919
1446;890;2147483918
1484;906;2147483916
1489;906;2147483915
1490;906;2147483914
1517;922;2147483913
1530;922;2147483912
1552;937;2147483911
1624;968;2147483910
1651;984;2147483909
1652;984;2147483908
1670;1000;2147483907
1698;1015;2147483906
1700;1015;2147483905
1731;1031;2147483904
1749;1031;2147483903
1757;1031;2147483902
1794;1062;2147483900
1806;1062;2147483899
1807;1062;2147483898
1813;1062;2147483897
1834;1078;2147483896
1848;1078;2147483895
1858;1093;2147483894
1875;1093;2147483893
1879;1093;2147483892
1888;1109;2147483891
1904;1109;2147483890
1910;1109;2147483888
1974;1140;2147483887
2000;1156;2147483886
2025;1172;2147483884
2059;1187;2147483882
2079;1203;2147483881
2096;1203;2147483880
2104;1218;2147483879
2121;1218;2147483878
2151;1234;2147483877
2170;1250;2147483876
2183;1250;2147483875
2207;1265;2147483874
2211;1265;2147483873
2217;1265;2147483870
2225;1265;2147483869
2228;1281;2147483868
2271;1297;2147483867
2287;1297;2147483866
2291;1297;2147483865
2293;1312;2147483864
2294;1312;2147483863
2305;1312;2147483862
2310;1312;2147483861
2316;1312;2147483860
2355;1328;2147483859
2405;1359;2147483858
2418;1359;2147483857
2448;1375;2147483856
2466;1390;2147483855
2472;1390;2147483853
2479;1390;2147483852
2496;1406;2147483851
2512;1421;2147483850
2517;1421;2147483849
2564;1453;2147483848
2637;1484;2147483847
2641;1484;2147483846
2642;1484;2147483845
2680;1500;2147483844
2705;1515;2147483843
2738;1531;2147483841
2739;1531;2147483840
2762;1546;2147483839
2764;1546;2147483838
2801;1562;2147483837
2835;1578;2147483836
2884;1609;2147483835
2898;1609;2147483834
2903;1609;2147483832
2944;1625;2147483831
2954;1640;2147483830
2964;1640;2147483829
3066;1687;2147483828
3111;1718;2147483826
3162;1734;2147483825
3185;1750;2147483824
3251;1781;2147483822
3277;1796;2147483821
3318;1812;2147483820
3375;1843;2147483819
3428;1875;2147483818
3432;1875;2147483817
3440;1875;2147483815
3513;1921;2147483814
3544;1937;2147483813
3624;1968;2147483812
3646;1984;2147483811
3657;1984;2147483810
3736;2031;2147483809
3817;2062;2147483807
3867;2093;2147483806
3910;2119;2147483805
3914;2119;2147483804
3925;2135;2147483803
3927;2135;2147483802
3941;2135;2147483801
3992;2166;2147483800
4004;2166;2147483799
4011;2166;2147483798
4082;2197;2147483797
4093;2213;2147483796
4098;2213;2147483795
4109;2213;2147483794
4227;2275;2147483793
4255;2291;2147483792
4265;2291;2147483791
4351;2338;2147483790
4386;2369;2147483789
4451;2400;2147483788
4501;2416;2147483787
4578;2463;2147483786
4751;2541;2147483785
4770;2557;2147483784
4802;2572;2147483783
4894;2619;2147483782
4897;2619;2147483781
5096;2713;2147483780
5127;2728;2147483779
5191;2760;2147483778
5211;2775;2147483777
5318;2822;2147483776
5333;2822;2147483775
5359;2838;2147483774
5502;2916;2147483773
5508;2916;2147483772
5557;2947;2147483771
5561;2947;2147483770
5628;2978;2147483769
5749;3041;2147483768
5796;3056;2147483767
5846;3088;2147483766
5864;3088;2147483765
6004;3166;2147483764
6009;3166;2147483763
6045;3181;2147483762
6177;3244;2147483761
6257;3291;2147483760
6284;3306;2147483759
6367;3338;2147483758
6408;3353;2147483757
6484;3400;2147483756
6589;3447;2147483755
6638;3463;2147483754
6663;3478;2147483753
6737;3509;2147483752
6753;3525;2147483751
7194;3728;2147483750
7297;3775;2147483749
7430;3853;2147483748
