fes;time;f
1;47;538
11;62;537
15;78;535
17;78;534
18;78;531
20;78;529
25;78;528
32;94;527
34;94;525
35;94;524
38;94;523
40;94;521
44;94;519
46;94;518
50;109;517
53;109;516
57;109;515
62;109;512
64;109;509
66;109;508
68;109;507
73;109;506
77;125;505
82;125;502
84;125;500
89;125;498
91;125;497
97;141;496
104;141;494
110;141;493
116;141;492
121;156;489
122;156;488
127;156;487
134;172;486
140;172;484
157;203;483
160;203;482
165;219;481
169;219;480
172;219;479
177;234;477
180;234;476
188;234;475
200;234;474
206;250;473
207;250;469
211;250;467
219;250;466
224;250;464
226;250;463
235;266;462
236;266;458
237;266;456
242;266;455
243;266;451
246;266;449
247;266;447
249;266;445
250;266;443
255;266;441
260;281;440
268;281;439
269;281;438
273;281;437
274;281;435
278;281;434
280;281;433
293;297;432
306;297;430
313;297;428
324;312;427
329;312;426
339;312;425
345;312;424
347;328;422
352;328;421
353;328;420
355;328;419
359;328;417
360;328;416
363;328;415
364;328;414
366;328;412
384;344;411
391;344;408
396;344;405
400;344;403
404;344;402
408;359;400
420;359;399
424;359;398
428;359;397
432;359;396
440;375;395
442;375;394
443;375;393
449;375;392
450;375;391
476;390;389
486;390;386
494;390;385
500;406;384
503;406;382
504;406;381
511;406;379
514;406;378
517;406;377
520;406;376
522;406;375
536;422;373
553;422;372
572;437;370
588;453;369
591;453;368
597;453;367
601;453;366
608;453;365
617;469;363
619;469;362
622;469;360
625;469;359
632;469;356
639;469;355
647;484;354
657;484;353
666;484;352
681;500;351
686;500;350
687;500;349
696;500;348
697;500;347
707;515;346
714;515;343
719;515;341
722;515;340
742;531;338
744;531;337
748;531;336
756;531;335
764;547;333
765;547;330
770;547;328
778;547;327
783;547;326
788;547;325
806;562;323
814;562;322
815;562;321
825;562;320
849;578;319
860;594;318
863;594;317
867;594;316
878;594;314
888;609;313
903;609;311
926;625;310
928;625;309
941;625;308
947;625;307
962;640;305
973;640;304
995;656;302
1001;656;301
1005;656;300
1022;672;299
1070;687;297
1077;687;296
1089;703;295
1103;703;292
1109;703;291
1119;719;290
1127;719;289
1135;719;288
1178;734;287
1187;750;286
1189;750;284
1194;750;283
1210;750;282
1227;765;281
1231;765;280
1287;797;279
1301;797;278
1308;812;277
1318;812;275
1319;812;273
1328;812;272
1343;828;271
1355;828;269
1356;828;268
1359;828;266
1367;844;265
1372;844;264
1377;844;263
1386;844;262
1392;844;261
1399;859;260
1411;859;259
1414;859;258
1485;890;257
1538;922;256
1547;922;255
1602;953;254
1625;968;253
1636;968;252
1654;984;251
1659;984;250
1726;1015;249
1727;1015;248
1732;1015;247
1734;1015;245
1778;1031;244
1793;1047;241
1851;1078;240
1894;1093;238
1900;1093;236
1917;1109;235
1924;1109;234
1937;1109;232
1969;1140;231
1986;1140;230
2022;1156;229
2027;1156;228
2035;1172;226
2121;1203;224
2180;1234;223
2207;1250;222
2220;1250;221
2251;1265;220
2259;1265;219
2316;1297;218
2344;1312;217
2402;1343;216
2462;1375;215
2498;1390;214
2508;1390;213
2511;1390;212
2523;1406;210
2540;1406;209
2581;1422;208
2641;1453;207
2703;1484;206
2731;1500;205
2749;1500;204
2769;1515;203
2780;1515;202
2864;1562;200
2901;1578;199
2932;1593;198
2979;1625;197
2994;1625;196
3035;1656;195
3050;1656;194
3052;1656;193
3092;1671;192
3110;1687;191
3133;1703;190
3147;1703;189
3175;1718;188
3204;1734;187
3232;1750;186
3240;1750;185
3292;1765;184
3304;1781;183
3305;1781;182
3315;1781;181
3330;1781;180
3345;1796;179
3362;1812;178
3386;1812;177
3486;1859;176
3489;1859;175
3540;1890;173
3569;1906;172
3592;1921;171
3599;1921;170
3627;1937;169
3644;1937;168
3688;1968;167
3702;1968;166
3761;1999;165
3766;1999;164
3770;1999;163
3772;1999;162
3779;1999;161
3784;1999;160
3839;2031;159
3888;2062;158
3945;2078;157
3959;2093;156
3976;2093;155
4008;2109;154
4011;2109;153
4081;2156;152
4092;2156;151
4093;2156;150
4099;2156;149
4229;2218;148
4247;2218;147
4274;2234;146
4302;2249;145
4327;2265;144
4366;2281;143
4474;2343;142
4523;2359;141
4537;2359;140
4570;2374;139
4694;2437;138
4768;2468;137
4861;2515;136
4943;2546;135
4972;2562;134
4975;2562;133
4987;2577;132
5020;2593;131
5045;2609;130
5063;2609;129
5195;2671;128
5253;2702;127
5303;2718;126
5305;2718;125
5388;2765;124
5401;2765;123
5411;2781;122
5457;2796;121
5560;2843;119
5626;2874;118
5646;2890;117
5651;2890;116
5709;2921;115
5717;2921;114
5821;2968;113
5852;2984;112
5890;2999;111
5918;3015;110
5986;3046;109
6044;3077;108
6513;3296;107
6534;3312;106
6630;3359;105
6818;3443;104
6954;3506;103
7218;3631;102
7396;3709;101
7514;3772;100
7553;3787;99
7653;3834;98
7697;3850;97
7960;3975;96
7976;3990;95
8058;4021;94
8238;4115;93
8306;4146;92
8607;4287;91
8680;4318;90
8794;4381;89
8831;4396;88
8961;4459;87
9017;4490;86
9022;4490;85
9118;4537;84
9193;4568;83
9212;4568;82
9235;4584;81
9277;4599;80
9341;4631;79
9363;4646;78
9401;4662;77
9514;4724;76
9645;4787;75
9675;4787;74
9755;4834;73
9904;4896;72
9984;4943;71
10043;4974;70
10160;5024;69
10209;5039;68
10575;5211;67
10982;5414;66
11064;5445;65
11951;5898;64
12025;5930;63
12389;6101;62
12457;6133;61
13254;6508;60
13568;6653;59
13720;6732;58
13734;6732;57
14462;7075;56
14502;7091;55
14529;7106;54
14537;7106;53
15006;7341;52
15153;7403;51
16394;7981;50
16458;8012;49
16517;8028;48
16677;8106;47
16703;8122;46
17717;8590;45
17963;8700;44
19212;9278;43
19934;9622;42
20022;9653;41
20418;9856;40
20743;9996;39
20944;10090;38
21096;10168;37
21185;10199;36
21308;10262;35
21332;10278;34
21522;10371;33
22567;10856;32
23167;11137;31
23561;11324;30
23843;11449;29
25241;12094;28
25245;12094;27
26577;12735;26
26688;12781;25
26970;12906;24
27633;13219;23
28384;13562;22
28531;13641;21
29061;13875;20
30964;14765;19
31775;15144;18
32406;15440;17
34283;16299;16
37191;17647;15
38841;18412;14
39187;18584;13
39603;18772;12
52442;24847;11
57027;27025;10
58664;27806;9
60418;28634;8
61900;29337;7
68437;32382;6
68619;32476;5
76643;36228;4
80635;38091;3
86591;40913;2
103501;48855;1
116492;54994;-2147463872
116505;55009;-2147463873
116539;55025;-2147463877
116545;55025;-2147463881
116563;55041;-2147463899
116576;55041;-2147463900
116629;55072;-2147463910
116630;55072;-2147463950
116679;55091;-2147463954
116715;55106;-2147463958
116822;55169;-2147463962
116912;55216;-2147463966
116916;55216;-2147464160
116938;55216;-2147464165
117056;55278;-2147464175
117098;55310;-2147464190
117120;55310;-2147464382
117223;55372;-2147464400
117227;55372;-2147464416
117301;55403;-2147464624
117310;55403;-2147464816
117351;55434;-2147465008
117493;55497;-2147465048
117508;55497;-2147465064
117556;55528;-2147465067
117569;55528;-2147465072
117602;55559;-2147465076
117640;55575;-2147465268
117681;55591;-2147465272
117720;55606;-2147465464
117783;55653;-2147465468
117812;55653;-2147465472
117837;55669;-2147465473
117856;55684;-2147465665
117863;55684;-2147465668
117886;55700;-2147465674
117982;55747;-2147465684
118022;55763;-2147465687
118064;55778;-2147465697
118123;55809;-2147465713
118125;55809;-2147465714
118137;55825;-2147465916
118177;55841;-2147465926
118248;55872;-2147465932
118250;55872;-2147465948
118267;55888;-2147465952
118281;55888;-2147465953
118296;55903;-2147465958
118349;55919;-2147465998
118431;55966;-2147466206
118450;55966;-2147466210
118555;56028;-2147466212
118634;56059;-2147466222
118654;56075;-2147466226
118670;56075;-2147466230
118692;56091;-2147466422
118696;56091;-2147466426
118708;56091;-2147466634
118816;56153;-2147466826
118861;56169;-2147467013
118926;56200;-2147467014
119013;56247;-2147467024
119040;56262;-2147467040
119063;56262;-2147467234
119118;56294;-2147467244
119119;56294;-2147467249
119147;56309;-2147467252
119188;56325;-2147467256
119241;56356;-2147467448
119330;56387;-2147467458
119531;56497;-2147467460
119535;56497;-2147467500
119565;56512;-2147467516
119576;56512;-2147467708
119750;56606;-2147467710
119875;56669;-2147467713
119954;56700;-2147467717
119994;56715;-2147467721
120097;56762;-2147467723
120100;56762;-2147467727
120171;56809;-2147467741
120195;56809;-2147467757
120250;56840;-2147467773
120251;56840;-2147467783
120314;56872;-2147467823
120378;56903;-2147467825
120396;56903;-2147467828
120487;56950;-2147467844
120500;56950;-2147467845
120514;56965;-2147467849
120516;56965;-2147467852
120617;57012;-2147467853
120657;57028;-2147467869
120676;57043;-2147467872
120726;57059;-2147467882
120732;57059;-2147467886
120741;57075;-2147467888
120750;57075;-2147467906
120761;57075;-2147467908
120792;57090;-2147467926
120851;57122;-2147467930
121030;57215;-2147467948
121058;57231;-2147467964
121070;57231;-2147467968
121101;57247;-2147467972
121140;57262;-2147467976
121142;57262;-2147467994
121179;57278;-2147468004
121227;57309;-2147468196
121232;57309;-2147468199
121270;57327;-2147468215
121369;57374;-2147468405
121639;57499;-2147468597
121686;57531;-2147468607
121702;57531;-2147468799
121773;57577;-2147468815
121793;57577;-2147468819
121825;57593;-2147468821
121885;57624;-2147468831
121890;57624;-2147468871
121916;57640;-2147468872
122004;57691;-2147468913
122125;57738;-2147468917
122150;57753;-2147468922
122303;57831;-2147468940
122378;57863;-2147468946
122382;57863;-2147468956
122535;57941;-2147468966
122603;57972;-2147468982
122723;58030;-2147469184
122861;58108;-2147469186
122952;58139;-2147469194
122968;58155;-2147469210
123028;58186;-2147469219
123204;58264;-2147469227
123253;58296;-2147469266
123374;58358;-2147469270
123419;58374;-2147469280
123545;58436;-2147469291
123548;58436;-2147469292
123558;58436;-2147469296
123634;58483;-2147469299
123784;58546;-2147469309
123896;58608;-2147469327
124028;58671;-2147469332
124211;58749;-2147469526
124280;58796;-2147469536
124320;58811;-2147469537
124361;58827;-2147469541
124503;58889;-2147469551
124595;58936;-2147469554
124676;58967;-2147469570
124803;59033;-2147469575
124898;59080;-2147469591
124928;59096;-2147469601
124941;59096;-2147469803
125013;59143;-2147469804
125020;59143;-2147469820
125039;59158;-2147469821
125066;59158;-2147469831
125096;59174;-2147469871
125106;59190;-2147469889
125415;59330;-2147469893
125522;59393;-2147470100
125592;59424;-2147470103
125594;59424;-2147470143
125601;59424;-2147470183
125641;59440;-2147470187
125809;59533;-2147470236
126032;59643;-2147470252
126229;59736;-2147470291
126562;59893;-2147470307
126610;59924;-2147470317
126615;59924;-2147470318
126625;59924;-2147470326
126785;60002;-2147470516
126948;60096;-2147470518
126981;60099;-2147470528
127086;60161;-2147470538
127256;60239;-2147470554
127405;60317;-2147470590
127559;60380;-2147470782
127836;60521;-2147470792
128225;60708;-2147470806
128294;60739;-2147470810
128322;60755;-2147470820
129065;61099;-2147470821
129380;61239;-2147470865
129657;61380;-2147470881
129728;61411;-2147470882
129759;61427;-2147470896
129791;61442;-2147470900
129805;61458;-2147470916
129806;61458;-2147470919
130061;61567;-2147470937
