fes;time;f
1;46;2147485964
3;46;2147485963
8;62;2147485960
17;78;2147485785
20;78;2147485784
26;93;2147485781
30;93;2147485776
31;93;2147485775
34;93;2147485774
36;93;2147485770
44;109;2147485769
47;109;2147485767
52;125;2147485766
53;125;2147485764
54;125;2147485763
63;125;2147485762
68;140;2147485761
69;140;2147485760
74;140;2147485759
82;156;2147485758
85;156;2147485757
90;156;2147485756
94;156;2147485755
201;281;2147485408
203;281;2147485407
204;281;2147485406
208;281;2147485404
209;281;2147485403
226;296;2147485402
237;312;2147485399
241;312;2147485398
244;312;2147485397
245;312;2147485396
248;312;2147485393
249;312;2147485392
252;328;2147485389
254;328;2147485387
259;328;2147485386
261;328;2147485384
265;328;2147485383
267;328;2147485381
268;328;2147485380
270;343;2147485379
278;343;2147485378
279;343;2147485377
282;343;2147485376
287;343;2147485375
301;359;2147485374
303;359;2147485372
304;359;2147485371
305;359;2147485370
309;374;2147485369
314;374;2147485367
317;374;2147485366
318;374;2147485365
333;390;2147485363
339;390;2147485362
345;406;2147485361
354;406;2147485360
355;406;2147485358
363;421;2147485287
367;421;2147485285
369;421;2147485284
375;421;2147485282
379;437;2147485281
387;437;2147485280
389;437;2147485278
390;437;2147485277
392;437;2147485276
395;453;2147485275
545;593;2147485270
546;593;2147485268
551;593;2147485266
554;593;2147485265
556;609;2147485264
557;609;2147485263
559;609;2147485262
562;609;2147485261
565;609;2147485260
572;624;2147485259
576;624;2147484899
577;624;2147484898
580;624;2147484896
587;624;2147484895
590;640;2147484893
591;640;2147484891
597;640;2147484890
3301;3056;2147484861
3304;3056;2147484860
3318;3072;2147484858
3319;3072;2147484856
3322;3087;2147484855
3323;3087;2147484853
3325;3087;2147484852
3331;3087;2147484850
3342;3103;2147484849
3346;3103;2147484848
3347;3103;2147484847
3349;3103;2147484846
3352;3103;2147484844
3359;3118;2147484843
3377;3134;2147484841
3378;3134;2147484837
3382;3134;2147484836
3385;3134;2147484833
3387;3134;2147484831
3392;3150;2147484830
3396;3150;2147484829
13578;12212;2147484771
13579;12212;2147484769
13590;12227;2147484767
16776;15070;2147484736
16781;15070;2147484735
16791;15086;2147484733
16798;15086;2147484731
16805;15086;2147484730
16810;15102;2147484729
16813;15102;2147484727
16820;15102;2147484726
16847;15133;2147484725
16849;15133;2147484724
16858;15148;2147484722
16878;15164;2147484721
16880;15164;2147484720
16888;15164;2147484719
16901;15180;2147484718
16934;15211;2147484717
16950;15227;2147484716
16953;15227;2147484715
16968;15242;2147484713
16970;15242;2147484711
16977;15242;2147484710
16990;15258;2147484709
16992;15258;2147484708
17005;15273;2147484707
17015;15289;2147484705
17017;15289;2147484704
17026;15289;2147484703
17032;15305;2147484702
17049;15320;2147484701
17051;15320;2147484700
17059;15320;2147484699
17072;15336;2147484698
17082;15351;2147484696
17100;15367;2147484695
17113;15367;2147484692
17139;15398;2147484691
17158;15414;2147484688
17184;15430;2147484687
17222;15476;2147484686
17227;15476;2147484685
17232;15476;2147484684
17241;15492;2147484683
17242;15492;2147484682
17257;15508;2147484680
17263;15508;2147484678
17267;15508;2147484677
17289;15523;2147484676
17294;15539;2147484675
17299;15539;2147484674
17309;15555;2147484672
17331;15570;2147484656
17363;15601;2147484655
17398;15633;2147484654
17399;15633;2147484653
17428;15664;2147484652
17454;15679;2147484651
17461;15695;2147484650
17464;15695;2147484649
17484;15711;2147484634
17487;15711;2147484633
17490;15711;2147484632
17492;15711;2147484630
17496;15726;2147484629
17498;15726;2147484628
17506;15726;2147484627
17515;15742;2147484626
17543;15773;2147484625
17548;15773;2147484624
