fes;time;f
1;47;2147486398
8;62;2147486395
10;62;2147486394
31;94;2147486393
37;109;2147486392
40;109;2147486389
43;109;2147486388
48;125;2147486386
51;125;2147486384
54;125;2147486379
59;125;2147486377
66;140;2147486375
72;140;2147486373
80;156;2147486370
90;172;2147486366
95;172;2147486365
97;172;2147486364
103;172;2147486363
104;187;2147486361
110;187;2147486360
114;187;2147486359
115;187;2147486356
118;187;2147486355
120;203;2147486353
122;203;2147486351
125;203;2147486349
127;203;2147486347
133;203;2147486346
144;219;2147486343
148;219;2147486340
160;234;2147486339
165;250;2147486335
167;250;2147486334
179;254;2147486332
184;270;2147486331
189;270;2147486330
191;270;2147486329
192;270;2147486328
208;286;2147486327
212;286;2147486325
219;301;2147486323
223;301;2147486319
227;301;2147486289
230;301;2147486287
252;332;2147486285
255;332;2147486284
260;332;2147486282
267;348;2147486280
268;348;2147486279
270;348;2147486277
271;348;2147486276
279;348;2147486274
280;348;2147486273
283;364;2147486271
290;364;2147486270
293;364;2147486268
294;364;2147486267
313;379;2147486265
322;395;2147486264
323;395;2147486263
324;395;2147486262
325;395;2147486260
330;395;2147486258
337;410;2147486256
347;410;2147486255
349;426;2147486252
351;426;2147486249
370;442;2147485784
371;442;2147485782
372;442;2147485781
374;442;2147485779
378;442;2147485777
404;473;2147485776
412;473;2147485775
423;489;2147485774
425;489;2147485773
438;520;2147485770
440;520;2147485769
442;520;2147485645
444;520;2147485641
454;535;2147485639
456;535;2147485638
458;535;2147485637
463;535;2147485636
476;551;2147485635
488;567;2147485634
489;567;2147485633
494;567;2147485632
499;582;2147485630
502;582;2147485628
503;582;2147485627
504;582;2147485626
509;582;2147485624
533;614;2147485623
535;614;2147485622
540;614;2147485621
563;645;2147485620
566;645;2147485619
568;645;2147485614
579;660;2147485613
584;660;2147485611
591;676;2147485608
598;676;2147485606
602;692;2147485605
607;692;2147485604
614;692;2147485602
616;692;2147485600
626;707;2147485598
638;723;2147485597
650;723;2147485596
656;739;2147485594
679;754;2147485578
680;754;2147485577
681;754;2147485576
692;770;2147485575
694;770;2147485574
713;801;2147485573
723;801;2147485572
725;801;2147485571
735;817;2147485570
742;832;2147485569
749;832;2147485568
750;832;2147485567
753;832;2147485563
767;848;2147485561
790;879;2147485559
796;879;2147485558
806;895;2147485557
809;895;2147485555
817;895;2147485554
826;910;2147485553
833;910;2147485552
837;926;2147485551
847;926;2147485550
861;942;2147485549
867;957;2147485547
873;957;2147485546
875;957;2147485539
893;973;2147485538
905;988;2147485537
907;988;2147485535
913;988;2147485534
941;1020;2147485533
950;1035;2147485532
952;1035;2147485531
961;1035;2147485530
962;1035;2147485528
972;1051;2147485527
987;1067;2147485526
988;1067;2147485525
995;1067;2147485524
998;1082;2147485523
1009;1082;2147485522
1016;1098;2147485521
1032;1113;2147485520
1035;1113;2147485517
1044;1113;2147485516
1048;1129;2147485515
1054;1129;2147485514
1062;1129;2147485513
1063;1129;2147485512
1074;1145;2147485511
1081;1160;2147485135
1089;1160;2147485134
1101;1176;2147485133
1107;1176;2147485132
1109;1176;2147485131
1110;1176;2147485130
1128;1192;2147485129
1133;1207;2147485128
1137;1207;2147485127
1163;1223;2147485125
1165;1223;2147485123
1174;1238;2147485122
1176;1238;2147485120
1178;1238;2147485119
1181;1238;2147485118
1190;1254;2147485117
1193;1254;2147485115
1197;1254;2147485114
1222;1285;2147485113
1226;1285;2147485112
1229;1285;2147485111
1231;1285;2147485110
1248;1301;2147485109
1253;1301;2147485108
1267;1317;2147485107
1278;1332;2147485105
1286;1332;2147485104
1298;1348;2147485103
1311;1363;2147485102
1316;1363;2147485101
1345;1395;2147485100
1364;1410;2147485099
1366;1410;2147485098
1372;1410;2147485097
1403;1441;2147485096
1405;1441;2147485095
1421;1464;2147485094
1425;1464;2147485092
1429;1464;2147485091
1437;1480;2147485090
1442;1480;2147485089
1450;1480;2147485088
1461;1496;2147485087
1465;1496;2147485086
1485;1511;2147485058
1504;1543;2147485056
1509;1543;2147485055
1511;1543;2147485054
1517;1543;2147485053
1523;1558;2147485052
1531;1558;2147485051
1537;1574;2147485050
1544;1574;2147485049
1548;1574;2147485048
1564;1589;2147485047
1581;1605;2147485046
1611;1636;2147485045
1624;1652;2147485044
1637;1668;2147485043
1671;1699;2147485041
1676;1699;2147485040
1681;1699;2147485038
1733;1746;2147485037
1751;1761;2147485036
1767;1777;2147484838
1795;1808;2147484837
1797;1808;2147484836
1801;1808;2147484835
1805;1824;2147484834
1814;1824;2147484833
1845;1855;2147484832
1858;1871;2147484830
1874;1871;2147484829
1875;1886;2147484828
1882;1886;2147484826
1886;1886;2147484825
1922;1918;2147484824
1926;1918;2147484823
1959;1949;2147484821
2019;2011;2147484820
2021;2011;2147484819
2022;2011;2147484817
2041;2027;2147484816
2083;2074;2147484815
2100;2089;2147484814
2129;2121;2147484813
2159;2136;2147484812
2176;2152;2147484810
2262;2230;2147484809
2272;2246;2147484808
2280;2246;2147484807
2282;2261;2147484806
2285;2261;2147484805
2288;2261;2147484804
2316;2292;2147484803
2334;2308;2147484801
2363;2339;2147484800
2374;2339;2147484799
2387;2355;2147484798
2396;2371;2147484797
2399;2371;2147484796
2430;2402;2147484795
2435;2402;2147484794
2436;2402;2147484793
2447;2417;2147484592
2498;2464;2147484591
2523;2480;2147484590
2531;2496;2147484568
2534;2496;2147484566
2544;2511;2147484565
2548;2511;2147484564
2597;2558;2147484563
2716;2683;2147484562
2720;2683;2147484560
