fes;time;f
1;47;2147485370
2;47;2147485366
13;78;2147485365
22;94;2147485364
24;94;2147485362
29;110;2147485361
35;110;2147485358
45;125;2147485357
53;125;2147485355
59;141;2147485350
68;141;2147485348
72;157;2147485345
75;157;2147485344
76;157;2147485342
80;172;2147485341
84;172;2147485339
94;188;2147485338
99;188;2147485336
100;204;2147485335
103;204;2147485334
106;204;2147485333
108;204;2147485332
118;219;2147485331
124;219;2147485329
135;235;2147485327
136;235;2147485326
137;235;2147485325
138;235;2147485324
139;235;2147485323
153;250;2147485321
159;250;2147485320
163;250;2147485317
178;266;2147485316
186;282;2147485315
193;282;2147485313
204;297;2147485311
214;313;2147485310
216;313;2147485309
228;313;2147485244
229;313;2147485243
232;329;2147485241
235;329;2147485239
247;329;2147485235
252;344;2147485234
260;344;2147485233
266;360;2147485231
270;360;2147485230
271;360;2147485227
272;360;2147485226
274;360;2147485225
275;360;2147485224
277;360;2147485222
280;360;2147485221
309;391;2147485220
312;391;2147485219
315;391;2147485218
332;407;2147485217
338;422;2147485216
340;422;2147485211
344;422;2147485210
348;422;2147485209
356;438;2147485208
362;438;2147485207
375;454;2147485206
377;454;2147485204
379;454;2147485203
384;454;2147485202
385;454;2147485201
386;454;2147485200
389;469;2147485197
399;469;2147485196
408;485;2147485194
409;485;2147485193
415;485;2147485191
417;500;2147485190
421;500;2147485189
422;500;2147485186
426;500;2147485184
429;500;2147485182
430;516;2147485181
433;516;2147485180
434;516;2147485178
442;516;2147485177
446;516;2147485175
455;532;2147485174
461;532;2147485173
471;547;2147485172
475;547;2147485171
476;547;2147485169
488;563;2147485168
492;563;2147485166
498;578;2147485165
504;578;2147485164
512;578;2147485162
514;594;2147485161
524;594;2147485160
527;610;2147485159
534;610;2147485158
539;610;2147485157
541;625;2147485156
545;625;2147485155
549;625;2147485154
561;641;2147485153
571;641;2147485152
592;672;2147485150
596;672;2147485149
599;672;2147485148
603;672;2147485147
604;672;2147485145
610;688;2147485144
611;688;2147485141
617;688;2147485140
622;688;2147485138
624;703;2147485137
625;703;2147485136
647;719;2147485135
661;735;2147485133
679;750;2147485132
692;766;2147485130
694;766;2147485129
697;766;2147485128
701;766;2147485127
720;782;2147485125
722;797;2147485123
743;813;2147485122
749;813;2147485120
751;813;2147485119
756;828;2147485118
757;828;2147485117
775;844;2147485116
788;844;2147485115
794;860;2147485113
801;860;2147485112
802;860;2147485111
809;875;2147485110
812;875;2147485109
813;875;2147485107
819;875;2147485106
821;875;2147485105
825;891;2147485104
826;891;2147485103
827;891;2147485102
829;891;2147485101
834;891;2147485100
835;891;2147485026
842;907;2147485024
845;907;2147485023
848;907;2147485020
849;907;2147485019
854;907;2147484818
855;907;2147484814
863;922;2147484813
881;938;2147484810
882;938;2147484809
888;938;2147484808
891;953;2147484807
902;953;2147484806
924;985;2147484805
941;1000;2147484804
954;1016;2147484802
965;1016;2147484800
966;1016;2147484799
968;1031;2147484797
973;1031;2147484795
988;1047;2147484794
1034;1078;2147484793
1036;1078;2147484792
1040;1094;2147484790
1045;1094;2147484789
1055;1094;2147484788
1057;1110;2147484787
1065;1110;2147484786
1082;1125;2147484785
1098;1141;2147484784
1099;1141;2147484782
1118;1156;2147484781
1131;1172;2147484780
1132;1172;2147484778
1133;1172;2147484777
1155;1188;2147484776
1160;1188;2147484775
1162;1188;2147484774
1168;1203;2147484773
1169;1203;2147484772
1171;1203;2147484771
1173;1203;2147484770
1190;1219;2147484769
1193;1219;2147484767
1212;1235;2147484766
1232;1250;2147484765
1236;1250;2147484764
1238;1266;2147484763
1240;1266;2147484762
1242;1266;2147484761
1244;1266;2147484760
1267;1281;2147484759
1290;1313;2147484758
1306;1328;2147484757
1311;1328;2147484756
1345;1360;2147484755
1349;1360;2147484754
1351;1360;2147484753
1368;1375;2147484752
1396;1406;2147484750
1411;1422;2147484749
1416;1422;2147484748
1420;1422;2147484747
1430;1438;2147484746
1454;1469;2147484745
1457;1469;2147484744
1458;1469;2147484743
1471;1485;2147484741
1472;1485;2147484740
1480;1485;2147484739
1506;1516;2147484738
1547;1547;2147484737
1550;1547;2147484736
1557;1563;2147484735
1568;1563;2147484734
1586;1578;2147484731
1595;1594;2147484730
1604;1594;2147484580
1670;1656;2147484579
1673;1672;2147484578
1707;1703;2147484577
1712;1703;2147484576
1729;1719;2147484575
1740;1734;2147484574
1741;1734;2147484573
1771;1766;2147484572
1800;1797;2147484571
1812;1797;2147484570
1816;1813;2147484569
1830;1813;2147484568
1832;1828;2147484367
1845;1828;2147484366
1850;1844;2147484365
1857;1844;2147484364
1882;1875;2147484363
1898;1891;2147484360
1951;1938;2147484359
1982;1969;2147484358
1993;1969;2147484357
2051;2031;2147484356
2064;2047;2147484355
2160;2141;2147484354
2162;2141;2147484353
2189;2172;2147484352
2237;2203;2147484351
2254;2219;2147484350
2272;2250;2147484349
2296;2266;2147484348
2299;2281;2147484099
2346;2328;2147484098
2385;2359;2147484097
2465;2437;2147484096
2498;2469;2147484095
2503;2469;2147484094
2538;2516;2147484092
2540;2516;2147484091
2564;2531;2147484090
2595;2562;2147484089
2628;2594;2147484088
2638;2609;2147484087
2650;2625;2147484086
2728;2687;2147484084
2730;2703;2147484083
2791;2750;2147484082
2803;2765;2147484081
2804;2765;2147484080
2807;2765;2147484079
2857;2812;2147484077
2871;2828;2147484076
2886;2844;2147484075
2909;2859;2147484074
2962;2906;2147484073
2996;2937;2147484072
3000;2953;2147484070
3038;2984;2147484069
3084;3031;2147484067
3094;3031;2147484066
3103;3047;2147484065
3116;3062;2147484064
3118;3062;2147484063
3132;3078;2147484062
