fes;time;f
1;47;2147485643
4;62;2147485641
8;78;2147485640
13;93;2147485639
14;93;2147485637
19;93;2147485636
20;93;2147485635
21;93;2147485634
22;93;2147485632
27;109;2147485567
34;109;2147485565
35;125;2147485564
39;125;2147485563
46;125;2147485560
49;140;2147485558
50;140;2147485556
51;140;2147485553
56;140;2147485551
62;156;2147485550
71;156;2147485544
78;172;2147485542
82;172;2147485540
94;187;2147485539
96;187;2147485538
114;218;2147485537
125;218;2147485535
127;218;2147485534
135;234;2147485531
137;234;2147485530
144;250;2147485525
153;250;2147485524
161;265;2147485522
162;265;2147485521
163;265;2147485520
170;281;2147485519
173;281;2147485516
174;281;2147485515
178;281;2147485512
180;281;2147485511
184;297;2147485510
185;297;2147485509
186;297;2147485508
199;312;2147485507
200;312;2147485506
206;312;2147485504
214;328;2147485502
216;328;2147485501
218;328;2147485500
227;328;2147485499
228;328;2147485497
229;343;2147485496
237;343;2147485494
244;343;2147485493
249;359;2147485492
251;359;2147485490
256;359;2147485488
257;359;2147485485
266;375;2147485484
268;375;2147485483
273;390;2147485482
275;390;2147485480
278;390;2147485479
280;390;2147485478
282;390;2147485476
286;406;2147485475
287;406;2147485474
289;406;2147485472
293;406;2147485471
294;406;2147485327
296;406;2147485325
310;422;2147485324
318;437;2147485323
322;437;2147485321
339;453;2147485318
345;453;2147485316
347;453;2147485314
357;468;2147485313
361;484;2147485312
379;500;2147485310
384;500;2147485309
401;515;2147485308
406;515;2147485307
408;515;2147485306
409;531;2147485304
411;531;2147485303
413;531;2147485302
420;531;2147485301
427;546;2147485300
433;546;2147485299
434;546;2147485298
445;562;2147485297
450;562;2147485296
455;578;2147485295
456;578;2147485294
463;578;2147485290
484;609;2147485289
489;609;2147485287
490;609;2147485286
494;609;2147485285
499;609;2147485282
500;625;2147485281
502;625;2147485280
504;625;2147485279
509;625;2147485278
516;640;2147485277
519;640;2147485276
523;640;2147485274
534;656;2147485273
538;656;2147485272
543;656;2147485271
549;671;2147485270
557;671;2147485269
562;671;2147485267
565;687;2147485266
569;687;2147485265
585;703;2147485264
587;703;2147485263
618;734;2147485262
621;734;2147485261
642;765;2147485260
643;765;2147485259
650;765;2147485258
660;781;2147485257
672;781;2147485256
677;796;2147485255
685;796;2147485250
686;796;2147485249
689;812;2147485248
691;812;2147485247
695;812;2147485246
696;812;2147485245
700;812;2147485243
727;843;2147485242
739;859;2147485241
744;859;2147485239
747;859;2147485237
763;875;2147485236
770;890;2147485235
799;906;2147485234
800;906;2147485231
804;921;2147485230
810;921;2147485227
812;921;2147485226
822;937;2147485225
846;953;2147485224
847;953;2147485221
850;953;2147485220
853;968;2147485218
