fes;time;f
1;46;2147484098
2;46;2147484095
12;62;2147484094
31;78;2147484093
32;78;2147484090
37;78;2147484089
38;78;2147484086
45;93;2147484084
51;93;2147484083
52;93;2147484078
54;93;2147484076
63;93;2147484075
68;93;2147484072
73;109;2147484070
76;109;2147484069
77;109;2147484068
81;109;2147484066
82;109;2147484065
87;109;2147484063
89;109;2147484062
101;109;2147484061
106;109;2147484060
116;125;2147484059
119;125;2147484057
121;125;2147484055
125;125;2147484052
127;125;2147484051
130;125;2147484050
133;125;2147484046
136;125;2147484045
142;125;2147484044
149;125;2147484043
151;125;2147484041
154;140;2147484040
156;140;2147484038
157;140;2147484037
158;140;2147484036
167;140;2147484035
171;140;2147484034
187;140;2147484028
190;140;2147484027
200;156;2147484025
203;156;2147484024
204;156;2147484021
207;156;2147484020
221;156;2147484019
222;156;2147484018
223;156;2147484013
226;156;2147484012
233;156;2147484011
240;171;2147484010
241;171;2147484008
247;171;2147484006
254;171;2147484004
259;171;2147484003
263;171;2147484002
271;171;2147484001
277;171;2147484000
280;171;2147483999
281;171;2147483997
283;187;2147483995
289;187;2147483993
290;187;2147483992
296;187;2147483988
308;187;2147483987
310;187;2147483986
315;187;2147483985
324;187;2147483984
326;203;2147483982
331;203;2147483981
337;203;2147483980
339;203;2147483979
343;203;2147483978
344;203;2147483976
359;203;2147483971
366;203;2147483970
381;218;2147483969
382;218;2147483966
402;218;2147483965
410;218;2147483964
416;234;2147483963
424;234;2147483962
430;234;2147483961
431;234;2147483960
450;234;2147483958
453;234;2147483956
463;249;2147483955
467;249;2147483954
476;249;2147483946
499;249;2147483945
503;249;2147483943
505;249;2147483942
511;265;2147483940
539;265;2147483939
544;265;2147483935
553;281;2147483933
556;281;2147483931
566;281;2147483930
575;281;2147483929
580;281;2147483927
587;281;2147483926
592;281;2147483925
594;281;2147483924
627;296;2147483923
637;296;2147483921
646;296;2147483920
647;296;2147483919
652;296;2147483918
660;312;2147483917
672;312;2147483916
676;312;2147483915
677;312;2147483913
679;312;2147483912
724;328;2147483910
741;328;2147483909
743;328;2147483907
757;328;2147483906
766;343;2147483905
778;343;2147483904
786;343;2147483901
788;343;2147483899
793;343;2147483898
795;343;2147483897
804;343;2147483896
847;359;2147483895
851;359;2147483893
873;359;2147483892
875;359;2147483891
895;374;2147483890
908;374;2147483889
927;374;2147483888
939;374;2147483887
974;390;2147483886
996;390;2147483885
1027;406;2147483884
1033;406;2147483883
1039;406;2147483882
1092;421;2147483881
1095;421;2147483880
1114;421;2147483878
1125;421;2147483877
1182;437;2147483876
1184;437;2147483875
1190;437;2147483873
1196;437;2147483872
1222;453;2147483871
1231;453;2147483870
1233;453;2147483869
1236;453;2147483867
1244;453;2147483866
1253;453;2147483865
1274;453;2147483864
1304;468;2147483862
1313;468;2147483861
1314;468;2147483860
1320;468;2147483859
1353;484;2147483858
1387;484;2147483857
1396;484;2147483856
1398;484;2147483855
1460;499;2147483854
1484;515;2147483853
1485;515;2147483852
1508;515;2147483851
1509;515;2147483850
1520;515;2147483849
1522;515;2147483848
1563;531;2147483847
1584;531;2147483846
1600;546;2147483845
1601;546;2147483843
1618;546;2147483841
1621;546;2147483840
1667;562;2147483839
1688;562;2147483838
1719;578;2147483837
1748;578;2147483836
1749;578;2147483835
1820;593;2147483834
1838;609;2147483833
1847;609;2147483832
1865;609;2147483831
1902;624;2147483830
1907;624;2147483829
1923;624;2147483828
1932;624;2147483827
1971;640;2147483826
1974;640;2147483825
2005;656;2147483824
2029;656;2147483823
2048;671;2147483822
2098;671;2147483821
2127;687;2147483820
2148;687;2147483819
2149;687;2147483818
2161;687;2147483817
2229;703;2147483816
2233;703;2147483815
2255;718;2147483814
2270;718;2147483813
2280;718;2147483812
2299;718;2147483811
2314;718;2147483810
2324;734;2147483809
2330;734;2147483808
2331;734;2147483807
2410;749;2147483806
2455;765;2147483805
2477;765;2147483804
2510;781;2147483803
2561;796;2147483802
2592;796;2147483801
2612;796;2147483800
2689;827;2147483799
2695;827;2147483798
2701;827;2147483797
2789;843;2147483796
2799;843;2147483795
2871;859;2147483794
2885;874;2147483793
2894;874;2147483792
2928;874;2147483791
2959;890;2147483790
2963;890;2147483789
2979;890;2147483788
2993;890;2147483787
3005;890;2147483786
3016;890;2147483785
3026;906;2147483784
3048;906;2147483783
3143;921;2147483782
3178;937;2147483781
3201;937;2147483780
3210;937;2147483779
3316;968;2147483778
3328;968;2147483777
3337;968;2147483776
3406;984;2147483775
3433;984;2147483774
3450;984;2147483773
3543;1015;2147483772
3576;1015;2147483771
3614;1031;2147483770
3686;1046;2147483769
3690;1046;2147483768
3700;1046;2147483767
3782;1062;2147483766
3824;1077;2147483765
3892;1093;2147483764
3959;1109;2147483762
4115;1140;2147483761
4116;1140;2147483760
4119;1140;2147483759
4167;1156;2147483755
4349;1187;2147483754
4371;1202;2147483753
4417;1202;2147483752
