fes;time;f
1;47;2147484070
2;62;2147484068
6;62;2147484065
7;62;2147484064
25;78;2147484063
29;94;2147484062
30;94;2147484061
37;94;2147484059
38;94;2147484058
41;94;2147484056
43;94;2147484055
45;94;2147484054
46;94;2147484052
52;109;2147484051
56;109;2147484049
57;109;2147484048
61;109;2147484047
66;109;2147484045
68;109;2147484043
71;109;2147484042
72;109;2147484038
82;109;2147484036
84;125;2147484034
98;125;2147484033
100;125;2147484032
103;125;2147484031
106;125;2147484030
113;125;2147484029
114;125;2147484028
115;125;2147484027
119;125;2147484026
120;125;2147484025
129;140;2147484023
139;140;2147484021
145;140;2147484018
149;140;2147484017
150;140;2147484016
154;140;2147484015
165;140;2147484013
178;156;2147484011
183;156;2147484010
191;156;2147484009
196;156;2147484002
198;156;2147484001
199;156;2147483999
200;156;2147483998
202;156;2147483994
206;156;2147483993
219;172;2147483992
220;172;2147483991
221;172;2147483990
222;172;2147483989
240;172;2147483988
241;172;2147483987
246;172;2147483985
258;187;2147483983
260;187;2147483982
267;187;2147483981
271;187;2147483979
272;187;2147483978
277;187;2147483976
278;187;2147483975
279;187;2147483974
281;187;2147483973
291;187;2147483970
314;203;2147483969
324;203;2147483967
339;203;2147483966
342;203;2147483964
348;219;2147483962
354;219;2147483960
356;219;2147483958
358;219;2147483957
376;219;2147483954
377;219;2147483953
382;219;2147483951
387;219;2147483950
397;234;2147483949
405;234;2147483947
419;234;2147483946
427;234;2147483945
449;250;2147483944
458;250;2147483942
466;250;2147483941
477;250;2147483940
478;250;2147483939
503;265;2147483938
506;265;2147483937
509;265;2147483936
529;265;2147483935
533;265;2147483934
545;265;2147483933
551;281;2147483931
568;281;2147483930
579;281;2147483929
593;281;2147483928
594;281;2147483926
597;297;2147483925
601;297;2147483923
607;297;2147483921
612;297;2147483920
617;297;2147483919
638;297;2147483917
668;312;2147483915
669;312;2147483914
674;312;2147483913
679;312;2147483910
688;312;2147483909
707;328;2147483907
723;328;2147483906
749;328;2147483904
766;344;2147483903
772;344;2147483902
776;344;2147483899
797;344;2147483898
800;344;2147483897
810;344;2147483896
828;359;2147483895
829;359;2147483893
852;359;2147483892
857;359;2147483891
861;359;2147483890
864;375;2147483889
881;375;2147483888
895;375;2147483887
925;375;2147483886
957;390;2147483885
959;390;2147483884
960;390;2147483883
976;390;2147483882
992;390;2147483880
1014;406;2147483879
1028;406;2147483878
1031;406;2147483877
1125;437;2147483876
1158;437;2147483875
1159;437;2147483874
1166;437;2147483873
1168;437;2147483872
1181;453;2147483871
1214;453;2147483869
1225;453;2147483868
1228;453;2147483863
1269;469;2147483862
1273;469;2147483861
1281;469;2147483857
1293;469;2147483856
1350;484;2147483855
1363;484;2147483854
1381;500;2147483853
1385;500;2147483852
1417;500;2147483851
1425;500;2147483850
1486;515;2147483849
1503;531;2147483848
1507;531;2147483846
1529;531;2147483845
1537;531;2147483844
1549;531;2147483843
1553;531;2147483842
1561;531;2147483841
1579;547;2147483840
1586;547;2147483839
1598;547;2147483838
1616;547;2147483837
1651;562;2147483836
1680;562;2147483835
1704;578;2147483834
1729;578;2147483832
1806;594;2147483831
1837;609;2147483830
1841;609;2147483829
1842;609;2147483826
1878;609;2147483825
1880;609;2147483824
1914;625;2147483823
1928;625;2147483822
1951;640;2147483821
1960;640;2147483820
2044;672;2147483819
2049;672;2147483818
2055;672;2147483817
2062;672;2147483816
2066;672;2147483815
2068;672;2147483814
2115;687;2147483813
2155;687;2147483812
2204;703;2147483811
2254;718;2147483810
2259;718;2147483809
2267;718;2147483808
2291;718;2147483807
2295;718;2147483806
2320;734;2147483805
2357;734;2147483804
2392;750;2147483803
2461;765;2147483802
2464;765;2147483801
2531;781;2147483800
2553;781;2147483799
2556;781;2147483798
2587;797;2147483797
2628;812;2147483795
2636;812;2147483794
2736;828;2147483793
2762;843;2147483792
2808;843;2147483791
2931;875;2147483789
2949;875;2147483787
3003;890;2147483785
3057;906;2147483784
3146;937;2147483783
3156;937;2147483782
3256;953;2147483780
3274;953;2147483779
3301;968;2147483778
3319;968;2147483776
3434;1000;2147483775
3468;1000;2147483774
3538;1015;2147483772
3559;1031;2147483771
3688;1062;2147483770
3783;1078;2147483769
3785;1078;2147483768
3849;1093;2147483767
3923;1109;2147483766
3936;1109;2147483765
3945;1109;2147483764
3991;1125;2147483763
4005;1125;2147483762
4085;1140;2147483761
4099;1156;2147483760
4136;1156;2147483759
4181;1172;2147483758
4185;1172;2147483757
4208;1172;2147483756
4236;1187;2147483755
4395;1218;2147483754
4434;1234;2147483753
4468;1234;2147483752
4490;1234;2147483751
4498;1250;2147483750
4503;1250;2147483749
4536;1250;2147483748
4569;1265;2147483747
4623;1265;2147483746
4803;1312;2147483745
4807;1312;2147483744
4824;1312;2147483743
4880;1328;2147483742
4981;1359;2147483741
5057;1375;2147483740
5091;1375;2147483739
5094;1375;2147483738
5118;1390;2147483737
5146;1390;2147483736
5198;1406;2147483733
5256;1421;2147483731
5323;1437;2147483730
5409;1453;2147483729
5773;1546;2147483728
5954;1578;2147483727
5992;1593;2147483726
6401;1687;2147483725
6418;1687;2147483724
6428;1703;2147483723
6652;1749;2147483722
6687;1749;2147483721
6829;1796;2147483720
6842;1796;2147483719
7062;1843;2147483718
7180;1874;2147483717
7224;1874;2147483716
7227;1874;2147483715
7521;1953;2147483714
7882;2031;2147483713
8031;2062;2147483712
8179;2093;2147483711
8230;2109;2147483710
8521;2171;2147483709
8851;2249;2147483708
9088;2296;2147483707
9190;2327;2147483706
9516;2390;2147483705
9693;2437;2147483704
9759;2452;2147483703
10301;2577;2147483702
10527;2624;2147483701
11036;2734;2147483700
11075;2749;2147483699
11701;2890;2147483698
11744;2905;2147483697
11801;2905;2147483696
12073;2984;2147483695
12499;3077;2147483694
12610;3093;2147483693
12894;3155;2147483691
13103;3218;2147483690
13240;3249;2147483689
13334;3265;2147483688
13395;3280;2147483687
13562;3312;2147483686
14672;3577;2147483685
15107;3671;2147483684
15164;3687;2147483683
16280;3936;2147483682
16766;4046;2147483681
17391;4186;2147483680
17403;4186;2147483679
17521;4202;2147483678
17630;4233;2147483677
17884;4296;2147483676
18168;4358;2147483675
18602;4452;2147483674
19993;4768;2147483673
20086;4783;2147483672
21154;5018;2147483671
21520;5096;2147483670
21774;5158;2147483669
21928;5190;2147483668
22896;5393;2147483667
26273;6158;2147483666
32800;7611;2147483665
37768;8720;2147483664
49609;11378;2147483663
55680;12737;2147483662
67043;15286;2147483661
#
# name: Hill Climbing RS
# algorithm_class: solver.HillClimbingWithRS
# instance: muni-fi-fal17
# seed: 5141650534440798242
# bestF: 2147483661
# DTF: 13
# cost: 10153
# startTime: 1770430371747
# totalTime: 43200009
# totalFEs: 194944857
# maxFEs: 9223372036854775807
# maxMilliSeconds: 43200000
# maxSeconds: 43200
#
<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<solution author="ScholORs" cores="1" country="China and Malaysia" institution="Bejing/Hefei/Malaysia" name="muni-fi-fal17" runtime="43200" technique="hillclimbingwithrs">
    <class days="0010000" id="1" room="30" start="120" weeks="1111111111111"/>
    <class days="0000100" id="2" room="6" start="96" weeks="1111111111111"/>
    <class days="0000100" id="3" room="6" start="144" weeks="1111111111111"/>
    <class days="1000000" id="4" room="14" start="108" weeks="1111111111111"/>
    <class days="0010000" id="5" room="32" start="120" weeks="1111111111111"/>
    <class days="0001000" id="6" room="11" start="144" weeks="1010101010101"/>
    <class days="0001000" id="7" room="11" start="144" weeks="0101010101010"/>
    <class days="0001000" id="8" room="34" start="168" weeks="1010101010101"/>
    <class days="0001000" id="9" room="34" start="168" weeks="0101010101010"/>
    <class days="1000000" id="10" room="5" start="144" weeks="1010101010101"/>
    <class days="1000000" id="11" room="5" start="144" weeks="0101010101010"/>
    <class days="0100000" id="12" room="15" start="216" weeks="1010101010101"/>
    <class days="0100000" id="13" room="15" start="216" weeks="0101010101010"/>
    <class days="0100000" id="14" room="16" start="120" weeks="1111111111111"/>
    <class days="0001000" id="15" room="11" start="96" weeks="1111111111111"/>
    <class days="1000000" id="16" room="3" start="144" weeks="1111111111111"/>
    <class days="1000000" id="17" room="31" start="168" weeks="1111111111111"/>
    <class days="0100000" id="18" room="3" start="120" weeks="1111111111111"/>
    <class days="0010000" id="19" room="5" start="168" weeks="1111111111111"/>
    <class days="0100000" id="20" room="16" start="168" weeks="1111111111111"/>
    <class days="0000100" id="21" room="5" start="120" weeks="1111111111111"/>
    <class days="0100000" id="22" room="10" start="192" weeks="1111111111111"/>
    <class days="0010000" id="23" room="5" start="192" weeks="1111111111111"/>
    <class days="0001000" id="24" room="16" start="120" weeks="1111111111111"/>
    <class days="0010000" id="25" room="2" start="144" weeks="1111111111111"/>
    <class days="0100000" id="26" room="27" start="120" weeks="1111111111111"/>
    <class days="1000000" id="27" room="32" start="96" weeks="1111111111111"/>
    <class days="1000000" id="28" room="26" start="192" weeks="1111111111111"/>
    <class days="1000000" id="29" room="30" start="120" weeks="1111111111111"/>
    <class days="0010000" id="30" room="11" start="120" weeks="1111111111111"/>
    <class days="1000000" id="31" room="27" start="120" weeks="1111111111111"/>
    <class days="0010000" id="32" room="3" start="192" weeks="1111111111111"/>
    <class days="0000100" id="33" room="26" start="120" weeks="1111111111111"/>
    <class days="0100000" id="34" room="27" start="192" weeks="1111111111111"/>
    <class days="0100000" id="35" room="11" start="96" weeks="1111111111111"/>
    <class days="0001000" id="36" room="3" start="192" weeks="1111111111111"/>
    <class days="0010000" id="37" room="30" start="144" weeks="1111111111111"/>
    <class days="0010000" id="38" room="15" start="96" weeks="1111111111111"/>
    <class days="1000000" id="39" room="11" start="144" weeks="1111111111111"/>
    <class days="1000000" id="40" room="11" start="216" weeks="1111111111111"/>
    <class days="1000000" id="41" room="27" start="144" weeks="1111111111111"/>
    <class days="0001000" id="42" room="30" start="216" weeks="1111111111111"/>
    <class days="0001000" id="43" room="5" start="144" weeks="1111111111111"/>
    <class days="0001000" id="44" room="31" start="216" weeks="1111111111111"/>
    <class days="1000000" id="45" room="5" start="192" weeks="1111111111111"/>
    <class days="1000000" id="46" room="24" start="216" weeks="1111111111111"/>
    <class days="0100000" id="47" room="34" start="216" weeks="1111111111111"/>
    <class days="0010000" id="48" room="24" start="96" weeks="1111111111111"/>
    <class days="0100000" id="49" room="27" start="144" weeks="1111111111111"/>
    <class days="0010000" id="50" room="27" start="144" weeks="1111111111111"/>
    <class days="0001000" id="51" room="27" start="120" weeks="1111111111111"/>
    <class days="0010000" id="52" room="5" start="216" weeks="1111111111111"/>
    <class days="0100000" id="53" room="5" start="96" weeks="1111111111111"/>
    <class days="1000000" id="54" room="32" start="192" weeks="1111111111111"/>
    <class days="1000000" id="55" room="2" start="216" weeks="1111111111111"/>
    <class days="0010000" id="56" room="2" start="120" weeks="1111111111111"/>
    <class days="0001000" id="57" room="2" start="216" weeks="1111111111111"/>
    <class days="0001000" id="58" room="2" start="192" weeks="1111111111111"/>
    <class days="0010000" id="59" room="2" start="216" weeks="1111111111111"/>
    <class days="0100000" id="60" room="2" start="144" weeks="1111111111111"/>
    <class days="0010000" id="61" room="2" start="192" weeks="1111111111111"/>
    <class days="0001000" id="62" room="2" start="144" weeks="1111111111111"/>
    <class days="1000000" id="63" room="23" start="120" weeks="1111111111111"/>
    <class days="1000000" id="64" room="27" start="192" weeks="1111111111111"/>
    <class days="0100000" id="65" room="3" start="192" weeks="1111111111111"/>
    <class days="0100000" id="66" room="27" start="96" weeks="1111111111111"/>
    <class days="1000000" id="67" room="27" start="168" weeks="1111111111111"/>
    <class days="0000100" id="68" room="15" start="96" weeks="1111111111111"/>
    <class days="1000000" id="69" room="26" start="144" weeks="1111111111111"/>
    <class days="0100000" id="70" room="27" start="168" weeks="1111111111111"/>
    <class days="0010000" id="71" room="27" start="96" weeks="1111111111111"/>
    <class days="0100000" id="72" room="11" start="144" weeks="1111111111111"/>
    <class days="0000100" id="73" room="15" start="120" weeks="1111111111111"/>
    <class days="0010000" id="74" room="27" start="216" weeks="1111111111111"/>
    <class days="0100000" id="75" room="23" start="96" weeks="1111111111111"/>
    <class days="0010000" id="76" room="3" start="216" weeks="1010101010101"/>
    <class days="0010000" id="77" room="3" start="216" weeks="0101010101010"/>
    <class days="0100000" id="78" room="3" start="168" weeks="1111111111111"/>
