fes;time;f
1;47;489
25;78;488
27;94;483
39;94;482
43;109;480
50;109;479
52;109;475
60;109;468
71;109;467
72;125;466
73;125;464
91;125;462
104;125;459
109;141;457
113;141;453
117;141;450
121;141;441
127;141;438
128;141;436
136;141;435
144;141;433
155;156;431
182;156;430
187;156;429
191;172;425
195;172;424
198;172;420
202;172;419
205;172;415
207;172;414
208;172;412
213;172;411
227;172;409
234;188;408
250;188;404
251;188;403
256;188;401
261;188;400
268;188;399
271;188;398
273;188;396
274;188;394
279;203;393
284;203;392
287;203;391
290;203;390
293;203;389
294;203;386
298;203;385
304;203;384
315;219;373
319;219;372
324;219;370
338;219;369
340;219;368
343;219;367
348;219;366
351;219;364
354;219;363
356;219;362
357;234;360
387;234;358
398;234;357
399;234;356
404;250;355
411;250;354
429;250;352
442;250;351
460;266;349
461;266;348
468;266;347
469;266;346
476;266;345
478;266;344
482;266;342
522;281;341
545;297;340
549;297;339
577;297;337
580;297;336
584;297;335
602;313;334
617;313;333
634;313;331
668;328;330
671;328;327
674;328;323
681;328;322
683;328;320
711;344;319
721;344;317
725;344;316
751;359;311
753;359;310
757;359;309
759;359;308
767;359;306
768;359;301
780;359;300
783;359;298
835;375;297
844;375;295
877;391;293
885;391;290
894;391;289
901;391;288
908;391;287
917;391;285
936;406;284
941;406;283
948;406;281
951;406;280
971;406;279
1009;422;278
1010;422;276
1019;422;275
1027;422;274
1032;422;273
1037;422;272
1039;422;271
1072;437;270
1088;437;269
1109;453;261
1127;453;260
1159;453;259
1162;453;258
1190;469;256
1197;469;255
1200;469;254
1208;469;253
1212;469;252
1236;484;244
1247;484;243
1256;484;242
1280;484;241
1291;484;240
1323;500;238
1329;500;237
1345;500;236
1365;516;235
1398;516;233
1432;531;232
1440;531;231
1442;531;228
1445;531;227
1454;531;226
1483;531;224
1569;562;223
1570;562;222
1572;562;215
1573;562;214
1575;562;212
1581;562;211
1586;562;209
1602;562;208
1624;562;207
1631;578;205
1640;578;204
1652;578;203
1700;594;202
1720;594;201
1757;609;200
1771;609;199
1789;609;198
1794;609;197
1796;609;195
1803;609;194
1831;625;193
1834;625;192
1893;641;191
1929;641;190
1931;641;189
1969;656;188
1981;656;187
1985;656;186
1989;656;183
2001;656;182
2005;672;181
2008;672;180
2021;672;179
2028;672;178
2091;687;177
2101;687;176
2119;687;175
2151;703;174
2158;703;173
2163;703;172
2197;703;171
2200;703;170
2203;719;169
2236;719;168
2239;719;167
2270;734;166
2390;750;165
2467;781;164
2494;781;163
2500;781;162
