fes;time;f
1;47;2147484058
8;63;2147484057
9;63;2147484056
25;78;2147484054
41;94;2147484052
46;94;2147484051
50;94;2147484049
56;94;2147484048
68;109;2147484046
72;109;2147484045
77;109;2147484042
86;109;2147484041
87;109;2147484033
88;109;2147484032
95;125;2147484031
99;125;2147484030
102;125;2147484029
104;125;2147484027
114;125;2147484026
119;125;2147484025
145;141;2147484024
146;141;2147484023
150;141;2147484022
152;141;2147484020
165;141;2147484019
167;141;2147484018
178;156;2147484016
184;156;2147484014
186;156;2147484012
189;156;2147484005
196;156;2147484004
197;156;2147484001
214;156;2147484000
216;156;2147483999
217;156;2147483998
226;172;2147483996
227;172;2147483995
244;172;2147483994
258;172;2147483992
267;188;2147483991
280;188;2147483990
287;188;2147483989
311;188;2147483988
315;203;2147483987
326;203;2147483986
329;203;2147483985
337;203;2147483978
351;203;2147483977
353;203;2147483976
357;203;2147483973
366;219;2147483972
380;219;2147483970
402;219;2147483968
403;235;2147483967
411;235;2147483966
423;235;2147483965
430;235;2147483964
431;235;2147483959
445;235;2147483957
458;250;2147483956
465;250;2147483955
473;250;2147483953
480;250;2147483951
491;250;2147483950
492;250;2147483949
500;250;2147483948
515;266;2147483940
521;266;2147483939
526;266;2147483938
535;266;2147483937
552;282;2147483929
575;282;2147483928
576;282;2147483927
581;282;2147483925
587;282;2147483920
598;282;2147483919
612;297;2147483917
615;297;2147483916
618;297;2147483915
619;297;2147483914
622;297;2147483912
627;297;2147483910
631;297;2147483909
636;297;2147483908
643;297;2147483906
645;297;2147483905
658;297;2147483904
666;313;2147483903
673;313;2147483902
684;313;2147483901
685;313;2147483900
686;313;2147483899
692;313;2147483898
723;328;2147483893
725;328;2147483892
734;328;2147483891
745;328;2147483890
760;328;2147483888
791;344;2147483881
792;344;2147483879
814;344;2147483878
816;344;2147483877
829;344;2147483876
832;344;2147483875
841;344;2147483873
845;360;2147483869
850;360;2147483868
856;360;2147483867
857;360;2147483866
881;360;2147483865
888;360;2147483864
892;360;2147483863
910;375;2147483859
945;375;2147483857
953;375;2147483856
969;375;2147483855
981;391;2147483853
984;391;2147483852
989;391;2147483851
