fes;time;f
1;47;2147484022
5;47;2147484021
17;63;2147484020
31;78;2147484017
37;78;2147484015
45;78;2147484014
51;78;2147484013
58;94;2147484011
62;94;2147484010
68;94;2147484009
75;94;2147484007
86;109;2147484006
90;109;2147484005
95;109;2147484004
106;109;2147484003
111;109;2147484001
115;109;2147484000
124;125;2147483998
131;125;2147483997
136;125;2147483995
142;125;2147483994
146;125;2147483992
151;125;2147483990
177;141;2147483988
181;141;2147483987
199;141;2147483986
212;156;2147483985
215;156;2147483984
220;156;2147483983
235;156;2147483982
243;156;2147483981
246;172;2147483979
251;172;2147483978
258;172;2147483976
260;172;2147483975
271;172;2147483974
286;172;2147483973
288;172;2147483971
291;172;2147483968
295;188;2147483961
302;188;2147483958
304;188;2147483957
312;188;2147483955
320;188;2147483954
325;188;2147483946
345;203;2147483945
348;203;2147483943
353;203;2147483942
361;203;2147483938
367;203;2147483937
392;219;2147483936
399;219;2147483935
403;219;2147483934
405;219;2147483933
423;219;2147483930
426;219;2147483929
433;234;2147483927
452;234;2147483926
456;234;2147483925
486;250;2147483924
495;250;2147483923
536;266;2147483922
537;266;2147483921
549;266;2147483911
560;266;2147483910
566;266;2147483909
570;266;2147483908
572;266;2147483906
580;266;2147483905
588;281;2147483904
641;281;2147483902
649;297;2147483901
654;297;2147483900
656;297;2147483898
676;297;2147483897
689;297;2147483896
704;313;2147483895
708;313;2147483894
709;313;2147483893
710;313;2147483892
718;313;2147483891
733;313;2147483890
735;313;2147483889
758;328;2147483886
770;328;2147483885
771;328;2147483884
792;328;2147483883
798;328;2147483881
824;344;2147483880
832;344;2147483879
845;344;2147483878
863;344;2147483876
878;359;2147483875
895;359;2147483874
905;359;2147483873
910;359;2147483872
918;359;2147483871
946;375;2147483869
951;375;2147483868
961;375;2147483867
969;375;2147483864
983;375;2147483863
996;375;2147483862
1006;391;2147483861
1033;391;2147483860
1045;391;2147483859
1073;406;2147483858
1087;406;2147483857
1119;406;2147483856
1124;406;2147483847
1132;422;2147483846
1135;422;2147483845
1149;422;2147483843
1171;422;2147483833
1177;422;2147483832
