fes;time;f
1;47;2147484069
10;62;2147484068
11;62;2147484066
12;62;2147484065
24;62;2147484064
29;78;2147484062
37;78;2147484060
39;78;2147484059
43;78;2147484057
58;94;2147484056
60;94;2147484050
75;94;2147484048
77;94;2147484047
79;94;2147484046
100;109;2147484045
106;109;2147484043
109;109;2147484039
115;109;2147484038
117;109;2147484037
122;109;2147484036
126;109;2147484035
132;125;2147484033
140;125;2147484032
143;125;2147484031
144;125;2147484029
146;125;2147484028
149;125;2147484027
151;125;2147484026
153;125;2147484025
168;125;2147484023
191;141;2147484022
195;141;2147484021
199;141;2147484019
212;141;2147484017
227;156;2147484016
229;156;2147484015
232;156;2147484014
234;156;2147484012
235;156;2147484011
241;156;2147484010
245;156;2147484008
248;156;2147484007
249;156;2147484004
252;156;2147484003
253;156;2147484002
256;156;2147484001
271;172;2147483999
274;172;2147483998
289;172;2147483995
292;172;2147483994
295;172;2147483993
297;172;2147483991
309;172;2147483990
310;172;2147483988
311;187;2147483987
344;187;2147483985
357;187;2147483982
359;203;2147483981
370;203;2147483980
404;203;2147483979
415;219;2147483978
429;219;2147483976
432;219;2147483975
436;219;2147483965
439;219;2147483964
449;219;2147483957
450;219;2147483955
467;234;2147483954
469;234;2147483952
470;234;2147483951
477;234;2147483950
499;234;2147483949
510;234;2147483948
516;250;2147483943
518;250;2147483942
522;250;2147483941
531;250;2147483940
555;250;2147483939
563;250;2147483938
570;266;2147483937
586;266;2147483935
591;266;2147483934
603;266;2147483933
612;266;2147483932
632;281;2147483929
633;281;2147483928
653;281;2147483927
660;281;2147483926
666;281;2147483925
674;281;2147483924
681;297;2147483923
688;297;2147483921
704;297;2147483920
731;312;2147483919
733;312;2147483918
743;312;2147483917
746;312;2147483916
751;312;2147483915
760;312;2147483914
775;312;2147483912
778;312;2147483910
792;312;2147483909
801;328;2147483908
812;328;2147483907
814;328;2147483905
819;328;2147483904
821;328;2147483903
839;328;2147483902
851;344;2147483901
869;344;2147483900
873;344;2147483899
920;359;2147483898
936;359;2147483886
941;359;2147483884
956;359;2147483883
961;359;2147483882
964;359;2147483881
995;375;2147483877
1009;375;2147483875
1027;375;2147483873
1095;391;2147483872
1098;391;2147483871
1105;391;2147483860
1106;391;2147483859
1111;391;2147483858
1133;406;2147483857
1141;406;2147483856
1158;406;2147483855
1181;406;2147483854
1193;406;2147483852
1201;406;2147483851
1228;422;2147483850
1280;422;2147483849
1281;437;2147483848
1297;437;2147483847
1310;437;2147483846
1316;437;2147483845
1318;437;2147483842
1322;437;2147483841
1348;453;2147483840
1436;469;2147483839
1446;469;2147483838
1450;469;2147483836
1473;469;2147483835
1488;484;2147483834
1501;484;2147483833
1502;484;2147483832
1519;484;2147483831
1530;484;2147483830
1584;500;2147483829
1610;500;2147483828
1623;515;2147483827
1627;515;2147483826
1652;515;2147483825
1701;531;2147483824
1784;547;2147483823
1791;547;2147483822
1844;562;2147483821
1845;562;2147483819
1849;562;2147483818
1895;578;2147483817
1898;578;2147483806
1935;578;2147483805
1947;578;2147483804
1965;578;2147483803
1983;594;2147483802
2033;594;2147483801
2074;609;2147483800
2114;625;2147483799
2131;625;2147483798
2145;625;2147483797
2163;625;2147483796
2278;656;2147483795
2292;672;2147483794
2305;672;2147483793
2355;687;2147483792
2360;687;2147483791
2381;687;2147483790
2436;703;2147483789
2506;719;2147483788
2516;719;2147483787
2546;719;2147483786
2559;734;2147483785
2568;734;2147483784
2587;734;2147483783
2625;750;2147483782
2681;750;2147483781
2682;750;2147483780
2697;765;2147483779
2744;765;2147483771
2754;765;2147483770
2805;781;2147483769
2857;797;2147483768
2950;812;2147483767
2953;812;2147483766
2999;828;2147483765
3023;828;2147483764
3066;843;2147483763
3083;843;2147483762
3221;875;2147483761
3277;890;2147483760
3350;906;2147483759
3351;906;2147483758
3404;906;2147483757
3424;922;2147483756
3445;922;2147483755
3452;922;2147483754
3476;922;2147483753
3490;922;2147483752
3494;937;2147483751
3525;937;2147483749
3549;937;2147483748
3747;984;2147483746
3773;984;2147483745
3818;1000;2147483744
3873;1015;2147483743
3926;1031;2147483742
3960;1031;2147483741
3989;1031;2147483740
4076;1062;2147483739
4118;1062;2147483738
4154;1078;2147483737
4252;1093;2147483736
4282;1093;2147483735
4284;1093;2147483734
4328;1109;2147483733
4383;1125;2147483732
4389;1125;2147483731
4458;1140;2147483730
4596;1156;2147483729
4874;1218;2147483728
4897;1218;2147483727
5026;1250;2147483726
5272;1297;2147483725
5363;1312;2147483724
5371;1328;2147483723
5469;1343;2147483722
5629;1375;2147483721
5722;1390;2147483720
5787;1406;2147483719
5929;1437;2147483718
6212;1500;2147483717
