fes;time;f
1;47;2147484196
2;47;2147484194
6;47;2147484192
8;62;2147484191
9;62;2147484190
19;62;2147484189
22;62;2147484187
27;78;2147484185
30;78;2147484184
39;78;2147484183
47;78;2147484182
49;94;2147484181
51;94;2147484177
52;94;2147484174
62;94;2147484173
63;94;2147484172
66;94;2147484170
67;94;2147484168
69;94;2147484166
77;94;2147484164
83;109;2147484163
89;109;2147484160
96;109;2147484159
100;109;2147484158
101;109;2147484157
109;109;2147484156
112;125;2147484155
115;125;2147484154
118;125;2147484152
121;125;2147484150
125;125;2147484148
133;125;2147484146
140;125;2147484145
144;140;2147484144
149;140;2147484143
151;140;2147484142
154;140;2147484141
163;140;2147484140
170;140;2147484138
171;140;2147484127
173;140;2147484126
174;140;2147484125
210;156;2147484122
211;156;2147484121
215;156;2147484120
220;172;2147484119
235;172;2147484117
242;172;2147484101
252;172;2147484100
253;172;2147484099
255;172;2147484097
264;187;2147484096
268;187;2147484095
284;187;2147484094
301;187;2147484093
303;203;2147484092
305;203;2147484091
307;203;2147484090
308;203;2147484089
317;203;2147484088
321;203;2147484087
328;203;2147484085
333;203;2147484084
336;203;2147484082
343;203;2147484081
346;203;2147484080
352;219;2147484079
355;219;2147484078
360;219;2147484077
362;219;2147484076
366;219;2147484075
367;219;2147484072
374;219;2147484071
377;219;2147484070
392;219;2147484054
401;234;2147484053
413;234;2147484052
428;234;2147484051
439;234;2147484050
441;234;2147484049
446;250;2147484048
467;250;2147484047
485;250;2147484045
488;250;2147484044
490;250;2147484043
514;265;2147484041
516;265;2147484039
518;265;2147484038
529;265;2147484036
538;281;2147484035
543;281;2147484034
551;281;2147484033
555;281;2147484032
558;281;2147484030
559;281;2147484016
564;281;2147484015
567;281;2147484014
575;281;2147484013
578;297;2147484012
584;297;2147484001
590;297;2147484000
595;297;2147483999
596;297;2147483997
624;312;2147483996
640;328;2147483995
669;328;2147483993
675;328;2147483991
676;328;2147483990
685;344;2147483989
715;344;2147483988
716;344;2147483987
717;344;2147483975
724;344;2147483974
768;359;2147483972
777;359;2147483971
788;359;2147483970
795;359;2147483969
801;359;2147483968
803;359;2147483966
808;375;2147483965
809;375;2147483963
819;375;2147483957
822;375;2147483956
825;375;2147483955
835;375;2147483954
846;375;2147483953
891;390;2147483941
896;390;2147483932
912;390;2147483931
913;390;2147483928
915;390;2147483927
935;406;2147483926
936;406;2147483925
957;406;2147483924
971;406;2147483923
983;406;2147483922
988;406;2147483921
1000;422;2147483920
1001;422;2147483919
1018;422;2147483918
1029;422;2147483917
1031;422;2147483916
1045;422;2147483915
1048;437;2147483914
1075;437;2147483903
1091;437;2147483902
1122;453;2147483901
1125;453;2147483900
1127;453;2147483898
1128;453;2147483897
1141;453;2147483896
1204;469;2147483895
1207;469;2147483894
1223;469;2147483893
1228;469;2147483892
1231;469;2147483891
1235;469;2147483890
1249;484;2147483889
1265;484;2147483888
1279;484;2147483887
1304;484;2147483886
1306;500;2147483885
1309;500;2147483884
1320;500;2147483883
1375;515;2147483882
1379;515;2147483880
1411;515;2147483879
1487;531;2147483878
1506;547;2147483877
1514;547;2147483876
1545;547;2147483875
1555;547;2147483874
1592;562;2147483873
1595;562;2147483872
1599;562;2147483870
1657;578;2147483860
1668;578;2147483859
1725;594;2147483858
1726;594;2147483856
1759;609;2147483854
1761;609;2147483853
1783;609;2147483852
1789;625;2147483851
1798;625;2147483848
1814;625;2147483847
1850;640;2147483845
1863;640;2147483844
1872;640;2147483832
1886;640;2147483831
1993;672;2147483830
2000;672;2147483829
2011;672;2147483824
2034;672;2147483823
2038;687;2147483822
2054;687;2147483821
2056;687;2147483820
2067;687;2147483819
2096;703;2147483818
2127;703;2147483817
2131;703;2147483816
2139;703;2147483814
2144;718;2147483813
2238;734;2147483812
2289;734;2147483811
2294;750;2147483810
2307;750;2147483809
2327;750;2147483808
2351;750;2147483807
2369;765;2147483806
2413;765;2147483805
2443;781;2147483804
2453;781;2147483803
2487;781;2147483802
2514;797;2147483801
2611;812;2147483800
2627;828;2147483799
2699;843;2147483798
2724;843;2147483796
2728;843;2147483795
2780;859;2147483794
2803;859;2147483793
2855;875;2147483792
2887;890;2147483791
2890;890;2147483790
2940;890;2147483789
2976;906;2147483788
2988;906;2147483787
3103;937;2147483786
3120;937;2147483785
3130;937;2147483784
3252;968;2147483783
3371;1001;2147483782
3432;1002;2147483781
3516;1017;2147483780
3530;1033;2147483779
3571;1033;2147483778
3577;1033;2147483777
3626;1049;2147483776
3669;1049;2147483775
3713;1064;2147483774
3795;1080;2147483773
3841;1096;2147483772
3896;1111;2147483770
3980;1127;2147483769
4001;1127;2147483768
4073;1142;2147483767
4146;1158;2147483766
4168;1174;2147483765
4195;1174;2147483764
4251;1189;2147483762
4290;1189;2147483761
4340;1205;2147483760
4453;1220;2147483759
4581;1252;2147483758
4730;1299;2147483757
4839;1314;2147483756
4875;1330;2147483755
4935;1345;2147483754
5145;1392;2147483753
5158;1392;2147483752
5175;1392;2147483751
5229;1408;2147483750
5551;1486;2147483749
5582;1486;2147483748
5595;1486;2147483747
5650;1502;2147483746
5697;1517;2147483745
5789;1533;2147483744
5796;1533;2147483743
5852;1549;2147483742
5942;1564;2147483741
6221;1627;2147483740
6352;1658;2147483739
6363;1658;2147483738
6391;1658;2147483737
6458;1673;2147483736
6797;1736;2147483735
7125;1814;2147483734
7136;1814;2147483733
7185;1830;2147483732
7512;1892;2147483730
7556;1908;2147483729
7704;1939;2147483728
8032;2002;2147483727
8381;2064;2147483726
8384;2080;2147483725
8449;2080;2147483724
8534;2111;2147483723
8581;2111;2147483722
8621;2127;2147483721
8623;2127;2147483720
8949;2189;2147483719
9159;2236;2147483718
9216;2251;2147483717
9342;2267;2147483716
9503;2314;2147483713
9513;2314;2147483712
9628;2345;2147483711
9975;2408;2147483710
10060;2423;2147483709
10304;2470;2147483708
10579;2533;2147483707
10611;2533;2147483705
10612;2548;2147483704
10870;2595;2147483703
11036;2642;2147483702
11352;2705;2147483701
12031;2845;2147483700
12131;2861;2147483699
12240;2892;2147483698
12543;2954;2147483697
13407;3126;2147483696
14399;3329;2147483695
15077;3454;2147483694
15398;3532;2147483693
15485;3548;2147483692
15819;3611;2147483691
15958;3642;2147483690
16071;3673;2147483689
16148;3689;2147483688
17088;3876;2147483687
17137;3892;2147483686
17150;3892;2147483685
17818;4032;2147483684
18113;4095;2147483683
18530;4173;2147483682
20780;4626;2147483681
23539;5178;2147483680
25211;5506;2147483679
25221;5506;2147483678
25242;5506;2147483677
26187;5709;2147483676
26300;5725;2147483675
30645;6600;2147483674
32314;6943;2147483673
32838;7053;2147483672
35097;7506;2147483671
50130;10489;2147483670
50916;10646;2147483669
51744;10817;2147483668
60781;12593;2147483667
62355;12921;2147483666
76494;15702;2147483665
389438;77008;2147483663
498496;98265;2147483662
2131457;415819;2147483661
3267010;636370;2147483660
#
# name: Hill Climbing RS
# algorithm_class: solver.HillClimbingWithRS
# instance: muni-fi-spr17
# seed: -5662316398538332886
# bestF: 2147483660
# DTF: 12
# cost: 6557
# startTime: 1768645204019
# totalTime: 14400009
# totalFEs: 74259439
# maxFEs: 9223372036854775807
# maxMilliSeconds: 14400000
# maxSeconds: 14400
#
<?xml version="1.0" encoding="UTF-8" standalone="no"?>
<solution author="ScholORs" cores="1" country="China and Malaysia" institution="Bejing/Hefei/Malaysia" name="muni-fi-spr17" runtime="14400" technique="hillclimbingwithrs">
    <class days="0010000" id="1" room="28" start="120" weeks="11111111111111"/>
    <class days="0001000" id="2" room="11" start="168" weeks="11111111111111"/>
    <class days="1000000" id="3" room="29" start="168" weeks="11111111111111"/>
    <class days="0010000" id="4" room="20" start="168" weeks="11111111111111"/>
    <class days="0100000" id="5" room="23" start="156" weeks="11111111111111"/>
    <class days="1000000" id="6" room="30" start="168" weeks="11111111111111"/>
    <class days="0010000" id="7" room="8" start="120" weeks="11111111111111"/>
    <class days="0001000" id="8" room="29" start="168" weeks="11111111111111"/>
    <class days="0010000" id="9" room="3" start="120" weeks="11111111111111"/>
    <class days="1000000" id="10" room="8" start="216" weeks="11111111111111"/>
    <class days="0100000" id="11" room="13" start="168" weeks="11111111111111"/>
    <class days="0000100" id="12" room="5" start="120" weeks="11111111111111"/>
    <class days="0100000" id="13" room="28" start="192" weeks="11111111111111"/>
    <class days="1000000" id="14" room="5" start="120" weeks="11111111111111"/>
    <class days="0100000" id="15" room="29" start="96" weeks="11111111111111"/>
