fes;time;f
1;62;524
2;62;522
3;62;521
9;78;520
10;78;517
17;78;515
23;94;512
25;94;511
29;94;510
31;94;508
37;94;507
40;109;506
47;109;505
51;109;502
58;125;501
69;125;499
71;125;498
73;125;497
75;125;496
83;141;494
87;141;493
96;141;492
99;141;491
106;156;489
107;156;487
109;156;484
111;156;482
112;156;481
116;156;480
117;156;478
119;156;477
125;172;476
133;172;475
138;172;473
140;172;472
145;172;471
157;187;469
168;187;468
169;187;465
171;187;464
172;187;461
191;203;460
195;203;458
209;219;457
210;219;453
229;234;452
234;234;451
242;234;450
243;234;449
246;234;448
249;234;446
251;234;445
255;250;444
258;250;443
267;250;442
278;250;439
286;266;438
288;266;437
295;266;435
297;266;434
301;266;433
307;266;432
311;281;431
312;281;429
316;281;428
325;281;426
328;281;425
339;297;424
346;297;423
350;297;422
361;297;421
365;297;420
372;312;419
377;312;418
378;312;416
392;312;412
393;312;411
400;328;410
401;328;409
419;328;408
436;344;407
437;344;406
446;344;405
447;344;403
452;344;402
455;359;401
458;359;399
462;359;397
465;359;396
471;359;395
473;359;392
476;359;391
481;359;390
482;375;389
484;375;387
491;375;386
502;375;385
531;390;384
538;390;383
546;406;378
550;406;376
554;406;375
557;406;374
566;406;373
568;406;372
569;422;371
571;422;370
574;422;368
577;422;367
595;422;366
597;437;365
600;437;364
607;437;362
613;437;360
629;453;359
646;453;358
665;469;356
679;484;355
689;484;354
690;484;353
708;500;352
714;500;351
715;500;350
716;500;349
720;500;348
721;500;347
723;500;346
726;500;345
733;515;344
747;515;343
748;515;341
751;515;340
753;515;336
772;531;335
774;531;333
778;531;332
783;531;331
804;547;330
812;547;329
833;562;328
838;562;327
846;578;326
863;578;325
864;578;323
871;578;322
883;594;321
889;594;318
892;594;317
898;594;316
916;609;313
917;609;312
921;609;311
948;625;310
953;625;309
954;625;306
963;640;304
990;656;303
1001;656;302
1021;672;301
1025;672;300
1030;672;299
1055;687;298
1062;687;295
1064;687;294
1068;687;293
1072;687;292
1077;703;291
1080;703;288
1094;703;287
1106;719;285
1107;719;284
1110;719;283
1113;719;282
1139;734;281
1141;734;280
1143;734;279
1158;750;278
1173;750;277
1192;765;276
1196;765;273
1200;765;272
1204;765;271
1210;781;269
1220;781;268
1232;781;266
1249;797;265
1250;797;264
1260;797;263
1290;812;262
1301;828;261
1318;828;258
1319;828;257
1323;843;256
1326;843;255
1330;843;254
1338;843;253
1339;843;252
1341;843;251
1365;859;250
1374;859;249
1393;875;248
1436;906;245
1451;906;243
1454;906;242
1457;906;240
1466;922;238
1472;922;237
1476;922;235
1516;937;234
1541;953;233
1548;953;232
1561;968;231
1562;968;230
1569;968;229
1575;968;227
1590;984;226
1600;984;225
1616;1000;224
1627;1000;223
1628;1000;222
1638;1000;221
1688;1031;220
1729;1047;219
1748;1062;217
1749;1062;216
1779;1078;215
1801;1093;214
1834;1109;213
1836;1109;212
1864;1125;211
1936;1172;210
1942;1172;209
1943;1172;208
1979;1187;207
1994;1203;206
2009;1203;205
2097;1250;204
2111;1265;203
2117;1265;202
2137;1281;201
2147;1281;200
2161;1281;199
2172;1297;198
2216;1312;197
2229;1328;196
2257;1343;195
2260;1343;194
2287;1343;193
2295;1359;192
2317;1375;191
2334;1375;190
2424;1422;189
2440;1437;188
2445;1437;187
2520;1468;186
2535;1484;185
2566;1500;184
2567;1500;183
2569;1500;182
2599;1515;181
2631;1531;180
2659;1546;179
2684;1562;178
2713;1578;177
2730;1578;176
2731;1578;175
2734;1593;174
2777;1609;173
2790;1609;172
2848;1640;171
2867;1656;170
2915;1687;169
2962;1703;168
2986;1718;167
3014;1734;166
3031;1750;165
3066;1765;164
3117;1781;161
3177;1812;160
3206;1828;159
3244;1843;158
3273;1859;157
3300;1874;156
3324;1890;155
3330;1890;154
3333;1890;153
3337;1890;152
3412;1937;151
3541;2000;150
3550;2015;149
3682;2078;148
3730;2109;147
3750;2109;146
3803;2140;145
3808;2140;144
3809;2140;143
3846;2171;142
3867;2171;141
3968;2218;140
4021;2249;139
4131;2312;138
4154;2312;137
4173;2328;136
4193;2343;135
4280;2390;134
4309;2406;133
4354;2421;132
4363;2421;131
4381;2437;130
4397;2452;129
4495;2499;128
4514;2499;127
4526;2515;126
4656;2577;125
4846;2671;124
4912;2702;123
5073;2796;122
5079;2796;121
5130;2827;120
5221;2859;119
5226;2874;117
5231;2874;116
5320;2921;115
5368;2937;114
5370;2952;113
5381;2952;112
5530;3030;111
5689;3124;110
5751;3155;109
5801;3171;108
5843;3202;107
5861;3202;106
6029;3296;105
6034;3296;104
6253;3421;103
6307;3437;102
6334;3452;101
6407;3499;100
6435;3515;99
6661;3628;98
6724;3659;97
6768;3690;96
7150;3878;95
7288;3956;94
7472;4050;93
7581;4115;92
7583;4115;91
7725;4193;90
7731;4193;89
7737;4193;88
