fes;time;f
1;47;2147484188
4;62;2147484187
6;62;2147484185
13;78;2147484183
16;78;2147484181
17;78;2147484180
20;78;2147484179
22;78;2147484178
24;78;2147484176
25;94;2147484174
26;94;2147484173
27;94;2147484172
31;94;2147484171
32;94;2147484170
34;94;2147484169
42;109;2147484168
43;109;2147484165
44;109;2147484161
49;109;2147484158
53;109;2147484157
70;125;2147484153
73;125;2147484152
75;125;2147484149
76;125;2147484148
88;141;2147484147
92;141;2147484146
94;141;2147484145
102;141;2147484143
103;141;2147484142
106;156;2147484137
107;156;2147484135
109;156;2147484132
113;156;2147484129
120;156;2147484128
124;172;2147484127
130;172;2147484126
131;172;2147484125
133;172;2147484123
135;172;2147484120
136;172;2147484119
138;172;2147484116
139;172;2147484115
140;172;2147484114
141;172;2147484113
147;187;2147484110
148;187;2147484108
150;187;2147484107
152;187;2147484105
159;187;2147484100
164;187;2147484099
175;203;2147484097
176;203;2147484096
182;203;2147484094
186;203;2147484093
188;219;2147484092
189;219;2147484091
190;219;2147484090
196;219;2147484087
197;219;2147484086
201;219;2147484084
223;234;2147484083
225;234;2147484082
227;234;2147484080
230;234;2147484079
246;250;2147484077
249;250;2147484075
257;250;2147484074
264;265;2147484073
268;265;2147484072
271;265;2147484070
274;265;2147484069
275;265;2147484067
277;265;2147484066
278;265;2147484064
281;265;2147484062
301;281;2147484061
304;281;2147484058
307;281;2147484057
314;297;2147484055
316;297;2147484053
319;297;2147484052
345;312;2147484051
370;328;2147484050
372;328;2147484049
374;328;2147484048
376;328;2147484047
382;328;2147484046
384;328;2147484043
388;328;2147484042
391;328;2147484041
393;328;2147484040
399;344;2147484038
412;344;2147484037
427;359;2147484035
434;359;2147484032
439;359;2147484030
442;359;2147484028
444;359;2147484025
451;375;2147484022
454;375;2147484021
458;375;2147484020
460;375;2147484019
465;375;2147484016
467;375;2147484015
477;375;2147484014
479;390;2147484013
485;390;2147484012
491;390;2147484010
502;390;2147484009
506;406;2147484007
519;406;2147484004
534;422;2147484003
538;422;2147484001
541;422;2147484000
542;422;2147483999
543;422;2147483998
548;422;2147483997
549;422;2147483994
561;437;2147483993
562;437;2147483992
574;453;2147483990
580;453;2147483989
584;453;2147483988
599;453;2147483987
601;469;2147483986
604;469;2147483984
608;469;2147483983
615;469;2147483982
628;469;2147483981
650;484;2147483980
657;484;2147483979
663;500;2147483978
672;500;2147483977
692;515;2147483974
700;515;2147483973
717;515;2147483972
736;531;2147483971
