fes;time;f
1;47;2147484153
4;63;2147484150
5;63;2147484149
6;63;2147484148
7;78;2147484146
9;78;2147484145
13;78;2147484144
16;94;2147484142
20;94;2147484137
21;94;2147484135
28;110;2147484134
29;110;2147484132
30;110;2147484131
32;110;2147484130
36;110;2147484128
40;110;2147484125
41;110;2147484121
47;125;2147484119
57;125;2147484118
63;141;2147484117
71;141;2147484116
76;141;2147484113
82;141;2147484112
92;156;2147484111
98;156;2147484110
749;563;2147484109
750;563;2147484106
753;563;2147484105
754;563;2147484104
757;563;2147484103
768;578;2147484102
769;578;2147484101
777;578;2147484100
783;594;2147484098
784;594;2147484097
787;594;2147484095
793;594;2147484094
794;594;2147484092
993;719;2147484091
1010;734;2147484090
1013;734;2147484089
1032;750;2147484088
1042;750;2147484084
1044;750;2147484083
1046;750;2147484082
1049;750;2147484081
1057;766;2147484080
1059;766;2147484079
1089;781;2147484078
1090;781;2147484077
1094;781;2147484074
1111;797;2147484073
1121;797;2147484072
1124;797;2147484070
1129;813;2147484069
1154;828;2147484066
1156;828;2147484065
1158;828;2147484064
1166;828;2147484063
1171;828;2147484061
1172;828;2147484059
1177;844;2147484058
1183;844;2147484056
1191;844;2147484049
1194;844;2147484048
2793;1765;2147484046
2794;1765;2147484045
2795;1765;2147484043
2805;1781;2147484042
2810;1781;2147484041
2825;1781;2147484040
2827;1797;2147484039
2831;1797;2147484037
2858;1812;2147484036
2861;1812;2147484035
2870;1812;2147484034
2873;1812;2147484033
2877;1812;2147484032
2880;1828;2147484031
2887;1828;2147484030
2896;1828;2147484029
2909;1844;2147484026
2910;1844;2147484025
2912;1844;2147484024
2913;1844;2147484023
2914;1844;2147484022
2915;1844;2147484019
2919;1844;2147484018
2920;1844;2147484016
2921;1844;2147484014
2932;1859;2147484011
2955;1859;2147484010
2957;1859;2147484009
2965;1875;2147484008
2967;1875;2147484006
2972;1875;2147484005
2980;1875;2147484004
2981;1875;2147484003
2986;1875;2147484002
2994;1890;2147484001
2997;1890;2147484000
3002;1890;2147483999
3009;1890;2147483998
3016;1890;2147483997
3024;1906;2147483995
3050;1922;2147483994
3060;1922;2147483993
3063;1922;2147483992
3067;1922;2147483990
3077;1937;2147483989
3106;1953;2147483987
3109;1953;2147483986
3123;1953;2147483984
3137;1969;2147483982
3138;1969;2147483979
3139;1969;2147483978
3143;1969;2147483977
3152;1969;2147483974
3168;1984;2147483973
3182;2000;2147483971
3183;2000;2147483970
3185;2000;2147483969
3197;2000;2147483968
7503;4452;2147483966
7519;4452;2147483965
7546;4468;2147483963
7574;4484;2147483962
7599;4499;2147483961
7604;4499;2147483960
7627;4515;2147483959
7630;4515;2147483958
7649;4530;2147483957
7661;4546;2147483956
7666;4546;2147483955
7670;4546;2147483953
7671;4546;2147483952
7682;4546;2147483951
7696;4562;2147483950
7702;4562;2147483947
7720;4577;2147483946
7740;4593;2147483945
7741;4593;2147483943
7744;4593;2147483942
7767;4593;2147483941
7778;4609;2147483940
7782;4609;2147483939
7792;4609;2147483938
7795;4609;2147483937
7799;4624;2147483935
7801;4624;2147483934
7802;4624;2147483933
7808;4624;2147483931
7818;4624;2147483929
7840;4640;2147483928
7852;4655;2147483927
7856;4655;2147483926
7890;4671;2147483925
7913;4687;2147483924
7938;4702;2147483923
7967;4718;2147483922
7985;4718;2147483921
15777;9170;2147483920
15791;9186;2147483919
15793;9186;2147483918
15794;9186;2147483917
15796;9186;2147483916
15802;9186;2147483915
15824;9201;2147483914
15864;9217;2147483913
15867;9217;2147483912
15873;9217;2147483910
15886;9233;2147483909
15893;9233;2147483908
15900;9233;2147483907
15902;9233;2147483906
15905;9248;2147483905
15920;9248;2147483904
15923;9248;2147483903
15931;9248;2147483902
15946;9264;2147483901
15971;9286;2147483900
15987;9295;2147483899
15992;9295;2147483898
17585;10202;2147483897
17601;10217;2147483896
17603;10217;2147483895
17605;10217;2147483894
17639;10233;2147483893
17673;10264;2147483891
17680;10264;2147483890
17684;10264;2147483889
17686;10264;2147483888
