fes;time;f
1;64;1118
12;111;1117
14;111;1113
15;111;1112
32;158;1110
33;158;1109
42;189;1108
43;189;1107
51;205;1105
76;267;1102
81;267;1101
82;267;1096
89;283;1092
105;330;1091
113;345;1088
117;345;1087
136;392;1086
156;439;1085
157;439;1084
162;439;1081
163;454;1080
168;454;1077
172;470;1076
193;517;1075
204;533;1073
206;533;1072
212;548;1071
219;564;1069
230;595;1068
235;611;1067
238;611;1065
251;642;1062
252;642;1059
255;642;1058
273;689;1057
276;689;1052
278;689;1051
284;704;1050
285;704;1049
287;720;1048
298;736;1047
306;751;1046
316;767;1045
317;783;1043
320;783;1040
324;783;1038
325;798;1037
329;798;1036
349;845;1034
353;845;1033
354;861;1029
359;861;1028
360;861;1027
362;876;1025
364;876;1024
365;876;1022
371;892;1019
386;923;1017
394;939;1015
397;939;1014
400;954;1013
417;986;1012
418;986;1009
424;1001;1005
425;1001;1003
431;1017;1002
432;1017;999
433;1017;998
434;1017;995
442;1032;994
447;1048;991
465;1079;990
473;1111;989
476;1111;985
503;1173;983
525;1220;980
535;1236;979
550;1267;978
561;1298;975
563;1298;973
574;1314;969
587;1345;968
600;1376;967
606;1392;966
612;1407;963
621;1423;962
624;1423;961
628;1439;959
638;1454;958
642;1470;957
644;1470;954
645;1470;952
654;1486;950
656;1501;948
676;1532;947
695;1579;946
698;1579;945
707;1610;943
724;1642;941
727;1642;938
739;1673;937
741;1673;936
749;1689;935
763;1720;934
774;1751;933
785;1767;932
790;1782;931
794;1782;930
807;1814;929
825;1845;926
827;1860;925
839;1876;923
844;1892;922
869;1939;920
872;1954;919
877;1954;918
882;1970;917
886;1985;916
894;2001;914
901;2017;913
902;2017;909
903;2017;908
920;2048;906
924;2063;905
925;2063;904
934;2079;902
939;2095;899
941;2095;896
947;2110;894
950;2110;893
964;2142;892
969;2157;891
982;2173;890
991;2204;889
993;2204;888
1001;2220;886
1021;2267;885
1024;2267;884
1025;2267;883
1042;2313;880
1050;2329;879
1066;2360;878
1068;2360;877
1117;2470;876
1124;2485;874
1126;2485;873
1129;2501;872
1138;2517;871
1142;2517;867
1151;2532;866
1161;2563;865
1162;2563;864
1165;2563;861
1183;2610;859
1185;2610;858
1193;2626;857
1205;2657;856
1209;2657;855
1211;2657;853
1213;2673;852
1214;2673;851
1217;2673;848
1226;2688;845
1227;2688;844
1230;2704;842
1232;2704;841
1235;2704;840
1244;2735;839
1252;2751;836
1270;2782;835
1280;2798;834
1294;2829;832
1296;2829;831
1297;2845;830
1300;2845;829
1340;2923;827
1342;2923;825
1343;2938;824
1351;2954;823
1359;2970;821
1376;3001;820
1377;3001;819
1387;3032;818
1401;3063;817
1408;3079;815
1414;3079;814
1419;3094;813
1431;3126;810
1439;3141;809
1443;3141;808
1452;3173;806
1454;3173;802
1455;3173;801
1459;3188;800
1465;3188;799
1477;3219;798
1487;3251;794
1490;3251;793
1532;3344;792
1542;3360;790
1561;3407;789
1586;3454;788
1596;3469;787
1597;3469;786
1672;3626;785
1695;3675;784
1714;3722;783
1727;3753;782
1753;3800;781
1764;3832;780
1767;3832;777
1778;3863;776
1779;3863;772
1796;3894;771
1809;3925;770
1820;3957;769
1827;3972;768
1834;3972;766
1838;3988;765
1843;4003;764
1844;4003;763
1859;4035;762
1860;4035;761
1870;4050;760
1871;4066;759
1882;4090;758
1891;4099;755
1893;4115;754
1900;4115;753
1902;4130;752
1903;4130;750
1926;4177;749
1939;4208;748
1945;4224;746
1965;4255;745
1967;4271;744
1970;4271;742
1991;4325;741
1993;4326;740
1996;4326;738
2022;4388;737
2026;4388;736
2039;4420;735
2041;4420;734
2044;4420;731
2048;4435;730
2050;4435;729
2051;4435;727
2061;4466;726
2062;4466;725
2068;4482;723
2092;4529;722
2104;4560;721
2125;4591;720
2137;4623;719
2155;4654;718
2156;4654;717
2179;4716;716
2180;4716;715
2205;4763;714
2206;4763;713
2207;4763;712
2213;4779;711
2228;4810;710
2229;4810;709
2230;4810;708
2233;4826;706
2263;4888;704
2271;4904;703
2286;4935;702
2319;5013;701
2320;5013;700
2332;5029;699
2370;5123;698
2386;5154;697
2398;5185;695
2403;5185;693
2406;5201;692
2408;5201;691
2433;5248;690
2455;5294;689
2468;5326;688
2474;5341;687
2488;5373;685
2489;5373;684
2508;5404;682
2520;5435;681
2535;5466;680
2548;5497;679
2574;5544;678
2601;5607;677
2621;5638;676
2624;5654;675
2657;5716;674
2662;5732;673
2685;5779;672
2720;5857;671
2721;5857;670
2726;5872;669
2728;5872;668
2734;5888;667
2750;5919;666
2787;5997;665
2795;6013;664
2810;6060;663
2811;6060;662
2821;6075;660
2847;6138;659
2852;6154;651
2854;6154;650
2855;6154;648
2870;6185;646
2899;6247;645
2953;6372;644
2967;6388;643
2974;6404;642
2975;6404;640
2976;6419;639
2992;6450;637
2998;6450;636
3001;6466;635
3043;6544;634
3046;6560;633
3049;6560;632
3072;6607;631
3102;6669;630
3131;6732;628
3145;6763;627
3168;6810;626
3171;6825;625
3198;6872;624
3208;6903;623
3215;6919;622
3261;7013;620
3263;7013;618
3274;7044;614
3293;7091;613
3300;7106;612
3335;7169;611
3366;7247;610
3375;7263;608
3388;7294;607
3396;7310;606
3399;7310;605
3402;7325;603
3425;7372;602
3460;7435;601
3470;7466;600
3472;7466;598
3521;7575;597
3570;7669;596
3605;7747;595
3611;7763;594
3618;7778;593
3633;7809;592
3639;7809;591
3652;7841;589
3666;7872;587
3692;7934;586
3740;8028;585
3787;8122;584
3794;8138;583
3798;8153;582
3813;8184;580
3816;8184;579
3842;8247;576
3872;8309;575
3904;8372;574
3916;8403;573
3918;8403;571
3962;8497;568
3963;8497;567
3968;8512;566
3971;8512;565
3974;8512;563
3997;8575;562
4041;8669;561
4043;8669;559
4083;8750;558
4086;8765;557
4091;8765;556
4097;8781;555
4100;8797;554
4106;8797;553
4133;8859;552
4145;8890;551
4152;8890;549
4153;8906;547
4168;8937;545
4170;8937;544
4175;8937;543
4198;9000;542
4202;9000;541
4261;9125;540
4268;9140;539
4289;9187;538
4301;9218;536
4311;9234;535
4312;9234;534
4352;9312;533
4412;9437;532
4419;9453;531
4442;9515;530
4446;9515;529
4462;9546;528
4514;9656;527
4523;9687;526
4572;9781;524
4575;9796;523
4581;9812;522
4582;9812;520
4602;9843;519
4622;9890;518
4624;9890;516
4642;9937;515
4645;9937;514
4670;9984;513
4677;9999;512
4687;10031;510
4691;10031;509
4707;10062;508
4711;10077;507
4752;10156;505
4796;10249;504
4820;10296;503
4849;10359;502
4850;10359;501
4895;10468;500
4896;10468;499
4928;10530;498
4934;10546;497
4936;10546;496
4955;10593;495
4957;10593;494
4990;10655;493
4997;10671;492
5035;10749;491
5040;10765;490
5047;10780;489
5058;10796;488
5071;10827;487
5079;10843;486
5083;10859;485
5092;10874;484
5138;10968;483
5201;11108;482
5205;11124;481
5213;11140;480
5229;11171;479
5240;11202;477
5254;11233;475
5257;11233;474
5274;11265;473
5282;11280;472
5295;11312;471
5313;11358;470
5330;11390;469
5406;11561;468
5410;11561;467
5411;11561;466
5418;11577;465
5506;11765;464
5514;11780;463
5596;11968;462
5633;12046;461
5652;12077;460
5666;12108;459
5668;12108;458
5701;12186;457
5791;12374;456
5810;12405;455
5817;12421;454
5875;12546;453
5902;12608;452
5925;12655;451
5948;12706;450
5949;12706;449
5952;12722;448
5961;12737;447
5968;12753;446
6013;12847;445
6040;12893;444
6070;12956;443
6122;13065;442
6128;13081;441
6205;13237;440
6209;13253;439
6265;13378;438
6288;13425;437
6339;13518;436
6344;13534;435
6350;13550;433
6414;13675;432
6416;13693;431
6423;13693;430
6534;13927;429
6569;14006;428
6588;14052;427
6597;14068;426
6616;14115;425
6682;14240;424
6717;14318;423
6782;14459;422
6791;14474;420
6815;14521;419
6820;14537;418
6823;14537;417
6830;14552;416
6908;14708;415
6931;14755;414
6959;14818;413
7022;14958;412
7027;14974;411
7052;15021;410
7208;15333;409
7245;15411;405
7259;15443;404
7261;15458;403
7262;15458;402
7335;15615;401
7556;16083;400
7762;16505;399
7771;16521;398
7774;16536;397
7783;16552;396
7786;16552;395
7811;16614;394
7826;16646;393
7869;16739;392
7874;16739;391
7966;16942;390
7970;16958;389
8018;17052;388
8086;17192;387
8158;17349;386
8209;17458;385
8248;17536;384
8282;17614;382
8327;17708;381
8350;17755;380
8352;17755;379
8370;17802;378
8422;17895;377
8581;18239;376
8588;18255;375
8674;18426;374
8682;18442;373
8707;18489;372
8772;18629;371
8847;18788;370
8854;18804;369
8862;18819;368
8864;18819;366
8915;18931;365
9042;19196;364
9184;19493;363
9185;19493;362
9186;19509;361
9195;19525;360
9239;19618;359
9255;19649;358
9321;19790;357
9368;19884;356
9475;20102;355
9486;20118;354
9517;20181;353
9612;20384;352
9632;20415;351
9705;20571;350
9730;20618;349
9753;20665;348
9755;20680;347
9763;20696;346
9918;21024;345
9977;21149;344
10003;21196;342
10239;21696;341
10294;21805;340
10309;21836;339
10329;21876;338
10371;21969;337
10374;21969;336
10405;22032;335
10450;22126;334
10470;22173;333
10549;22344;331
10563;22376;330
10586;22423;329
10710;22688;328
10728;22719;327
10747;22766;326
10857;23000;325
10874;23032;324
10886;23063;323
10903;23094;322
10912;23110;321
10936;23157;320
11007;23313;319
11044;23391;318
11047;23391;317
11053;23407;316
11099;23516;315
11107;23532;314
11153;23625;313
11213;23753;312
11218;23768;311
11256;23831;309
11313;23956;308
11478;24315;307
11789;24956;306
11887;25174;305
11973;25362;304
11977;25362;303
12058;25534;302
12100;25627;301
12149;25737;300
12206;25846;299
12354;26174;298
12383;26237;297
12403;26268;296
12528;26533;295
12561;26612;294
