fes;time;f
1;63;2147484700
5;110;2147484699
11;125;2147484697
17;141;2147484694
28;172;2147484693
36;203;2147484692
40;219;2147484690
54;250;2147484687
55;250;2147484685
61;266;2147484684
62;266;2147484683
67;281;2147484681
69;281;2147484679
75;297;2147484677
77;313;2147484676
84;328;2147484675
87;328;2147484672
91;344;2147484671
110;375;2147484669
114;391;2147484668
117;391;2147484665
127;422;2147484664
131;422;2147484663
156;469;2147484662
157;484;2147484661
174;516;2147484659
176;516;2147484657
187;547;2147484655
193;547;2147484653
195;563;2147484649
198;563;2147484646
207;578;2147484645
208;578;2147484643
212;594;2147484641
215;609;2147484640
218;609;2147484639
220;609;2147484637
221;609;2147484636
226;625;2147484631
241;656;2147484629
243;672;2147484628
247;672;2147484627
250;688;2147484625
252;688;2147484623
254;703;2147484622
259;719;2147484621
263;719;2147484618
266;719;2147484617
268;734;2147484616
272;734;2147484615
279;750;2147484613
283;766;2147484611
290;781;2147484610
307;813;2147484609
310;828;2147484608
311;828;2147484606
336;891;2147484605
344;906;2147484603
348;906;2147484601
351;922;2147484600
354;922;2147484599
385;1000;2147484598
391;1000;2147484596
393;1016;2147484594
395;1016;2147484591
409;1047;2147484588
414;1062;2147484585
415;1062;2147484584
423;1078;2147484583
427;1078;2147484582
441;1109;2147484581
442;1125;2147484580
444;1125;2147484578
445;1125;2147484575
453;1141;2147484572
484;1203;2147484571
499;1250;2147484570
500;1250;2147484569
501;1250;2147484564
502;1250;2147484561
505;1250;2147484558
515;1281;2147484556
518;1281;2147484553
531;1312;2147484552
532;1312;2147484550
548;1344;2147484549
563;1375;2147484548
564;1391;2147484547
565;1391;2147484545
569;1391;2147484544
570;1391;2147484543
574;1406;2147484542
594;1453;2147484541
596;1453;2147484540
597;1453;2147484539
599;1453;2147484538
614;1500;2147484536
617;1500;2147484535
621;1515;2147484533
623;1515;2147484531
630;1531;2147484530
635;1547;2147484529
639;1547;2147484528
655;1594;2147484527
667;1609;2147484526
670;1625;2147484525
713;1719;2147484524
721;1734;2147484523
723;1734;2147484520
730;1750;2147484519
754;1797;2147484518
757;1812;2147484517
758;1812;2147484516
759;1812;2147484514
768;1828;2147484513
785;1875;2147484512
789;1875;2147484510
791;1890;2147484509
807;1922;2147484504
813;1937;2147484501
814;1937;2147484500
839;1984;2147484499
841;2000;2147484498
847;2000;2147484497
857;2031;2147484496
858;2031;2147484494
862;2047;2147484492
865;2047;2147484489
876;2078;2147484487
894;2109;2147484485
896;2109;2147484483
897;2125;2147484480
900;2125;2147484478
936;2203;2147484476
952;2234;2147484475
960;2250;2147484474
971;2281;2147484472
987;2312;2147484471
990;2328;2147484470
995;2328;2147484469
1022;2390;2147484468
1024;2406;2147484463
1030;2406;2147484462
1042;2437;2147484459
1044;2453;2147484455
1045;2453;2147484453
1047;2453;2147484449
1048;2453;2147484448
1051;2468;2147484447
1052;2468;2147484445
1060;2484;2147484444
1076;2515;2147484443
1083;2531;2147484442
1086;2547;2147484441
1087;2547;2147484440
1096;2562;2147484439
1099;2562;2147484437
1110;2593;2147484435
1111;2593;2147484434
1112;2593;2147484433
1116;2609;2147484431
1118;2609;2147484427
1122;2625;2147484424
1129;2640;2147484423
1133;2640;2147484422
1137;2656;2147484421
1142;2656;2147484419
1150;2687;2147484418
1161;2703;2147484417
1187;2765;2147484416
1192;2765;2147484412
1198;2781;2147484411
1199;2781;2147484410
1200;2781;2147484407
1215;2828;2147484404
1217;2828;2147484402
1229;2859;2147484401
1235;2859;2147484400
1246;2890;2147484398
1258;2921;2147484397
1271;2937;2147484396
1285;2968;2147484395
1290;2984;2147484394
1291;2984;2147484393
1294;3000;2147484392
1299;3000;2147484391
1304;3015;2147484390
1308;3015;2147484388
1342;3093;2147484383
1346;3109;2147484381
1347;3109;2147484380
1354;3124;2147484379
1369;3156;2147484377
1370;3156;2147484376
1391;3203;2147484375
1401;3234;2147484374
1407;3249;2147484373
1408;3249;2147484371
1412;3249;2147484370
1429;3296;2147484369
1440;3312;2147484368
1449;3328;2147484367
1454;3343;2147484366
1461;3359;2147484365
1467;3374;2147484364
1480;3406;2147484363
1496;3437;2147484362
1500;3453;2147484360
1510;3468;2147484359
1525;3499;2147484358
1558;3562;2147484356
1570;3593;2147484355
1583;3624;2147484354
1589;3640;2147484353
1599;3656;2147484352
1602;3656;2147484351
1606;3671;2147484350
1645;3765;2147484349
1693;3859;2147484348
1703;3890;2147484347
1710;3906;2147484346
1712;3906;2147484344
1729;3937;2147484342
1730;3937;2147484340
1766;4015;2147484339
1768;4031;2147484338
1774;4046;2147484337
1776;4046;2147484336
1788;4077;2147484334
1790;4077;2147484332
1797;4093;2147484331
1805;4109;2147484330
1813;4124;2147484327
1821;4140;2147484325
1831;4171;2147484324
1839;4187;2147484322
1843;4187;2147484321
1844;4187;2147484318
1871;4265;2147484317
1881;4280;2147484316
1882;4280;2147484315
1888;4296;2147484313
1889;4296;2147484312
1892;4296;2147484310
1899;4312;2147484309
1911;4343;2147484308
1933;4390;2147484307
1940;4405;2147484306
1948;4421;2147484305
1949;4421;2147484303
1963;4452;2147484302
1979;4499;2147484301
1994;4530;2147484300
2022;4577;2147484299
2033;4609;2147484298
2061;4671;2147484297
2062;4671;2147484296
2067;4687;2147484295
2072;4687;2147484294
2078;4702;2147484293
2102;4765;2147484292
2111;4780;2147484291
2133;4827;2147484289
2139;4843;2147484288
2146;4858;2147484287
2148;4858;2147484286
2151;4858;2147484285
2162;4890;2147484284
2164;4890;2147484283
2195;4952;2147484282
2200;4968;2147484281
2205;4983;2147484279
2210;4999;2147484277
2227;5030;2147484275
2239;5062;2147484274
2245;5062;2147484273
2259;5093;2147484271
2295;5171;2147484270
2307;5202;2147484269
2324;5249;2147484268
2333;5265;2147484266
2341;5280;2147484261
2343;5280;2147484260
2366;5327;2147484259
2415;5436;2147484258
2429;5468;2147484257
2432;5483;2147484256
2452;5515;2147484255
2458;5530;2147484254
2464;5546;2147484253
2496;5608;2147484252
2518;5655;2147484251
2520;5671;2147484250
2526;5671;2147484249
2538;5702;2147484248
2544;5718;2147484247
2554;5733;2147484246
2598;5843;2147484245
2610;5858;2147484244
2621;5889;2147484242
2629;5905;2147484240
2660;5968;2147484239
2668;5983;2147484238
2691;6030;2147484237
2707;6077;2147484236
2717;6093;2147484234
2723;6108;2147484233
2734;6139;2147484231
2735;6139;2147484230
2741;6155;2147484229
2753;6171;2147484227
2765;6202;2147484226
2780;6233;2147484225
2792;6264;2147484223
2808;6296;2147484221
2810;6296;2147484219
2819;6311;2147484218
2831;6342;2147484217
2835;6342;2147484216
2854;6389;2147484215
2857;6405;2147484214
2861;6405;2147484213
2862;6405;2147484212
2883;6452;2147484211
2892;6467;2147484210
2898;6483;2147484208
2901;6499;2147484207
2904;6499;2147484205
2951;6592;2147484203
2960;6624;2147484202
2985;6671;2147484200
3043;6795;2147484199
3050;6811;2147484198
3063;6842;2147484197
3078;6889;2147484196
3087;6905;2147484195
3103;6936;2147484194
3104;6936;2147484193
3110;6952;2147484192
3113;6952;2147484185
3114;6967;2147484184
3142;7014;2147484183
3160;7061;2147484182
3161;7061;2147484181
3170;7077;2147484179
3181;7108;2147484178
3211;7170;2147484177
3224;7202;2147484176
3257;7264;2147484175
3276;7311;2147484174
3280;7311;2147484172
3288;7327;2147484169
3298;7358;2147484168
3313;7389;2147484166
3353;7483;2147484164
3368;7514;2147484162
3369;7514;2147484161
3379;7530;2147484160
3384;7545;2147484159
3387;7545;2147484158
3433;7655;2147484157
3439;7655;2147484153
3456;7702;2147484152
3469;7733;2147484151
3494;7780;2147484150
3533;7858;2147484149
3557;7905;2147484148
3567;7936;2147484147
3591;7983;2147484146
3712;8248;2147484145
3732;8295;2147484144
3741;8311;2147484143
3781;8389;2147484142
3786;8405;2147484141
3790;8405;2147484140
3792;8420;2147484139
3847;8529;2147484138
3869;8592;2147484137
3885;8623;2147484136
3895;8639;2147484135
3899;8654;2147484134
3939;8733;2147484133
3949;8748;2147484132
3956;8764;2147484131
3973;8811;2147484130
3979;8811;2147484129
3980;8826;2147484128
3983;8826;2147484127
3995;8858;2147484126
4033;8936;2147484125
4040;8951;2147484124
4069;9014;2147484123
4091;9061;2147484122
4183;9248;2147484121
4198;9279;2147484119
4246;9389;2147484118
4255;9404;2147484117
4262;9420;2147484116
4282;9467;2147484114
4298;9498;2147484112
4303;9498;2147484111
4304;9498;2147484110
4314;9529;2147484109
4316;9529;2147484108
4377;9670;2147484106
4385;9685;2147484105
4420;9748;2147484104
4496;9920;2147484102
4624;10201;2147484100
4629;10217;2147484099
4634;10232;2147484098
4642;10248;2147484096
4651;10263;2147484095
4653;10263;2147484094
4668;10295;2147484093
4677;10310;2147484090
4746;10467;2147484089
4753;10482;2147484088
4790;10560;2147484087
4806;10592;2147484086
4889;10779;2147484084
4898;10795;2147484083
4900;10795;2147484082
4918;10841;2147484081
4932;10873;2147484080
4945;10904;2147484079
4984;10982;2147484078
5011;11029;2147484077
5026;11076;2147484076
5034;11091;2147484075
5045;11107;2147484074
5122;11279;2147484073
5131;11294;2147484072
5135;11310;2147484071
5157;11357;2147484070
5166;11373;2147484069
5196;11435;2147484068
5225;11498;2147484067
5230;11513;2147484066
5231;11513;2147484065
5243;11529;2147484064
5268;11591;2147484063
5290;11638;2147484062
5330;11716;2147484061
5412;11904;2147484060
