fes;time;f
1;63;2147484742
11;110;2147484740
12;110;2147484739
18;125;2147484738
20;141;2147484737
25;141;2147484736
26;157;2147484735
28;157;2147484734
35;172;2147484732
38;172;2147484730
41;188;2147484729
42;188;2147484726
44;188;2147484725
47;203;2147484724
52;219;2147484722
66;250;2147484721
68;250;2147484719
70;250;2147484718
88;297;2147484715
94;313;2147484714
95;313;2147484712
103;328;2147484711
107;344;2147484710
116;360;2147484709
119;360;2147484708
120;360;2147484707
121;375;2147484706
125;375;2147484705
127;375;2147484704
145;422;2147484701
147;422;2147484698
153;438;2147484697
156;453;2147484694
169;469;2147484693
171;485;2147484691
183;500;2147484690
186;516;2147484689
187;516;2147484688
198;532;2147484687
199;547;2147484684
792;1828;2147484680
798;1844;2147484679
1015;2312;2147484678
1019;2312;2147484677
1026;2344;2147484676
1033;2344;2147484674
1038;2359;2147484672
1039;2359;2147484671
1042;2375;2147484670
1044;2375;2147484668
1046;2375;2147484665
1054;2406;2147484664
1062;2422;2147484663
1073;2437;2147484659
1075;2437;2147484658
1077;2453;2147484656
1093;2484;2147484652
1097;2484;2147484651
1108;2519;2147484650
1122;2550;2147484649
1132;2566;2147484648
1137;2581;2147484645
1140;2581;2147484644
1152;2613;2147484643
1153;2613;2147484641
1159;2628;2147484640
1161;2628;2147484637
1162;2628;2147484635
1164;2628;2147484632
1178;2659;2147484631
1179;2659;2147484629
1183;2675;2147484628
1198;2706;2147484627
2272;4997;2147484626
2280;5013;2147484625
2286;5028;2147484624
2303;5060;2147484623
2311;5091;2147484622
2315;5091;2147484621
2328;5122;2147484619
2329;5122;2147484618
2332;5122;2147484616
2343;5153;2147484615
2345;5153;2147484613
2351;5169;2147484612
2354;5169;2147484611
2359;5185;2147484609
2375;5216;2147484608
2377;5232;2147484603
2379;5232;2147484601
2381;5232;2147484599
2387;5247;2147484598
2391;5247;2147484597
2395;5263;2147484596
2867;6294;2147484593
2874;6309;2147484592
2891;6341;2147484589
2892;6341;2147484587
2904;6372;2147484585
2913;6387;2147484583
2919;6403;2147484580
2925;6419;2147484579
2926;6419;2147484577
2930;6434;2147484576
2934;6434;2147484575
2936;6434;2147484574
2942;6450;2147484572
2944;6466;2147484570
2951;6466;2147484569
2952;6481;2147484567
2953;6481;2147484566
2959;6497;2147484565
2968;6512;2147484563
2969;6512;2147484562
2977;6528;2147484561
2982;6544;2147484560
2988;6544;2147484559
2990;6559;2147484558
2991;6559;2147484557
3000;6575;2147484551
3001;6575;2147484550
3007;6591;2147484549
3012;6606;2147484546
3014;6606;2147484545
3015;6606;2147484542
3021;6622;2147484541
3024;6637;2147484540
3038;6653;2147484537
3056;6700;2147484532
3060;6700;2147484531
3065;6716;2147484530
3069;6731;2147484529
3074;6747;2147484528
3113;6825;2147484527
3116;6825;2147484525
3118;6841;2147484524
3119;6841;2147484523
3136;6872;2147484520
3152;6903;2147484519
3156;6919;2147484517
3172;6950;2147484516
3175;6950;2147484514
3185;6981;2147484512
7127;15382;2147484511
7135;15398;2147484508
7172;15476;2147484507
7181;15492;2147484506
7182;15507;2147484505
7184;15507;2147484504
7193;15523;2147484503
7199;15539;2147484502
7202;15539;2147484501
7203;15539;2147484500
7205;15554;2147484497
7212;15570;2147484496
7213;15570;2147484493
7220;15585;2147484489
7224;15585;2147484488
7232;15601;2147484485
7244;15632;2147484484
7256;15648;2147484482
7286;15726;2147484481
7299;15742;2147484480
7315;15788;2147484479
7316;15788;2147484477
7318;15788;2147484476
7338;15835;2147484475
7341;15835;2147484474
7342;15835;2147484473
7348;15851;2147484472
7351;15851;2147484470
7355;15867;2147484469
7372;15898;2147484468
7373;15913;2147484467
7374;15913;2147484465
7382;15929;2147484463
7399;15960;2147484462
7401;15960;2147484461
7403;15976;2147484459
7410;15992;2147484458
7414;15992;2147484457
7424;16023;2147484456
7426;16023;2147484455
7437;16038;2147484454
7440;16054;2147484452
7443;16054;2147484450
7451;16070;2147484449
7458;16085;2147484448
7461;16101;2147484446
7468;16116;2147484445
7512;16210;2147484444
7524;16241;2147484443
7550;16288;2147484442
7565;16320;2147484440
7578;16351;2147484438
7613;16429;2147484436
7614;16429;2147484434
7615;16429;2147484433
7623;16445;2147484431
7627;16460;2147484430
7629;16460;2147484429
7639;16476;2147484428
7640;16476;2147484427
7652;16507;2147484426
7661;16538;2147484425
7677;16570;2147484423
7685;16585;2147484422
7687;16585;2147484421
7708;16632;2147484418
7733;16694;2147484415
7736;16694;2147484414
7741;16710;2147484413
7745;16726;2147484412
7773;16788;2147484410
7776;16788;2147484408
7785;16804;2147484407
7786;16819;2147484406
7794;16835;2147484405
7799;16835;2147484404
7802;16851;2147484402
7806;16851;2147484400
7848;16944;2147484399
7854;16960;2147484398
7855;16960;2147484396
7886;17023;2147484395
7887;17023;2147484393
7911;17085;2147484391
7912;17085;2147484390
7937;17132;2147484388
7950;17163;2147484386
7977;17226;2147484385
7987;17241;2147484384
7993;17257;2147484382
7994;17257;2147484381
8000;17273;2147484379
17623;37698;2147484378
17660;37792;2147484377
17662;37792;2147484376
17669;37808;2147484374
17704;37886;2147484373
17707;37886;2147484372
17725;37933;2147484370
17744;37964;2147484369
17746;37964;2147484368
17756;37995;2147484366
17759;37995;2147484363
17764;38011;2147484362
17768;38011;2147484360
17769;38026;2147484358
17773;38026;2147484357
17788;38058;2147484356
17789;38058;2147484355
17793;38073;2147484354
17799;38089;2147484353
17822;38136;2147484351
17824;38136;2147484350
17838;38167;2147484347
17841;38167;2147484346
17845;38183;2147484345
17871;38245;2147484344
17874;38245;2147484343
17890;38276;2147484342
17907;38307;2147484341
17922;38354;2147484340
17924;38354;2147484338
17949;38401;2147484337
17958;38417;2147484334
17960;38432;2147484333
17977;38464;2147484332
17990;38495;2147484330
18000;38511;2147484329
18001;38511;2147484327
18018;38542;2147484325
18020;38557;2147484324
18049;38620;2147484323
18096;38714;2147484322
18132;38792;2147484321
18134;38792;2147484320
18136;38807;2147484319
18170;38870;2147484318
18181;38901;2147484317
18182;38901;2147484316
18185;38901;2147484315
18191;38917;2147484314
18217;38979;2147484313
18220;38979;2147484312
18230;39010;2147484311
18246;39042;2147484310
18262;39073;2147484309
18268;39089;2147484306
18283;39130;2147484305
18294;39146;2147484304
18321;39209;2147484303
18326;39225;2147484302
18340;39256;2147484301
18343;39256;2147484300
18363;39303;2147484299
18375;39318;2147484298
18390;39365;2147484297
18392;39365;2147484296
18423;39428;2147484295
18440;39459;2147484294
18459;39506;2147484293
18462;39506;2147484291
18468;39521;2147484289
18475;39537;2147484288
18479;39553;2147484286
18484;39553;2147484285
18496;39584;2147484284
18517;39631;2147484283
18520;39631;2147484282
18531;39662;2147484281
18546;39693;2147484280
18548;39693;2147484279
18570;39740;2147484277
18580;39756;2147484275
18621;39849;2147484274
18645;39896;2147484273
18672;39959;2147484270
18679;39974;2147484269
18692;39990;2147484267
18710;40037;2147484266
18754;40131;2147484265
18776;40177;2147484264
18783;40193;2147484263
18789;40209;2147484262
18790;40209;2147484261
18795;40209;2147484260
18797;40224;2147484259
18798;40224;2147484258
18813;40256;2147484257
18823;40271;2147484256
18839;40302;2147484255
18852;40334;2147484254
18926;40490;2147484253
18938;40521;2147484252
18941;40521;2147484251
19034;40709;2147484250
