fes;time;f
1;62;2147484611
13;125;2147484610
33;172;2147484607
35;187;2147484606
51;234;2147484604
58;265;2147484603
68;281;2147484602
69;281;2147484601
76;297;2147484600
79;312;2147484599
81;312;2147484595
88;328;2147484594
92;343;2147484593
99;359;2147484591
104;359;2147484588
109;375;2147484587
114;390;2147484586
117;390;2147484585
124;406;2147484584
144;453;2147484583
153;484;2147484579
155;484;2147484578
166;500;2147484576
168;515;2147484574
170;515;2147484573
180;531;2147484572
184;547;2147484571
187;547;2147484569
193;562;2147484566
199;578;2147484565
207;593;2147484564
209;609;2147484563
216;625;2147484561
217;625;2147484560
227;640;2147484556
231;656;2147484553
234;656;2147484552
235;656;2147484551
243;671;2147484550
249;687;2147484548
254;703;2147484547
259;718;2147484545
268;734;2147484544
272;734;2147484540
273;750;2147484539
276;750;2147484538
277;750;2147484535
280;750;2147484533
284;765;2147484531
287;765;2147484529
299;796;2147484527
315;843;2147484526
317;843;2147484525
326;859;2147484522
328;859;2147484521
344;906;2147484519
355;921;2147484518
358;937;2147484517
360;937;2147484516
362;937;2147484514
371;953;2147484512
374;968;2147484511
379;968;2147484507
380;984;2147484506
384;984;2147484505
390;1000;2147484501
391;1000;2147484500
394;1000;2147484498
396;1015;2147484497
398;1015;2147484496
402;1031;2147484495
403;1031;2147484494
406;1031;2147484491
408;1031;2147484490
413;1046;2147484487
415;1046;2147484486
417;1062;2147484485
418;1062;2147484483
425;1078;2147484482
434;1093;2147484480
435;1093;2147484479
450;1125;2147484477
453;1140;2147484476
472;1171;2147484475
475;1187;2147484474
478;1187;2147484472
492;1218;2147484469
497;1234;2147484468
500;1234;2147484467
519;1281;2147484465
527;1296;2147484464
528;1296;2147484463
550;1343;2147484462
563;1374;2147484456
576;1406;2147484455
588;1437;2147484454
591;1437;2147484452
617;1499;2147484451
635;1531;2147484450
636;1546;2147484449
637;1546;2147484448
661;1593;2147484447
665;1609;2147484444
670;1624;2147484443
674;1624;2147484442
678;1640;2147484441
683;1656;2147484440
687;1656;2147484437
693;1671;2147484436
738;1781;2147484434
744;1796;2147484432
745;1796;2147484431
757;1812;2147484430
759;1827;2147484429
769;1843;2147484428
779;1859;2147484425
787;1874;2147484423
788;1890;2147484422
791;1890;2147484421
798;1906;2147484419
832;1984;2147484418
835;1984;2147484417
843;1999;2147484416
855;2031;2147484414
865;2046;2147484413
872;2062;2147484411
873;2062;2147484410
874;2077;2147484409
877;2077;2147484408
882;2093;2147484407
899;2124;2147484403
914;2156;2147484402
917;2156;2147484401
947;2234;2147484399
954;2249;2147484398
956;2249;2147484397
968;2281;2147484396
971;2281;2147484395
972;2281;2147484394
993;2327;2147484392
999;2343;2147484391
1010;2359;2147484389
1021;2390;2147484387
1038;2437;2147484386
1041;2437;2147484385
1046;2452;2147484384
1065;2499;2147484383
1068;2499;2147484381
1070;2499;2147484380
1078;2515;2147484378
1079;2530;2147484376
1101;2577;2147484373
1115;2593;2147484371
1116;2609;2147484370
1117;2609;2147484369
1135;2640;2147484368
1137;2640;2147484366
1158;2687;2147484365
1175;2734;2147484364
1195;2780;2147484362
1204;2796;2147484361
1216;2827;2147484360
1217;2827;2147484359
1218;2827;2147484358
1232;2859;2147484357
1240;2874;2147484355
1247;2890;2147484353
1255;2905;2147484352
1256;2905;2147484351
1273;2952;2147484350
1287;2968;2147484349
1290;2983;2147484348
1291;2983;2147484347
1292;2983;2147484346
1304;3015;2147484344
1318;3046;2147484340
1345;3108;2147484339
1372;3155;2147484338
1377;3171;2147484337
1380;3171;2147484336
1388;3187;2147484335
1423;3265;2147484333
1431;3296;2147484332
1436;3296;2147484331
1447;3327;2147484329
1458;3343;2147484326
1465;3358;2147484325
1466;3358;2147484323
1467;3374;2147484322
1471;3374;2147484321
1482;3405;2147484319
1489;3421;2147484318
1508;3452;2147484317
1519;3483;2147484316
1529;3499;2147484315
1541;3530;2147484314
1562;3577;2147484313
1563;3577;2147484311
1566;3577;2147484310
1570;3593;2147484309
1600;3655;2147484308
1615;3689;2147484306
1618;3704;2147484305
1666;3798;2147484304
1681;3845;2147484303
1687;3845;2147484300
1695;3876;2147484299
1704;3892;2147484295
1706;3892;2147484294
1707;3892;2147484292
1714;3907;2147484290
1728;3939;2147484289
1748;3985;2147484288
1760;4017;2147484285
1762;4017;2147484284
1769;4032;2147484283
1772;4032;2147484282
1829;4173;2147484281
1853;4220;2147484279
1858;4235;2147484278
1859;4235;2147484277
1860;4235;2147484276
1861;4235;2147484275
1863;4251;2147484274
1865;4251;2147484270
1871;4267;2147484268
1878;4282;2147484267
1911;4360;2147484266
1925;4392;2147484265
1972;4485;2147484264
1986;4517;2147484263
2030;4610;2147484262
2035;4626;2147484261
2061;4688;2147484259
2092;4751;2147484258
2124;4813;2147484256
2127;4829;2147484254
2132;4845;2147484252
2147;4876;2147484251
2162;4907;2147484250
2183;4954;2147484249
2196;4985;2147484248
2208;5001;2147484247
2211;5016;2147484246
2251;5095;2147484245
2259;5110;2147484244
2274;5141;2147484243
2279;5157;2147484242
2282;5173;2147484240
2293;5188;2147484239
2294;5188;2147484238
2307;5220;2147484237
2316;5235;2147484236
2330;5266;2147484235
2335;5282;2147484233
2336;5282;2147484232
2346;5313;2147484230
2352;5313;2147484229
2371;5360;2147484227
2377;5376;2147484226
2385;5391;2147484225
2393;5407;2147484224
2413;5454;2147484223
2432;5501;2147484222
2452;5532;2147484220
2455;5548;2147484218
2480;5594;2147484217
2509;5657;2147484216
2512;5673;2147484214
2513;5673;2147484212
2533;5719;2147484211
2607;5876;2147484210
2615;5891;2147484209
2617;5891;2147484208
2621;5907;2147484207
2635;5938;2147484206
2673;6016;2147484205
2680;6032;2147484204
2696;6063;2147484203
2709;6094;2147484201
2718;6126;2147484200
2719;6126;2147484199
2728;6141;2147484197
2749;6188;2147484196
2789;6266;2147484195
2802;6297;2147484194
2809;6313;2147484193
2815;6329;2147484191
2843;6391;2147484190
2845;6391;2147484189
2868;6438;2147484188
2874;6454;2147484187
2903;6516;2147484184
2908;6532;2147484183
2938;6594;2147484182
2944;6610;2147484181
2965;6657;2147484180
2969;6672;2147484179
2994;6719;2147484178
2998;6735;2147484176
3003;6735;2147484175
3006;6750;2147484172
3009;6750;2147484171
3010;6750;2147484170
3013;6766;2147484169
3014;6766;2147484168
3025;6782;2147484167
3038;6813;2147484166
3048;6844;2147484165
3056;6860;2147484164
3154;7063;2147484163
3176;7110;2147484162
3219;7203;2147484161
3226;7219;2147484160
3230;7235;2147484158
3265;7313;2147484157
3280;7344;2147484155
3298;7375;2147484154
3303;7391;2147484153
3314;7407;2147484152
3321;7422;2147484151
3374;7547;2147484150
3387;7578;2147484148
3389;7578;2147484147
3397;7594;2147484146
3408;7610;2147484145
3411;7625;2147484143
