fes;time;f
1;62;2147484688
13;125;2147484685
16;125;2147484683
18;125;2147484682
20;140;2147484680
30;156;2147484679
35;156;2147484677
36;156;2147484675
39;172;2147484672
42;172;2147484669
44;172;2147484668
49;187;2147484667
53;187;2147484666
63;218;2147484664
68;218;2147484663
73;234;2147484660
75;234;2147484655
77;234;2147484653
79;234;2147484652
87;250;2147484651
96;265;2147484650
97;265;2147484649
101;265;2147484648
110;281;2147484647
112;281;2147484646
121;296;2147484643
126;312;2147484642
130;312;2147484637
132;312;2147484636
141;328;2147484634
147;343;2147484633
155;359;2147484631
163;359;2147484630
164;375;2147484629
165;375;2147484628
168;375;2147484624
170;375;2147484621
178;390;2147484620
179;390;2147484619
186;406;2147484616
188;406;2147484614
193;406;2147484613
202;421;2147484611
204;437;2147484609
225;468;2147484607
229;468;2147484606
231;468;2147484604
239;484;2147484602
241;484;2147484601
242;484;2147484600
244;484;2147484598
251;500;2147484597
256;515;2147484596
263;515;2147484595
270;531;2147484594
273;531;2147484593
275;546;2147484591
279;546;2147484590
280;546;2147484589
282;546;2147484588
286;562;2147484585
290;562;2147484584
292;562;2147484582
299;578;2147484581
306;593;2147484580
315;609;2147484579
320;609;2147484578
323;609;2147484577
330;625;2147484575
331;625;2147484574
343;640;2147484573
344;656;2147484572
349;656;2147484570
350;656;2147484569
352;656;2147484568
355;671;2147484566
357;671;2147484565
370;687;2147484563
381;703;2147484561
390;718;2147484560
402;734;2147484559
405;734;2147484558
407;734;2147484557
425;765;2147484556
444;796;2147484554
447;812;2147484551
450;812;2147484550
468;843;2147484549
475;843;2147484548
476;843;2147484546
478;859;2147484544
486;859;2147484542
487;874;2147484541
490;874;2147484540
491;874;2147484539
493;874;2147484536
503;890;2147484535
504;890;2147484534
508;906;2147484533
522;921;2147484532
523;921;2147484531
533;937;2147484530
534;937;2147484529
547;968;2147484526
569;999;2147484523
572;999;2147484521
582;1015;2147484518
588;1015;2147484517
592;1031;2147484516
593;1031;2147484515
594;1031;2147484514
598;1031;2147484510
614;1062;2147484509
623;1078;2147484508
631;1093;2147484505
634;1093;2147484504
640;1093;2147484502
676;1156;2147484501
681;1171;2147484499
688;1171;2147484498
689;1171;2147484497
696;1187;2147484496
701;1187;2147484495
706;1203;2147484493
716;1218;2147484492
720;1218;2147484491
725;1234;2147484487
728;1234;2147484486
729;1234;2147484485
730;1234;2147484484
740;1249;2147484483
746;1265;2147484482
749;1265;2147484479
751;1265;2147484477
758;1281;2147484476
759;1281;2147484475
760;1281;2147484474
766;1296;2147484473
785;1328;2147484472
787;1328;2147484471
794;1343;2147484470
796;1343;2147484467
799;1343;2147484465
810;1359;2147484464
813;1359;2147484462
821;1374;2147484461
822;1374;2147484460
826;1390;2147484458
827;1390;2147484457
838;1406;2147484456
839;1406;2147484453
842;1406;2147484452
853;1421;2147484451
866;1437;2147484450
878;1452;2147484449
882;1468;2147484448
889;1468;2147484447
896;1484;2147484446
900;1484;2147484444
911;1515;2147484443
916;1515;2147484442
918;1515;2147484441
920;1531;2147484440
934;1546;2147484439
952;1577;2147484438
961;1593;2147484437
972;1609;2147484436
977;1609;2147484433
979;1609;2147484432
984;1624;2147484431
993;1640;2147484430
994;1640;2147484429
998;1640;2147484428
1003;1640;2147484427
1004;1656;2147484426
1006;1656;2147484425
1012;1656;2147484421
1013;1656;2147484420
1017;1671;2147484419
1021;1671;2147484418
1034;1687;2147484407
1040;1702;2147484405
1042;1702;2147484403
1048;1718;2147484401
1052;1718;2147484399
1058;1734;2147484398
1063;1734;2147484396
1072;1749;2147484394
1076;1749;2147484393
1077;1765;2147484391
1080;1765;2147484390
1097;1796;2147484389
1101;1796;2147484388
1110;1812;2147484387
1115;1812;2147484386
1117;1827;2147484385
1121;1827;2147484384
1122;1827;2147484383
1123;1827;2147484382
1132;1843;2147484381
1135;1843;2147484380
1145;1859;2147484379
1148;1874;2147484377
1160;1890;2147484376
1163;1890;2147484375
1166;1906;2147484374
1167;1906;2147484373
1168;1906;2147484372
1173;1906;2147484371
1180;1921;2147484370
1186;1937;2147484369
1194;1937;2147484368
1203;1952;2147484366
1208;1968;2147484365
1218;1984;2147484364
1222;1984;2147484363
1231;1999;2147484362
1250;2030;2147484361
1254;2030;2147484360
1264;2046;2147484358
1271;2062;2147484356
1273;2062;2147484355
1274;2062;2147484354
1278;2062;2147484353
1282;2077;2147484352
1286;2077;2147484350
1297;2093;2147484349
1312;2124;2147484348
1320;2124;2147484346
1328;2140;2147484345
1334;2155;2147484344
1346;2171;2147484342
1347;2171;2147484340
1371;2202;2147484339
1375;2218;2147484336
1382;2218;2147484335
1393;2234;2147484334
1398;2249;2147484333
1406;2265;2147484331
1421;2280;2147484330
1424;2280;2147484329
1434;2296;2147484326
1438;2312;2147484325
1444;2312;2147484324
1473;2358;2147484323
1475;2358;2147484322
1483;2374;2147484321
1491;2390;2147484319
1492;2390;2147484317
1497;2390;2147484315
1505;2405;2147484314
1538;2452;2147484313
1543;2468;2147484312
1553;2483;2147484311
1557;2483;2147484310
1561;2483;2147484309
1563;2499;2147484308
1592;2530;2147484307
1597;2546;2147484306
1607;2562;2147484305
1609;2562;2147484297
1610;2562;2147484296
1630;2593;2147484295
1654;2624;2147484294
1671;2655;2147484293
1674;2655;2147484292
1676;2655;2147484291
1708;2718;2147484290
1715;2718;2147484289
1722;2733;2147484288
1723;2733;2147484287
1724;2733;2147484284
1726;2733;2147484282
1740;2765;2147484280
1756;2780;2147484279
1777;2812;2147484277
1789;2827;2147484276
1804;2858;2147484275
1813;2874;2147484274
1814;2874;2147484272
1821;2874;2147484270
1830;2890;2147484269
1831;2890;2147484268
1834;2905;2147484266
1835;2905;2147484265
1837;2905;2147484264
1858;2937;2147484263
1868;2952;2147484262
1873;2968;2147484259
1875;2968;2147484258
1876;2968;2147484255
1907;3015;2147484254
1915;3015;2147484253
1917;3030;2147484252
1937;3061;2147484251
1972;3108;2147484250
1977;3108;2147484248
1978;3108;2147484247
2008;3155;2147484237
2010;3155;2147484236
2021;3171;2147484235
2029;3186;2147484234
2036;3202;2147484233
2051;3218;2147484232
2062;3233;2147484231
2073;3249;2147484230
2092;3280;2147484229
2100;3296;2147484228
2122;3327;2147484225
2124;3327;2147484224
2148;3358;2147484223
2152;3374;2147484222
2172;3405;2147484221
2198;3436;2147484220
2203;3436;2147484219
2229;3483;2147484218
2250;3514;2147484217
2254;3514;2147484216
2303;3593;2147484215
2305;3593;2147484214
2309;3593;2147484213
2323;3624;2147484212
2328;3624;2147484211
2331;3624;2147484210
2343;3655;2147484209
2344;3655;2147484207
2360;3671;2147484206
2364;3671;2147484204
2386;3702;2147484203
2388;3718;2147484202
2393;3718;2147484201
2396;3718;2147484199
2415;3749;2147484197
2423;3764;2147484196
2441;3796;2147484195
2444;3796;2147484194
2460;3811;2147484193
2468;3827;2147484192
2477;3843;2147484190
2488;3858;2147484188
2505;3889;2147484187
2510;3889;2147484186
2511;3889;2147484185
2516;3905;2147484184
2518;3905;2147484183
2532;3921;2147484182
2535;3936;2147484181
2541;3936;2147484180
2552;3952;2147484177
2561;3968;2147484176
2565;3968;2147484175
2582;3999;2147484174
2584;3999;2147484173
2655;4108;2147484172
2671;4139;2147484168
2695;4171;2147484167
2710;4199;2147484166
2713;4199;2147484165
2744;4246;2147484164
2755;4262;2147484163
2758;4262;2147484160
2760;4262;2147484159
2772;4278;2147484158
2797;4324;2147484156
2822;4356;2147484155
2844;4387;2147484154
2845;4387;2147484149
2847;4387;2147484148
2849;4402;2147484147
2859;4402;2147484146
2867;4418;2147484144
2886;4449;2147484143
2888;4449;2147484142
2895;4465;2147484140
2907;4481;2147484138
2908;4481;2147484137
2914;4496;2147484136
2918;4496;2147484135
2955;4543;2147484134
2968;4574;2147484133
2976;4574;2147484132
2984;4590;2147484131
2989;4606;2147484130
2990;4606;2147484129
2998;4606;2147484128
3000;4621;2147484127
3018;4637;2147484126
3027;4652;2147484125
3028;4652;2147484124
3037;4668;2147484123
3038;4668;2147484122
3052;4684;2147484121
3072;4715;2147484116
3076;4731;2147484115
3100;4762;2147484114
3111;4777;2147484113
3136;4809;2147484112
3151;4840;2147484111
3169;4855;2147484110
3174;4871;2147484109
3177;4871;2147484108
3184;4887;2147484106
3207;4918;2147484105
3248;4980;2147484104
3273;5012;2147484103
3296;5059;2147484102
3300;5059;2147484099
3346;5121;2147484096
3348;5137;2147484095
3358;5152;2147484094
3382;5184;2147484093
3397;5199;2147484092
3405;5215;2147484091
3436;5262;2147484089
3455;5293;2147484088
3467;5309;2147484087
3469;5309;2147484086
3483;5324;2147484075
3502;5355;2147484074
3504;5355;2147484073
3508;5371;2147484072
3523;5387;2147484071
3530;5402;2147484070
3540;5418;2147484069
3595;5496;2147484068
3598;5496;2147484067
3641;5574;2147484066
3645;5574;2147484065
3664;5605;2147484064
3678;5621;2147484063
3714;5668;2147484062
3721;5683;2147484061
3744;5715;2147484060
3818;5840;2147484059
3867;5902;2147484058
3890;5949;2147484057
3914;5980;2147484056
3965;6058;2147484055
3982;6090;2147484054
4024;6152;2147484053
4040;6168;2147484052
4058;6199;2147484051
4078;6230;2147484050
4084;6230;2147484048
4112;6277;2147484047
4117;6293;2147484046
4119;6293;2147484045
4121;6293;2147484044
4133;6308;2147484043
4146;6324;2147484042
4150;6340;2147484040
4163;6355;2147484038
4241;6465;2147484037
4298;6558;2147484036
4304;6558;2147484035
4310;6574;2147484034
4333;6605;2147484033
4334;6605;2147484032
4351;6636;2147484031
4367;6652;2147484030
4410;6714;2147484029
4464;6793;2147484028
4494;6839;2147484027
4512;6871;2147484026
4519;6886;2147484025
4596;6996;2147484024
4604;7011;2147484023
4621;7043;2147484022
4658;7089;2147484021
4667;7105;2147484020
4669;7105;2147484019
4715;7183;2147484018
4756;7246;2147484017
4762;7246;2147484016
4775;7261;2147484008
4821;7339;2147484007
4842;7371;2147484006
4878;7417;2147484005
4905;7464;2147484004
4994;7589;2147484003
5043;7667;2147484001
5046;7667;2147484000
5085;7730;2147483999
5103;7745;2147483998
5105;7761;2147483997
5189;7886;2147483996
5264;7995;2147483995
5273;8011;2147483994
5292;8042;2147483993
5315;8074;2147483992
5324;8089;2147483990
5367;8152;2147483989
5369;8152;2147483988
5385;8183;2147483987
5405;8214;2147483986
5410;8214;2147483985
5430;8245;2147483984
5433;8245;2147483983
5436;8245;2147483982
5487;8323;2147483981
5544;8417;2147483980
5571;8448;2147483979
5622;8527;2147483978
5689;8620;2147483977
5722;8683;2147483976
5735;8698;2147483975
5738;8698;2147483974
5764;8745;2147483973
5864;8886;2147483972
5867;8886;2147483970
6022;9120;2147483969
6060;9167;2147483968
6146;9292;2147483967
6162;9323;2147483966
6193;9370;2147483965
6315;9542;2147483964
6379;9636;2147483963
6392;9651;2147483962
6437;9729;2147483961
6517;9854;2147483960
6576;9932;2147483959
6582;9948;2147483958
6607;9979;2147483957
6692;10104;2147483956
6700;10120;2147483955
6872;10370;2147483954
6874;10370;2147483953
6925;10448;2147483952
7013;10589;2147483951
7051;10635;2147483950
7183;10838;2147483949
7251;10932;2147483948
7252;10932;2147483947
7285;10979;2147483946
7383;11120;2147483945
7388;11135;2147483944
7466;11245;2147483943
7548;11370;2147483942
7551;11385;2147483941
7556;11385;2147483940
7634;11495;2147483939
7637;11495;2147483938
7792;11729;2147483937
7822;11776;2147483936
7828;11776;2147483935
7852;11823;2147483934
7875;11854;2147483933
7880;11854;2147483932
7911;11901;2147483931
8124;12213;2147483930
8185;12307;2147483929
8197;12323;2147483928
8213;12354;2147483927
8222;12369;2147483926
8385;12604;2147483925
8423;12666;2147483924
8648;12994;2147483923
8670;13026;2147483922
8736;13119;2147483921
8752;13135;2147483920
8759;13151;2147483919
8760;13151;2147483918
8881;13322;2147483917
8887;13338;2147483916
8922;13385;2147483915
9009;13510;2147483914
9087;13635;2147483913
9113;13666;2147483912
9177;13760;2147483911
9188;13791;2147483910
9189;13791;2147483909
9308;13963;2147483908
9355;14025;2147483907
9372;14057;2147483906
9429;14135;2147483905
9569;14338;2147483904
9614;14416;2147483903
9622;14416;2147483902
9627;14431;2147483901
9639;14447;2147483900
9654;14463;2147483899
9776;14650;2147483898
9811;14713;2147483897
9884;14806;2147483896
9984;14963;2147483895
18226;26976;2147483894
18271;27038;2147483893
18362;27179;2147483892
18411;27241;2147483891
18424;27272;2147483890
18434;27288;2147483889
18448;27304;2147483888
18492;27366;2147483887
18527;27413;2147483886
18551;27460;2147483885
18578;27491;2147483884
18607;27538;2147483883
18632;27569;2147483882
18640;27585;2147483881
18753;27741;2147483880
18796;27803;2147483879
18851;27882;2147483877
18968;28062;2147483875
18979;28077;2147483874
18986;28093;2147483873
18996;28108;2147483872
19090;28249;2147483871
19238;28452;2147483870
19261;28499;2147483869
19332;28593;2147483868
19552;28921;2147483867
19611;29014;2147483865
19834;29327;2147483864
19838;29343;2147483863
19853;29358;2147483862
19885;29405;2147483861
19886;29405;2147483860
19887;29405;2147483859
19931;29467;2147483858
19984;29561;2147483857
31011;45657;2147483856
31042;45704;2147483855
31043;45704;2147483854
31131;45829;2147483853
31212;45954;2147483852
31226;45970;2147483850
31475;46345;2147483849
31492;46376;2147483848
31497;46376;2147483847
31551;46454;2147483846
31746;46735;2147483845
31792;46813;2147483844
31812;46829;2147483843
31926;47001;2147483842
31986;47095;2147483841
32033;47157;2147483840
32075;47220;2147483839
32081;47235;2147483838
32117;47282;2147483837
32177;47391;2147483836
32249;47516;2147483835
32648;48094;2147483834
32710;48204;2147483833
32849;48391;2147483832
32886;48454;2147483831
32895;48469;2147483830
32896;48469;2147483829
33045;48688;2147483828
33049;48688;2147483827
33123;48797;2147483826
33208;48922;2147483825
33307;49079;2147483824
33324;49094;2147483823
33330;49110;2147483822
33360;49157;2147483821
33374;49172;2147483820
33389;49188;2147483819
33564;49453;2147483818
33733;49703;2147483817
33772;49766;2147483816
33861;49891;2147483815
34300;50531;2147483814
34321;50563;2147483813
34782;51219;2147483812
34993;51531;2147483811
35011;51562;2147483810
35216;51859;2147483809
35457;52218;2147483808
35533;52328;2147483807
35563;52375;2147483806
35595;52406;2147483805
35601;52422;2147483804
35621;52453;2147483803
35655;52500;2147483802
35742;52625;2147483801
35805;52718;2147483800
35927;52906;2147483799
36018;53031;2147483797
36072;53109;2147483796
36156;53234;2147483795
36362;53546;2147483794
36486;53724;2147483793
36501;53740;2147483792
36550;53818;2147483791
36652;53959;2147483790
36711;54052;2147483789
36764;54130;2147483788
37017;54492;2147483787
37097;54617;2147483786
37192;54758;2147483785
37257;54852;2147483784
37407;55070;2147483783
37411;55070;2147483782
37588;55336;2147483781
37589;55336;2147483780
37645;55414;2147483779
37669;55461;2147483778
37791;55633;2147483777
37823;55680;2147483776
38027;55976;2147483775
38048;56008;2147483774
38220;56273;2147483773
38283;56351;2147483772
38374;56492;2147483771
38829;57164;2147483770
38992;57398;2147483769
39241;57757;2147483768
39281;57820;2147483767
39376;57960;2147483766
102847;150417;2147483765
102872;150448;2147483764
102983;150620;2147483763
103114;150807;2147483762
103165;150885;2147483760
103484;151338;2147483759
103574;151479;2147483757
103740;151713;2147483756
104045;152166;2147483755
104160;152323;2147483754
104359;152619;2147483753
104490;152807;2147483752
104544;152885;2147483751
105015;153572;2147483749
105644;154494;2147483748
105930;154900;2147483747
106202;155306;2147483746
106853;156259;2147483745
107281;156900;2147483744
107315;156947;2147483743
107347;156993;2147483742
107410;157072;2147483741
109593;160243;2147483740
109595;160243;2147483739
110027;160883;2147483738
110161;161086;2147483737
110580;161695;2147483736
110671;161820;2147483735
111038;162352;2147483734
111250;162664;2147483733
111625;163195;2147483732
112691;164757;2147483731
113190;165476;2147483730
113519;165960;2147483729
114061;166741;2147483728
114078;166757;2147483727
114256;167022;2147483726
114374;167210;2147483725
115194;168413;2147483724
115321;168600;2147483723
115386;168694;2147483722
116677;170615;2147483721
116994;171068;2147483720
118398;173115;2147483719
118790;173693;2147483718
118951;173927;2147483717
119235;174333;2147483716
287746;419304;2147483715
288674;420663;2147483714
288809;420867;2147483713
289386;421710;2147483712
290392;423179;2147483711
291221;424397;2147483710
291455;424725;2147483709
292390;426084;2147483708
292487;426225;2147483707
292783;426662;2147483706
294320;428904;2147483705
294387;429014;2147483704
296933;432732;2147483703
296974;432794;2147483702
298340;434794;2147483701
298599;435169;2147483700
299093;435887;2147483699
299611;436637;2147483698
300551;438012;2147483697
301061;438746;2147483696
304639;443971;2147483695
306757;447049;2147483694
307407;448017;2147483693
316643;461499;2147483692
317163;462264;2147483691
317873;463295;2147483690
317977;463451;2147483689
318194;463764;2147483688
318533;464248;2147483687
318720;464529;2147483686
723195;1052247;2147483685
726401;1056933;2147483684
728068;1059386;2147483683
736180;1071211;2147483682
736437;1071586;2147483681
739605;1076210;2147483680
742924;1081069;2147483679
747592;1087911;2147483678
748221;1088832;2147483677
750190;1091722;2147483676
751775;1094034;2147483675
752246;1094722;2147483674
753959;1097221;2147483673
755477;1099439;2147483672
767422;1116857;2147483671
767751;1117342;2147483670
777129;1131010;2147483669
784536;1141805;2147483668
791521;1151927;2147483667
800000;1164378;2147483666
1781002;2587970;2147483665
1784058;2592437;2147483664
1797791;2612545;2147483663
1831222;2661491;2147483662
1833863;2665360;2147483661
1842069;2677342;2147483660
1852407;2692439;2147483659
1862567;2707315;2147483658
1880175;2733094;2147483657
3828536;5565606;2147483656
4331293;6295739;2147483655
4357434;6334092;2147483654
4390699;6382904;2147483653
4401843;6399255;2147483652
4414922;6418528;2147483651
#
# name: Hill Climbing RS
# algorithm_class: solver.HillClimbingWithRS
