fes;time;f
1;62;2147484699
14;125;2147484698
18;140;2147484697
19;140;2147484696
22;156;2147484695
25;156;2147484692
30;171;2147484691
31;171;2147484688
48;203;2147484687
51;203;2147484686
53;203;2147484682
58;218;2147484679
61;218;2147484678
65;218;2147484676
73;234;2147484675
86;265;2147484673
94;281;2147484671
97;281;2147484668
99;281;2147484666
100;281;2147484665
107;296;2147484657
110;296;2147484656
118;312;2147484653
120;312;2147484651
131;343;2147484649
134;343;2147484648
137;359;2147484646
138;359;2147484645
140;359;2147484641
153;375;2147484640
161;390;2147484639
165;390;2147484638
191;437;2147484637
196;453;2147484635
199;453;2147484632
202;453;2147484630
205;468;2147484624
214;484;2147484623
219;484;2147484622
226;500;2147484621
234;515;2147484618
235;515;2147484617
244;531;2147484614
245;531;2147484613
255;546;2147484612
258;546;2147484610
265;562;2147484609
273;562;2147484608
280;578;2147484604
285;593;2147484599
294;593;2147484598
297;609;2147484595
304;609;2147484594
309;625;2147484593
312;625;2147484592
322;640;2147484590
323;640;2147484589
335;671;2147484586
341;671;2147484584
344;687;2147484583
352;687;2147484582
361;703;2147484581
365;718;2147484580
367;718;2147484579
371;718;2147484578
375;734;2147484577
379;734;2147484576
385;750;2147484572
391;750;2147484570
394;765;2147484568
398;765;2147484567
409;781;2147484559
412;781;2147484557
417;796;2147484554
419;796;2147484552
424;812;2147484551
435;828;2147484550
445;843;2147484549
448;843;2147484547
454;843;2147484544
460;859;2147484543
467;874;2147484542
479;890;2147484541
481;890;2147484540
483;890;2147484539
485;906;2147484538
486;906;2147484535
492;906;2147484534
493;906;2147484533
497;921;2147484532
501;921;2147484529
507;937;2147484528
508;937;2147484526
514;937;2147484525
520;953;2147484524
521;953;2147484521
537;968;2147484516
539;984;2147484515
546;984;2147484514
557;999;2147484511
562;1015;2147484509
563;1015;2147484508
564;1015;2147484506
567;1015;2147484505
568;1015;2147484504
570;1031;2147484503
573;1031;2147484502
574;1031;2147484501
577;1031;2147484500
582;1046;2147484499
588;1046;2147484496
599;1062;2147484495
605;1078;2147484494
608;1093;2147484493
614;1093;2147484492
617;1093;2147484490
625;1109;2147484488
626;1109;2147484487
627;1109;2147484486
631;1124;2147484484
641;1140;2147484483
649;1140;2147484482
658;1156;2147484480
665;1171;2147484479
672;1187;2147484476
675;1187;2147484474
678;1187;2147484472
679;1187;2147484471
687;1202;2147484470
689;1202;2147484469
690;1218;2147484468
701;1234;2147484467
