fes;time;f
1;63;2147484612
14;110;2147484611
32;166;2147484610
37;175;2147484608
38;175;2147484607
49;191;2147484606
51;191;2147484605
62;222;2147484604
66;222;2147484603
71;238;2147484602
73;238;2147484601
79;253;2147484600
82;253;2147484599
86;269;2147484598
90;269;2147484597
91;269;2147484595
93;269;2147484593
101;300;2147484592
106;300;2147484591
110;316;2147484588
115;316;2147484586
120;331;2147484584
126;347;2147484583
127;347;2147484581
130;347;2147484579
131;347;2147484578
148;378;2147484577
150;378;2147484576
151;378;2147484573
153;378;2147484572
157;394;2147484569
162;409;2147484568
166;409;2147484566
173;425;2147484565
183;441;2147484564
185;441;2147484563
190;456;2147484561
198;472;2147484557
222;519;2147484555
225;519;2147484554
228;519;2147484553
232;534;2147484551
238;550;2147484550
240;550;2147484549
251;566;2147484547
257;566;2147484544
258;581;2147484543
264;581;2147484542
276;597;2147484539
278;612;2147484537
279;612;2147484536
282;612;2147484533
284;612;2147484529
287;612;2147484528
290;628;2147484524
292;628;2147484523
316;659;2147484522
317;659;2147484521
321;675;2147484519
322;675;2147484518
327;675;2147484517
330;691;2147484514
335;691;2147484513
338;691;2147484511
345;706;2147484510
347;706;2147484508
351;722;2147484507
352;722;2147484506
353;722;2147484503
356;722;2147484502
367;737;2147484500
371;753;2147484497
374;753;2147484496
395;784;2147484494
396;784;2147484493
397;784;2147484492
398;784;2147484490
399;784;2147484489
401;784;2147484488
416;816;2147484487
421;816;2147484485
426;831;2147484484
436;847;2147484483
437;847;2147484481
438;847;2147484480
450;862;2147484479
454;862;2147484476
456;878;2147484475
463;878;2147484474
468;894;2147484472
471;894;2147484469
477;909;2147484468
489;925;2147484466
497;940;2147484465
504;940;2147484464
519;972;2147484463
529;987;2147484462
536;987;2147484461
539;1003;2147484460
541;1003;2147484459
550;1019;2147484458
553;1019;2147484457
566;1034;2147484455
581;1065;2147484454
584;1065;2147484453
598;1081;2147484452
600;1097;2147484451
604;1097;2147484449
605;1097;2147484448
613;1112;2147484447
619;1112;2147484446
621;1112;2147484445
635;1144;2147484443
639;1144;2147484442
651;1159;2147484441
652;1175;2147484433
658;1175;2147484432
659;1175;2147484430
663;1190;2147484429
666;1190;2147484428
667;1190;2147484427
670;1190;2147484426
673;1206;2147484425
676;1206;2147484424
698;1237;2147484423
699;1237;2147484421
702;1237;2147484419
724;1268;2147484418
725;1284;2147484417
735;1284;2147484415
741;1300;2147484414
744;1300;2147484413
745;1315;2147484410
746;1315;2147484409
760;1331;2147484404
765;1347;2147484403
775;1362;2147484402
782;1362;2147484401
797;1393;2147484400
803;1393;2147484399
808;1409;2147484396
809;1409;2147484395
810;1409;2147484394
811;1409;2147484393
822;1425;2147484390
826;1425;2147484389
828;1425;2147484388
836;1440;2147484387
843;1456;2147484386
844;1456;2147484385
854;1472;2147484384
861;1487;2147484383
865;1487;2147484382
869;1503;2147484381
870;1503;2147484380
872;1503;2147484379
876;1503;2147484377
894;1534;2147484375
897;1534;2147484374
901;1550;2147484373
904;1550;2147484372
914;1565;2147484371
919;1565;2147484368
924;1581;2147484367
930;1597;2147484365
933;1597;2147484364
934;1597;2147484361
941;1612;2147484360
948;1612;2147484359
950;1628;2147484358
954;1628;2147484357
957;1628;2147484356
965;1643;2147484353
971;1659;2147484351
974;1659;2147484350
993;1690;2147484348
994;1690;2147484347
998;1690;2147484346
1000;1690;2147484345
1002;1706;2147484344
1017;1722;2147484343
1018;1722;2147484342
1032;1737;2147484341
1041;1753;2147484340
1054;1784;2147484339
1059;1784;2147484338
1090;1831;2147484337
1094;1831;2147484336
1102;1847;2147484335
1111;1862;2147484334
1113;1862;2147484333
1125;1878;2147484332
1137;1893;2147484330
1142;1909;2147484328
1146;1909;2147484327
1147;1909;2147484325
1153;1925;2147484323
1157;1925;2147484322
1165;1940;2147484321
1166;1940;2147484320
1167;1940;2147484319
1171;1956;2147484318
1172;1956;2147484317
1179;1971;2147484315
1190;1987;2147484314
1192;1987;2147484313
1196;1987;2147484312
1212;2018;2147484310
1216;2018;2147484309
1240;2065;2147484308
1246;2065;2147484307
1247;2065;2147484306
1255;2081;2147484305
1256;2081;2147484303
1261;2096;2147484302
1263;2096;2147484299
1291;2143;2147484298
1293;2143;2147484297
1302;2159;2147484296
1332;2206;2147484295
1362;2237;2147484293
1384;2284;2147484292
1394;2300;2147484291
1405;2315;2147484289
1407;2315;2147484288
1409;2315;2147484287
1440;2362;2147484286
1444;2362;2147484285
1460;2393;2147484284
1474;2409;2147484283
1495;2440;2147484282
1501;2456;2147484281
1508;2456;2147484280
1510;2471;2147484279
1514;2471;2147484277
1537;2503;2147484275
1549;2518;2147484274
1552;2518;2147484273
1562;2534;2147484271
1567;2549;2147484269
1571;2549;2147484268
1573;2565;2147484267
1604;2612;2147484266
1613;2612;2147484264
1624;2628;2147484263
1625;2643;2147484262
1641;2659;2147484261
1646;2659;2147484260
1654;2674;2147484259
1656;2674;2147484257
1658;2690;2147484256
1675;2706;2147484255
1676;2706;2147484254
1680;2721;2147484253
1681;2721;2147484252
1702;2753;2147484251
1712;2768;2147484250
1720;2768;2147484249
1722;2784;2147484248
1731;2799;2147484247
1752;2831;2147484246
1761;2831;2147484245
1774;2862;2147484243
1776;2862;2147484242
1777;2862;2147484241
1785;2878;2147484240
1794;2893;2147484239
1796;2893;2147484237
1811;2909;2147484236
1814;2909;2147484235
1816;2924;2147484233
1819;2924;2147484231
1825;2940;2147484230
1828;2940;2147484229
1845;2956;2147484228
1849;2971;2147484227
1854;2971;2147484226
1873;3003;2147484225
1878;3018;2147484223
1888;3018;2147484221
1899;3034;2147484220
1918;3065;2147484219
1921;3081;2147484218
1922;3081;2147484217
1923;3081;2147484216
1924;3081;2147484214
1934;3096;2147484213
1937;3096;2147484212
1940;3096;2147484211
1941;3112;2147484210
1946;3112;2147484209
1951;3112;2147484208
1962;3143;2147484207
1979;3159;2147484205
1989;3174;2147484204
1993;3190;2147484203
1998;3190;2147484202
2029;3237;2147484200
2036;3252;2147484199
2037;3252;2147484197
2066;3299;2147484196
2089;3331;2147484195
2117;3362;2147484192
2135;3393;2147484191
2163;3440;2147484190
2168;3440;2147484189
2179;3455;2147484188
2184;3471;2147484187
2188;3471;2147484186
2219;3518;2147484185
2222;3518;2147484184
2227;3534;2147484183
2240;3549;2147484182
2251;3565;2147484181
2276;3612;2147484180
2283;3612;2147484179
2285;3612;2147484178
2300;3643;2147484176
2305;3643;2147484175
2311;3659;2147484174
2342;3705;2147484172
2351;3721;2147484171
2362;3737;2147484169
2386;3768;2147484160
2395;3784;2147484159
2406;3799;2147484158
2410;3815;2147484156
2415;3815;2147484155
2419;3815;2147484154
2426;3830;2147484153
2450;3862;2147484152
2457;3877;2147484151
2461;3877;2147484150
2469;3893;2147484149
2471;3893;2147484147
2487;3924;2147484146
2495;3940;2147484145
2496;3940;2147484144
2500;3940;2147484143
2503;3940;2147484142
2509;3955;2147484141
2517;3971;2147484140
2529;3987;2147484139
2536;4002;2147484137
2543;4002;2147484136
2551;4018;2147484135
2552;4018;2147484134
2566;4049;2147484133
2571;4049;2147484132
2605;4096;2147484131
2609;4112;2147484130
2613;4112;2147484129
2618;4127;2147484128
2622;4127;2147484127
2643;4158;2147484126
2655;4174;2147484125
2664;4190;2147484124
2668;4205;2147484123
2677;4221;2147484121
2693;4237;2147484120
2713;4268;2147484119
2738;4299;2147484118
2744;4315;2147484117
2776;4362;2147484116
2779;4362;2147484115
2780;4362;2147484114
2793;4377;2147484113
2834;4440;2147484112
2835;4440;2147484111
2849;4471;2147484110
2850;4471;2147484109
2853;4471;2147484108
2867;4487;2147484107
2871;4502;2147484106
2899;4533;2147484105
2924;4580;2147484104
2940;4596;2147484103
2955;4627;2147484102
2976;4658;2147484101
2981;4658;2147484100
2992;4674;2147484099
2999;4690;2147484098
3035;4736;2147484097
3047;4752;2147484096
3067;4783;2147484095
3072;4799;2147484094
3109;4846;2147484092
3121;4877;2147484091
3148;4908;2147484090
3170;4940;2147484089
3181;4955;2147484088
3190;4971;2147484087
3216;5018;2147484086
3224;5018;2147484083
3228;5033;2147484082
3240;5049;2147484079
3289;5127;2147484078
3291;5127;2147484068
3308;5158;2147484067
3310;5158;2147484066
3335;5189;2147484065
3340;5205;2147484064
3346;5205;2147484061
3384;5268;2147484060
3395;5283;2147484059
3430;5330;2147484058
3505;5439;2147484057
3509;5455;2147484056
3528;5471;2147484055
3543;5502;2147484054
3558;5518;2147484052
3613;5596;2147484050
3615;5611;2147484049
3623;5611;2147484048
3695;5721;2147484047
3707;5736;2147484046
3768;5830;2147484045
3777;5846;2147484044
3828;5924;2147484043
3863;5971;2147484042
3864;5971;2147484041
3866;5971;2147484039
3876;5986;2147484037
3879;6002;2147484036
3881;6002;2147484035
3896;6017;2147484034
3910;6049;2147484033
3942;6096;2147484032
3954;6111;2147484031
3964;6127;2147484030
4014;6189;2147484029
4016;6205;2147484028
4050;6252;2147484027
4102;6330;2147484026
4104;6330;2147484025
4106;6330;2147484024
4180;6439;2147484023
4192;6455;2147484022
4231;6517;2147484021
4270;6564;2147484020
4303;6627;2147484019
4316;6642;2147484018
4354;6689;2147484016
4371;6720;2147484015
4397;6752;2147484014
4404;6767;2147484013
4470;6861;2147484012
4502;6908;2147484011
4503;6923;2147484010
4517;6939;2147484009
4596;7048;2147484008
4604;7064;2147484007
4607;7080;2147484005
4612;7080;2147484004
4633;7111;2147484003
4643;7127;2147484002
4645;7127;2147484001
4653;7142;2147484000
4671;7173;2147483999
4712;7236;2147483998
4732;7252;2147483997
4750;7283;2147483996
4765;7314;2147483995
4802;7361;2147483992
4830;7408;2147483990
4855;7439;2147483988
4936;7564;2147483987
4937;7564;2147483986
4952;7580;2147483985
5006;7658;2147483983
5027;7689;2147483982
5053;7736;2147483981
5056;7736;2147483980
5065;7751;2147483979
5082;7783;2147483978
5090;7783;2147483977
5112;7814;2147483976
5139;7861;2147483975
5195;7939;2147483974
5197;7955;2147483973
5215;7970;2147483972
5226;8001;2147483970
5230;8001;2147483968
5252;8033;2147483967
5262;8058;2147483966
5308;8120;2147483965
5311;8120;2147483964
5312;8120;2147483963
5497;8401;2147483962
5514;8417;2147483961
5528;8448;2147483959
5532;8448;2147483958
5562;8495;2147483957
5640;8604;2147483956
5714;8714;2147483955
5731;8729;2147483954
5773;8792;2147483953
5784;8807;2147483952
5809;8854;2147483950
5879;8948;2147483949
5921;9011;2147483948
5951;9057;2147483947
5964;9073;2147483946
6010;9151;2147483945
6038;9182;2147483944
6047;9198;2147483943
6052;9214;2147483942
6094;9276;2147483941
6104;9292;2147483940
6145;9354;2147483938
6223;9463;2147483937
6227;9463;2147483935
6231;9479;2147483934
6279;9542;2147483933
6316;9604;2147483932
6321;9604;2147483931
6353;9651;2147483930
6384;9698;2147483929
6431;9776;2147483928
6473;9838;2147483927
6477;9838;2147483926
6511;9901;2147483925
6532;9917;2147483924
6569;9979;2147483923
6578;9995;2147483922
6725;10213;2147483921
6736;10229;2147483920
6743;10245;2147483919
6753;10260;2147483918
6764;10276;2147483917
6874;10432;2147483916
6876;10432;2147483915
6983;10604;2147483914
7010;10635;2147483913
7039;10682;2147483912
7055;10698;2147483911
7096;10760;2147483910
7098;10760;2147483909
7154;10854;2147483908
7166;10869;2147483906
7196;10916;2147483905
7211;10932;2147483904
7220;10948;2147483903
7225;10963;2147483902
7232;10963;2147483901
7414;11244;2147483900
7429;11260;2147483899
7527;11416;2147483898
7528;11416;2147483897
7539;11432;2147483896
7574;11479;2147483895
7651;11604;2147483894
7671;11635;2147483893
7694;11666;2147483892
7740;11729;2147483891
7779;11791;2147483890
7811;11838;2147483889
7865;11916;2147483888
7959;12057;2147483887
7978;12088;2147483886
7981;12088;2147483885
7991;12104;2147483884
7994;12104;2147483883
7998;12119;2147483882
7999;12119;2147483881
8042;12180;2147483880
8101;12274;2147483878
8128;12305;2147483877
8197;12415;2147483876
8289;12539;2147483875
8372;12680;2147483874
8381;12696;2147483873
8382;12696;2147483872
8391;12711;2147483871
8428;12758;2147483870
8438;12774;2147483869
8592;13008;2147483868
8601;13008;2147483867
8607;13024;2147483866
8781;13289;2147483865
8894;13461;2147483864
8925;13508;2147483863
9001;13617;2147483862
9047;13680;2147483861
9099;13758;2147483860
9145;13836;2147483859
9210;13930;2147483858
9234;13961;2147483857
9486;14320;2147483856
9536;14398;2147483855
9555;14430;2147483854
9589;14477;2147483853
9633;14539;2147483852
9650;14570;2147483851
9692;14633;2147483850
9750;14711;2147483849
9791;14773;2147483848
9905;14945;2147483847
9970;15039;2147483846
9989;15070;2147483845
10063;15180;2147483844
10086;15211;2147483843
10088;15226;2147483842
10333;15586;2147483841
10368;15633;2147483840
10390;15664;2147483839
10420;15711;2147483838
10475;15804;2147483837
10742;16195;2147483836
10992;16570;2147483835
11007;16585;2147483834
11098;16726;2147483833
11118;16742;2147483832
11170;16820;2147483831
11269;16976;2147483830
11298;17023;2147483829
11381;17148;2147483828
11397;17163;2147483827
11555;17398;2147483824
11579;17445;2147483823
11788;17741;2147483822
11809;17773;2147483821
11938;17960;2147483820
12100;18194;2147483819
12112;18226;2147483818
12206;18366;2147483817
12265;18444;2147483816
12439;18710;2147483815
12446;18710;2147483814
12569;18897;2147483813
12692;19069;2147483812
12795;19225;2147483811
12796;19225;2147483810
12949;19444;2147483809
13180;19788;2147483807
13303;19975;2147483806
13319;19991;2147483805
13342;20038;2147483803
13365;20069;2147483802
13383;20085;2147483801
13405;20116;2147483800
13497;20256;2147483799
13674;20506;2147483798
13782;20678;2147483797
13841;20756;2147483796
13882;20819;2147483795
14229;21334;2147483794
14341;21491;2147483793
14385;21553;2147483792
14562;21819;2147483791
14615;21881;2147483790
14636;21912;2147483789
14701;22022;2147483788
14722;22053;2147483787
14838;22225;2147483786
14934;22365;2147483785
15099;22600;2147483784
15129;22647;2147483783
15290;22897;2147483782
15304;22912;2147483781
15428;23084;2147483780
15456;23131;2147483779
15523;23225;2147483778
15723;23521;2147483777
15841;23693;2147483776
15894;23771;2147483775
16030;23974;2147483774
