fes;time;f
1;63;2147484655
7;110;2147484654
12;125;2147484653
14;125;2147484652
17;141;2147484647
20;157;2147484646
33;188;2147484644
34;188;2147484642
44;219;2147484641
46;219;2147484640
49;219;2147484639
54;235;2147484637
67;266;2147484636
70;266;2147484635
71;266;2147484631
79;282;2147484630
80;282;2147484629
81;282;2147484628
82;297;2147484625
88;313;2147484623
90;313;2147484620
92;313;2147484619
93;329;2147484618
97;329;2147484616
101;344;2147484615
104;344;2147484614
105;344;2147484613
116;360;2147484612
119;376;2147484611
125;391;2147484609
130;391;2147484608
133;391;2147484607
134;407;2147484606
135;407;2147484604
138;407;2147484602
139;407;2147484591
140;407;2147484589
151;438;2147484588
153;438;2147484587
159;454;2147484586
170;469;2147484585
180;485;2147484584
181;485;2147484582
183;485;2147484581
187;501;2147484580
193;501;2147484579
200;516;2147484574
202;516;2147484573
203;532;2147484571
205;532;2147484568
208;532;2147484566
211;532;2147484565
231;579;2147484564
239;594;2147484563
240;594;2147484561
247;610;2147484560
248;610;2147484559
264;641;2147484557
265;641;2147484556
268;641;2147484549
275;657;2147484548
279;657;2147484547
282;672;2147484546
291;688;2147484542
305;704;2147484541
314;719;2147484540
315;719;2147484539
317;735;2147484537
331;751;2147484536
332;751;2147484535
340;782;2147484534
341;782;2147484532
354;797;2147484530
357;797;2147484529
358;813;2147484528
361;813;2147484524
366;813;2147484522
367;829;2147484520
369;829;2147484516
375;829;2147484511
381;844;2147484509
389;860;2147484508
398;876;2147484507
400;876;2147484506
402;876;2147484504
403;891;2147484503
405;891;2147484501
408;891;2147484500
411;891;2147484498
433;938;2147484497
435;938;2147484496
436;938;2147484495
441;938;2147484494
445;954;2147484493
456;969;2147484492
457;969;2147484488
468;1001;2147484487
475;1001;2147484486
480;1016;2147484483
493;1032;2147484482
497;1047;2147484481
498;1047;2147484478
505;1063;2147484477
506;1063;2147484475
513;1079;2147484473
518;1079;2147484471
525;1094;2147484470
526;1094;2147484469
537;1110;2147484468
547;1126;2147484467
554;1141;2147484465
556;1141;2147484463
569;1157;2147484462
571;1157;2147484461
574;1172;2147484460
578;1172;2147484459
583;1188;2147484458
587;1188;2147484457
591;1204;2147484456
595;1204;2147484453
613;1235;2147484451
615;1235;2147484450
617;1235;2147484448
618;1235;2147484447
620;1250;2147484446
623;1250;2147484444
624;1250;2147484443
628;1250;2147484442
634;1266;2147484441
645;1282;2147484440
646;1282;2147484435
648;1282;2147484434
655;1297;2147484433
656;1297;2147484432
657;1297;2147484431
660;1313;2147484430
662;1313;2147484426
669;1329;2147484425
677;1344;2147484424
678;1344;2147484423
689;1375;2147484422
690;1375;2147484419
694;1375;2147484418
698;1391;2147484415
712;1407;2147484414
721;1422;2147484413
725;1438;2147484411
726;1438;2147484410
729;1438;2147484408
731;1454;2147484407
739;1454;2147484406
744;1469;2147484405
750;1469;2147484403
762;1500;2147484402
774;1516;2147484401
781;1532;2147484399
789;1547;2147484398
792;1547;2147484395
800;1563;2147484394
801;1563;2147484393
803;1563;2147484392
812;1579;2147484391
814;1579;2147484390
816;1579;2147484388
819;1594;2147484387
822;1594;2147484386
829;1610;2147484385
839;1625;2147484384
843;1625;2147484380
845;1625;2147484378
848;1641;2147484375
850;1641;2147484374
852;1641;2147484373
855;1641;2147484372
856;1657;2147484371
860;1657;2147484370
