fes;time;f
1;78;1594
7;125;1593
19;203;1592
22;218;1591
26;250;1588
44;343;1587
54;390;1585
57;406;1584
72;468;1582
80;515;1579
81;515;1578
94;578;1575
99;593;1573
100;609;1570
102;609;1569
131;750;1566
134;765;1564
143;796;1562
144;812;1561
147;828;1556
157;875;1555
167;921;1552
182;984;1549
196;1062;1545
200;1078;1544
207;1109;1542
209;1109;1541
210;1124;1539
216;1140;1538
222;1171;1536
226;1203;1535
227;1203;1534
231;1218;1533
243;1281;1529
255;1328;1528
264;1374;1526
266;1374;1525
273;1421;1524
280;1452;1523
284;1468;1522
289;1484;1521
291;1499;1520
301;1546;1518
306;1562;1516
308;1577;1515
327;1656;1510
333;1687;1507
339;1718;1506
340;1718;1505
344;1734;1503
363;1827;1499
369;1859;1498
371;1859;1496
373;1874;1495
376;1890;1494
380;1906;1490
386;1937;1489
393;1968;1487
397;1984;1485
398;1984;1482
412;2046;1477
417;2077;1476
425;2109;1474
426;2124;1473
440;2187;1472
443;2202;1469
457;2265;1468
466;2296;1466
483;2374;1464
493;2421;1463
498;2437;1462
510;2499;1461
518;2530;1460
527;2577;1459
534;2609;1458
536;2609;1456
537;2609;1455
547;2655;1452
562;2733;1451
564;2733;1447
566;2749;1446
572;2780;1443
575;2796;1440
577;2796;1439
581;2827;1438
586;2843;1437
593;2874;1435
594;2874;1433
596;2890;1431
599;2905;1430
602;2921;1428
616;2983;1427
627;3030;1425
631;3046;1424
632;3062;1421
637;3077;1419
642;3108;1418
646;3124;1416
656;3171;1414
666;3218;1412
678;3280;1411
679;3280;1410
680;3280;1408
693;3343;1407
697;3358;1406
702;3374;1404
712;3421;1401
722;3468;1400
724;3483;1398
734;3530;1397
741;3561;1396
754;3624;1393
764;3671;1388
781;3749;1386
782;3749;1385
791;3796;1382
797;3827;1380
801;3843;1379
804;3858;1377
805;3858;1376
814;3905;1375
818;3921;1374
827;3968;1369
844;4046;1368
854;4077;1367
873;4171;1365
877;4186;1364
881;4202;1362
888;4233;1359
892;4249;1357
895;4264;1356
901;4296;1354
910;4342;1352
921;4384;1351
923;4400;1350
926;4415;1349
932;4447;1348
939;4478;1347
946;4509;1346
954;4540;1345
961;4572;1344
978;4650;1336
984;4681;1335
1016;4822;1333
1036;4915;1331
1044;4947;1330
1048;4978;1329
1059;5025;1328
1073;5087;1327
1076;5087;1326
1094;5181;1321
1097;5181;1320
1101;5212;1318
1111;5243;1317
1123;5306;1315
1128;5337;1313
1131;5337;1310
1142;5400;1309
1143;5400;1308
1154;5446;1307
1166;5509;1305
1177;5556;1302
1188;5618;1301
1190;5618;1298
1195;5649;1297
1197;5649;1294
1198;5649;1292
1209;5712;1291
1215;5728;1289
1217;5743;1287
1230;5806;1286
1256;5915;1283
1258;5931;1282
1263;5946;1281
1289;6071;1279
1303;6134;1275
1305;6149;1274
1311;6181;1272
1322;6227;1271
1331;6274;1270
1342;6321;1269
1352;6368;1268
1367;6446;1267
1370;6446;1266
1378;6493;1265
1383;6509;1264
1393;6556;1263
1398;6587;1262
1401;6587;1260
1403;6602;1258
1404;6602;1257
1405;6618;1256
1416;6665;1254
1417;6665;1250
1419;6681;1249
1421;6681;1248
1443;6790;1245
1453;6837;1241
1475;6930;1240
1491;7009;1239
1499;7040;1238
1502;7055;1237
1526;7165;1236
1543;7243;1234
1549;7258;1232
1567;7352;1230
1572;7368;1228
1577;7399;1227
1593;7462;1226
1605;7524;1224
1611;7555;1223
1614;7571;1222
1616;7571;1221
1620;7587;1220
1627;7618;1218
1629;7633;1215
1632;7649;1213
1638;7680;1211
1644;7696;1210
1676;7852;1209
1684;7883;1207
1698;7946;1206
1707;7977;1205
1713;8008;1203
1715;8024;1202
1723;8055;1200
1731;8102;1194
1735;8118;1192
1772;8274;1189
1779;8305;1188
1783;8321;1187
1794;8383;1185
1796;8383;1184
1804;8430;1183
1809;8446;1182
1822;8508;1179
1825;8524;1178
1826;8524;1177
1831;8555;1175
1844;8602;1174
1848;8618;1173
1850;8633;1172
1859;8664;1171
1861;8680;1168
1871;8727;1166
1883;8774;1165
1901;8868;1164
1902;8868;1162
1908;8899;1161
1909;8899;1157
1945;9071;1156
1950;9086;1155
1953;9102;1153
1964;9164;1152
1971;9196;1151
1976;9211;1149
1988;9274;1147
2024;9430;1146
2031;9461;1145
2037;9492;1144
2056;9570;1142
2069;9633;1140
2099;9774;1138
2106;9805;1137
2107;9805;1134
2111;9820;1129
2112;9820;1128
2115;9836;1126
2117;9852;1125
2118;9852;1124
2129;9899;1122
2133;9914;1121
2134;9930;1118
2138;9945;1117
2140;9945;1115
2153;10008;1114
2158;10039;1113
2169;10086;1112
2178;10117;1111
2182;10148;1110
2185;10148;1109
2198;10211;1108
2213;10273;1107
2221;10320;1106
2240;10398;1105
2265;10523;1104
2285;10617;1103
2292;10648;1102
2296;10664;1101
2306;10711;1099
2307;10711;1096
2321;10773;1094
2323;10789;1092
2327;10805;1090
2342;10867;1087
2362;10961;1086
2370;10992;1085
2371;11008;1081
2393;11101;1078
2398;11117;1077
2410;11179;1075
2420;11226;1073
2432;11273;1072
2439;11304;1070
2448;11351;1069
2461;11414;1068
2471;11461;1067
2488;11523;1066
2495;11554;1064
2501;11586;1061
2509;11632;1059
2544;11789;1058
2555;11836;1057
2571;11914;1056
2581;11961;1055
2583;11961;1054
2598;12023;1052
2616;12101;1051
2629;12164;1049
2642;12226;1048
2664;12335;1047
2673;12382;1046
2684;12429;1045
2687;12445;1044
2718;12585;1041
2720;12585;1040
2731;12632;1039
2763;12788;1038
2764;12788;1033
2783;12882;1032
2787;12898;1030
2792;12913;1029
2800;12945;1027
2806;12976;1026
2840;13132;1025
2855;13210;1024
2857;13210;1022
2863;13242;1018
2873;13288;1016
2885;13335;1014
2886;13351;1013
2907;13445;1011
2924;13523;1009
2937;13585;1007
2955;13663;1005
2962;13695;1003
2979;13773;1002
2982;13788;1001
2995;13851;999
2996;13851;998
2998;13851;997
3007;13898;996
3020;13960;995
3024;13976;990
3028;13991;989
3045;14069;988
3051;14101;986
3058;14132;985
3069;14179;983
3072;14194;982
3092;14273;981
3114;14382;980
3121;14413;979
3148;14538;978
3207;14804;977
3219;14851;975
3271;15100;974
3301;15225;973
3316;15288;972
3322;15319;970
3339;15397;969
3358;15491;968
3359;15491;966
3406;15694;965
3421;15772;963
3425;15788;962
3463;15960;961
3475;16006;960
3486;16061;959
3510;16170;958
3512;16186;957
3524;16232;956
3536;16295;954
3545;16326;952
3573;16451;948
3600;16592;947
3601;16592;946
3605;16607;945
3613;16639;944
3616;16654;943
3617;16654;942
3628;16701;938
3636;16748;937
3647;16795;936
3704;17045;935
3714;17092;934
3720;17123;932
3722;17123;931
3737;17201;930
3821;17592;929
3836;17654;928
3837;17654;926
3871;17810;923
3872;17810;922
3888;17888;921
3897;17935;920
3912;17998;919
3946;18154;917
3947;18154;916
3958;18216;915
3959;18216;914
4004;18419;912
4009;18435;909
4015;18466;907
4017;18466;906
4029;18529;905
4046;18607;904
4049;18607;903
4052;18623;902
4064;18685;901
4067;18701;900
4072;18716;899
4080;18748;898
4086;18779;895
4093;18810;894
4103;18857;893
4115;18919;891
4124;18951;889
4140;19029;886
4148;19060;884
4158;19107;883
4177;19185;882
4180;19201;881
4196;19279;880
4248;19513;879
4269;19607;878
4278;19638;876
4287;19685;875
4291;19700;874
4315;19810;873
4337;19903;872
4351;19982;871
4360;20013;870
4365;20044;868
4391;20153;867
4403;20216;866
4424;20310;865
4442;20388;864
4446;20419;863
4459;20466;862
4460;20482;861
4470;20528;856
4493;20622;855
4506;20685;854
4520;20747;853
4545;20856;850
4552;20888;848
4554;20903;846
4577;20997;844
4596;21091;843
4624;21216;842
4625;21231;840
4636;21278;838
4643;21309;836
4664;21403;835
4682;21481;834
4690;21513;833
4766;21856;832
4784;21950;830
4794;21981;829
4818;22091;828
4819;22106;827
4826;22137;826
4850;22231;825
4852;22247;824
4866;22309;823
4872;22340;821
4873;22340;820
4885;22387;819
4894;22434;818
4958;22715;817
4959;22731;816
4961;22731;814
4969;22778;813
4970;22778;808
4997;22903;806
5021;23012;805
5022;23012;804
5032;23059;803
5042;23106;801
5066;23215;800
5086;23293;799
5106;23387;798
5110;23403;797
5115;23434;796
5120;23450;795
5163;23637;794
5180;23715;793
5189;23762;792
5220;23903;788
5223;23918;787
5233;23965;786
5270;24121;785
5297;24246;784
5310;24309;782
5340;24434;781
5341;24449;780
5360;24527;779
5364;24543;778
5395;24684;777
5412;24762;775
5415;24777;774
5418;24793;772
5420;24793;771
5451;24934;769
5454;24949;768
5475;25043;767
5502;25168;766
5504;25184;765
5520;25246;763
5530;25293;762
5548;25371;761
5566;25449;760
5578;25514;759
5590;25561;758
5593;25576;757
5596;25592;756
5601;25608;755
5631;25748;753
5636;25764;752
5651;25842;749
5669;25920;748
5675;25951;747
5685;25998;746
5704;26076;745
5758;26326;744
5767;26357;743
5805;26529;742
5808;26545;740
5820;26592;739
5850;26732;737
5860;26779;736
6013;27467;735
6021;27513;733
6033;27560;732
6038;27576;731
6043;27607;730
6055;27654;729
6058;27670;727
6067;27716;726
6091;27826;725
6113;27920;724
6154;28107;723
6165;28154;722
6171;28185;721
6174;28201;720
6182;28232;718
6184;28248;717
6198;28310;715
6200;28326;714
6239;28498;713
6288;28716;712
6319;28857;711
6320;28857;710
6328;28904;709
6330;28904;708
6364;29060;706
6368;29091;705
6382;29154;704
6413;29279;703
6419;29310;702
6492;29638;700
6503;29685;699
6515;29747;698
6523;29778;697
6533;29825;696
6543;29872;695
6547;29888;693
6585;30060;692
6586;30075;690
6615;30200;689
6661;30403;688
6668;30435;687
6724;30700;686
6741;30778;685
6761;30856;684
6789;30996;683
6805;31059;682
6852;31277;680
6872;31371;679
6935;31637;678
6939;31668;677
6940;31668;676
6951;31715;674
6954;31730;673
6996;31918;672
7022;32043;671
7024;32043;670
7052;32168;669
7054;32183;667
7095;32371;666
7101;32386;665
7108;32418;664
7228;32964;663
7253;33074;662
7262;33105;661
7283;33199;660
7285;33214;658
7298;33277;657
7351;33511;656
7381;33652;655
7410;33777;654
7420;33824;653
7460;33995;652
7475;34074;651
7487;34120;650
7506;34214;649
7520;34277;648
7621;34714;647
7641;34808;646
7723;35167;645
7727;35183;644
7793;35480;643
7850;35729;641
7859;35776;640
7866;35808;638
7869;35823;637
7899;35948;636
7920;36042;635
7928;36073;633
7952;36183;632
7990;36370;631
8000;36417;630
8001;36417;629
8029;36542;628
8045;36604;627
8062;36682;626
8076;36753;625
8111;36909;623
8139;37034;620
8206;37331;619
8213;37362;618
8215;37362;617
8235;37456;616
8262;37581;615
8324;37862;614
8369;38065;613
8414;38252;612
8456;38440;611
8499;38627;610
8530;38768;609
8578;38987;608
8588;39033;607
8717;39596;606
8721;39611;605
8773;39846;604
8789;39924;603
8821;40064;598
8862;40252;597
8864;40268;596
8889;40377;595
8979;40767;594
