fes;time;f
1;78;2147485159
4;109;2147485158
6;125;2147485156
7;125;2147485155
10;156;2147485152
14;188;2147485151
16;188;2147485150
17;203;2147485149
21;219;2147485148
22;219;2147485142
23;234;2147485136
32;281;2147485132
37;313;2147485129
40;328;2147485126
43;344;2147485125
52;391;2147485124
59;437;2147485123
66;469;2147485122
68;484;2147485121
77;531;2147485120
85;578;2147485119
93;609;2147485117
96;625;2147485116
109;703;2147485114
110;703;2147485113
113;719;2147485111
118;750;2147485107
133;828;2147485106
135;828;2147485103
137;844;2147485102
146;890;2147485101
149;890;2147485099
159;937;2147485098
176;1015;2147485095
185;1062;2147485093
191;1094;2147485091
201;1140;2147485088
205;1156;2147485087
210;1187;2147485082
212;1187;2147485068
227;1265;2147485067
241;1328;2147485065
245;1343;2147485064
246;1343;2147485063
268;1453;2147485062
273;1468;2147485061
274;1484;2147485060
275;1484;2147485057
282;1515;2147485055
284;1515;2147485053
285;1531;2147485052
286;1531;2147485051
287;1531;2147485050
308;1625;2147485049
327;1718;2147485048
334;1750;2147485047
363;1890;2147485046
366;1906;2147485045
369;1922;2147485044
376;1953;2147485043
378;1953;2147485042
379;1953;2147485041
381;1968;2147485036
385;1984;2147485035
387;2000;2147485033
394;2031;2147485029
396;2031;2147485028
413;2109;2147485027
420;2140;2147485026
428;2187;2147485023
429;2187;2147485022
430;2187;2147485018
431;2187;2147485015
432;2203;2147485013
438;2218;2147485012
452;2296;2147485011
453;2296;2147485010
455;2296;2147485009
459;2328;2147485006
465;2343;2147485004
476;2406;2147485003
490;2468;2147485001
492;2484;2147485000
494;2484;2147484999
498;2499;2147484997
504;2531;2147484996
507;2546;2147484995
511;2562;2147484994
515;2578;2147484992
527;2640;2147484990
537;2687;2147484988
541;2703;2147484987
554;2765;2147484986
557;2765;2147484985
570;2828;2147484979
579;2874;2147484978
589;2921;2147484977
592;2937;2147484976
594;2937;2147484974
595;2953;2147484973
610;3015;2147484971
615;3031;2147484967
621;3062;2147484966
622;3062;2147484965
628;3093;2147484964
650;3187;2147484963
657;3234;2147484960
671;3296;2147484956
683;3343;2147484955
684;3343;2147484954
685;3359;2147484949
689;3374;2147484947
691;3374;2147484946
722;3515;2147484944
731;3562;2147484942
737;3593;2147484940
741;3609;2147484939
748;3640;2147484935
758;3687;2147484932
766;3718;2147484931
776;3765;2147484930
792;3843;2147484928
794;3859;2147484925
798;3874;2147484924
814;3937;2147484923
821;3968;2147484922
822;3984;2147484920
831;4015;2147484918
838;4046;2147484917
863;4171;2147484916
865;4171;2147484914
868;4187;2147484913
882;4249;2147484910
883;4265;2147484909
884;4265;2147484908
901;4343;2147484907
917;4421;2147484906
929;4468;2147484903
934;4499;2147484902
948;4562;2147484900
952;4577;2147484899
957;4593;2147484896
968;4655;2147484895
985;4733;2147484889
986;4733;2147484888
989;4749;2147484887
1000;4796;2147484886
1013;4858;2147484885
1026;4921;2147484884
1029;4936;2147484881
1046;5015;2147484880
1055;5046;2147484879
1057;5061;2147484878
1064;5093;2147484876
1069;5124;2147484875
1073;5140;2147484874
1085;5186;2147484873
1098;5249;2147484870
1118;5343;2147484869
1132;5405;2147484866
1133;5405;2147484863
1138;5421;2147484862
1140;5436;2147484861
1143;5452;2147484858
1149;5483;2147484857
1157;5514;2147484853
1158;5514;2147484852
1163;5546;2147484851
1166;5561;2147484849
1177;5608;2147484843
1201;5718;2147484842
1207;5733;2147484841
1208;5749;2147484838
1210;5749;2147484836
1213;5764;2147484835
1219;5796;2147484834
1221;5796;2147484832
1228;5842;2147484830
1232;5858;2147484828
1242;5905;2147484826
1243;5905;2147484825
1248;5921;2147484823
1255;5952;2147484822
1267;6014;2147484821
1278;6061;2147484820
1286;6108;2147484818
1293;6124;2147484816
1301;6171;2147484814
1311;6217;2147484813
1321;6249;2147484810
1340;6342;2147484808
1341;6342;2147484807
1347;6374;2147484805
1352;6389;2147484804
1357;6420;2147484802
1358;6420;2147484801
1369;6467;2147484800
1396;6592;2147484799
1400;6608;2147484798
1402;6624;2147484797
1407;6639;2147484796
1417;6686;2147484795
1427;6733;2147484794
1437;6780;2147484793
1441;6795;2147484791
1449;6827;2147484788
1454;6858;2147484786
1458;6873;2147484784
1460;6889;2147484783
1465;6905;2147484782
1468;6920;2147484780
1470;6936;2147484779
1473;6936;2147484778
1475;6952;2147484776
1476;6952;2147484773
1481;6983;2147484772
1487;6998;2147484771
1494;7045;2147484768
1498;7061;2147484766
1554;7311;2147484765
1560;7342;2147484764
1588;7467;2147484762
1624;7639;2147484761
1630;7655;2147484760
1631;7670;2147484759
1634;7670;2147484757
1647;7733;2147484755
1665;7811;2147484754
1672;7842;2147484753
