fes;time;f
1;63;2147485046
2;78;2147485045
11;143;2147485042
19;190;2147485041
44;330;2147485040
48;346;2147485038
51;377;2147485033
57;408;2147485031
62;424;2147485030
64;440;2147485029
68;455;2147485027
70;471;2147485026
71;471;2147485025
73;487;2147485023
95;596;2147485022
125;768;2147485021
134;815;2147485019
146;877;2147485016
150;893;2147485014
155;924;2147485013
159;955;2147485011
167;986;2147485009
179;1049;2147485007
183;1080;2147485002
187;1096;2147485000
234;1346;2147484999
264;1502;2147484996
266;1518;2147484995
270;1533;2147484994
272;1549;2147484993
277;1580;2147484991
280;1596;2147484990
287;1627;2147484989
288;1643;2147484988
305;1721;2147484987
309;1736;2147484986
314;1752;2147484980
323;1799;2147484978
324;1799;2147484976
326;1814;2147484975
328;1814;2147484974
330;1830;2147484973
332;1846;2147484972
339;1877;2147484971
341;1877;2147484967
344;1892;2147484965
348;1924;2147484964
349;1924;2147484963
356;1955;2147484961
371;2033;2147484959
381;2080;2147484958
391;2127;2147484957
395;2142;2147484956
400;2174;2147484955
410;2221;2147484952
421;2267;2147484950
427;2299;2147484949
440;2361;2147484947
455;2439;2147484946
457;2439;2147484944
459;2455;2147484940
473;2517;2147484939
483;2564;2147484937
488;2595;2147484936
510;2689;2147484934
511;2705;2147484933
514;2720;2147484932
521;2752;2147484931
524;2767;2147484930
530;2783;2147484928
532;2799;2147484927
543;2845;2147484926
550;2877;2147484925
556;2908;2147484923
559;2924;2147484922
561;2939;2147484920
565;2955;2147484918
567;2970;2147484917
572;2986;2147484914
588;3064;2147484913
600;3127;2147484911
617;3205;2147484909
641;3314;2147484907
643;3330;2147484901
645;3330;2147484898
667;3439;2147484896
677;3486;2147484890
684;3517;2147484888
686;3533;2147484887
688;3533;2147484886
695;3564;2147484885
703;3611;2147484884
708;3626;2147484881
711;3642;2147484877
723;3705;2147484875
735;3767;2147484874
738;3767;2147484873
740;3783;2147484872
770;3923;2147484869
772;3923;2147484868
784;3986;2147484866
788;4001;2147484860
829;4189;2147484859
833;4220;2147484856
848;4283;2147484854
850;4298;2147484853
855;4314;2147484852
877;4423;2147484851
881;4439;2147484849
892;4486;2147484848
897;4517;2147484847
906;4564;2147484846
914;4595;2147484844
917;4611;2147484842
919;4626;2147484841
935;4704;2147484840
937;4704;2147484839
940;4720;2147484838
943;4736;2147484834
945;4736;2147484827
948;4751;2147484826
958;4798;2147484825
