fes;time;f
1;78;2147485100
5;125;2147485099
9;156;2147485098
17;207;2147485097
20;238;2147485096
23;254;2147485093
24;254;2147485089
38;332;2147485088
52;410;2147485087
56;441;2147485082
57;441;2147485081
58;441;2147485080
71;519;2147485073
88;598;2147485071
95;644;2147485068
98;660;2147485067
104;691;2147485061
120;769;2147485060
124;801;2147485059
134;847;2147485053
137;863;2147485052
148;926;2147485051
155;957;2147485049
193;1160;2147485045
197;1191;2147485043
204;1222;2147485041
205;1222;2147485040
214;1269;2147485039
215;1269;2147485038
217;1285;2147485034
227;1332;2147485033
246;1441;2147485028
249;1441;2147485026
256;1488;2147485025
260;1504;2147485024
273;1582;2147485022
276;1597;2147485021
285;1644;2147485020
299;1722;2147485019
300;1722;2147485018
313;1816;2147485016
316;1832;2147485014
321;1847;2147485012
329;1894;2147485011
332;1910;2147485010
333;1910;2147485008
342;1957;2147485007
349;2003;2147485006
356;2035;2147485005
368;2097;2147485004
371;2113;2147485001
387;2191;2147484999
389;2207;2147484998
401;2269;2147484997
407;2300;2147484996
408;2300;2147484995
415;2347;2147484993
420;2363;2147484989
433;2441;2147484986
443;2488;2147484985
447;2503;2147484984
461;2581;2147484983
470;2628;2147484982
472;2644;2147484981
482;2691;2147484980
485;2706;2147484979
486;2722;2147484973
490;2738;2147484968
495;2769;2147484965
502;2800;2147484963
505;2816;2147484962
518;2894;2147484961
528;2941;2147484960
530;2956;2147484958
538;2988;2147484955
539;3003;2147484953
540;3003;2147484952
544;3019;2147484950
545;3019;2147484948
547;3035;2147484947
562;3113;2147484944
564;3113;2147484942
584;3206;2147484939
593;3253;2147484938
598;3269;2147484936
601;3284;2147484934
606;3316;2147484932
612;3347;2147484931
613;3347;2147484930
624;3394;2147484926
634;3441;2147484923
642;3488;2147484922
650;3519;2147484920
655;3534;2147484918
656;3550;2147484917
659;3566;2147484916
683;3675;2147484914
691;3706;2147484913
696;3737;2147484912
697;3737;2147484911
700;3753;2147484908
701;3753;2147484907
710;3800;2147484903
728;3878;2147484900
729;3878;2147484899
749;3972;2147484896
751;3987;2147484893
754;4003;2147484887
761;4034;2147484886
763;4034;2147484885
777;4112;2147484884
787;4159;2147484881
793;4175;2147484880
803;4222;2147484879
805;4237;2147484878
815;4284;2147484877
817;4284;2147484875
819;4300;2147484873
828;4347;2147484869
830;4347;2147484868
835;4378;2147484867
847;4425;2147484866
852;4456;2147484864
857;4472;2147484862
874;4550;2147484861
877;4565;2147484860
878;4565;2147484859
879;4565;2147484858
901;4678;2147484856
904;4678;2147484855
905;4694;2147484854
916;4741;2147484853
921;4772;2147484852
927;4788;2147484851
935;4828;2147484850
937;4844;2147484847
953;4922;2147484846
970;5000;2147484844
1001;5141;2147484843
1004;5156;2147484842
1013;5188;2147484841
1017;5203;2147484840
1021;5235;2147484839
1033;5281;2147484838
1034;5297;2147484836
1038;5313;2147484835
1041;5328;2147484834
1044;5328;2147484833
1047;5344;2147484831
1069;5453;2147484830
1096;5578;2147484826
1098;5578;2147484824
1107;5625;2147484823
1116;5672;2147484815
1118;5672;2147484814
1128;5719;2147484813
1133;5734;2147484812
1143;5797;2147484811
1145;5797;2147484810
1152;5828;2147484809
1155;5844;2147484807
1156;5844;2147484805
1162;5875;2147484804
1177;5937;2147484803
1189;6000;2147484802
1198;6031;2147484800
1208;6078;2147484799
1210;6094;2147484785
1216;6125;2147484784
1219;6141;2147484782
1223;6156;2147484781
1233;6203;2147484780
1237;6219;2147484779
1247;6266;2147484778
1248;6266;2147484777
1268;6359;2147484776
1275;6391;2147484774
1292;6469;2147484772
1297;6484;2147484768
1300;6500;2147484767
1306;6531;2147484766
1310;6547;2147484760
1341;6687;2147484759
1343;6703;2147484758
1350;6734;2147484757
1360;6781;2147484756
1365;6797;2147484755
1404;7000;2147484752
1406;7000;2147484749
1417;7062;2147484747
1427;7109;2147484745
1429;7109;2147484743
1450;7203;2147484742
1456;7234;2147484738
1467;7281;2147484737
1468;7297;2147484736
1469;7297;2147484735
1491;7406;2147484734
1493;7406;2147484733
1498;7437;2147484732
1515;7515;2147484728
1535;7609;2147484726
1539;7625;2147484725
1544;7640;2147484722
1552;7671;2147484721
1576;7796;2147484720
1583;7828;2147484719
1598;7890;2147484717
1604;7921;2147484716
1607;7937;2147484715
1608;7937;2147484714
1612;7953;2147484712
1622;8000;2147484711
1633;8046;2147484710
1658;8156;2147484709
1660;8171;2147484708
1662;8187;2147484707
1664;8187;2147484706
1689;8312;2147484704
1701;8359;2147484703
1707;8390;2147484702
1709;8406;2147484701
1714;8437;2147484700
1716;8437;2147484697
1734;8531;2147484694
1755;8609;2147484693
1783;8749;2147484692
1795;8796;2147484690
1813;8874;2147484689
1820;8906;2147484688
1829;8952;2147484687
1892;9234;2147484686
1910;9312;2147484685
1912;9327;2147484683
1920;9359;2147484682
1925;9390;2147484680
1931;9405;2147484678
1936;9437;2147484676
1942;9468;2147484674
1970;9593;2147484673
1982;9643;2147484672
1990;9689;2147484671
2000;9736;2147484670
2011;9783;2147484666
2046;9939;2147484663
2052;9971;2147484662
2056;9986;2147484660
2067;10033;2147484658
2087;10127;2147484657
2097;10185;2147484656
2098;10190;2147484654
2118;10287;2147484651
2128;10333;2147484650
2132;10349;2147484649
2139;10380;2147484644
2141;10396;2147484643
2148;10427;2147484641
2158;10474;2147484640
2175;10552;2147484639
2196;10646;2147484638
2202;10677;2147484637
2208;10708;2147484633
2213;10724;2147484631
2220;10755;2147484630
2241;10849;2147484628
2245;10865;2147484627
2263;10958;2147484626
2302;11130;2147484624
2308;11161;2147484623
2320;11208;2147484621
2334;11271;2147484620
2351;11349;2147484619
2395;11568;2147484617
2399;11583;2147484616
2400;11583;2147484611
2426;11708;2147484610
2430;11724;2147484607
2434;11755;2147484606
2461;11880;2147484605
2466;11896;2147484603
2474;11927;2147484602
2487;11989;2147484601
2488;11989;2147484600
2494;12021;2147484599
2500;12052;2147484598
2501;12052;2147484597
2502;12067;2147484596
2507;12083;2147484594
2548;12271;2147484593
2570;12380;2147484592
2574;12396;2147484590
2580;12411;2147484589
2591;12474;2147484588
2597;12489;2147484585
2616;12583;2147484584
2629;12645;2147484583
2633;12661;2147484582
2642;12692;2147484581
2646;12724;2147484580
2650;12739;2147484577
2654;12755;2147484576
2659;12770;2147484575
2666;12802;2147484573
2684;12895;2147484572
2685;12895;2147484568
2737;13130;2147484567
2763;13255;2147484565
2769;13286;2147484564
2778;13317;2147484562
2804;13442;2147484560
2806;13442;2147484559
2808;13458;2147484558
2814;13489;2147484557
2829;13551;2147484556
2866;13723;2147484555
2869;13739;2147484554
2921;13973;2147484551
2925;13989;2147484550
2933;14020;2147484549
2934;14036;2147484548
2959;14145;2147484547
2996;14317;2147484545
2997;14317;2147484542
3011;14379;2147484541
3017;14411;2147484540
3018;14411;2147484539
3023;14442;2147484537
3074;14663;2147484536
3079;14694;2147484534
3112;14835;2147484533
3117;14851;2147484532
3143;14976;2147484530
3149;15007;2147484529
3162;15069;2147484528
3167;15085;2147484526
3173;15116;2147484525
3248;15460;2147484524
3280;15616;2147484523
3307;15741;2147484522
3312;15757;2147484520
3316;15772;2147484517
3342;15897;2147484516
3344;15913;2147484513
3349;15929;2147484510
3364;16007;2147484509
3376;16054;2147484508
3378;16069;2147484506
3387;16116;2147484505
3389;16116;2147484504
3411;16210;2147484500
3413;16225;2147484497
3420;16257;2147484495
3434;16319;2147484494
3445;16366;2147484493
3450;16397;2147484492
3470;16491;2147484491
3497;16600;2147484489
3502;16632;2147484488
3510;16663;2147484487
3514;16678;2147484486
3549;16835;2147484485
3559;16881;2147484483
3569;16928;2147484482
3574;16960;2147484480
3589;17022;2147484479
3604;17100;2147484478
3609;17116;2147484477
3612;17131;2147484476
3666;17381;2147484475
3678;17428;2147484474
3710;17584;2147484473
3733;17678;2147484471
3778;17881;2147484468
3801;17991;2147484467
3803;18006;2147484465
3805;18006;2147484464
3808;18022;2147484463
3827;18116;2147484461
3833;18147;2147484460
3848;18209;2147484459
3850;18225;2147484456
3854;18241;2147484455
3862;18272;2147484453
3867;18287;2147484452
3877;18334;2147484449
3902;18459;2147484448
3918;18522;2147484447
3932;18584;2147484445
3945;18647;2147484444
3951;18662;2147484443
3974;18772;2147484442
3983;18819;2147484440
3998;18881;2147484439
4053;19131;2147484438
4114;19412;2147484437
4131;19475;2147484436
4145;19537;2147484434
4159;19615;2147484432
4173;19680;2147484431
4216;19883;2147484430
4244;20008;2147484429
4250;20024;2147484428
4275;20149;2147484427
4278;20164;2147484426
4294;20227;2147484425
4302;20274;2147484424
4318;20352;2147484423
4322;20367;2147484420
4336;20430;2147484419
4354;20508;2147484418
4356;20508;2147484417
4364;20555;2147484416
4371;20586;2147484415
4394;20695;2147484414
4408;20758;2147484412
4416;20789;2147484410
4432;20867;2147484407
4441;20898;2147484406
4450;20945;2147484402
4458;20977;2147484401
