fes;time;f
1;78;2147487583
4;125;2147487581
6;156;2147487580
7;171;2147487578
10;218;2147487576
12;250;2147487575
18;312;2147487573
19;328;2147487567
20;343;2147487566
23;374;2147487563
26;406;2147487561
30;453;2147487557
36;531;2147487554
40;562;2147487553
47;640;2147487552
50;687;2147487550
52;703;2147487549
59;781;2147487548
63;828;2147487547
70;906;2147487544
77;984;2147487542
79;999;2147487541
86;1081;2147487539
90;1127;2147487537
92;1159;2147487536
93;1159;2147487532
96;1205;2147487530
98;1221;2147487529
99;1237;2147487528
102;1284;2147487525
104;1299;2147487524
108;1346;2147487523
115;1409;2147487521
116;1424;2147487517
117;1424;2147487515
123;1487;2147487513
130;1565;2147487510
131;1580;2147487509
132;1580;2147487508
135;1612;2147487507
137;1627;2147487506
139;1659;2147487504
142;1690;2147487503
145;1705;2147487502
148;1737;2147487501
149;1752;2147487500
154;1799;2147487498
157;1830;2147487497
159;1862;2147487495
163;1893;2147487493
165;1924;2147487492
167;1940;2147487489
169;1955;2147487485
173;2002;2147487483
176;2033;2147487482
178;2049;2147487479
179;2065;2147487476
191;2174;2147487475
195;2221;2147487474
196;2237;2147487473
202;2299;2147487471
207;2346;2147487470
210;2377;2147487464
212;2393;2147487463
214;2408;2147487462
215;2424;2147487455
216;2440;2147487454
219;2455;2147487449
220;2471;2147487448
221;2486;2147487444
223;2502;2147487443
226;2533;2147487442
227;2549;2147487438
228;2565;2147487434
238;2658;2147487433
243;2721;2147487425
245;2736;2147487421
250;2783;2147487420
255;2830;2147487419
259;2877;2147487418
268;2955;2147487415
269;2971;2147487413
275;3033;2147487407
279;3080;2147487406
280;3080;2147487404
289;3174;2147487401
290;3189;2147487399
291;3205;2147487383
302;3314;2147487379
306;3346;2147487377
308;3377;2147487374
312;3408;2147487373
314;3439;2147487372
315;3439;2147487361
325;3549;2147487357
326;3564;2147487355
329;3596;2147487353
332;3627;2147487351
333;3627;2147487349
334;3642;2147487347
337;3674;2147487344
338;3674;2147487342
339;3689;2147487340
348;3783;2147487338
349;3783;2147487337
351;3814;2147487335
355;3846;2147487334
356;3861;2147487332
365;3955;2147487328
366;3955;2147487326
382;4111;2147487324
383;4127;2147487323
384;4142;2147487321
385;4142;2147487319
389;4189;2147487318
394;4236;2147487315
397;4267;2147487313
399;4299;2147487311
402;4330;2147487309
408;4392;2147487308
409;4392;2147487305
414;4439;2147487304
415;4455;2147487303
419;4502;2147487299
422;4517;2147487296
425;4548;2147487295
427;4564;2147487294
428;4580;2147487293
430;4595;2147487292
432;4627;2147487291
434;4642;2147487289
442;4720;2147487288
444;4736;2147487287
447;4767;2147487286
448;4783;2147487283
449;4783;2147487282
450;4798;2147487280
455;4845;2147487277
458;4877;2147487275
460;4892;2147487268
468;4986;2147487267
469;4986;2147487264
474;5033;2147487262
477;5064;2147487261
483;5126;2147487257
487;5173;2147487253
502;5314;2147487252
507;5361;2147487251
509;5392;2147487250
510;5392;2147487249
512;5423;2147487248
516;5455;2147487247
520;5501;2147487245
522;5517;2147487244
524;5533;2147487243
533;5626;2147487242
539;5689;2147487241
545;5751;2147487240
551;5814;2147487239
555;5845;2147487237
564;5939;2147487235
565;5954;2147487233
567;5970;2147487232
571;6001;2147487228
572;6019;2147487227
575;6050;2147487226
589;6191;2147487225
591;6206;2147487223
593;6222;2147487222
595;6253;2147487220
601;6300;2147487219
610;6394;2147487214
614;6441;2147487212
622;6519;2147487211
623;6519;2147487208
624;6534;2147487207
