fes;time;f
1;94;2147487592
10;234;2147487588
18;328;2147487587
22;375;2147487586
24;391;2147487583
25;406;2147487567
30;469;2147487563
33;500;2147487559
39;562;2147487553
40;578;2147487552
41;578;2147487550
42;594;2147487549
43;609;2147487547
45;625;2147487543
50;687;2147487541
52;703;2147487537
55;734;2147487536
56;750;2147487533
68;875;2147487524
72;922;2147487521
77;969;2147487518
82;1031;2147487517
83;1031;2147487514
92;1140;2147487511
102;1250;2147487509
106;1281;2147487508
110;1328;2147487507
118;1437;2147487506
122;1484;2147487500
125;1515;2147487497
127;1531;2147487496
135;1625;2147487495
137;1640;2147487494
139;1672;2147487493
148;1765;2147487492
152;1812;2147487491
159;1875;2147487490
163;1921;2147487489
167;1968;2147487485
176;2046;2147487484
181;2109;2147487480
182;2109;2147487477
185;2140;2147487476
189;2187;2147487475
196;2265;2147487473
206;2359;2147487469
207;2359;2147487468
208;2374;2147487466
210;2390;2147487464
211;2406;2147487463
212;2421;2147487461
217;2468;2147487459
221;2499;2147487457
228;2562;2147487455
229;2578;2147487454
231;2593;2147487453
234;2624;2147487452
237;2656;2147487451
246;2749;2147487449
254;2827;2147487448
264;2921;2147487447
269;2968;2147487445
270;2984;2147487442
274;3015;2147487440
278;3062;2147487438
279;3062;2147487437
282;3093;2147487436
283;3109;2147487435
284;3124;2147487434
291;3187;2147487433
293;3202;2147487432
296;3234;2147487427
298;3249;2147487424
300;3281;2147487422
301;3296;2147487421
303;3312;2147487418
305;3327;2147487417
306;3343;2147487413
314;3421;2147487412
323;3515;2147487410
327;3562;2147487409
328;3562;2147487407
330;3577;2147487405
332;3609;2147487403
334;3624;2147487401
335;3624;2147487399
338;3655;2147487398
341;3687;2147487391
350;3780;2147487390
356;3843;2147487387
357;3843;2147487386
360;3874;2147487384
361;3890;2147487381
365;3921;2147487379
367;3952;2147487376
373;4015;2147487374
377;4046;2147487373
381;4093;2147487372
385;4124;2147487371
394;4218;2147487369
398;4249;2147487368
399;4265;2147487367
400;4280;2147487364
409;4374;2147487358
412;4405;2147487356
414;4421;2147487351
426;4546;2147487348
427;4546;2147487347
432;4593;2147487346
433;4608;2147487343
436;4640;2147487342
437;4640;2147487341
447;4749;2147487338
448;4765;2147487335
452;4796;2147487326
458;4858;2147487325
460;4874;2147487324
462;4889;2147487322
468;4952;2147487318
472;4983;2147487316
482;5093;2147487314
488;5139;2147487310
489;5155;2147487307
492;5186;2147487305
493;5202;2147487304
498;5249;2147487301
506;5327;2147487299
508;5343;2147487297
512;5389;2147487294
516;5421;2147487291
518;5452;2147487290
526;5514;2147487289
545;5702;2147487286
550;5749;2147487285
555;5811;2147487283
