fes;time;f
1;78;2147487288
5;141;2147487287
6;157;2147487285
7;172;2147487284
12;250;2147487281
16;299;2147487279
20;346;2147487277
22;362;2147487276
28;424;2147487274
29;440;2147487273
30;455;2147487272
39;549;2147487270
40;565;2147487269
42;580;2147487268
54;705;2147487265
55;721;2147487264
58;752;2147487263
60;768;2147487262
62;799;2147487261
68;861;2147487259
69;877;2147487257
70;877;2147487256
71;893;2147487255
80;986;2147487254
82;1002;2147487252
84;1033;2147487251
93;1127;2147487249
96;1158;2147487248
102;1221;2147487245
104;1236;2147487244
107;1268;2147487242
109;1299;2147487239
111;1314;2147487238
114;1346;2147487237
117;1377;2147487235
118;1393;2147487233
120;1408;2147487231
123;1439;2147487229
130;1518;2147487227
132;1549;2147487226
133;1564;2147487216
138;1611;2147487214
139;1627;2147487213
145;1689;2147487211
147;1705;2147487210
152;1767;2147487204
157;1814;2147487200
158;1830;2147487198
163;1877;2147487196
164;1892;2147487195
170;1955;2147487192
171;1971;2147487188
175;2002;2147487187
186;2127;2147487185
190;2158;2147487184
192;2189;2147487183
194;2205;2147487182
202;2283;2147487180
204;2314;2147487179
208;2345;2147487177
218;2455;2147487175
225;2533;2147487173
226;2549;2147487172
229;2580;2147487171
232;2611;2147487168
233;2611;2147487167
238;2658;2147487166
241;2705;2147487164
242;2705;2147487163
250;2798;2147487162
253;2830;2147487160
258;2892;2147487159
261;2908;2147487158
265;2955;2147487156
269;2986;2147487155
271;3017;2147487153
272;3017;2147487152
274;3048;2147487150
276;3064;2147487149
277;3064;2147487143
280;3095;2147487142
281;3111;2147487139
284;3142;2147487136
285;3142;2147487133
286;3158;2147487131
287;3173;2147487129
290;3189;2147487128
292;3220;2147487127
293;3220;2147487125
294;3236;2147487121
298;3267;2147487120
300;3298;2147487118
305;3345;2147487117
307;3361;2147487116
316;3455;2147487115
319;3486;2147487113
324;3533;2147487112
325;3533;2147487111
329;3580;2147487110
330;3580;2147487109
338;3658;2147487107
340;3689;2147487105
347;3751;2147487102
349;3767;2147487101
354;3814;2147487100
363;3908;2147487097
364;3908;2147487094
365;3923;2147487093
368;3954;2147487092
374;4017;2147487091
377;4033;2147487090
381;4079;2147487089
383;4095;2147487087
387;4142;2147487086
391;4173;2147487084
394;4204;2147487083
395;4204;2147487082
396;4220;2147487081
399;4251;2147487080
400;4267;2147487077
403;4298;2147487076
407;4329;2147487075
414;4392;2147487074
421;4470;2147487073
425;4501;2147487070
426;4517;2147487068
429;4548;2147487064
433;4579;2147487063
436;4611;2147487062
437;4626;2147487059
438;4642;2147487056
442;4673;2147487053
444;4689;2147487050
445;4704;2147487045
450;4751;2147487042
458;4829;2147487039
461;4860;2147487038
467;4907;2147487037
468;4923;2147487035
471;4954;2147487033
472;4970;2147487031
475;5001;2147487027
476;5001;2147487026
478;5017;2147487021
480;5048;2147487019
481;5048;2147487018
495;5189;2147487016
497;5204;2147487013
504;5282;2147487012
