fes;time;f
1;94;2147487451
14;266;2147487449
16;297;2147487447
21;344;2147487442
22;360;2147487440
29;422;2147487435
32;469;2147487434
33;469;2147487433
34;485;2147487431
54;688;2147487428
55;688;2147487425
58;719;2147487424
59;735;2147487423
63;781;2147487421
67;828;2147487419
68;828;2147487418
80;953;2147487415
82;969;2147487412
83;984;2147487408
85;1000;2147487406
87;1016;2147487405
91;1063;2147487403
92;1063;2147487400
93;1078;2147487397
96;1109;2147487395
99;1141;2147487386
100;1156;2147487383
123;1406;2147487379
131;1484;2147487375
134;1516;2147487374
145;1641;2147487373
150;1687;2147487372
155;1734;2147487371
157;1750;2147487369
159;1766;2147487364
163;1812;2147487360
165;1828;2147487357
167;1844;2147487355
170;1875;2147487353
175;1922;2147487351
196;2143;2147487350
197;2143;2147487348
871;8879;2147487347
872;8895;2147487346
879;8957;2147487345
884;9004;2147487344
888;9051;2147487342
891;9082;2147487340
892;9082;2147487339
894;9114;2147487338
898;9145;2147487337
899;9160;2147487334
903;9192;2147487333
906;9223;2147487332
911;9270;2147487331
913;9301;2147487329
914;9301;2147487326
916;9332;2147487325
917;9332;2147487324
928;9442;2147487323
934;9504;2147487322
936;9520;2147487321
943;9598;2147487319
946;9629;2147487318
953;9692;2147487314
959;9754;2147487313
964;9801;2147487309
970;9863;2147487308
972;9879;2147487307
973;9895;2147487306
977;9926;2147487305
979;9957;2147487301
980;9957;2147487300
981;9973;2147487297
1003;10191;2147487296
1004;10191;2147487295
1005;10207;2147487294
1007;10223;2147487291
1013;10285;2147487288
1014;10301;2147487286
1030;10457;2147487285
1033;10488;2147487284
1036;10504;2147487283
1041;10551;2147487280
1042;10566;2147487279
1044;10582;2147487278
1046;10613;2147487277
1049;10645;2147487276
1060;10738;2147487275
1062;10754;2147487273
1067;10816;2147487271
1076;10894;2147487269
1078;10910;2147487264
1080;10941;2147487261
1084;10973;2147487257
1094;11066;2147487254
1099;11129;2147487252
1103;11160;2147487251
1111;11238;2147487249
1114;11269;2147487248
1116;11301;2147487246
1123;11363;2147487244
1125;11379;2147487243
1129;11426;2147487242
1130;11426;2147487241
1132;11457;2147487236
1133;11457;2147487235
1139;11519;2147487229
1140;11519;2147487227
1148;11613;2147487225
1149;11613;2147487224
1150;11629;2147487220
1154;11660;2147487218
1160;11722;2147487217
1161;11738;2147487215
1163;11754;2147487212
1164;11769;2147487210
1172;11832;2147487209
1175;11863;2147487207
1178;11894;2147487206
1187;11991;2147487205
1190;12007;2147487203
1193;12038;2147487201
1194;12054;2147487200
1199;12100;2147487199
2926;29230;2147487195
2927;29246;2147487194
2928;29246;2147487193
2937;29340;2147487181
2950;29465;2147487176
2951;29480;2147487175
2964;29605;2147487174
2973;29699;2147487173
2974;29715;2147487170
2975;29715;2147487169
2988;29839;2147487168
2989;29855;2147487167
2994;29902;2147487166
2997;29933;2147487161
3001;29980;2147487160
3023;30183;2147487159
3029;30246;2147487158
3031;30261;2147487157
3033;30292;2147487155
3035;30308;2147487154
3040;30355;2147487153
3045;30402;2147487151
3049;30433;2147487150
3055;30496;2147487148
3059;30542;2147487146
3063;30574;2147487144
3070;30636;2147487139
3074;30683;2147487138
3081;30761;2147487137
3089;30839;2147487136
3090;30839;2147487133
3093;30870;2147487126
3095;30886;2147487125
3097;30917;2147487124
3098;30917;2147487121
3103;30964;2147487120
3113;31058;2147487119
3114;31074;2147487118
3116;31089;2147487117
3118;31120;2147487115
3126;31199;2147487111
3132;31245;2147487110
3134;31277;2147487107
3142;31355;2147487104
3144;31370;2147487101
3148;31402;2147487100
3156;31495;2147487096
3162;31542;2147487094
3171;31636;2147487093
3175;31667;2147487092
3179;31714;2147487087
3183;31745;2147487084
6394;63409;2147487083
6398;63440;2147487081
6399;63456;2147487078
6990;69238;2147487075
6991;69253;2147487074
6996;69300;2147487073
6998;69316;2147487070
6999;69332;2147487068
7000;69347;2147487067
7003;69363;2147487065
7010;69441;2147487062
7019;69519;2147487059
7021;69550;2147487058
7025;69582;2147487057
7026;69597;2147487051
7029;69613;2147487049
7034;69675;2147487048
7036;69691;2147487047
7038;69706;2147487045
7040;69738;2147487042
7042;69753;2147487039
7056;69894;2147487034
7057;69894;2147487030
7058;69910;2147487029
7068;70003;2147487028
7071;70035;2147487026
7074;70066;2147487025
7088;70206;2147487023
7097;70300;2147487022
7099;70316;2147487020
7102;70347;2147487017
7103;70347;2147487015
7110;70425;2147487013
7113;70441;2147487011
7119;70503;2147487010
7123;70550;2147487008
7125;70566;2147487005
7127;70581;2147487003
7130;70613;2147487002
7132;70644;2147486999
7133;70644;2147486998
7142;70737;2147486997
7143;70737;2147486995
7144;70753;2147486993
7147;70784;2147486991
7151;70816;2147486990
7155;70862;2147486989
7158;70894;2147486988
7159;70909;2147486984
7163;70941;2147486983
7175;71066;2147486981
7185;71159;2147486980
7187;71191;2147486979
7188;71191;2147486978
7191;71222;2147486977
7195;71269;2147486976
7212;71440;2147486975
7216;71472;2147486974
7220;71519;2147486973
7226;71565;2147486970
7227;71581;2147486967
7230;71612;2147486964
7231;71628;2147486963
