fes;time;f
1;94;3779
6;172;3777
11;234;3776
12;250;3774
27;406;3773
29;437;3772
34;484;3771
37;515;3768
39;531;3767
42;562;3766
49;640;3761
62;765;3757
63;765;3754
68;812;3750
82;953;3749
85;984;3745
89;1031;3742
94;1078;3740
95;1078;3738
100;1125;3736
103;1156;3732
109;1218;3731
112;1250;3729
117;1312;3728
118;1312;3726
119;1328;3725
123;1359;3723
127;1406;3716
128;1421;3714
129;1437;3711
135;1499;3702
138;1531;3698
140;1546;3696
152;1656;3695
156;1703;3694
159;1734;3693
162;1765;3692
164;1781;3690
168;1828;3687
171;1859;3686
177;1906;3685
180;1937;3684
186;1999;3677
189;2031;3675
198;2109;3674
200;2124;3673
202;2156;3672
211;2234;3670
213;2249;3668
223;2359;3666
225;2374;3665
231;2437;3664
236;2484;3660
237;2499;3656
239;2515;3655
242;2546;3654
243;2562;3652
252;2640;3651
253;2655;3649
259;2718;3648
260;2718;3647
262;2749;3644
265;2765;3643
271;2827;3640
274;2859;3636
281;2921;3635
282;2937;3631
283;2952;3627
287;2984;3626
289;3015;3625
290;3015;3623
292;3030;3620
293;3046;3618
298;3093;3617
300;3108;3614
302;3124;3613
303;3140;3612
305;3155;3601
307;3171;3600
310;3202;3598
311;3218;3592
313;3233;3588
314;3249;3587
324;3343;3585
335;3452;3584
338;3483;3583
347;3562;3581
350;3593;3580
351;3608;3579
353;3624;3577
354;3640;3575
360;3686;3572
376;3843;3571
377;3858;3569
382;3905;3564
386;3936;3563
388;3968;3562
393;4015;3560
401;4077;3559
413;4202;3555
416;4237;3552
420;4268;3551
423;4299;3548
429;4362;3546
433;4393;3544
437;4440;3543
438;4440;3542
445;4518;3541
448;4533;3539
449;4549;3536
451;4565;3535
453;4596;3534
463;4690;3532
475;4799;3531
478;4830;3530
502;5065;3527
507;5111;3522
511;5143;3521
518;5205;3520
520;5236;3519
521;5236;3518
525;5283;3517
531;5330;3516
539;5408;3515
541;5424;3511
545;5471;3509
547;5486;3507
550;5518;3506
562;5643;3505
579;5799;3503
583;5846;3502
590;5908;3501
601;6018;3500
602;6018;3495
606;6065;3494
607;6065;3493
609;6096;3492
611;6111;3491
612;6111;3490
613;6127;3489
622;6221;3488
629;6283;3487
633;6330;3486
