fes;time;f
1;46;2147484282
11;62;2147484281
15;62;2147484280
20;78;2147484279
27;78;2147484278
34;78;2147484275
36;93;2147484274
39;93;2147484273
44;93;2147484272
52;93;2147484271
54;93;2147484270
64;109;2147484267
71;109;2147484263
76;109;2147484261
77;109;2147484260
81;109;2147484256
86;125;2147484254
98;125;2147484251
102;125;2147484249
103;125;2147484247
110;140;2147484244
113;140;2147484243
120;140;2147484240
125;140;2147484237
126;140;2147484234
128;140;2147484233
130;140;2147484230
135;140;2147484229
138;156;2147484227
139;156;2147484225
143;156;2147484224
152;156;2147484223
155;156;2147484221
156;156;2147484219
162;156;2147484216
167;171;2147484215
168;171;2147484214
179;171;2147484213
181;171;2147484212
184;171;2147484208
189;171;2147484206
190;171;2147484204
197;187;2147484202
203;187;2147484201
209;187;2147484197
227;203;2147484195
229;203;2147484194
235;203;2147484193
236;203;2147484187
238;203;2147484186
240;218;2147484184
242;218;2147484181
248;218;2147484177
256;218;2147484176
263;218;2147484175
265;218;2147484173
267;218;2147484172
269;218;2147484169
283;234;2147484168
288;234;2147484167
292;234;2147484164
300;234;2147484163
302;234;2147484158
306;234;2147484156
307;250;2147484155
319;250;2147484154
323;250;2147484152
324;250;2147484150
328;250;2147484149
332;250;2147484146
335;250;2147484143
337;250;2147484142
339;250;2147484141
351;265;2147484140
366;265;2147484137
368;265;2147484136
375;265;2147484134
394;281;2147484133
395;281;2147484132
403;281;2147484131
409;281;2147484130
421;296;2147484126
431;296;2147484120
440;296;2147484117
449;296;2147484115
451;296;2147484110
454;312;2147484109
455;312;2147484108
456;312;2147484107
459;312;2147484106
460;312;2147484105
463;312;2147484103
464;312;2147484101
469;312;2147484099
470;312;2147484098
473;312;2147484097
474;312;2147484096
486;312;2147484095
488;328;2147484094
494;328;2147484093
498;328;2147484092
499;328;2147484091
504;328;2147484090
530;343;2147484089
549;343;2147484087
552;343;2147484085
558;343;2147484083
560;343;2147484082
565;359;2147484081
566;359;2147484080
567;359;2147484078
578;359;2147484077
579;359;2147484076
589;359;2147484075
601;375;2147484074
602;375;2147484073
611;375;2147484069
618;375;2147484068
629;375;2147484067
645;390;2147484063
649;390;2147484062
662;390;2147484061
665;390;2147484059
675;406;2147484058
676;406;2147484057
677;406;2147484056
684;406;2147484054
686;406;2147484053
688;406;2147484052
693;406;2147484051
697;421;2147484050
706;421;2147484049
716;421;2147484048
720;421;2147484047
721;421;2147484046
737;437;2147484045
739;437;2147484044
746;437;2147484043
764;437;2147484041
767;453;2147484040
775;453;2147484039
776;453;2147484038
791;453;2147484037
803;468;2147484036
