fes;time;f
1;46;2147484254
2;46;2147484253
7;62;2147484252
14;78;2147484251
18;78;2147484250
21;78;2147484246
22;78;2147484243
28;78;2147484241
31;93;2147484239
32;93;2147484238
33;93;2147484236
35;93;2147484235
42;93;2147484234
46;93;2147484233
47;93;2147484231
48;93;2147484229
55;109;2147484226
62;109;2147484225
64;109;2147484223
67;109;2147484221
75;109;2147484220
86;125;2147484218
92;125;2147484217
96;125;2147484215
100;125;2147484210
102;125;2147484209
106;140;2147484208
112;140;2147484203
113;140;2147484202
116;140;2147484201
117;140;2147484200
120;140;2147484199
121;140;2147484197
125;140;2147484196
128;156;2147484195
129;156;2147484194
131;156;2147484193
136;156;2147484190
145;156;2147484189
146;156;2147484188
147;156;2147484187
148;156;2147484185
155;156;2147484184
161;171;2147484183
165;171;2147484180
169;171;2147484178
171;171;2147484175
179;171;2147484172
182;187;2147484171
200;187;2147484166
201;187;2147484162
204;187;2147484161
210;203;2147484160
211;203;2147484159
218;203;2147484155
219;203;2147484154
221;203;2147484153
222;203;2147484149
236;203;2147484148
251;218;2147484147
270;218;2147484146
281;234;2147484145
283;234;2147484144
306;234;2147484143
310;250;2147484142
312;250;2147484141
314;250;2147484140
315;250;2147484139
316;250;2147484137
320;250;2147484136
328;250;2147484134
333;250;2147484133
337;250;2147484132
338;250;2147484130
345;250;2147484129
348;265;2147484128
351;265;2147484127
352;265;2147484126
355;265;2147484125
357;265;2147484124
364;265;2147484123
366;265;2147484122
367;265;2147484121
372;265;2147484120
375;265;2147484119
377;265;2147484116
378;265;2147484115
384;281;2147484114
386;281;2147484113
398;281;2147484112
400;281;2147484111
401;281;2147484108
405;281;2147484107
412;281;2147484105
420;281;2147484102
424;296;2147484100
436;296;2147484098
443;296;2147484096
447;296;2147484093
448;296;2147484092
451;312;2147484091
455;312;2147484089
460;312;2147484088
474;312;2147484086
490;328;2147484085
492;328;2147484083
497;328;2147484080
505;328;2147484079
506;328;2147484078
510;328;2147484077
529;343;2147484075
532;343;2147484074
538;343;2147484072
545;343;2147484071
554;343;2147484070
556;359;2147484069
557;359;2147484067
562;359;2147484066
565;359;2147484062
572;359;2147484061
575;359;2147484060
576;359;2147484058
577;359;2147484057
584;359;2147484056
590;359;2147484055
594;375;2147484053
595;375;2147484052
604;375;2147484050
610;375;2147484049
615;375;2147484048
626;375;2147484047
633;390;2147484046
639;390;2147484045
642;390;2147484044
649;390;2147484043
653;390;2147484041
654;390;2147484040
664;390;2147484039
680;406;2147484038
683;406;2147484036
690;406;2147484035
707;406;2147484034
710;421;2147484033
721;421;2147484032
723;421;2147484031
730;421;2147484030
744;421;2147484029
745;421;2147484028
748;437;2147484026
760;437;2147484025
761;437;2147484021
775;437;2147484020
783;453;2147484019
785;453;2147484018
786;453;2147484016
814;453;2147484015
818;468;2147484013
831;468;2147484012
837;481;2147484011
840;483;2147484010
847;486;2147484008
853;490;2147484006
877;495;2147484004
883;495;2147484001
888;495;2147484000
890;495;2147483997
900;511;2147483996
902;511;2147483995
905;511;2147483994
908;511;2147483992
910;511;2147483991
918;511;2147483989
921;511;2147483988
927;511;2147483987
930;527;2147483986
939;527;2147483985
943;527;2147483984
949;527;2147483983
975;542;2147483982
1019;558;2147483981
1053;574;2147483980
1059;574;2147483979
1060;574;2147483977
1067;574;2147483976
1069;574;2147483975
1070;574;2147483974
1075;589;2147483973
1094;589;2147483971
1095;589;2147483970
1107;605;2147483969
1108;605;2147483968
1115;605;2147483967
1132;605;2147483966
1135;605;2147483964
1136;605;2147483963
1146;620;2147483961
1159;620;2147483960
1168;620;2147483959
1173;620;2147483958
1176;636;2147483957
1190;636;2147483956
1195;636;2147483955
1207;636;2147483954
1215;652;2147483953
1228;652;2147483952
1241;652;2147483951
1250;652;2147483950
1252;652;2147483949
1280;667;2147483947
1311;683;2147483946
1313;683;2147483945
1335;699;2147483944
1338;699;2147483941
1340;699;2147483939
1350;699;2147483938
1354;699;2147483937
1360;699;2147483936
1363;714;2147483934
1368;714;2147483932
1372;714;2147483931
1393;714;2147483930
1397;714;2147483929
1403;730;2147483928
1414;745;2147483927
1418;745;2147483926
1423;745;2147483925
1435;745;2147483924
1460;761;2147483922
1468;761;2147483921
1471;761;2147483920
1473;761;2147483919
1523;792;2147483918
1540;792;2147483917
1553;808;2147483916
1560;808;2147483914
1567;808;2147483913
1592;824;2147483911
1601;824;2147483910
1616;824;2147483909
1626;839;2147483908
1629;839;2147483907
1642;839;2147483906
1660;839;2147483905
1675;855;2147483903
1680;855;2147483902
1686;855;2147483901
1711;870;2147483900
1721;870;2147483899
1725;870;2147483898
1727;870;2147483897
1738;886;2147483896
1739;886;2147483894
1764;886;2147483893
1766;886;2147483892
1772;902;2147483891
1795;902;2147483890
1797;902;2147483889
1805;902;2147483888
1808;902;2147483886
1817;917;2147483885
1822;917;2147483884
1835;917;2147483881
1855;933;2147483880
1897;949;2147483879
1919;964;2147483878
1936;964;2147483877
1963;980;2147483876
1994;995;2147483875
2027;1011;2147483873
2069;1027;2147483872
2148;1058;2147483870
2149;1058;2147483869
2162;1058;2147483868
2174;1058;2147483867
2181;1073;2147483866
2191;1073;2147483865
2196;1073;2147483864
2213;1089;2147483863
2218;1089;2147483862
2232;1089;2147483861
2266;1105;2147483860
2268;1105;2147483859
2280;1105;2147483858
2302;1120;2147483857
