fes;time;f
1;47;2147484146
2;47;2147484145
8;62;2147484144
9;62;2147484143
16;78;2147484142
21;78;2147484140
29;78;2147484139
31;94;2147484138
36;94;2147484137
37;94;2147484135
38;94;2147484131
39;94;2147484129
49;94;2147484128
53;109;2147484127
55;109;2147484126
63;109;2147484125
76;109;2147484123
80;125;2147484122
85;125;2147484121
90;125;2147484119
97;125;2147484117
99;125;2147484116
106;141;2147484115
109;141;2147484114
110;141;2147484113
118;141;2147484111
122;141;2147484110
123;141;2147484109
126;141;2147484107
128;141;2147484104
138;156;2147484102
149;156;2147484100
150;156;2147484099
152;156;2147484098
155;156;2147484097
156;172;2147484094
163;172;2147484093
194;187;2147484092
198;187;2147484091
201;187;2147484090
215;203;2147484089
216;203;2147484088
219;203;2147484086
226;203;2147484084
227;203;2147484083
229;203;2147484082
237;219;2147484081
240;219;2147484080
248;234;2147484078
253;234;2147484077
255;234;2147484076
257;234;2147484075
263;234;2147484073
268;234;2147484069
280;250;2147484068
288;250;2147484066
296;250;2147484065
299;250;2147484064
303;250;2147484062
304;250;2147484061
307;250;2147484060
314;266;2147484058
316;266;2147484054
321;266;2147484053
335;266;2147484051
341;266;2147484050
351;281;2147484049
356;281;2147484048
359;281;2147484047
360;281;2147484045
373;297;2147484044
380;297;2147484043
387;297;2147484041
389;297;2147484040
398;297;2147484039
402;312;2147484038
435;312;2147484037
440;328;2147484036
456;328;2147484035
459;328;2147484032
460;328;2147484031
466;328;2147484029
468;328;2147484028
473;328;2147484027
474;344;2147484026
477;344;2147484023
479;344;2147484021
482;344;2147484020
489;344;2147484019
491;344;2147484018
519;359;2147484016
520;359;2147484015
528;359;2147484013
538;359;2147484012
541;359;2147484011
551;375;2147484010
552;375;2147484008
569;375;2147484006
579;375;2147484004
585;375;2147484003
605;391;2147484002
606;391;2147484001
607;391;2147483996
614;391;2147483994
628;406;2147483993
632;406;2147483991
634;406;2147483989
639;406;2147483987
640;406;2147483986
641;406;2147483984
655;406;2147483983
674;422;2147483982
688;422;2147483980
692;422;2147483979
705;437;2147483978
707;437;2147483977
708;437;2147483976
714;437;2147483975
716;437;2147483973
728;453;2147483972
739;453;2147483971
748;453;2147483970
760;453;2147483969
761;453;2147483966
769;469;2147483965
778;469;2147483963
792;469;2147483962
810;484;2147483961
813;484;2147483960
836;500;2147483959
859;516;2147483958
867;516;2147483954
869;516;2147483953
877;516;2147483950
889;516;2147483949
893;531;2147483948
900;531;2147483947
921;531;2147483946
924;531;2147483945
938;547;2147483943
962;547;2147483942
985;562;2147483941
993;562;2147483940
997;562;2147483939
1014;578;2147483938
1023;578;2147483937
1041;578;2147483936
1043;578;2147483935
1050;594;2147483934
1053;594;2147483933
1075;594;2147483932
1078;609;2147483931
1079;609;2147483930
1084;609;2147483929
1098;609;2147483928
1100;609;2147483927
1102;609;2147483925
1104;609;2147483924
1120;625;2147483923
1186;656;2147483922
1195;656;2147483921
1202;656;2147483920
1204;656;2147483919
1228;672;2147483918
1229;672;2147483917
1244;672;2147483916
1253;672;2147483915
1256;687;2147483914
1260;687;2147483913
1272;687;2147483912
1292;703;2147483911
1295;703;2147483910
1299;703;2147483909
1300;703;2147483908
1306;703;2147483907
1328;719;2147483906
1330;719;2147483905
1358;719;2147483904
1362;719;2147483903
1363;719;2147483901
1367;734;2147483900
1399;734;2147483899
1403;734;2147483898
1408;750;2147483897
1410;750;2147483896
1415;750;2147483895
1421;750;2147483894
1426;750;2147483893
1445;765;2147483892
1464;765;2147483891
1474;765;2147483890
1484;781;2147483889
1491;781;2147483888
1494;781;2147483887
1498;781;2147483886
1501;781;2147483885
1502;781;2147483884
1507;781;2147483883
1509;781;2147483881
1516;781;2147483880
1669;859;2147483879
1683;859;2147483878
1693;859;2147483876
1733;875;2147483875
1819;922;2147483873
1836;922;2147483872
1845;922;2147483871
1847;922;2147483870
1848;922;2147483869
1850;922;2147483868
1851;922;2147483867
1861;937;2147483866
1880;937;2147483865
1891;937;2147483864
1912;953;2147483863
1913;953;2147483862
1930;953;2147483860
1959;969;2147483859
1965;969;2147483858
1967;969;2147483857
1973;984;2147483856
1974;984;2147483855
1988;984;2147483854
2013;1000;2147483853
2043;1015;2147483852
2048;1015;2147483851
2061;1015;2147483850
2064;1015;2147483849
2087;1031;2147483848
2135;1047;2147483847
2161;1062;2147483846
2201;1078;2147483845
2215;1078;2147483844
2228;1078;2147483843
2242;1094;2147483842
2247;1094;2147483841
2255;1094;2147483840
2261;1094;2147483839
2301;1109;2147483837
2322;1125;2147483836
