fes;time;f
1;47;765
2;63;763
3;63;762
14;110;761
19;110;760
22;125;756
24;125;755
25;125;754
29;125;752
42;141;751
44;141;750
46;157;749
57;157;747
59;157;746
63;172;745
66;172;744
74;172;743
75;172;742
79;188;740
89;188;739
90;188;738
96;204;736
98;204;735
100;204;733
104;204;732
106;204;726
108;219;722
109;219;720
117;219;719
118;219;718
121;219;716
130;235;715
132;235;713
135;235;712
138;235;711
146;251;709
153;251;708
154;251;706
155;251;705
160;266;703
163;266;702
180;282;701
184;282;700
191;297;699
192;297;698
196;297;697
200;297;696
204;313;695
205;313;694
210;313;693
211;313;690
218;313;688
225;329;687
228;329;685
229;329;684
231;329;683
232;329;682
233;329;681
243;344;679
244;344;676
245;344;673
248;344;672
249;344;670
254;344;668
256;344;667
259;344;666
264;360;664
269;360;662
273;360;661
279;360;660
281;360;659
282;360;658
285;376;656
287;376;651
292;376;649
293;376;648
297;376;647
307;391;646
316;391;645
322;391;644
326;407;643
331;407;642
337;407;640
342;407;639
344;407;637
345;407;636
346;422;635
357;422;634
358;422;633
363;422;632
377;438;630
380;438;629
390;454;628
400;454;625
413;469;623
415;469;622
418;469;618
425;469;617
427;485;616
429;485;615
436;485;614
441;485;613
453;500;612
454;500;608
455;500;607
456;500;606
473;516;605
477;516;601
488;516;599
491;532;598
502;532;596
503;532;595
514;547;594
517;547;593
525;547;592
535;563;591
536;563;590
551;563;589
553;563;587
558;579;586
560;579;585
577;579;584
580;594;583
582;594;582
587;594;581
590;594;580
591;594;579
593;594;578
595;594;577
603;610;573
616;610;572
620;610;569
624;610;567
625;625;566
629;625;565
630;625;563
646;641;561
654;641;560
655;641;557
663;641;556
666;641;554
674;657;553
675;657;552
676;657;550
678;657;549
680;657;548
685;657;547
700;672;545
704;672;543
705;672;542
716;688;541
720;688;538
721;688;537
726;688;536
746;704;534
751;704;533
753;704;531
755;704;530
757;704;529
763;719;528
771;719;526
775;719;525
784;735;524
810;750;523
813;750;522
829;766;521
839;766;520
840;766;518
843;766;516
857;782;515
858;782;513
865;782;510
867;782;509
872;782;508
875;782;506
877;797;505
885;797;502
902;813;499
909;813;498
928;828;497
933;828;495
937;828;493
940;828;491
942;828;490
951;844;488
991;860;487
999;875;486
1000;875;485
1008;875;484
1012;875;483
1020;891;482
1027;891;481
1028;891;479
1041;907;478
1043;907;476
1048;907;475
1050;907;474
1055;907;472
1076;922;471
1080;922;470
1092;938;469
1100;938;468
1111;954;467
1120;954;464
1123;954;463
1129;954;462
1130;954;461
1135;969;460
1143;969;459
1148;969;458
1159;985;457
1161;985;455
1170;985;454
1175;985;453
1179;1000;452
1182;1000;451
1184;1000;450
1189;1000;448
1191;1000;445
1201;1016;443
1207;1016;442
1230;1032;441
1251;1047;440
1255;1047;439
1261;1063;438
1272;1063;437
1279;1063;436
1287;1078;435
1313;1094;433
1319;1094;432
1320;1094;431
1325;1094;430
1334;1110;429
1348;1110;428
1354;1125;426
1357;1125;425
1395;1141;423
1398;1157;422
1404;1157;421
1405;1157;420
1407;1157;419
1409;1157;418
1412;1157;417
1416;1157;415
1419;1157;414
1421;1172;412
1442;1172;411
1448;1188;410
1455;1188;409
1461;1188;408
1464;1188;407
1468;1188;406
1472;1203;405
1477;1203;403
1484;1203;402
1493;1219;401
1506;1219;400
1515;1235;399
1526;1235;398
1530;1235;397
1532;1235;395
1544;1250;394
1556;1250;393
1563;1266;391
1598;1282;390
1610;1297;389
1611;1297;388
1629;1297;387
1660;1328;385
1661;1328;384
1664;1328;383
1680;1344;382
1701;1344;381
1723;1360;380
1727;1375;378
1737;1375;377
1745;1375;376
1761;1391;375
1766;1391;374
1771;1391;372
1775;1407;371
1783;1407;370
1787;1407;369
1816;1422;368
1820;1438;367
1821;1438;366
1825;1438;365
1830;1438;364
1838;1438;363
1841;1438;362
1851;1453;361
1868;1469;360
1874;1469;359
1881;1469;357
1902;1485;356
1907;1485;355
1910;1485;354
1918;1500;353
1992;1547;352
1995;1547;351
2026;1563;350
2033;1563;349
2049;1578;348
2054;1578;347
2056;1578;346
2068;1594;345
2084;1610;344
2087;1610;343
2098;1610;342
2126;1625;341
2128;1625;340
2136;1641;339
2162;1656;338
2168;1656;337
2170;1656;336
2186;1672;335
2199;1672;334
