fes;time;f
1;62;2147484336
4;78;2147484335
5;78;2147484332
8;94;2147484330
14;94;2147484329
16;94;2147484325
17;94;2147484323
20;109;2147484322
21;109;2147484321
23;109;2147484320
30;125;2147484319
31;125;2147484317
32;125;2147484316
34;125;2147484314
39;140;2147484313
42;140;2147484311
48;140;2147484310
51;140;2147484309
55;156;2147484307
61;156;2147484306
65;156;2147484305
71;172;2147484304
88;187;2147484303
99;203;2147484302
105;203;2147484301
106;203;2147484300
111;219;2147484299
113;219;2147484298
115;219;2147484297
116;219;2147484296
123;219;2147484292
125;219;2147484291
130;234;2147484290
131;234;2147484289
133;234;2147484287
134;234;2147484286
135;234;2147484285
140;234;2147484283
148;250;2147484282
153;250;2147484281
158;250;2147484280
159;250;2147484278
161;250;2147484277
162;250;2147484276
167;265;2147484274
169;265;2147484272
171;265;2147484268
172;265;2147484266
173;265;2147484265
175;265;2147484263
179;265;2147484262
180;265;2147484261
183;281;2147484260
196;281;2147484259
199;281;2147484258
213;297;2147484255
218;297;2147484253
221;312;2147484252
226;312;2147484251
227;312;2147484249
230;312;2147484248
233;312;2147484247
235;312;2147484246
236;312;2147484245
244;328;2147484244
247;328;2147484243
248;328;2147484242
249;328;2147484241
257;328;2147484240
267;344;2147484239
274;344;2147484238
277;344;2147484236
284;344;2147484234
290;359;2147484232
291;359;2147484231
297;359;2147484230
308;375;2147484229
312;375;2147484228
315;375;2147484226
319;375;2147484225
321;375;2147484222
328;375;2147484220
351;406;2147484219
354;406;2147484218
360;406;2147484216
362;406;2147484215
371;406;2147484214
376;422;2147484213
379;422;2147484212
386;422;2147484211
390;422;2147484210
404;437;2147484209
412;437;2147484204
418;453;2147484203
434;453;2147484202
449;469;2147484201
452;469;2147484200
453;469;2147484198
456;469;2147484197
457;469;2147484196
473;484;2147484195
487;500;2147484194
501;500;2147484192
505;515;2147484191
507;515;2147484190
510;515;2147484187
517;515;2147484186
518;515;2147484185
526;515;2147484184
528;531;2147484182
531;531;2147484180
535;531;2147484179
536;531;2147484178
555;547;2147484177
558;547;2147484176
579;562;2147484175
588;562;2147484174
599;578;2147484173
612;578;2147484171
621;578;2147484170
628;594;2147484168
629;594;2147484166
638;594;2147484163
643;594;2147484162
651;609;2147484161
654;609;2147484160
659;609;2147484159
664;609;2147484158
671;625;2147484157
675;625;2147484156
686;625;2147484155
711;656;2147484154
712;656;2147484153
718;656;2147484151
729;656;2147484150
742;672;2147484149
744;672;2147484147
745;672;2147484146
751;672;2147484145
756;672;2147484144
757;672;2147484143
765;687;2147484141
769;687;2147484139
776;687;2147484138
780;687;2147484137
781;687;2147484136
789;703;2147484132
799;703;2147484131
804;703;2147484130
816;718;2147484129
817;718;2147484128
830;718;2147484127
836;734;2147484126
846;734;2147484125
853;734;2147484124
874;750;2147484123
881;765;2147484121
891;765;2147484120
897;765;2147484118
902;765;2147484117
924;781;2147484116
946;797;2147484115
989;828;2147484114
991;828;2147484113
997;828;2147484112
1005;843;2147484111
1023;859;2147484109
1028;859;2147484108
1045;875;2147484106
1059;875;2147484105
1084;890;2147484103
1097;906;2147484102
1098;906;2147484101
1102;906;2147484100
1103;906;2147484099
1110;906;2147484098
1112;906;2147484096
1119;922;2147484095
1120;922;2147484092
1131;922;2147484091
1166;953;2147484090
1169;953;2147484089
1201;984;2147484088
1219;984;2147484087
1224;1000;2147484086
1227;1000;2147484085
1228;1000;2147484083
1248;1015;2147484082
1268;1015;2147484079
1281;1031;2147484078
1286;1031;2147484076
1288;1031;2147484075
1292;1031;2147484074
1326;1062;2147484073
1328;1062;2147484072
1362;1078;2147484071
1367;1078;2147484070
1382;1093;2147484069
1386;1093;2147484068
1414;1109;2147484067
1418;1125;2147484065
1435;1125;2147484064
1442;1140;2147484063
1458;1140;2147484062
1466;1156;2147484061
1467;1156;2147484060
1470;1156;2147484059
1476;1156;2147484058
1483;1156;2147484057
1497;1171;2147484056
1498;1171;2147484053
1517;1187;2147484052
1520;1187;2147484051
1522;1187;2147484050
1530;1187;2147484049
1533;1203;2147484048
1553;1218;2147484046
1555;1218;2147484044
1556;1218;2147484041
1558;1218;2147484040
1561;1218;2147484039
1566;1218;2147484038
1569;1218;2147484037
1572;1218;2147484036
1577;1234;2147484035
1582;1234;2147484034
1585;1234;2147484033
1589;1234;2147484032
1601;1250;2147484031
1615;1250;2147484030
1634;1265;2147484029
1644;1265;2147484028
1650;1281;2147484027
1661;1281;2147484026
1679;1296;2147484025
1680;1296;2147484024
1691;1296;2147484023
1693;1296;2147484022
1699;1312;2147484021
1710;1312;2147484020
1722;1312;2147484019
1726;1328;2147484018
1731;1328;2147484017
1763;1343;2147484016
1772;1343;2147484014
1791;1359;2147484013
1797;1375;2147484011
1800;1375;2147484009
1808;1375;2147484008
1832;1390;2147484007
1864;1421;2147484006
1871;1421;2147484005
1881;1421;2147484004
1885;1421;2147484003
1897;1437;2147484002
1898;1437;2147484001
1903;1437;2147483999
1905;1437;2147483998
1972;1484;2147483997
1976;1500;2147483996
2042;1531;2147483994
2051;1546;2147483993
2078;1562;2147483992
2080;1562;2147483991
2090;1562;2147483990
2093;1562;2147483989
2099;1578;2147483988
2102;1578;2147483987
2110;1578;2147483986
2126;1593;2147483985
2127;1593;2147483984
2185;1640;2147483983
2190;1640;2147483981
2223;1656;2147483980
2225;1656;2147483979
2227;1656;2147483977
2231;1656;2147483976
2245;1671;2147483973
2270;1687;2147483972
