fes;time;f
1;47;2147484348
6;78;2147484347
9;78;2147484346
15;94;2147484345
20;94;2147484343
22;94;2147484341
23;94;2147484337
25;110;2147484336
26;110;2147484335
29;110;2147484333
33;110;2147484332
34;110;2147484329
36;125;2147484328
37;125;2147484326
39;125;2147484319
40;125;2147484318
56;141;2147484317
65;157;2147484316
68;157;2147484315
76;157;2147484314
84;172;2147484313
85;172;2147484312
87;172;2147484311
88;172;2147484309
91;172;2147484308
93;188;2147484307
94;188;2147484303
95;188;2147484302
336;391;2147484301
337;391;2147484297
339;391;2147484296
341;391;2147484295
351;407;2147484293
355;407;2147484292
366;422;2147484291
378;422;2147484290
379;422;2147484289
381;422;2147484288
388;438;2147484287
720;688;2147484282
726;703;2147484281
728;703;2147484279
731;703;2147484278
734;703;2147484277
736;703;2147484276
747;703;2147484275
748;719;2147484274
755;719;2147484270
762;719;2147484269
763;719;2147484268
766;719;2147484265
773;735;2147484264
776;735;2147484263
779;735;2147484262
797;750;2147484261
800;750;2147484260
1065;938;2147484259
1079;938;2147484258
1086;953;2147484257
1087;953;2147484256
1088;953;2147484255
1090;953;2147484254
1093;953;2147484252
1101;953;2147484250
1112;969;2147484249
1113;969;2147484248
1117;969;2147484246
1129;969;2147484242
1130;985;2147484241
1131;985;2147484239
1142;985;2147484238
1154;1000;2147484236
1155;1000;2147484233
1169;1000;2147484232
1172;1000;2147484231
1182;1016;2147484229
1186;1016;2147484227
1191;1016;2147484224
1193;1016;2147484220
2392;1859;2147484219
2399;1859;2147484218
2896;2219;2147484217
2897;2219;2147484216
2902;2219;2147484215
2915;2234;2147484213
2918;2234;2147484212
2927;2234;2147484210
2929;2250;2147484209
2930;2250;2147484207
2932;2250;2147484205
2954;2265;2147484204
2957;2265;2147484203
2962;2265;2147484202
2965;2265;2147484201
3003;2297;2147484200
3005;2297;2147484198
3008;2297;2147484196
3017;2312;2147484195
3018;2312;2147484194
3023;2312;2147484192
3027;2312;2147484191
3045;2328;2147484190
3055;2328;2147484189
3057;2344;2147484188
3065;2344;2147484187
3072;2344;2147484184
3073;2344;2147484183
3077;2344;2147484182
3079;2359;2147484181
3093;2359;2147484180
3100;2375;2147484179
3102;2375;2147484178
3104;2375;2147484177
3107;2375;2147484176
3110;2375;2147484175
3112;2375;2147484174
3125;2390;2147484173
3126;2390;2147484170
3144;2406;2147484168
3150;2406;2147484167
3152;2406;2147484166
3160;2406;2147484165
3166;2422;2147484163
3183;2422;2147484160
3193;2437;2147484159
6393;4699;2147484158
6398;4699;2147484157
6400;4699;2147484156
7177;5246;2147484155
7181;5246;2147484154
7204;5262;2147484153
7206;5262;2147484152
7211;5262;2147484151
7223;5277;2147484149
7230;5277;2147484148
7233;5277;2147484145
7247;5293;2147484144
7268;5308;2147484143
7272;5308;2147484142
7276;5308;2147484140
7278;5308;2147484137
7279;5308;2147484136
7283;5324;2147484135
7291;5324;2147484134
7299;5324;2147484132
7303;5340;2147484131
7304;5340;2147484130
7309;5340;2147484129
7350;5371;2147484128
7353;5371;2147484127
7375;5386;2147484126
7383;5386;2147484125
7402;5402;2147484124
7431;5418;2147484123
7447;5433;2147484119
7457;5449;2147484114
7473;5449;2147484113
7478;5449;2147484112
7493;5465;2147484110
7517;5480;2147484109
7529;5496;2147484108
7538;5496;2147484107
7542;5496;2147484106
7555;5511;2147484105
7560;5511;2147484104
7566;5511;2147484101
7597;5543;2147484099
7607;5543;2147484098
7609;5543;2147484096
7647;5574;2147484095
7648;5574;2147484094
7653;5574;2147484093
7660;5590;2147484092
7680;5590;2147484090
7686;5605;2147484088
7700;5605;2147484086
7712;5621;2147484085
7714;5621;2147484084
7719;5621;2147484083
7726;5621;2147484081
7729;5621;2147484080
7736;5636;2147484079
7747;5636;2147484078
7766;5652;2147484076
7793;5668;2147484073
7809;5683;2147484072
7844;5714;2147484071
7846;5714;2147484070
7852;5714;2147484069
7865;5730;2147484068
7866;5730;2147484065
7916;5761;2147484064
7919;5761;2147484063
7923;5761;2147484062
7926;5761;2147484060
7932;5761;2147484059
7938;5777;2147484058
7949;5777;2147484057
7956;5793;2147484056
7981;5808;2147484055
7982;5808;2147484054
7992;5808;2147484053
7995;5808;2147484052
7999;5808;2147484051
15924;11301;2147484050
15925;11301;2147484049
15927;11301;2147484047
15937;11316;2147484046
15960;11332;2147484043
15966;11332;2147484042
17273;12222;2147484041
17280;12222;2147484040
17295;12238;2147484039
17314;12253;2147484038
17327;12253;2147484037
17337;12269;2147484035
17338;12269;2147484034
17343;12269;2147484033
17358;12285;2147484032
17361;12285;2147484031
17364;12285;2147484030
17397;12300;2147484029
17404;12316;2147484027
17414;12316;2147484025
17416;12316;2147484024
17419;12316;2147484023
17433;12332;2147484022
17435;12332;2147484021
17461;12347;2147484020
17471;12347;2147484019
17473;12363;2147484018
17476;12363;2147484016
17479;12363;2147484014
17483;12363;2147484013
17489;12363;2147484011
17514;12378;2147484010
17529;12394;2147484009
17553;12410;2147484007
17558;12410;2147484006
17560;12410;2147484005
17574;12425;2147484004
17592;12441;2147484003
17595;12441;2147484002
17621;12457;2147484000
17628;12457;2147483999
17645;12472;2147483998
17660;12488;2147483997
17668;12488;2147483996
17688;12503;2147483995
17695;12503;2147483994
17696;12519;2147483993
17703;12519;2147483992
17716;12519;2147483991
17717;12519;2147483990
17719;12535;2147483989
17722;12535;2147483988
17736;12535;2147483986
17784;12566;2147483985
17788;12582;2147483984
17793;12582;2147483983
17798;12582;2147483981
17799;12582;2147483980
17806;12582;2147483979
17818;12597;2147483978
17821;12597;2147483977
17825;12597;2147483976
17828;12597;2147483975
17831;12597;2147483974
17852;12613;2147483973
17902;12660;2147483972
17924;12660;2147483971
17930;12675;2147483970
17965;12691;2147483969
17997;12722;2147483968
18013;12722;2147483967
18033;12738;2147483966
18044;12753;2147483965
18047;12753;2147483964
18051;12753;2147483963
18081;12769;2147483962
18086;12785;2147483961
18089;12785;2147483960
18126;12800;2147483959
18141;12816;2147483958
18150;12816;2147483957
18169;12831;2147483955
18252;12894;2147483954
18254;12894;2147483953
18258;12894;2147483952
18261;12894;2147483951
18264;12894;2147483950
18286;12910;2147483949
18345;12956;2147483948
18348;12956;2147483947
18353;12956;2147483946
18374;12972;2147483945
18380;12972;2147483944
18414;13003;2147483943
18427;13019;2147483942
18436;13019;2147483941
18447;13035;2147483940
18479;13050;2147483939
18504;13066;2147483938
18512;13066;2147483937
18538;13097;2147483936
18553;13097;2147483935
18554;13097;2147483934
18559;13113;2147483933
18591;13128;2147483932
18612;13144;2147483931
18620;13144;2147483930
18649;13175;2147483929
18650;13175;2147483928
18668;13175;2147483927
18672;13191;2147483926
18701;13206;2147483924
18722;13222;2147483923
18745;13238;2147483922
18765;13253;2147483920
18792;13269;2147483919
18828;13284;2147483918
18840;13300;2147483917
18845;13300;2147483916
18905;13347;2147483915
18974;13394;2147483914
19003;13409;2147483913
19007;13409;2147483912
19045;13441;2147483911
19106;13488;2147483910
19109;13488;2147483909
19122;13488;2147483907
42323;29539;2147483906
