fes;time;f
1;78;2147485352
21;192;2147485351
34;254;2147485350
37;270;2147485349
38;270;2147485348
47;317;2147485347
51;332;2147485346
52;348;2147485345
53;348;2147485342
58;364;2147485340
74;442;2147485339
75;442;2147485338
77;457;2147485337
78;457;2147485334
79;473;2147485331
86;504;2147485330
98;551;2147485328
107;582;2147485326
110;598;2147485324
116;629;2147485322
117;629;2147485320
120;645;2147485316
122;645;2147485315
124;661;2147485314
125;661;2147485313
146;739;2147485308
152;770;2147485307
156;786;2147485306
179;879;2147485305
180;879;2147485304
184;895;2147485303
187;910;2147485301
198;957;2147485300
200;957;2147485297
201;973;2147485294
204;973;2147485293
211;1004;2147485292
214;1020;2147485290
220;1051;2147485289
224;1067;2147485288
237;1114;2147485287
239;1114;2147485285
244;1145;2147485283
255;1176;2147485279
262;1207;2147485278
267;1223;2147485277
270;1239;2147485276
274;1254;2147485275
276;1270;2147485274
281;1285;2147485273
285;1301;2147485271
286;1301;2147485270
289;1317;2147485269
293;1332;2147485267
294;1332;2147485266
295;1332;2147485265
296;1348;2147485264
297;1348;2147485263
313;1410;2147485262
318;1426;2147485261
319;1442;2147485258
322;1442;2147485256
324;1457;2147485254
335;1504;2147485252
338;1520;2147485251
345;1535;2147485250
349;1567;2147485249
351;1567;2147485248
354;1582;2147485246
357;1598;2147485242
363;1613;2147485241
364;1629;2147485240
365;1629;2147485238
370;1645;2147485235
373;1660;2147485233
375;1660;2147485230
379;1676;2147485229
386;1707;2147485228
387;1707;2147485226
388;1723;2147485225
392;1738;2147485224
398;1754;2147485222
399;1770;2147485221
401;1770;2147485219
403;1785;2147485215
405;1785;2147485214
408;1801;2147485213
413;1816;2147485211
415;1832;2147485208
421;1848;2147485205
422;1848;2147485203
424;1863;2147485202
425;1863;2147485201
426;1863;2147485200
428;1879;2147485199
441;1926;2147485197
446;1941;2147485196
455;1988;2147485194
466;2035;2147485193
468;2035;2147485192
470;2051;2147485190
499;2160;2147485189
500;2176;2147485188
502;2176;2147485187
507;2191;2147485186
513;2223;2147485182
517;2238;2147485181
522;2254;2147485179
526;2270;2147485177
532;2301;2147485175
541;2332;2147485174
553;2379;2147485173
560;2410;2147485172
574;2473;2147485170
577;2473;2147485169
580;2488;2147485168
588;2519;2147485167
592;2535;2147485166
597;2566;2147485165
599;2566;2147485164
603;2582;2147485163
619;2644;2147485161
623;2660;2147485157
624;2660;2147485156
626;2676;2147485155
629;2691;2147485154
638;2723;2147485153
640;2723;2147485152
641;2723;2147485151
651;2769;2147485149
652;2769;2147485148
655;2785;2147485147
658;2801;2147485145
663;2816;2147485144
664;2816;2147485142
671;2848;2147485141
681;2879;2147485140
683;2894;2147485139
686;2910;2147485137
690;2926;2147485134
691;2926;2147485133
699;2957;2147485131
701;2973;2147485130
704;2973;2147485129
705;2988;2147485128
706;2988;2147485127
708;2988;2147485126
717;3035;2147485125
721;3051;2147485123
723;3051;2147485122
724;3051;2147485121
726;3066;2147485120
727;3066;2147485119
734;3097;2147485117
750;3160;2147485115
751;3160;2147485114
753;3176;2147485113
758;3204;2147485110
761;3209;2147485108
766;3240;2147485107
779;3287;2147485105
785;3302;2147485103
789;3318;2147485101
794;3334;2147485099
803;3381;2147485097
829;3474;2147485096
833;3490;2147485095
837;3521;2147485094
839;3521;2147485093
840;3521;2147485092
847;3552;2147485091
849;3568;2147485090
854;3584;2147485089
884;3709;2147485088
891;3740;2147485087
896;3755;2147485085
899;3771;2147485082
907;3802;2147485080
917;3834;2147485078
923;3865;2147485076
927;3880;2147485075
938;3927;2147485074
