fes;time;f
1;78;2147485387
3;94;2147485386
4;109;2147485385
6;109;2147485383
20;187;2147485382
34;250;2147485379
37;265;2147485376
44;297;2147485375
66;390;2147485374
67;390;2147485373
77;437;2147485372
83;453;2147485371
86;469;2147485369
94;500;2147485365
95;500;2147485364
98;515;2147485363
112;562;2147485361
113;578;2147485357
118;594;2147485353
121;594;2147485350
122;609;2147485349
123;609;2147485348
125;609;2147485347
128;625;2147485345
146;703;2147485344
151;719;2147485343
153;719;2147485341
155;734;2147485340
157;734;2147485339
162;765;2147485335
194;890;2147485332
209;953;2147485331
212;968;2147485330
214;968;2147485329
215;984;2147485327
222;1000;2147485325
223;1000;2147485324
227;1015;2147485322
232;1047;2147485319
237;1062;2147485318
238;1062;2147485317
239;1062;2147485316
246;1093;2147485315
249;1109;2147485313
250;1109;2147485312
255;1140;2147485310
260;1156;2147485309
263;1172;2147485307
265;1172;2147485306
267;1187;2147485303
273;1203;2147485300
275;1218;2147485297
280;1234;2147485295
290;1281;2147485294
297;1297;2147485292
314;1359;2147485290
321;1390;2147485289
350;1515;2147485288
353;1515;2147485286
361;1546;2147485283
362;1562;2147485282
378;1625;2147485281
379;1625;2147485279
380;1625;2147485278
390;1671;2147485277
392;1671;2147485276
393;1687;2147485275
398;1703;2147485274
409;1749;2147485272
414;1765;2147485271
416;1781;2147485270
421;1796;2147485269
439;1859;2147485265
443;1874;2147485264
444;1874;2147485260
446;1890;2147485259
447;1890;2147485258
449;1906;2147485255
451;1906;2147485253
460;1937;2147485252
462;1953;2147485251
466;1968;2147485249
472;1984;2147485248
474;1999;2147485247
479;2015;2147485245
488;2062;2147485243
491;2062;2147485241
495;2093;2147485239
506;2124;2147485237
510;2140;2147485236
532;2236;2147485235
533;2236;2147485234
539;2267;2147485233
542;2267;2147485232
548;2298;2147485231
551;2314;2147485230
552;2314;2147485229
562;2345;2147485228
563;2361;2147485225
564;2361;2147485222
570;2376;2147485220
584;2439;2147485219
588;2454;2147485218
591;2470;2147485217
592;2470;2147485216
594;2470;2147485215
601;2501;2147485214
603;2517;2147485212
613;2548;2147485211
619;2579;2147485209
621;2579;2147485208
631;2626;2147485206
632;2626;2147485205
639;2642;2147485204
644;2673;2147485203
645;2673;2147485202
646;2673;2147485201
648;2689;2147485200
650;2689;2147485199
653;2704;2147485198
665;2751;2147485197
668;2767;2147485196
671;2767;2147485195
674;2783;2147485192
675;2783;2147485191
676;2798;2147485189
678;2798;2147485188
687;2829;2147485187
689;2845;2147485186
691;2845;2147485185
701;2892;2147485182
702;2892;2147485181
705;2908;2147485178
706;2908;2147485177
707;2908;2147485176
714;2939;2147485175
717;2954;2147485174
718;2954;2147485171
721;2970;2147485170
729;3001;2147485168
737;3032;2147485167
739;3032;2147485166
744;3048;2147485165
747;3064;2147485163
748;3064;2147485161
755;3095;2147485160
769;3157;2147485158
775;3173;2147485156
784;3204;2147485155
789;3220;2147485154
792;3236;2147485153
805;3282;2147485152
811;3314;2147485151
840;3423;2147485150
851;3470;2147485149
857;3485;2147485147
865;3517;2147485146
875;3564;2147485145
