fes;time;f
1;78;2147485519
5;109;2147485518
7;124;2147485517
12;156;2147485514
17;171;2147485512
18;187;2147485511
29;234;2147485509
33;249;2147485508
34;249;2147485506
37;265;2147485505
44;296;2147485504
45;296;2147485503
53;343;2147485501
70;406;2147485500
72;406;2147485499
83;453;2147485498
84;453;2147485497
93;499;2147485496
94;499;2147485495
99;515;2147485493
100;531;2147485492
101;531;2147485438
103;546;2147485436
105;546;2147485435
110;578;2147485434
117;593;2147485432
124;624;2147485429
125;624;2147485428
126;640;2147485427
128;640;2147485423
144;702;2147485422
149;734;2147485421
152;734;2147485420
154;749;2147485419
162;781;2147485418
165;781;2147485417
166;796;2147485416
170;812;2147485414
185;859;2147485413
187;874;2147485412
193;890;2147485411
372;1609;2147485410
380;1640;2147485409
382;1655;2147485408
386;1671;2147485407
397;1718;2147485406
400;1733;2147485405
787;3267;2147485404
799;3314;2147485403
943;3882;2147485402
945;3897;2147485401
947;3913;2147485399
950;3913;2147485397
984;4054;2147485396
987;4069;2147485395
993;4085;2147485394
996;4100;2147485393
1002;4132;2147485392
1003;4132;2147485391
1004;4132;2147485390
1006;4147;2147485388
1007;4147;2147485387
1012;4163;2147485386
1014;4179;2147485385
1017;4179;2147485384
1018;4194;2147485383
1027;4225;2147485382
1030;4241;2147485378
1033;4257;2147485377
1037;4272;2147485376
1043;4288;2147485375
1046;4304;2147485373
1048;4304;2147485372
1049;4304;2147485370
1053;4319;2147485368
1055;4335;2147485367
1064;4366;2147485366
1069;4382;2147485365
1071;4397;2147485363
1081;4444;2147485358
1082;4444;2147485356
1092;4475;2147485355
1093;4475;2147485354
1095;4491;2147485353
1100;4507;2147485352
1103;4522;2147485351
1106;4538;2147485349
1107;4538;2147485347
1113;4553;2147485345
1119;4585;2147485344
1127;4616;2147485343
1130;4632;2147485342
1135;4647;2147485341
1137;4663;2147485340
1140;4678;2147485339
1141;4678;2147485338
1152;4725;2147485337
1154;4725;2147485332
1163;4757;2147485331
1165;4772;2147485330
1190;4866;2147485328
2356;9444;2147485327
2357;9459;2147485326
2360;9459;2147485325
2373;9522;2147485324
2375;9522;2147485323
2382;9553;2147485321
2397;9616;2147485316
3109;12419;2147485315
3127;12481;2147485313
3132;12497;2147485311
3136;12528;2147485310
3141;12544;2147485309
3145;12559;2147485308
3147;12559;2147485307
3150;12575;2147485302
3159;12606;2147485301
3162;12622;2147485300
3167;12637;2147485299
3168;12653;2147485298
3172;12669;2147485297
3180;12700;2147485296
3186;12715;2147485295
3197;12762;2147485294
6241;24709;2147485293
6243;24709;2147485292
6264;24787;2147485291
6269;24818;2147485290
6274;24834;2147485288
6294;24912;2147485285
6297;24912;2147485284
6298;24927;2147485283
6299;24927;2147485282
6307;24959;2147485281
6312;24974;2147485279
6317;24990;2147485278
6321;25005;2147485277
6322;25021;2147485276
6323;25021;2147485274
6331;25052;2147485273
6342;25099;2147485272
6347;25115;2147485271
6349;25130;2147485270
