fes;time;f
1;63;1782
3;94;1780
10;141;1778
13;157;1776
16;172;1775
19;188;1773
23;204;1772
24;204;1771
26;219;1769
28;235;1768
38;282;1767
41;297;1765
43;297;1764
44;297;1763
47;313;1760
49;328;1759
51;328;1758
59;375;1757
64;391;1754
81;453;1753
96;516;1752
99;532;1751
101;547;1750
102;547;1749
115;594;1747
117;610;1746
126;641;1744
127;657;1743
128;657;1740
129;657;1739
130;672;1736
156;782;1735
158;782;1734
165;813;1733
172;844;1730
178;860;1727
182;875;1726
184;891;1725
200;953;1724
207;985;1722
215;1016;1716
219;1031;1714
226;1063;1713
228;1063;1711
230;1078;1709
239;1110;1708
240;1125;1707
247;1156;1706
249;1156;1705
259;1203;1704
261;1203;1703
263;1219;1700
288;1328;1698
290;1328;1697
293;1344;1693
295;1344;1692
299;1360;1691
304;1391;1690
323;1469;1689
327;1484;1688
334;1516;1685
337;1516;1683
353;1580;1681
362;1627;1680
369;1658;1678
370;1658;1676
381;1705;1674
383;1705;1672
384;1705;1667
393;1752;1666
399;1768;1663
404;1799;1662
406;1799;1661
409;1814;1658
411;1814;1657
417;1846;1656
421;1861;1654
422;1861;1652
424;1877;1650
446;1958;1649
455;2005;1648
462;2036;1647
464;2036;1646
470;2068;1645
480;2099;1644
484;2114;1643
488;2130;1642
490;2146;1640
500;2177;1638
515;2239;1637
516;2255;1636
535;2318;1634
556;2411;1633
565;2442;1632
566;2458;1631
573;2489;1630
577;2505;1629
579;2505;1628
598;2583;1627
607;2614;1626
608;2630;1625
617;2661;1623
635;2739;1622
636;2739;1621
652;2802;1620
653;2802;1619
664;2849;1618
665;2864;1615
671;2880;1614
686;2942;1613
696;2989;1612
707;3021;1608
712;3052;1605
724;3099;1604
727;3099;1602
743;3177;1600
747;3192;1599
755;3224;1597
761;3239;1596
771;3286;1595
786;3349;1594
798;3404;1592
815;3467;1591
819;3483;1590
833;3530;1589
834;3545;1587
846;3592;1586
854;3623;1585
857;3623;1584
859;3639;1581
879;3717;1580
889;3764;1579
890;3764;1576
891;3764;1575
916;3873;1573
922;3904;1572
932;3936;1571
935;3951;1570
940;3967;1568
946;3998;1567
963;4061;1564
966;4076;1563
970;4092;1562
971;4092;1561
980;4139;1560
983;4139;1559
984;4154;1557
988;4170;1556
990;4170;1555
1014;4264;1553
1033;4342;1552
1044;4389;1551
1051;4420;1549
1056;4436;1548
1071;4498;1546
1083;4545;1544
1087;4561;1543
1090;4561;1542
1100;4607;1541
1108;4639;1540
1113;4654;1539
1117;4670;1537
1124;4701;1536
1130;4717;1535
1136;4748;1534
1139;4764;1531
1143;4779;1528
1148;4795;1527
1154;4826;1523
1156;4826;1522
1166;4873;1521
1170;4873;1520
1183;4935;1519
1186;4935;1518
1198;4998;1517
1199;4998;1516
1207;5029;1515
1214;5060;1513
1215;5060;1511
1217;5060;1509
1218;5076;1507
1225;5092;1506
1230;5123;1505
1241;5154;1504
1243;5170;1502
1245;5170;1501
1250;5201;1500
1252;5201;1499
1263;5248;1498
1266;5264;1495
1269;5279;1493
1278;5310;1492
1282;5326;1491
1283;5326;1489
1287;5342;1487
1309;5435;1481
1319;5467;1480
1335;5545;1479
1346;5576;1478
1352;5607;1477
1353;5607;1476
1365;5670;1475
1367;5670;1474
1373;5701;1473
1388;5748;1472
1393;5779;1471
1399;5795;1470
1400;5795;1462
1403;5810;1460
1404;5810;1459
1406;5826;1458
1407;5826;1457
1408;5826;1454
1422;5888;1453
1423;5888;1447
1426;5904;1445
1434;5935;1444
1443;5966;1443
1445;5982;1441
1446;5982;1440
1468;6076;1439
1483;6138;1438
1491;6170;1437
1492;6170;1436
1495;6185;1435
1531;6326;1434
1533;6326;1433
1547;6388;1432
1556;6419;1431
1560;6435;1428
1570;6482;1427
1576;6498;1426
1588;6560;1425
1612;6656;1424
1618;6672;1420
1621;6687;1419
1636;6750;1417
1660;6844;1416
1664;6859;1415
1669;6875;1412
1671;6890;1410
1680;6928;1406
1686;6959;1405
1687;6959;1403
1691;6975;1401
1702;7021;1400
1707;7037;1398
1724;7100;1397
1732;7131;1396
1733;7131;1395
1734;7146;1394
1737;7146;1393
1739;7162;1392
1741;7162;1390
1765;7271;1388
1766;7271;1386
1777;7318;1385
1784;7334;1384
1797;7396;1383
1799;7396;1382
1812;7443;1381
1814;7459;1380
1817;7474;1379
1818;7474;1378
1836;7553;1376
1837;7553;1374
1841;7568;1371
1855;7631;1370
1866;7662;1368
1877;7709;1367
1881;7724;1366
1882;7724;1365
1884;7740;1364
1886;7740;1363
1888;7756;1362
1890;7756;1361
1895;7787;1360
1901;7803;1359
1902;7818;1358
1904;7818;1357
1915;7865;1356
1920;7881;1354
1921;7881;1353
1924;7896;1352
1928;7912;1351
1950;8006;1350
1954;8021;1349
1957;8037;1347
1959;8037;1346
1960;8037;1345
1963;8052;1344
1976;8099;1343
1982;8131;1342
1986;8146;1341
1987;8146;1340
1991;8162;1339
2000;8193;1338
2008;8224;1337
2033;8334;1335
2037;8349;1333
2043;8381;1332
2049;8396;1331
2057;8427;1329
2060;8443;1328
2075;8505;1327
2079;8521;1326
2091;8568;1325
2096;8584;1324
2099;8599;1322
2113;8662;1320
2115;8662;1319
2122;8693;1318
2131;8740;1317
2150;8802;1315
2153;8818;1314
2164;8865;1312
2172;8896;1311
2178;8912;1309
2179;8927;1308
2196;8990;1307
2197;8990;1306
2207;9037;1305
2236;9146;1304
2247;9193;1303
2249;9193;1302
2261;9240;1301
2262;9255;1300
2263;9255;1299
2274;9302;1298
2280;9318;1297
2314;9458;1295
2317;9474;1294
2323;9490;1292
2326;9505;1291
2332;9536;1287
2333;9536;1286
2352;9615;1283
2356;9630;1282
2358;9630;1281
2391;9755;1279
2396;9786;1278
2405;9818;1275
2406;9818;1274
2410;9833;1273
2420;9880;1272
2423;9880;1271
2430;9911;1270
2446;9974;1269
2474;10099;1268
2502;10208;1267
2515;10255;1266
2527;10302;1264
2537;10333;1263
2550;10396;1262
2578;10505;1261
2584;10521;1259
2605;10614;1258
2606;10614;1257
2611;10630;1255
2622;10677;1254
2650;10786;1253
2661;10833;1252
2665;10849;1250
2670;10864;1246
2688;10942;1245
2692;10958;1244
2712;11036;1243
2720;11067;1242
2731;11114;1241
2741;11146;1240
2743;11161;1239
2774;11270;1237
2781;11302;1236
2789;11333;1234
2804;11395;1233
2814;11427;1232
2829;11505;1231
2830;11505;1230
2848;11567;1229
2850;11585;1228
2862;11632;1227
2864;11632;1226
2875;11679;1225
2890;11741;1224
2893;11757;1223
2899;11773;1222
2900;11788;1221
2904;11804;1220
2906;11804;1219
2911;11820;1218
2920;11851;1217
2923;11866;1216
2929;11898;1214
2948;11960;1213
2959;12007;1212
2968;12038;1211
2972;12054;1210
3003;12179;1209
3008;12194;1208
3013;12226;1207
3014;12226;1206
3022;12257;1205
3031;12288;1204
3036;12304;1203
3037;12319;1202
3044;12335;1200
3047;12351;1199
3051;12366;1198
3054;12382;1197
3060;12398;1195
3073;12460;1194
3078;12476;1193
3084;12491;1192
3101;12554;1191
3116;12616;1189
3120;12632;1188
3121;12647;1187
3123;12647;1185
3126;12663;1184
3136;12710;1183
3140;12726;1181
3147;12741;1180
3153;12772;1179
3163;12804;1178
3170;12835;1177
3171;12835;1176
3181;12882;1175
3182;12882;1174
3184;12897;1173
3190;12913;1172
3191;12913;1171
3199;12944;1170
3200;12960;1169
3206;12976;1168
3211;13007;1167
3219;13038;1166
3274;13257;1165
3275;13257;1164
3276;13257;1163
3278;13272;1162
3281;13272;1161
3303;13366;1159
3304;13366;1158
3322;13444;1156
3324;13444;1155
3326;13460;1152
3341;13522;1151
3345;13538;1150
3356;13569;1149
3366;13616;1148
3377;13663;1147
3392;13710;1146
3397;13741;1145
3398;13741;1144
3404;13772;1141
3412;13803;1140
3423;13835;1139
3434;13882;1138
3436;13897;1137
3439;13913;1136
3440;13913;1135
3441;13913;1134
3449;13944;1133
3457;13975;1132
3459;13991;1131
3469;14022;1130
3476;14053;1129
3482;14085;1128
3487;14100;1127
3491;14116;1126
3495;14132;1125
3500;14147;1124
3502;14163;1123
3504;14163;1122
3522;14241;1121
3543;14319;1120
3544;14319;1119
3558;14381;1118
3588;14506;1117
3614;14616;1116
3616;14616;1114
3639;14709;1113
3640;14709;1111
3643;14725;1110
3659;14788;1109
3660;14803;1108
3665;14819;1107
3686;14897;1106
3690;14913;1105
3701;14959;1104
3716;15022;1103
3744;15131;1102
3760;15194;1101
3777;15256;1100
3782;15272;1099
3807;15366;1098
3819;15412;1097
3824;15444;1096
3837;15491;1094
3840;15506;1093
3841;15506;1092
3848;15537;1091
3863;15600;1090
3907;15772;1089
3911;15787;1088
3912;15803;1087
3924;15850;1086
3929;15865;1085
3938;15897;1084
3948;15944;1083
3978;16053;1082
3996;16131;1081
4023;16240;1080
4024;16240;1079
4026;16256;1078
4027;16256;1076
4029;16256;1075
4044;16318;1074
4048;16334;1073
4074;16443;1072
4077;16443;1071
4088;16490;1070
4091;16506;1069
4125;16635;1068
4165;16807;1067
4172;16839;1066
4178;16854;1065
4185;16885;1064
4188;16901;1063
4220;17026;1061
4238;17104;1059
4244;17120;1058
4257;17167;1057
4260;17182;1055
4261;17182;1053
4266;17213;1052
4295;17323;1051
4309;17385;1050
4321;17432;1049
4323;17432;1048
4325;17448;1047
4339;17495;1046
4343;17510;1045
4349;17541;1044
4363;17588;1043
4366;17604;1041
4385;17682;1040
4388;17698;1039
4393;17713;1038
4394;17713;1037
4416;17807;1036
4443;17916;1035
4449;17932;1033
4459;17979;1032
4483;18073;1030
4502;18151;1029
4504;18151;1028
4521;18213;1027
4526;18244;1026
4535;18276;1025
4554;18354;1024
4570;18416;1023
4575;18432;1021
4585;18463;1019
4587;18479;1018
4611;18572;1017
4615;18588;1015
4619;18604;1014
4650;18729;1013
4674;18822;1012
4709;18957;1011
4711;18957;1010
4724;19020;1009
4735;19051;1008
4740;19082;1007
4745;19098;1006
4758;19145;1005
4769;19192;1004
4786;19270;1003
4792;19285;1002
4800;19316;1001
4811;19363;999
4825;19426;998
4840;19473;997
4842;19488;996
4843;19488;995
4847;19504;993
4859;19551;992
4866;19582;991
4867;19582;990
4875;19613;989
4886;19660;988
4899;19707;987
4926;19816;986
4940;19863;985
4974;20004;984
4983;20035;983
4990;20066;982
5039;20254;981
5055;20316;980
5065;20363;979
5074;20394;978
5075;20410;977
5079;20426;976
5087;20457;975
5089;20457;974
5131;20629;973
5139;20660;972
5147;20691;971
5151;20707;970
5158;20722;969
5160;20738;968
5165;20754;967
5182;20816;966
5187;20832;965
5190;20847;964
5194;20863;963
5214;20941;962
5223;20988;961
5226;20988;960
5233;21019;958
5234;21019;957
5245;21066;956
5253;21097;955
5277;21191;954
5279;21207;953
5285;21222;952
5311;21332;951
5354;21504;950
5394;21662;949
5397;21662;948
5402;21693;947
5437;21834;946
5438;21834;945
5453;21896;944
5468;21959;943
5475;21974;942
5484;22021;941
5507;22115;940
5520;22162;939
5527;22193;938
5556;22302;937
5564;22334;936
5582;22412;935
5583;22412;933
5601;22490;932
5627;22583;931
5660;22724;930
5673;22771;929
5748;23068;928
5760;23115;927
5780;23193;926
5788;23224;925
5799;23271;924
5801;23286;923
5809;23318;922
5829;23396;921
5830;23396;920
5832;23396;919
5838;23427;918
5848;23458;917
5880;23599;916
5894;23646;915
5910;23708;914
5917;23739;912
5921;23755;911
5929;23786;910
5958;23896;909
5986;24005;908
5995;24036;907
6008;24083;906
6034;24192;905
6041;24224;904
6049;24255;903
6081;24380;902
6098;24442;901
6124;24552;900
6125;24552;899
6127;24567;898
6132;24583;897
6143;24630;896
6162;24708;895
6166;24724;894
6167;24724;893
6179;24770;892
6190;24817;891
6207;24880;890
6247;25036;889
6324;25348;888
6359;25473;887
6379;25567;886
6399;25645;885
6421;25723;884
6422;25739;883
6430;25770;882
6473;25926;881
6475;25942;880
6497;26020;879
6503;26051;878
6504;26051;877
6506;26067;876
6526;26145;875
6532;26161;873
6535;26176;872
6536;26176;871
6583;26364;870
6598;26426;869
6618;26504;868
6637;26567;867
6668;26695;866
6674;26726;865
6682;26758;864
6729;26945;862
6733;26961;861
6742;27008;860
6776;27148;859
6791;27211;858
6797;27226;857
6832;27367;856
6838;27383;855
6847;27414;854
6861;27476;853
6862;27476;852
6863;27476;851
6900;27632;850
6944;27804;849
6985;27976;848
7001;28039;847
7006;28054;846
7014;28086;845
7021;28117;844
7048;28226;843
7049;28226;842
7073;28320;841
7078;28335;840
7089;28382;839
7244;29005;838
7278;29130;837
7289;29176;835
7314;29286;834
7321;29317;833
7326;29333;832
7344;29395;831
7354;29442;830
7396;29598;829
7417;29676;828
7427;29723;827
7449;29817;826
7466;29879;825
7490;29973;824
7531;30145;823
7562;30254;821
7577;30317;820
7605;30426;819
7607;30442;818
7625;30520;817
7709;30848;816
7765;31067;815
7785;31145;814
7819;31285;813
7829;31332;812
7833;31348;811
7979;31929;810
7997;32007;809
8052;32226;808
8064;32273;807
8067;32273;806
8086;32351;805
8115;32460;804
8136;32554;803
8139;32569;802
8182;32726;801
8208;32835;800
8219;32882;799
8241;32976;798
8247;32991;797
8274;33101;796
8328;33304;795
8329;33319;794
8331;33319;793
8345;33382;792
8409;33632;791
8467;33866;790
8477;33913;789
