fes;time;f
1;47;2147484220
6;63;2147484217
12;78;2147484216
18;78;2147484214
19;78;2147484213
20;78;2147484212
31;94;2147484211
33;94;2147484210
42;110;2147484209
43;110;2147484208
59;110;2147484205
61;110;2147484204
73;125;2147484203
77;125;2147484202
84;141;2147484201
85;141;2147484199
90;141;2147484197
91;141;2147484196
92;141;2147484195
93;141;2147484194
96;141;2147484193
97;141;2147484191
780;578;2147484188
781;578;2147484186
786;578;2147484185
792;578;2147484184
800;594;2147484183
896;641;2147484182
899;641;2147484181
906;656;2147484179
916;656;2147484178
919;656;2147484175
931;672;2147484174
933;672;2147484173
934;672;2147484171
943;672;2147484169
951;672;2147484167
953;672;2147484166
955;688;2147484164
962;688;2147484163
980;688;2147484161
993;703;2147484160
1006;703;2147484159
1008;703;2147484156
1010;719;2147484155
1013;719;2147484153
1022;719;2147484151
1026;719;2147484149
1037;735;2147484147
1049;735;2147484146
1054;735;2147484145
1060;735;2147484144
1069;750;2147484143
1070;750;2147484141
1086;750;2147484140
1097;766;2147484139
1099;766;2147484137
1102;766;2147484135
1107;766;2147484133
1122;781;2147484132
1134;781;2147484129
1141;781;2147484128
1155;797;2147484127
1174;813;2147484124
1176;813;2147484123
1181;813;2147484122
1182;813;2147484121
1197;813;2147484120
2872;1781;2147484119
2874;1781;2147484118
2894;1797;2147484116
2895;1797;2147484115
2899;1797;2147484113
2921;1812;2147484112
2926;1812;2147484111
2948;1828;2147484110
2954;1828;2147484108
2956;1828;2147484105
2961;1828;2147484104
2964;1844;2147484103
2968;1844;2147484102
2973;1844;2147484101
2985;1844;2147484099
2997;1859;2147484098
3000;1859;2147484097
3005;1859;2147484096
3011;1859;2147484093
3017;1859;2147484092
3020;1875;2147484091
3042;1875;2147484090
3044;1875;2147484089
3047;1891;2147484088
3051;1891;2147484086
3053;1891;2147484085
3055;1891;2147484084
3056;1891;2147484083
3061;1891;2147484082
3066;1891;2147484081
3068;1891;2147484079
3084;1906;2147484078
3085;1906;2147484077
3104;1922;2147484076
3105;1922;2147484075
3112;1922;2147484074
3130;1937;2147484073
3157;1953;2147484072
3158;1953;2147484071
3174;1953;2147484070
3181;1969;2147484069
3182;1969;2147484066
3187;1969;2147484065
3189;1969;2147484064
3190;1969;2147484063
3196;1969;2147484062
3200;1969;2147484061
7178;4252;2147484060
7181;4252;2147484058
7200;4252;2147484057
7214;4267;2147484056
7219;4267;2147484055
7221;4267;2147484054
7222;4267;2147484053
7227;4283;2147484050
7240;4283;2147484049
7250;4283;2147484048
7255;4299;2147484047
7280;4299;2147484046
7293;4314;2147484044
7295;4314;2147484043
7307;4314;2147484042
7313;4330;2147484041
7322;4330;2147484040
7343;4345;2147484039
7356;4345;2147484038
7359;4345;2147484037
7391;4361;2147484036
7392;4361;2147484035
7402;4377;2147484034
7413;4377;2147484033
7422;4392;2147484032
7423;4392;2147484031
7426;4392;2147484030
7430;4392;2147484029
7431;4392;2147484028
7437;4392;2147484026
7439;4392;2147484025
7440;4392;2147484024
7449;4408;2147484022
7474;4424;2147484021
7481;4424;2147484020
7501;4439;2147484019
7506;4439;2147484016
7509;4439;2147484015
7549;4470;2147484014
7554;4470;2147484012
7555;4470;2147484011
7585;4486;2147484010
7586;4493;2147484009
7587;4493;2147484008
7593;4493;2147484006
7596;4493;2147484005
7603;4493;2147484004
7608;4493;2147484002
7616;4509;2147484000
7706;4556;2147483998
7743;4572;2147483996
7756;4587;2147483994
7771;4587;2147483991
7788;4603;2147483989
7790;4603;2147483988
7794;4603;2147483986
7796;4603;2147483985
7822;4618;2147483983
7869;4650;2147483981
7889;4665;2147483980
7900;4665;2147483979
7910;4665;2147483978
7919;4681;2147483977
7922;4681;2147483976
7927;4681;2147483975
7929;4681;2147483974
7932;4681;2147483972
7933;4681;2147483971
7938;4681;2147483970
7947;4697;2147483969
7950;4697;2147483968
7956;4697;2147483967
7961;4697;2147483966
7964;4697;2147483965
7982;4712;2147483964
7987;4712;2147483963
7996;4712;2147483962
17781;10308;2147483961
17783;10308;2147483960
17785;10308;2147483959
17808;10323;2147483958
17810;10323;2147483956
17832;10339;2147483954
17835;10339;2147483952
17862;10355;2147483951
17865;10355;2147483950
17872;10355;2147483949
17875;10370;2147483946
17898;10370;2147483945
17962;10417;2147483944
17973;10417;2147483943
17980;10417;2147483942
18004;10433;2147483941
18028;10448;2147483940
18042;10464;2147483939
18080;10479;2147483938
18084;10479;2147483937
18087;10479;2147483936
18097;10495;2147483935
18121;10495;2147483934
18123;10511;2147483933
18146;10511;2147483932
18155;10526;2147483931
18164;10526;2147483930
18167;10526;2147483929
18175;10542;2147483927
18184;10542;2147483926
18185;10542;2147483925
18205;10558;2147483924
18207;10558;2147483923
18236;10573;2147483922
18272;10589;2147483921
18288;10604;2147483920
18292;10604;2147483919
18307;10604;2147483918
18326;10620;2147483917
18338;10636;2147483916
18342;10636;2147483915
18346;10636;2147483914
18349;10636;2147483913
18380;10651;2147483911
18393;10667;2147483910
18413;10667;2147483909
18437;10683;2147483908
18496;10714;2147483907
18500;10714;2147483906
18516;10729;2147483905
18539;10745;2147483904
18558;10761;2147483903
18563;10761;2147483902
18584;10776;2147483901
18608;10792;2147483900
18639;10808;2147483899
18643;10808;2147483898
18653;10808;2147483897
18666;10823;2147483895
18680;10823;2147483894
18718;10854;2147483893
18738;10854;2147483891
18754;10870;2147483890
18761;10870;2147483889
18790;10886;2147483888
18794;10886;2147483887
18907;10948;2147483886
18939;10964;2147483885
18970;10979;2147483884
18974;10995;2147483883
18998;10995;2147483882
19077;11042;2147483880
19113;11073;2147483879
19121;11073;2147483878
19134;11073;2147483877
19141;11089;2147483876
19149;11089;2147483875
19187;11104;2147483874
38332;21909;2147483873
38333;21909;2147483872
38368;21925;2147483871
38396;21940;2147483870
41667;23752;2147483869
41670;23752;2147483868
41672;23752;2147483867
