fes;time;f
1;31;2147484199
6;63;2147484196
21;78;2147484195
25;78;2147484194
26;78;2147484191
38;94;2147484189
52;94;2147484188
54;94;2147484186
59;110;2147484185
67;110;2147484184
77;125;2147484183
84;125;2147484181
104;141;2147484178
106;141;2147484176
115;141;2147484173
130;156;2147484172
135;156;2147484166
136;156;2147484163
140;156;2147484160
148;172;2147484159
149;172;2147484158
152;172;2147484156
158;172;2147484155
159;172;2147484154
166;172;2147484153
172;188;2147484150
182;188;2147484147
189;188;2147484142
197;203;2147484141
205;203;2147484139
212;203;2147484138
222;219;2147484137
225;219;2147484133
229;219;2147484132
230;219;2147484130
234;219;2147484128
239;219;2147484127
248;235;2147484126
253;235;2147484125
265;235;2147484124
270;250;2147484122
275;250;2147484120
286;250;2147484118
288;250;2147484116
293;250;2147484114
297;266;2147484113
313;266;2147484112
326;281;2147484110
347;281;2147484108
348;281;2147484107
378;313;2147484106
382;313;2147484105
387;313;2147484104
388;313;2147484103
391;313;2147484102
396;328;2147484100
398;328;2147484098
409;328;2147484097
419;344;2147484093
423;344;2147484091
426;344;2147484090
440;344;2147484089
443;344;2147484088
456;360;2147484086
485;375;2147484084
491;375;2147484083
500;391;2147484079
501;391;2147484078
503;391;2147484077
523;406;2147484076
525;406;2147484075
550;422;2147484074
551;422;2147484073
565;422;2147484072
566;422;2147484071
568;422;2147484070
576;438;2147484069
582;438;2147484068
587;438;2147484067
602;453;2147484065
615;453;2147484064
625;469;2147484063
627;469;2147484062
628;469;2147484061
635;469;2147484060
636;469;2147484059
640;469;2147484058
658;485;2147484057
662;485;2147484056
682;500;2147484055
686;500;2147484054
694;500;2147484053
696;500;2147484052
716;516;2147484051
717;516;2147484050
718;516;2147484048
719;516;2147484047
734;531;2147484046
742;531;2147484044
747;531;2147484043
748;531;2147484042
749;531;2147484041
762;547;2147484040
768;547;2147484039
779;547;2147484038
781;547;2147484036
783;547;2147484035
816;578;2147484034
848;594;2147484033
857;594;2147484032
865;594;2147484031
888;609;2147484029
893;609;2147484027
927;641;2147484026
948;641;2147484025
950;641;2147484024
988;672;2147484023
989;672;2147484022
991;672;2147484021
992;672;2147484020
993;672;2147484017
999;672;2147484014
1000;672;2147484012
1010;672;2147484011
1014;688;2147484010
1024;688;2147484008
1031;688;2147484007
1057;703;2147484006
1068;719;2147484005
1082;719;2147484004
1087;719;2147484003
1089;719;2147484002
1095;719;2147484001
1129;750;2147484000
1146;750;2147483999
1153;750;2147483998
1167;766;2147483997
1169;766;2147483996
1180;766;2147483995
1182;781;2147483994
1186;781;2147483992
1201;781;2147483991
1235;797;2147483990
1244;813;2147483989
1254;813;2147483988
1272;828;2147483987
1273;828;2147483986
1292;844;2147483985
1306;844;2147483984
1313;844;2147483983
1315;844;2147483982
1327;859;2147483981
1337;859;2147483980
1350;875;2147483978
1360;875;2147483977
1362;875;2147483976
1365;875;2147483975
1451;922;2147483972
1465;938;2147483970
1487;953;2147483969
1510;953;2147483968
1523;969;2147483967
1536;969;2147483966
1607;1016;2147483965
1640;1031;2147483964
1650;1031;2147483963
1654;1047;2147483962
1656;1047;2147483961
1672;1047;2147483959
1697;1063;2147483958
1704;1063;2147483956
1705;1078;2147483955
