fes;time;f
1;46;2147484203
4;62;2147484202
22;93;2147484199
28;93;2147484198
33;93;2147484196
37;109;2147484195
43;109;2147484194
47;109;2147484192
49;109;2147484191
50;109;2147484189
58;109;2147484187
70;125;2147484185
77;125;2147484181
89;140;2147484178
92;140;2147484176
98;140;2147484175
111;156;2147484174
129;171;2147484170
140;171;2147484169
143;171;2147484166
152;190;2147484164
162;190;2147484163
163;190;2147484162
167;190;2147484161
168;190;2147484160
169;190;2147484158
174;206;2147484157
176;206;2147484155
177;206;2147484154
183;206;2147484151
184;206;2147484148
186;206;2147484146
191;206;2147484144
194;206;2147484143
199;222;2147484141
216;222;2147484139
233;237;2147484138
234;237;2147484136
238;253;2147484135
242;253;2147484134
247;253;2147484132
250;253;2147484129
258;253;2147484126
259;253;2147484124
260;253;2147484123
262;253;2147484122
270;268;2147484121
288;284;2147484119
312;300;2147484117
316;300;2147484116
320;300;2147484115
321;300;2147484114
328;300;2147484112
344;315;2147484108
349;315;2147484107
360;331;2147484106
364;331;2147484105
368;331;2147484104
377;331;2147484101
399;347;2147484100
407;347;2147484099
408;347;2147484097
411;347;2147484096
416;362;2147484095
418;362;2147484094
425;362;2147484092
429;362;2147484091
431;362;2147484090
437;362;2147484088
440;362;2147484086
447;378;2147484085
448;378;2147484083
474;393;2147484082
477;393;2147484080
486;409;2147484079
490;409;2147484078
492;409;2147484075
499;409;2147484072
520;425;2147484071
534;440;2147484068
542;440;2147484066
547;440;2147484065
579;456;2147484064
587;472;2147484063
592;472;2147484062
593;472;2147484061
594;472;2147484060
601;472;2147484058
604;472;2147484057
608;472;2147484056
610;472;2147484055
615;487;2147484053
629;487;2147484051
642;503;2147484050
646;503;2147484049
648;503;2147484048
652;503;2147484047
673;518;2147484046
680;518;2147484045
690;534;2147484044
719;550;2147484043
721;550;2147484042
725;550;2147484040
742;565;2147484039
747;565;2147484038
748;565;2147484036
767;581;2147484035
775;581;2147484034
777;581;2147484033
794;597;2147484031
807;597;2147484030
809;597;2147484028
811;597;2147484027
820;612;2147484026
827;612;2147484025
847;628;2147484024
849;628;2147484023
853;628;2147484022
862;628;2147484021
867;628;2147484020
882;643;2147484019
886;643;2147484018
896;643;2147484017
921;659;2147484016
924;659;2147484015
946;675;2147484014
951;675;2147484011
953;675;2147484009
954;675;2147484008
960;690;2147484007
969;690;2147484005
977;690;2147484004
1024;722;2147484003
1026;722;2147484002
1044;737;2147484001
1055;737;2147484000
1056;737;2147483997
1057;737;2147483996
1064;753;2147483993
1087;753;2147483992
1088;753;2147483991
1089;753;2147483990
1095;768;2147483989
1096;768;2147483988
1105;768;2147483987
1117;784;2147483985
1120;784;2147483984
1127;784;2147483983
1128;784;2147483982
1136;800;2147483981
1144;800;2147483980
1151;800;2147483978
1153;800;2147483977
1158;800;2147483976
1179;815;2147483975
1180;815;2147483974
1181;815;2147483973
1190;831;2147483972
1234;846;2147483971
1236;846;2147483970
1267;878;2147483969
1273;878;2147483968
1288;893;2147483966
1297;893;2147483965
1326;909;2147483964
1350;925;2147483962
1361;925;2147483961
1367;925;2147483960
1368;940;2147483959
1379;940;2147483958
1384;940;2147483957
1386;940;2147483956
1410;956;2147483955
1463;987;2147483953
1469;987;2147483952
1495;1003;2147483951
1505;1003;2147483950
1517;1018;2147483949
1553;1034;2147483948
1564;1050;2147483947
1592;1065;2147483946
1598;1065;2147483945
1608;1065;2147483944
1646;1096;2147483943
1653;1096;2147483941
1682;1112;2147483940
1700;1128;2147483939
1723;1143;2147483938
1730;1143;2147483937
1740;1143;2147483936
1749;1159;2147483935
1751;1159;2147483934
1752;1159;2147483933
1759;1159;2147483932
1796;1175;2147483931
1801;1190;2147483930
1810;1190;2147483929
1815;1190;2147483928
1816;1190;2147483927
1830;1206;2147483926
1832;1206;2147483925
1833;1206;2147483924
1842;1206;2147483923
1850;1206;2147483922
1851;1206;2147483921
1884;1237;2147483920
1934;1253;2147483919
1937;1268;2147483918
1947;1268;2147483917
1962;1268;2147483916
1965;1284;2147483915
1979;1284;2147483914
1984;1284;2147483913
2005;1299;2147483912
