fes;time;f
1;31;528
16;63;527
18;63;526
24;78;525
25;78;523
29;78;522
42;94;517
46;94;516
51;94;515
55;110;513
62;110;512
68;110;509
69;110;508
70;110;506
78;125;504
80;125;503
85;125;499
97;141;498
100;141;497
102;141;496
103;141;495
105;141;494
108;141;493
120;156;492
125;156;490
131;156;489
141;172;488
142;172;487
158;172;486
159;172;483
164;188;482
179;188;478
183;188;477
184;188;476
195;203;475
209;203;472
224;219;471
226;219;468
229;235;467
232;235;466
243;235;463
248;235;462
251;235;461
256;250;460
264;250;457
265;250;456
273;250;455
274;250;454
282;266;453
290;266;450
303;266;449
319;281;448
327;281;447
339;297;445
354;297;444
363;313;443
368;313;442
370;313;441
372;313;440
376;313;438
378;313;437
379;313;436
385;313;433
406;328;432
455;360;431
467;375;430
473;375;429
492;391;428
510;391;427
512;391;426
513;391;424
526;406;423
527;406;422
533;406;421
534;406;419
541;406;417
545;406;416
548;422;414
566;422;413
567;422;412
569;422;410
588;438;409
597;438;408
601;438;407
607;453;406
611;453;405
617;453;402
621;453;401
622;453;400
623;453;399
626;453;398
629;453;397
635;469;395
648;469;394
657;469;393
661;485;392
662;485;391
667;485;389
685;485;388
687;485;386
694;500;384
698;500;383
702;500;382
710;500;381
727;516;380
735;516;379
740;531;378
745;531;377
750;531;376
760;531;374
761;531;373
768;547;372
771;547;371
773;547;370
774;547;369
793;563;368
802;563;365
803;563;364
812;563;363
816;563;362
826;578;361
834;578;360
838;578;359
856;594;358
865;594;357
878;610;356
879;610;355
884;610;354
887;610;353
889;610;352
894;610;350
897;610;349
899;625;348
911;625;347
920;625;346
932;641;345
933;641;344
947;641;342
957;656;341
975;656;339
1001;672;338
1020;688;337
1025;688;336
1030;688;335
1062;703;334
1068;703;333
1092;719;332
1111;734;331
1112;734;330
1119;734;329
1134;750;327
1142;750;326
1157;766;325
1171;766;324
1190;781;323
1191;781;322
1194;781;321
1206;781;320
1213;797;319
1219;797;318
1220;797;317
1221;797;316
1239;813;315
1256;813;314
1266;828;313
1267;828;312
1270;828;311
1281;828;310
1295;844;309
1306;844;308
1344;875;307
1346;875;302
1350;875;301
1362;875;300
1367;875;298
1379;891;297
1383;891;296
1396;891;295
1400;906;294
1419;906;293
1446;922;291
1474;938;289
1496;953;288
1500;953;287
1501;953;286
1550;984;285
1564;984;284
1571;984;283
1594;1000;280
1616;1016;279
1626;1016;278
1632;1031;277
1636;1031;276
1641;1031;275
1729;1078;274
1733;1078;273
1744;1094;272
1747;1094;270
1801;1125;269
1822;1141;267
1825;1141;266
1831;1141;264
1841;1141;263
1858;1156;261
1873;1172;260
1903;1187;259
1910;1187;258
1926;1187;257
1932;1203;256
1972;1219;255
2016;1250;254
2021;1250;253
2053;1266;252
2087;1281;251
2094;1297;250
2111;1297;248
2130;1312;247
2157;1328;246
2166;1328;245
2188;1344;244
2209;1344;243
2233;1359;242
2273;1391;241
2350;1422;240
2389;1453;239
2392;1453;238
2408;1469;237
2420;1469;236
2421;1469;235
2422;1469;234
2464;1500;233
2475;1500;232
2542;1531;231
2551;1547;230
2594;1562;229
2611;1578;228
2630;1594;227
2669;1609;226
2686;1609;225
2698;1625;224
2706;1625;222
2713;1625;221
2718;1640;220
2768;1656;219
2780;1672;218
2799;1672;217
2802;1672;216
2824;1687;215
2880;1719;214
2881;1719;213
2907;1734;212
2918;1750;211
2958;1765;210
2970;1781;209
3065;1828;208
3273;1937;207
3295;1953;206
3346;1984;205
3452;2047;204
3454;2047;203
3458;2047;202
3476;2062;201
3573;2109;200
3593;2125;199
3605;2125;198
3615;2140;197
3616;2140;196
3627;2140;195
3634;2140;194
3642;2156;193
3680;2172;192
3693;2187;190
3694;2187;189
3716;2187;188
3949;2312;187
3951;2312;186
3952;2312;185
3962;2328;184
3987;2343;183
3996;2343;182
4003;2343;181
4023;2359;180
4045;2375;179
4051;2375;178
4063;2375;177
4077;2390;176
4091;2390;175
4149;2422;174
4176;2437;173
4197;2453;172
4225;2468;171
4293;2515;170
4327;2531;169
4382;2562;168
4399;2562;167
4412;2578;166
4432;2578;165
4444;2593;164
4521;2625;163
4587;2672;162
4625;2687;161
4641;2703;160
4659;2703;159
4783;2781;158
4784;2781;157
4794;2781;156
4831;2797;155
4931;2859;154
5069;2937;153
5111;2953;152
5165;2984;151
5176;3000;150
5270;3046;149
5429;3140;148
5439;3140;147
5465;3156;146
5556;3203;145
5566;3203;144
5593;3218;143
5608;3234;142
5948;3421;141
6004;3453;140
6182;3546;139
6222;3578;138
6263;3593;137
6380;3656;136
6435;3687;135
6489;3718;134
6636;3796;133
6646;3812;132
6715;3843;131
6883;3937;130
6913;3952;129
6994;3999;128
7060;4046;127
7063;4046;126
7411;4234;125
7414;4234;124
7483;4281;123
7566;4327;122
7567;4327;121
7671;4390;120
7727;4421;119
7845;4484;118
7987;4550;117
8085;4612;116
8164;4643;115
8253;4690;114
8275;4706;113
8399;4784;112
8424;4800;111
8635;4909;110
8638;4909;109
8759;4972;108
8808;5003;107
8830;5018;106
8860;5034;105
9003;5112;103
9037;5128;102
9056;5143;101
9188;5206;100
9234;5237;99
9335;5284;98
9677;5471;97
9754;5518;96
9789;5534;95
9904;5596;94
10332;5831;93
10380;5862;92
10658;6003;91
10830;6112;90
10925;6159;89
11258;6331;88
11529;6487;87
11709;6581;86
11746;6596;85
11764;6612;84
11808;6627;83
12265;6877;82
12665;7096;81
12692;7112;80
12892;7221;78
13013;7283;77
13079;7315;76
13262;7424;75
13296;7440;74
13368;7471;73
13497;7533;72
13559;7580;71
13769;7690;70
13879;7752;69
13963;7799;68
13973;7799;67
14069;7846;66
15282;8502;65
15444;8596;64
15456;8596;63
15774;8783;62
15842;8814;61
17027;9455;60
17121;9502;59
17176;9533;58
17655;9798;57
18509;10265;56
19185;10624;55
20527;11342;54
22433;12358;53
22507;12405;52
22733;12514;51
22926;12623;50
23749;13061;49
23954;13170;48
24109;13264;47
24672;13561;46
26673;14639;45
26850;14732;44
27077;14857;43
27494;15076;42
27989;15342;41
29337;16065;40
29782;16299;39
30229;16549;38
32813;17955;37
32864;17971;36
32980;18049;35
33791;18486;34
33815;18486;33
34770;19017;32
40091;21849;31
40315;21974;30
41008;22333;29
43191;23512;28
45762;24887;27
49496;26871;26
49762;27012;25
50096;27183;24
54074;29292;23
57258;31011;21
58063;31432;20
60176;32557;19
60796;32885;18
67868;36677;17
70295;37958;16
73697;39755;15
75296;40598;14
93335;50207;13
97633;52504;12
102951;55331;11
112568;60474;10
117094;62926;9
129421;69487;8
141656;75988;7
146946;78796;6
170270;91263;5
243803;130529;4
805943;430521;3
852562;455326;2
