fes;time;f
1;47;2147484205
4;47;2147484203
8;63;2147484202
20;78;2147484199
27;78;2147484197
28;78;2147484195
37;94;2147484192
41;94;2147484188
44;94;2147484186
45;94;2147484185
47;94;2147484183
60;110;2147484182
76;125;2147484181
78;141;2147484180
85;141;2147484179
90;141;2147484177
97;141;2147484176
100;156;2147484175
103;156;2147484173
106;156;2147484172
109;156;2147484171
113;156;2147484170
115;156;2147484169
132;172;2147484168
143;188;2147484167
153;188;2147484166
156;188;2147484164
157;188;2147484163
161;188;2147484162
166;203;2147484161
180;203;2147484160
189;203;2147484159
202;219;2147484158
217;235;2147484156
218;235;2147484155
227;235;2147484154
229;235;2147484153
232;235;2147484152
237;250;2147484151
238;250;2147484150
249;250;2147484149
250;250;2147484148
254;250;2147484145
257;250;2147484144
264;266;2147484143
266;266;2147484142
267;266;2147484139
283;266;2147484137
293;281;2147484134
302;281;2147484131
308;281;2147484128
312;281;2147484127
326;297;2147484124
328;297;2147484122
334;297;2147484121
355;313;2147484117
357;313;2147484116
358;313;2147484115
371;328;2147484114
384;344;2147484113
388;344;2147484111
402;344;2147484109
406;360;2147484108
409;360;2147484106
414;360;2147484105
419;360;2147484104
423;360;2147484102
425;360;2147484100
427;360;2147484099
438;375;2147484096
439;375;2147484095
452;375;2147484094
456;375;2147484090
458;375;2147484089
467;391;2147484087
470;391;2147484086
471;391;2147484084
482;391;2147484083
503;406;2147484080
504;406;2147484079
514;422;2147484077
527;422;2147484076
540;438;2147484075
549;438;2147484074
560;438;2147484072
568;453;2147484071
569;453;2147484069
579;453;2147484068
584;453;2147484067
598;469;2147484066
600;469;2147484065
603;469;2147484064
616;484;2147484063
624;484;2147484062
626;484;2147484060
631;484;2147484059
634;484;2147484058
635;484;2147484056
645;500;2147484054
657;500;2147484051
669;500;2147484050
676;516;2147484049
682;516;2147484048
688;516;2147484046
691;516;2147484044
710;531;2147484042
716;531;2147484041
720;531;2147484040
738;547;2147484039
743;547;2147484038
752;563;2147484037
756;563;2147484036
786;578;2147484034
795;578;2147484033
823;594;2147484031
832;609;2147484030
835;609;2147484029
840;609;2147484028
873;625;2147484027
880;641;2147484026
882;641;2147484025
903;641;2147484024
911;656;2147484023
912;656;2147484022
914;656;2147484021
916;656;2147484020
919;656;2147484018
937;672;2147484016
967;688;2147484015
982;688;2147484014
994;703;2147484013
1008;703;2147484010
1009;703;2147484008
1020;719;2147484007
1030;719;2147484006
1045;734;2147484005
1057;734;2147484004
1059;734;2147484003
1061;734;2147484002
1076;750;2147484001
1082;750;2147484000
1089;750;2147483999
1101;766;2147483998
1131;781;2147483996
1161;797;2147483995
1176;797;2147483994
1179;797;2147483992
1184;813;2147483991
1186;813;2147483989
1193;813;2147483988
1200;813;2147483987
1217;828;2147483986
1232;828;2147483985
1233;844;2147483984
1242;844;2147483982
1245;844;2147483981
1247;844;2147483980
1261;859;2147483978
1262;859;2147483977
1267;859;2147483976
1282;859;2147483974
1303;875;2147483971
1305;875;2147483969
1375;922;2147483967
1395;922;2147483966
1426;937;2147483965
1436;953;2147483964
