fes;time;f
1;157;2147488009
2;219;2147488008
8;516;2147488003
9;563;2147488002
15;860;2147488000
19;1031;2147487999
20;1078;2147487998
25;1359;2147487994
31;1688;2147487993
34;1844;2147487992
37;2000;2147487990
40;2156;2147487988
43;2312;2147487987
48;2578;2147487984
77;4140;2147487980
80;4296;2147487979
87;4609;2147487978
93;4843;2147487976
104;5421;2147487975
115;6015;2147487971
129;6764;2147487970
130;6811;2147487968
134;7030;2147487966
139;7295;2147487963
147;7717;2147487962
162;8498;2147487958
163;8545;2147487955
165;8654;2147487953
167;8748;2147487948
172;9014;2147487946
176;9232;2147487945
178;9326;2147487941
181;9482;2147487940
185;9717;2147487939
189;9920;2147487938
197;10357;2147487936
205;10779;2147487935
223;11716;2147487934
224;11763;2147487933
240;12622;2147487932
241;12685;2147487931
244;12841;2147487929
246;12950;2147487927
255;13435;2147487925
263;13856;2147487924
265;13950;2147487922
272;14325;2147487920
275;14481;2147487919
281;14809;2147487918
289;15215;2147487917
297;15637;2147487915
305;16059;2147487913
321;16902;2147487912
322;16964;2147487909
333;17558;2147487908
348;18339;2147487907
361;19026;2147487905
369;19432;2147487903
388;20463;2147487899
389;20526;2147487896
391;20635;2147487895
419;22119;2147487894
437;23072;2147487893
442;23322;2147487892
452;23853;2147487891
459;24212;2147487890
464;24478;2147487889
470;24790;2147487888
475;25056;2147487887
479;25275;2147487885
484;25540;2147487884
493;26024;2147487882
505;26649;2147487881
508;26821;2147487879
521;27508;2147487878
523;27602;2147487877
530;27977;2147487876
536;28305;2147487875
544;28727;2147487874
551;29086;2147487873
552;29149;2147487870
559;29523;2147487869
560;29586;2147487868
569;30055;2147487866
589;31132;2147487865
599;31664;2147487862
618;32679;2147487861
626;33116;2147487860
644;34054;2147487857
655;34647;2147487856
658;34803;2147487854
659;34850;2147487853
660;34913;2147487851
682;36084;2147487850
697;36881;2147487849
699;36990;2147487845
701;37084;2147487844
704;37240;2147487843
709;37506;2147487841
722;38203;2147487839
723;38250;2147487838
741;39203;2147487835
744;39375;2147487834
748;39578;2147487833
749;39640;2147487832
754;39890;2147487831
774;40937;2147487830
786;41562;2147487829
797;42155;2147487825
801;42358;2147487824
803;42468;2147487823
810;42843;2147487821
823;43530;2147487820
825;43639;2147487819
831;43967;2147487818
837;44280;2147487816
843;44588;2147487813
857;45338;2147487809
861;45541;2147487808
862;45588;2147487805
868;45900;2147487803
873;46166;2147487802
875;46275;2147487800
880;46525;2147487799
882;46635;2147487798
891;47103;2147487797
898;47478;2147487796
902;47697;2147487795
912;48228;2147487794
914;48337;2147487792
932;49290;2147487791
933;49337;2147487789
