fes;time;f
1;141;2147488461
5;344;2147488459
20;1125;2147488458
23;1297;2147488456
49;2704;2147488454
56;3095;2147488451
58;3204;2147488449
66;3628;2147488448
75;4097;2147488445
76;4144;2147488444
77;4206;2147488442
81;4425;2147488441
87;4749;2147488440
88;4799;2147488439
95;5158;2147488438
99;5377;2147488436
201;10893;2147488435
202;10940;2147488434
209;11315;2147488431
211;11424;2147488429
217;11736;2147488428
234;12643;2147488427
235;12689;2147488426
244;13174;2147488423
260;14032;2147488422
265;14298;2147488421
267;14392;2147488420
274;14767;2147488418
288;15532;2147488417
291;15673;2147488416
298;16048;2147488415
304;16376;2147488414
312;16813;2147488413
315;16954;2147488410
321;17282;2147488405
323;17375;2147488404
348;18674;2147488403
349;18736;2147488402
356;19111;2147488399
358;19205;2147488397
361;19377;2147488396
362;19424;2147488394
388;20814;2147488393
389;20877;2147488392
391;20970;2147488391
397;21283;2147488390
400;21455;2147488388
601;32176;2147488289
605;32380;2147488283
608;32536;2147488282
611;32692;2147488281
613;32801;2147488278
618;33067;2147488276
622;33288;2147488274
632;33819;2147488273
642;34350;2147488271
644;34459;2147488269
645;34506;2147488267
650;34772;2147488266
654;34990;2147488264
656;35084;2147488260
658;35194;2147488258
661;35365;2147488256
668;35740;2147488255
676;36162;2147488254
679;36318;2147488250
685;36631;2147488249
688;36787;2147488248
690;36896;2147488247
697;37271;2147488246
699;37365;2147488244
702;37521;2147488243
707;37787;2147488242
713;38115;2147488241
718;38367;2147488240
725;38742;2147488239
727;38851;2147488238
728;38914;2147488237
733;39179;2147488236
741;39601;2147488235
744;39757;2147488234
753;40241;2147488233
758;40507;2147488229
782;41757;2147488228
794;42397;2147488226
799;42647;2147488225
2910;154556;2147488224
2916;154868;2147488223
2918;154978;2147488222
2923;155243;2147488220
2941;156212;2147488218
2942;156259;2147488215
2944;156368;2147488213
2946;156477;2147488209
2949;156649;2147488207
2951;156759;2147488206
2956;157064;2147488203
2960;157267;2147488202
2968;157689;2147488200
2984;158551;2147488199
2990;158864;2147488198
3000;159410;2147488197
3011;159988;2147488196
3013;160082;2147488195
3019;160395;2147488194
3041;161566;2147488192
3046;161847;2147488190
3047;161910;2147488189
3048;161957;2147488186
3056;162379;2147488185
3058;162488;2147488183
3064;162785;2147488181
3068;162988;2147488180
3069;163035;2147488179
3073;163238;2147488177
3077;163458;2147488176
3079;163568;2147488175
3085;163880;2147488174
3086;163943;2147488171
3104;164889;2147488170
3117;165576;2147488169
3121;165795;2147488168
3122;165858;2147488166
3126;166076;2147488165
3131;166342;2147488164
3135;166545;2147488163
3150;167357;2147488160
3151;167404;2147488159
3157;167701;2147488157
3174;168610;2147488156
7321;389125;2147488155
7328;389500;2147488154
7330;389594;2147488152
7331;389656;2147488149
7332;389703;2147488147
7333;389750;2147488146
7343;390290;2147488145
7348;390555;2147488144
7357;391024;2147488143
7367;391571;2147488140
7371;391789;2147488139
7377;392102;2147488138
7379;392211;2147488137
7380;392274;2147488135
7389;392742;2147488131
7395;393070;2147488129
7405;393603;2147488128
7406;393650;2147488127
7412;393978;2147488125
7416;394181;2147488123
7420;394400;2147488122
7427;394759;2147488121
7428;394822;2147488120
7434;395134;2147488119
7435;395181;2147488116
7443;395603;2147488115
7449;395931;2147488113
7450;395978;2147488112
7451;396025;2147488111
7468;396915;2147488106
7479;397493;2147488105
7486;397852;2147488104
7491;398102;2147488102
7500;398594;2147488101
7502;398704;2147488100
7504;398813;2147488099
7518;399563;2147488096
7519;399610;2147488093
7527;400078;2147488089
7536;400563;2147488088
7538;400672;2147488087
7548;401203;2147488085
7549;401250;2147488084
7552;401422;2147488083
7574;402578;2147488078
7576;402672;2147488076
7584;403109;2147488074
7601;404002;2147488073
7607;404330;2147488070
7626;405345;2147488069
7629;405517;2147488068
7633;405752;2147488066
7634;405798;2147488065
7636;405923;2147488064
7646;406439;2147488063
7647;406501;2147488062
7654;406861;2147488061
7656;406970;2147488060
7669;407657;2147488059
7680;408235;2147488056
7688;408659;2147488053
7692;408878;2147488052
7696;409097;2147488051
7710;409847;2147488049
7713;410003;2147488048
7724;410589;2147488045
7729;410838;2147488043
7732;410995;2147488042
7749;411916;2147488041
7766;412822;2147488040
7768;412932;2147488039
7769;412979;2147488038
7772;413135;2147488037
7826;415965;2147488036
7835;416450;2147488034
7838;416606;2147488033
7841;416778;2147488031
7843;416871;2147488030
7859;417699;2147488027
7880;418842;2147488025
7888;419264;2147488024
7894;419576;2147488023
7895;419639;2147488022
7902;420013;2147488021
7904;420107;2147488020
7906;420219;2147488019
7910;420438;2147488018
7911;420485;2147488017
7917;420813;2147488015
7918;420875;2147488011
7925;421234;2147488010
7928;421406;2147488009
7930;421516;2147488007
7935;421781;2147488005
7948;422484;2147488004
7951;422640;2147488003
7954;422797;2147487998
7959;423062;2147487996
7963;423281;2147487995
7970;423658;2147487990
7971;423705;2147487987
7972;423752;2147487986
7978;424064;2147487983
7983;424330;2147487982
7990;424705;2147487980
7995;424970;2147487979
17590;933308;2147487977
17625;935169;2147487976
17632;935544;2147487974
17650;936507;2147487973
17652;936616;2147487972
17659;936975;2147487971
17660;937038;2147487970
17672;937662;2147487969
17677;937928;2147487968
17684;938303;2147487967
17710;939665;2147487966
17711;939712;2147487963
17714;939884;2147487962
17715;939931;2147487959
17717;940025;2147487958
17735;940962;2147487954
17743;941399;2147487953
17746;941556;2147487951
17755;942009;2147487950
17756;942071;2147487949
17765;942540;2147487948
17772;942915;2147487947
17773;942962;2147487946
17774;943024;2147487944
17781;943399;2147487942
17782;943446;2147487941
17789;943805;2147487940
17792;943961;2147487938
17802;944479;2147487936
17818;945322;2147487935
17827;945791;2147487933
17828;945853;2147487932
17839;946447;2147487930
17840;946494;2147487929
17841;946541;2147487928
17864;947775;2147487922
17873;948244;2147487921
17886;948947;2147487919
17899;949652;2147487918
17901;949762;2147487917
17925;951027;2147487916
17928;951199;2147487915
17931;951360;2147487913
17935;951563;2147487911
17942;951938;2147487908
17945;952110;2147487907
17948;952266;2147487905
17951;952438;2147487902
17966;953235;2147487901
17972;953563;2147487900
17978;953891;2147487899
17983;954159;2147487898
17984;954206;2147487897
17988;954425;2147487895
18002;955221;2147487894
18006;955440;2147487892
18008;955550;2147487891
18022;956299;2147487890
18047;957643;2147487889
18059;958283;2147487884
18064;958564;2147487883
18066;958674;2147487881
18072;958986;2147487879
18074;959096;2147487878
18079;959364;2147487877
18088;959832;2147487876
18097;960301;2147487874
18098;960364;2147487873
18147;962994;2147487872
18148;963041;2147487869
18149;963104;2147487868
18165;963947;2147487866
18169;964169;2147487865
18188;965169;2147487864
18189;965215;2147487863
18197;965637;2147487862
18198;965684;2147487861
18209;966262;2147487859
18211;966356;2147487858
18217;966684;2147487857
18229;967324;2147487856
18231;967418;2147487854
18233;967527;2147487853
18238;967777;2147487852
18241;967949;2147487851
18243;968043;2147487848
18247;968262;2147487847
18258;968840;2147487845
18261;968996;2147487844
18263;969105;2147487843
18264;969152;2147487841
18269;969421;2147487840
18276;969795;2147487839
18283;970170;2147487837
18284;970217;2147487836
18290;970545;2147487832
18300;971061;2147487831
18307;971436;2147487829
18314;971811;2147487827
18326;972451;2147487823
18330;972654;2147487821
18333;972810;2147487819
18341;973248;2147487817
18348;973607;2147487815
18355;973966;2147487812
18373;974922;2147487811
18375;975031;2147487810
18386;975593;2147487807
18402;976421;2147487806
18415;977109;2147487805
18418;977280;2147487804
18427;977749;2147487803
18429;977843;2147487800
18442;978530;2147487799
18448;978858;2147487798
18452;979077;2147487797
18456;979299;2147487795
18459;979455;2147487794
18468;979939;2147487792
18471;980095;2147487791
18473;980205;2147487790
18487;980939;2147487788
18513;982329;2147487787
18515;982438;2147487785
18526;983016;2147487784
18536;983563;2147487782
18545;984032;2147487780
18547;984141;2147487778
18550;984316;2147487776
18552;984410;2147487775
18559;984785;2147487773
18563;985003;2147487772
18566;985175;2147487771
18567;985222;2147487770
18569;985316;2147487768
18580;985909;2147487767
18589;986394;2147487766
18610;987487;2147487765
18617;987862;2147487762
18618;987924;2147487761
18621;988081;2147487759
18622;988128;2147487758
18626;988349;2147487757
18628;988458;2147487756
18630;988567;2147487755
18632;988677;2147487754
18664;990366;2147487752
18673;990850;2147487751
18675;990944;2147487750
18676;991006;2147487749
18682;991334;2147487748
18683;991381;2147487746
18701;992334;2147487745
18704;992506;2147487744
18710;992818;2147487742
18723;993506;2147487741
18726;993662;2147487740
18731;993921;2147487739
18759;995391;2147487738
18769;995922;2147487737
18784;996719;2147487736
18808;997984;2147487735
18809;998031;2147487734
18822;998734;2147487733
18828;999062;2147487732
18842;999799;2147487729
18851;1000283;2147487727
18870;1001307;2147487725
18875;1001573;2147487724
18880;1001823;2147487723
18885;1002088;2147487720
18895;1002635;2147487718
18908;1003291;2147487717
18911;1003447;2147487715
18926;1004230;2147487714
18931;1004496;2147487711
18941;1005043;2147487710
18943;1005136;2147487709
18945;1005246;2147487708
18963;1006277;2147487707
18970;1006652;2147487706
18984;1007386;2147487704
18987;1007542;2147487703
18992;1007792;2147487701
18995;1007964;2147487700
18998;1008120;2147487699
19003;1008386;2147487698
19012;1008854;2147487697
19019;1009232;2147487696
19033;1010028;2147487693
19055;1011184;2147487692
19059;1011418;2147487690
19072;1012106;2147487689
19084;1012746;2147487688
19087;1012902;2147487685
19088;1012965;2147487684
19090;1013059;2147487683
19099;1013543;2147487682
19101;1013637;2147487681
19102;1013699;2147487679
19110;1014105;2147487677
19114;1014311;2147487676
19122;1014749;2147487675
19125;1014921;2147487673
19133;1015327;2147487672
19136;1015483;2147487671
19137;1015530;2147487670
19138;1015577;2147487669
19142;1015795;2147487665
19143;1015842;2147487664
19147;1016045;2147487663
19156;1016530;2147487662
19164;1016936;2147487661
19169;1017201;2147487659
19173;1017420;2147487658
19181;1017842;2147487657
19184;1017998;2147487656
19196;1018639;2147487653
19197;1018701;2147487652
42453;2251622;2147487651
42461;2252059;2147487649
42462;2252122;2147487648
42474;2252762;2147487647
42493;2253778;2147487646
42494;2253825;2147487643
42501;2254200;2147487641
42503;2254309;2147487638
42513;2254840;2147487636
42526;2255530;2147487632
42527;2255576;2147487631
42530;2255733;2147487630
42532;2255858;2147487629
42535;2256014;2147487628
42538;2256170;2147487627
42562;2257437;2147487626
42569;2257812;2147487625
42571;2257905;2147487624
42572;2257968;2147487622
42585;2258640;2147487618
42586;2258686;2147487617
42598;2259327;2147487616
42604;2259655;2147487615
42621;2260547;2147487613
42625;2260750;2147487612
42653;2262219;2147487609
42659;2262531;2147487608
42664;2262797;2147487606
42668;2263000;2147487604
42697;2264531;2147487603
42701;2264734;2147487600
42719;2265689;2147487597
42727;2266126;2147487596
42749;2267298;2147487594
42750;2267345;2147487593
42754;2267579;2147487592
42760;2267907;2147487590
42764;2268126;2147487589
42767;2268297;2147487588
42776;2268782;2147487585
42784;2269188;2147487584
42785;2269250;2147487581
42791;2269563;2147487580
42798;2269922;2147487579
42800;2270031;2147487576
42820;2271111;2147487575
42823;2271268;2147487574
42846;2272470;2147487573
42854;2272892;2147487571
42863;2273361;2147487570
42864;2273423;2147487569
42870;2273736;2147487568
42873;2273892;2147487566
42890;2274814;2147487564
42901;2275395;2147487563
42903;2275489;2147487560
42913;2276020;2147487558
42930;2276931;2147487556
42937;2277291;2147487555
42939;2277400;2147487554
42943;2277603;2147487550
42958;2278400;2147487547
42960;2278509;2147487546
42976;2279337;2147487545
42977;2279384;2147487544
43003;2280761;2147487543
43005;2280870;2147487542
43038;2282628;2147487541
43047;2283097;2147487540
43055;2283518;2147487539
43072;2284409;2147487537
43074;2284518;2147487536
43082;2284940;2147487535
43097;2285724;2147487533
43106;2286192;2147487530
43114;2286598;2147487529
43118;2286817;2147487526
43127;2287301;2147487525
43131;2287504;2147487524
43133;2287614;2147487523
43153;2288676;2147487522
43154;2288739;2147487519
43162;2289160;2147487518
43165;2289317;2147487516
43167;2289410;2147487515
43168;2289457;2147487513
43169;2289504;2147487512
43195;2290905;2147487510
43200;2291170;2147487508
43211;2291748;2147487504
43219;2292170;2147487503
43229;2292701;2147487501
43241;2293342;2147487499
43250;2293826;2147487498
43253;2293982;2147487497
43279;2295357;2147487496
43281;2295469;2147487495
43287;2295781;2147487494
43290;2295938;2147487493
43299;2296422;2147487492
43318;2297422;2147487491
43333;2298234;2147487490
43342;2298718;2147487489
43344;2298828;2147487488
43357;2299515;2147487487
43367;2300046;2147487486
43379;2300690;2147487484
43386;2301049;2147487483
43395;2301518;2147487482
43408;2302205;2147487481
43409;2302252;2147487477
43412;2302408;2147487475
43420;2302846;2147487474
43442;2304017;2147487472
43444;2304111;2147487471
43456;2304736;2147487469
43469;2305409;2147487465
43471;2305516;2147487462
43479;2305953;2147487458
43486;2306328;2147487457
43498;2306969;2147487455
43501;2307109;2147487454
43525;2308375;2147487453
43537;2309000;2147487452
43554;2309875;2147487451
43564;2310421;2147487450
43583;2311424;2147487448
43589;2311721;2147487447
43591;2311830;2147487446
43593;2311940;2147487445
43607;2312674;2147487444
43625;2313627;2147487441
43639;2314376;2147487440
43641;2314470;2147487439
43643;2314580;2147487438
43706;2317910;2147487437
43709;2318066;2147487436
43714;2318346;2147487435
43717;2318502;2147487434
43721;2318705;2147487433
43722;2318768;2147487432
43724;2318877;2147487430
43746;2320064;2147487425
43754;2320504;2147487424
43770;2321379;2147487423
43775;2321644;2147487422
43781;2321957;2147487420
43782;2322019;2147487419
43786;2322222;2147487418
43789;2322394;2147487416
43802;2323082;2147487415
43809;2323457;2147487414
43819;2323988;2147487411
43826;2324347;2147487410
43834;2324769;2147487409
43854;2325802;2147487408
43856;2325911;2147487407
43883;2327348;2147487403
43884;2327411;2147487402
43887;2327567;2147487401
43890;2327723;2147487399
43893;2327895;2147487398
43894;2327942;2147487397
43896;2328051;2147487396
