fes;time;f
1;141;4850
20;1094;4848
35;1906;4846
44;2391;4844
50;2705;4843
59;3189;4841
60;3236;4840
62;3345;4837
64;3455;4836
74;3970;4832
75;4017;4830
81;4345;4826
85;4564;4824
87;4673;4822
97;5195;4821
99;5304;4820
104;5554;4818
108;5757;4817
114;6070;4816
115;6117;4815
120;6382;4813
129;6851;4812
136;7210;4811
142;7525;4810
145;7681;4808
156;8259;4803
158;8368;4802
160;8462;4800
163;8634;4798
164;8681;4796
165;8728;4795
167;8837;4794
168;8884;4792
169;8931;4791
183;9681;4790
189;10009;4788
192;10165;4787
197;10430;4786
198;10477;4784
204;10805;4783
213;11274;4781
229;12117;4780
240;12699;4775
243;12871;4774
252;13339;4773
263;13917;4772
266;14089;4771
290;15375;4769
301;15953;4768
302;16000;4767
312;16531;4763
315;16687;4762
330;17487;4758
348;18440;4757
349;18487;4756
353;18690;4754
356;18846;4753
362;19174;4750
363;19221;4749
374;19799;4748
376;19908;4747
395;20908;4745
428;22645;4743
430;22754;4741
432;22848;4740
446;23582;4739
456;24098;4738
463;24473;4736
465;24582;4734
469;24801;4733
484;25613;4732
487;25769;4730
491;25972;4729
496;26254;4727
504;26675;4726
505;26738;4725
508;26894;4724
518;27428;4719
522;27631;4717
525;27803;4713
526;27849;4711
531;28099;4709
556;29443;4707
566;29974;4705
571;30240;4703
575;30448;4701
577;30542;4700
584;30917;4696
600;31745;4695
611;32323;4691
627;33153;4690
630;33310;4689
635;33560;4687
636;33622;4686
638;33731;4684
667;35257;4682
675;35679;4681
676;35726;4680
682;36038;4679
688;36351;4678
700;36991;4677
705;37257;4675
707;37366;4673
708;37413;4671
717;37900;4670
727;38431;4669
735;38853;4668
748;39540;4665
754;39837;4664
755;39884;4662
757;40009;4661
764;40368;4660
769;40634;4659
770;40696;4658
774;40899;4657
784;41441;4656
798;42160;4655
800;42269;4654
810;42788;4653
812;42897;4652
815;43053;4650
819;43272;4649
823;43475;4648
828;43741;4644
837;44225;4643
853;45069;4642
859;45381;4640
860;45444;4638
870;45965;4636
874;46184;4635
875;46246;4633
876;46293;4632
878;46402;4631
883;46668;4630
901;47624;4629
941;49735;4626
963;50907;4624
972;51391;4621
995;52627;4619
996;52674;4616
1003;53049;4615
1009;53361;4613
1026;54267;4612
1031;54533;4609
1034;54689;4607
1037;54845;4603
1038;54892;4601
1043;55158;4599
1053;55689;4598
1059;56029;4597
1065;56357;4594
1074;56842;4593
1077;56982;4591
1086;57451;4588
1090;57657;4587
1092;57782;4584
1103;58360;4581
1114;58938;4576
1124;59469;4575
1125;59532;4572
1129;59750;4571
1131;59844;4569
1143;60485;4568
1145;60594;4564
1146;60641;4562
1153;61000;4560
1157;61203;4559
1167;61734;4557
1176;62219;4555
1177;62266;4554
1198;63392;4552
1201;63548;4551
1206;63814;4550
1214;64240;4549
1225;64834;4548
1226;64896;4545
1237;65458;4543
1243;65802;4542
1246;65958;4541
1251;66224;4540
1276;67569;4538
1281;67835;4536
1286;68101;4535
1288;68210;4534
1291;68366;4533
1300;68850;4532
1311;69428;4531
1313;69538;4530
1314;69585;4526
1329;70397;4523
1330;70444;4520
1336;70772;4517
1342;71084;4516
1345;71256;4515
1347;71350;4514
1364;72240;4512
1378;72993;4508
1387;73462;4507
1398;74040;4506
1415;74962;4505
1424;75430;4504
1431;75821;4503
1434;75977;4500
1443;76461;4496
1456;77133;4493
1464;77572;4491
1470;77885;4489
1473;78050;4488
1483;78581;4487
1505;79753;4481
1528;80987;4480
1529;81034;4479
1534;81299;4478
1537;81456;4477
1538;81518;4476
1540;81612;4475
1542;81721;4473
1558;82584;4471
1562;82787;4470
1588;84161;4469
1592;84380;4468
1601;84864;4467
1609;85286;4466
1618;85770;4465
1620;85880;4464
1625;86145;4463
1631;86458;4462
1657;87849;4461
1668;88427;4458
1669;88490;4456
1688;89474;4455
1689;89521;4453
1698;89990;4452
1714;90849;4451
1715;90896;4450
1718;91067;4449
1721;91224;4447
1734;91911;4443
1737;92067;4441
1742;92333;4439
1764;93492;4438
1779;94289;4437
1802;95492;4436
1803;95554;4435
1809;95867;4434
1818;96341;4432
1824;96669;4431
1833;97153;4429
1855;98311;4426
1865;98842;4425
1867;98952;4424
1876;99436;4421
1879;99592;4420
1892;100279;4419
1908;101123;4418
1925;102013;4417
1933;102435;4416
1949;103266;4415
1952;103423;4414
1954;103532;4412
1968;104282;4411
1972;104485;4408
1977;104750;4405
1999;105969;4404
2020;107119;4403
2025;107384;4400
2037;108012;4396
2054;108918;4395
2065;109496;4394
2067;109605;4393
2068;109652;4392
2073;109933;4388
2078;110183;4386
2079;110230;4384
2082;110402;4381
2092;110933;4379
2095;111089;4378
2100;111339;4377
2105;111605;4375
2108;111761;4374
2117;112245;4373
2122;112495;4372
2133;113061;4371
2134;113107;4370
2140;113436;4369
2161;114555;4368
2167;114868;4366
2187;115930;4364
2188;115977;4363
2199;116555;4361
2207;116992;4359
2210;117149;4356
2211;117195;4355
2225;117933;4354
2228;118089;4353
2229;118152;4352
2237;118573;4351
2240;118730;4350
2246;119042;4348
2251;119308;4346
2257;119620;4342
2262;119901;4341
2264;120026;4340
2267;120182;4339
2269;120292;4338
2276;120667;4337
2281;120917;4336
2296;121698;4335
2298;121807;4332
2299;121854;4330
2305;122182;4329
2310;122448;4327
2313;122607;4324
2314;122654;4323
2320;122966;4322
2331;123549;4321
2338;123893;4320
2348;124424;4318
2358;124971;4315
2366;125377;4314
2372;125705;4312
2376;125908;4309
2380;126127;4308
2389;126595;4306
2390;126642;4304
2405;127448;4303
2406;127495;4302
2409;127655;4301
2430;128733;4298
2434;128951;4297
2440;129257;4295
2449;129725;4294
2457;130147;4293
2469;130772;4292
2474;131022;4291
2485;131600;4290
2492;131944;4289
2494;132053;4287
2502;132459;4286
2510;132883;4284
2514;133086;4283
2515;133149;4282
2522;133523;4280
2524;133633;4279
2552;135101;4277
2554;135211;4274
2556;135320;4271
2557;135367;4270
2560;135539;4269
2567;135898;4268
2590;137132;4267
2592;137241;4265
2594;137351;4264
2609;138135;4261
2618;138619;4260
2637;139619;4259
2669;141321;4258
2670;141384;4257
2682;142005;4256
2683;142052;4255
2690;142427;4252
2711;143523;4251
2717;143835;4250
2718;143882;4249
2720;143992;4248
2735;144788;4247
2737;144898;4246
2746;145366;4243
2748;145476;4241
2761;146132;4240
2764;146288;4237
2766;146397;4235
2785;147413;4234
2792;147791;4233
2796;148010;4232
2814;148963;4231
2824;149494;4230
2830;149791;4229
2839;150244;4228
2844;150525;4227
2849;150790;4226
2850;150837;4225
2851;150900;4224
2852;150947;4222
2877;152259;4221
2878;152321;4220
2880;152431;4219
2894;153179;4216
2914;154241;4215
2915;154303;4213
2918;154444;4212
2925;154819;4209
2939;155569;4208
2942;155725;4206
2945;155865;4203
2951;156194;4202
2953;156303;4200
2964;156881;4197
2968;157100;4196
2980;157745;4195
2982;157854;4193
2985;158010;4191
2990;158276;4189
2999;158744;4188
3000;158807;4187
3001;158854;4186
3006;159113;4185
3009;159269;4180
3018;159738;4179
3020;159832;4178
3031;160425;4175
3032;160472;4169
3044;161097;4167
3047;161253;4166
3050;161409;4165
3054;161613;4163
3057;161784;4161
3065;162206;4160
3068;162362;4159
3077;162819;4157
3079;162928;4155
3080;162991;4154
3118;165037;4152
3119;165084;4151
3132;165771;4150
3134;165881;4147
3151;166833;4146
3171;167899;4145
3189;168836;4143
3194;169117;4142
3205;169695;4141
3217;170336;4139
3220;170492;4138
3236;171377;4137
3246;171908;4136
3248;172018;4135
3257;172486;4134
3271;173223;4133
3318;175707;4132
3338;176770;4129
3339;176816;4128
3342;176988;4127
3343;177035;4126
3350;177410;4123
3365;178193;4121
3366;178255;4120
3374;178677;4119
3401;180133;4117
3405;180336;4116
3407;180446;4115
3409;180555;4113
3412;180711;4112
3443;182352;4111
3445;182445;4110
3447;182555;4108
3450;182713;4106
3451;182776;4103
3463;183400;4102
3464;183447;4100
3465;183510;4099
3470;183760;4097
3476;184088;4096
3484;184510;4095
3498;185259;4094
3502;185478;4092
3503;185525;4090
3508;185791;4089
3513;186054;4086
3519;186351;4085
3524;186617;4084
3527;186789;4083
3542;187554;4081
3543;187601;4080
3546;187759;4077
3557;188337;4076
3563;188665;4075
3569;188978;4073
3571;189071;4072
3575;189290;4071
3582;189665;4070
3593;190243;4069
3594;190290;4067
3606;190930;4066
3610;191133;4065
3621;191727;4064
3626;191993;4063
3635;192477;4059
3640;192744;4055
3644;192947;4054
3649;193213;4053
3657;193635;4051
3658;193682;4050
3691;195416;4049
3694;195587;4047
3711;196478;4046
3718;196853;4045
3749;198520;4044
3763;199270;4043
3770;199660;4041
3773;199817;4038
3781;200254;4037
3782;200316;4035
3783;200363;4034
3794;200957;4032
3798;201160;4031
3824;202519;4030
3827;202693;4028
3832;202949;4027
3838;203261;4025
3867;204823;4024
3878;205401;4022
3884;205714;4020
3888;205932;4019
3891;206089;4015
3902;206682;4010
3903;206729;4007
3909;207042;4005
3915;207370;4004
3928;208059;4003
3930;208153;4001
3941;208746;3999
3946;209012;3998
3956;209527;3997
3957;209590;3995
3960;209730;3993
3967;210121;3992
3970;210293;3988
3971;210340;3986
3972;210387;3985
3982;210902;3984
3987;211183;3983
3992;211449;3982
4000;211871;3981
4017;212779;3980
4023;213108;3977
4030;213467;3976
4044;214217;3975
4050;214529;3974
4052;214638;3972
4053;214701;3971
4059;215012;3969
4062;215168;3967
4068;215481;3966
4079;216059;3964
4086;216434;3962
4109;217652;3961
4113;217857;3960
4133;218920;3958
4150;219810;3957
4157;220201;3954
4160;220357;3953
4161;220419;3951
4175;221169;3947
4188;221841;3946
4200;222481;3941
4207;222843;3940
4269;226153;3939
4292;227434;3938
4313;228562;3937
4323;229077;3935
4325;229186;3934
4341;230030;3933
4355;230764;3932
4362;231139;3931
4380;232108;3930
