fes;time;f
1;140;2147488098
8;468;2147488097
14;750;2147488096
17;890;2147488095
29;1515;2147488092
33;1723;2147488085
34;1786;2147488084
53;2817;2147488083
54;2864;2147488082
64;3411;2147488081
70;3739;2147488080
73;3895;2147488078
75;3988;2147488076
76;4051;2147488074
77;4098;2147488073
83;4426;2147488072
94;5035;2147488070
98;5254;2147488069
104;5598;2147488068
106;5691;2147488066
107;5738;2147488064
109;5847;2147488062
113;6066;2147488061
117;6285;2147488059
124;6660;2147488058
131;7019;2147488056
135;7238;2147488054
157;8425;2147488052
161;8644;2147488051
170;9128;2147488050
193;10362;2147488049
205;10987;2147488047
209;11190;2147488046
214;11424;2147488044
222;11840;2147488041
233;12418;2147488039
244;13012;2147488038
249;13278;2147488036
253;13496;2147488035
257;13699;2147488034
275;14637;2147488033
277;14730;2147488032
283;15043;2147488031
287;15246;2147488030
288;15293;2147488027
289;15355;2147488024
314;16667;2147488023
315;16714;2147488022
325;17245;2147488020
326;17308;2147488019
327;17355;2147488017
328;17402;2147488015
331;17558;2147488014
335;17777;2147488011
339;17980;2147488010
349;18511;2147488009
351;18620;2147488008
354;18788;2147488007
355;18835;2147488004
358;19007;2147487999
379;20116;2147487996
386;20475;2147487993
398;21131;2147487992
414;21975;2147487990
419;22241;2147487989
430;22834;2147487988
433;22990;2147487986
465;24662;2147487984
466;24724;2147487982
479;25396;2147487981
483;25599;2147487980
496;26287;2147487979
497;26333;2147487976
504;26708;2147487974
508;26927;2147487973
551;29223;2147487971
553;29332;2147487970
557;29535;2147487969
572;30348;2147487968
581;30801;2147487967
586;31066;2147487966
592;31394;2147487964
593;31441;2147487963
597;31644;2147487961
598;31691;2147487957
602;31894;2147487956
603;31941;2147487954
606;32113;2147487953
608;32222;2147487950
629;33316;2147487948
630;33378;2147487945
636;33706;2147487943
654;34659;2147487942
664;35206;2147487941
686;36378;2147487939
691;36643;2147487934
707;37502;2147487933
709;37612;2147487931
713;37830;2147487930
717;38033;2147487928
719;38143;2147487927
721;38252;2147487926
729;38658;2147487924
730;38705;2147487922
740;39236;2147487921
755;40033;2147487920
773;41017;2147487917
775;41111;2147487916
779;41314;2147487915
788;41767;2147487914
797;42236;2147487913
798;42298;2147487910
808;42829;2147487908
820;43470;2147487907
843;44688;2147487904
845;44792;2147487903
853;45230;2147487899
861;45652;2147487896
867;45964;2147487894
868;46027;2147487893
878;46558;2147487892
884;46886;2147487891
890;47198;2147487889
891;47245;2147487884
897;47573;2147487883
910;48245;2147487881
915;48495;2147487880
923;48948;2147487879
926;49104;2147487878
927;49151;2147487877
930;49323;2147487876
941;49916;2147487874
958;50838;2147487873
967;51307;2147487871
971;51525;2147487870
981;52041;2147487869
984;52197;2147487865
986;52306;2147487862
989;52463;2147487860
995;52791;2147487859
1004;53259;2147487857
1007;53431;2147487855
1010;53587;2147487854
1013;53744;2147487853
1023;54275;2147487849
1025;54384;2147487848
1036;54962;2147487847
1038;55071;2147487846
1039;55118;2147487844
1057;56055;2147487837
1060;56211;2147487836
1061;56274;2147487835
1063;56383;2147487834
1066;56539;2147487831
1070;56758;2147487829
1073;56914;2147487828
1085;57570;2147487827
1087;57680;2147487826
1094;58039;2147487824
1113;59039;2147487821
1130;59929;2147487820
1163;61681;2147487815
1171;62103;2147487814
1174;62244;2147487809
1180;62556;2147487807
1192;63197;2147487806
1197;63462;2147487805
1200;63618;2147487804
1203;63775;2147487803
1210;64150;2147487802
1211;64212;2147487800
1212;64259;2147487798
1215;64415;2147487797
1221;64728;2147487795
1226;64993;2147487793
1241;65774;2147487791
1247;66102;2147487790
1259;66727;2147487787
1261;66836;2147487785
1269;67258;2147487784
1283;68008;2147487782
1286;68180;2147487779
1288;68289;2147487778
1292;68508;2147487775
1312;69570;2147487774
1318;69867;2147487772
1321;70039;2147487769
1338;70945;2147487768
1357;71992;2147487767
1359;72101;2147487766
1363;72320;2147487762
1365;72429;2147487761
1367;72538;2147487760
1368;72585;2147487759
1394;73949;2147487757
1409;74746;2147487755
1412;74902;2147487754
1423;75480;2147487752
1429;75808;2147487751
1435;76120;2147487750
1437;76230;2147487749
1474;78167;2147487748
1479;78432;2147487747
1481;78526;2147487745
1487;78854;2147487744
1508;79948;2147487739
1511;80120;2147487738
1515;80323;2147487737
1526;80916;2147487736
1528;81026;2147487735
1532;81229;2147487734
1547;82041;2147487733
1551;82244;2147487731
1552;82307;2147487729
1562;82822;2147487726
1589;84260;2147487724
1595;84572;2147487723
1603;84994;2147487721
1604;85041;2147487718
1607;85212;2147487717
1609;85322;2147487716
1612;85478;2147487715
1615;85634;2147487714
1617;85744;2147487713
1630;86447;2147487712
1631;86493;2147487711
1637;86837;2147487708
1639;86931;2147487704
1670;88602;2147487703
1674;88815;2147487702
1683;89299;2147487700
1686;89455;2147487699
1701;90268;2147487698
1703;90362;2147487695
1709;90690;2147487694
1719;91205;2147487689
1731;91846;2147487687
1740;92330;2147487686
1742;92424;2147487685
1744;92533;2147487684
1749;92800;2147487683
1758;93253;2147487682
1760;93346;2147487681
1767;93721;2147487680
1776;94206;2147487679
1777;94252;2147487676
1782;94502;2147487675
1787;94784;2147487674
1788;94830;2147487672
1791;94987;2147487670
1798;95346;2147487669
1799;95408;2147487667
1819;96486;2147487666
1820;96533;2147487665
1824;96752;2147487663
1847;97970;2147487662
1852;98236;2147487659
1860;98658;2147487658
1863;98830;2147487657
1864;98876;2147487656
1867;99033;2147487655
1889;100220;2147487653
1900;100798;2147487652
1905;101079;2147487651
1923;102048;2147487649
1926;102204;2147487647
1927;102251;2147487646
1941;102985;2147487645
1950;103453;2147487644
1962;104078;2147487641
1967;104344;2147487637
1977;104878;2147487631
1980;105049;2147487630
1984;105268;2147487628
2002;106221;2147487625
2011;106705;2147487621
2012;106768;2147487620
2016;106971;2147487619
2020;107174;2147487618
2024;107377;2147487616
2039;108189;2147487615
2040;108252;2147487614
2047;108611;2147487613
2053;108924;2147487612
2063;109502;2147487610
2066;109673;2147487609
2072;109986;2147487608
2085;110658;2147487606
2087;110767;2147487605
2096;111240;2147487602
2109;111943;2147487600
2118;112428;2147487599
2121;112584;2147487598
2131;113115;2147487597
2140;113584;2147487596
2148;114021;2147487595
2150;114130;2147487594
2155;114396;2147487590
2157;114490;2147487588
2158;114552;2147487587
2159;114615;2147487584
2187;116114;2147487582
2190;116271;2147487580
2195;116536;2147487578
2196;116583;2147487577
2213;117489;2147487576
2216;117661;2147487575
2222;117958;2147487574
2237;118739;2147487573
2249;119395;2147487571
2254;119660;2147487569
2259;119926;2147487566
2265;120238;2147487565
2266;120301;2147487563
2268;120395;2147487561
2283;121191;2147487559
2293;121722;2147487557
2295;121826;2147487552
2299;122029;2147487550
2312;122732;2147487549
2334;123888;2147487548
2359;125216;2147487543
2364;125481;2147487542
2365;125528;2147487538
2374;125981;2147487535
2377;126137;2147487534
2381;126356;2147487533
2401;127418;2147487530
2411;127946;2147487529
2445;129743;2147487528
2447;129852;2147487527
2448;129899;2147487526
2450;130008;2147487524
2462;130649;2147487523
2472;131180;2147487522
2476;131399;2147487521
2481;131649;2147487520
2482;131696;2147487518
2483;131758;2147487517
2497;132508;2147487515
2505;132930;2147487514
2517;133570;2147487513
2521;133773;2147487512
2525;133992;2147487511
2537;134617;2147487510
2539;134726;2147487509
2541;134820;2147487507
2559;135788;2147487506
