fes;time;f
1;47;2147484034
4;63;2147484031
12;63;2147484030
13;63;2147484028
16;78;2147484025
22;78;2147484024
23;78;2147484021
25;78;2147484019
39;94;2147484016
40;94;2147484011
41;94;2147484010
42;94;2147484009
46;94;2147484000
52;94;2147483999
54;94;2147483998
62;109;2147483996
63;109;2147483991
64;109;2147483988
68;109;2147483987
71;109;2147483979
74;109;2147483978
78;109;2147483976
85;109;2147483974
86;109;2147483972
88;109;2147483971
90;109;2147483969
91;109;2147483968
97;109;2147483965
1082;363;2147483963
1093;363;2147483961
1094;363;2147483960
1103;363;2147483959
1115;363;2147483958
1119;378;2147483957
1120;378;2147483956
1123;378;2147483953
1125;378;2147483952
1129;378;2147483950
1150;378;2147483948
1151;378;2147483947
1152;378;2147483944
1153;378;2147483941
1166;378;2147483940
1168;378;2147483939
1179;378;2147483937
1180;378;2147483935
1191;394;2147483933
1195;394;2147483932
1198;394;2147483931
2797;706;2147483930
2803;722;2147483928
2811;722;2147483927
2814;722;2147483926
2817;722;2147483925
2819;722;2147483924
2829;722;2147483922
2839;722;2147483921
2840;722;2147483920
2845;722;2147483918
2847;722;2147483917
2853;722;2147483916
2858;722;2147483915
2884;738;2147483914
2900;738;2147483913
2912;738;2147483910
2916;738;2147483909
2942;738;2147483907
2947;738;2147483906
2949;738;2147483905
2951;738;2147483903
2968;753;2147483901
2977;753;2147483900
2981;753;2147483899
2982;753;2147483898
2999;753;2147483897
3000;753;2147483895
3005;753;2147483894
3017;753;2147483893
3022;753;2147483892
3047;769;2147483891
3055;769;2147483888
3063;769;2147483887
3085;769;2147483886
3100;769;2147483885
3102;769;2147483884
3103;769;2147483883
3104;769;2147483881
3108;769;2147483879
3109;769;2147483878
3116;785;2147483877
3126;785;2147483876
3137;785;2147483875
3140;785;2147483874
3147;785;2147483873
3154;785;2147483871
3161;785;2147483869
6211;1415;2147483867
6226;1415;2147483866
6230;1415;2147483865
6234;1415;2147483862
6265;1415;2147483861
6274;1431;2147483858
6275;1431;2147483857
6289;1431;2147483856
6298;1431;2147483855
6324;1431;2147483854
6335;1431;2147483853
6341;1431;2147483852
6346;1431;2147483851
6352;1446;2147483850
6353;1446;2147483849
6392;1446;2147483848
7182;1602;2147483846
7208;1602;2147483845
7213;1602;2147483844
7226;1602;2147483843
7229;1602;2147483842
7249;1618;2147483841
7276;1618;2147483840
7277;1618;2147483839
7281;1618;2147483837
7304;1618;2147483836
7314;1618;2147483835
7317;1634;2147483834
7322;1634;2147483833
7350;1634;2147483832
7354;1634;2147483830
7360;1634;2147483829
7402;1649;2147483827
7406;1649;2147483825
7408;1649;2147483822
7414;1649;2147483821
7424;1649;2147483820
7431;1649;2147483819
7436;1649;2147483818
7442;1649;2147483817
7456;1649;2147483816
7494;1665;2147483815
7498;1665;2147483813
7537;1680;2147483812
7544;1682;2147483811
7547;1682;2147483810
7548;1682;2147483809
7553;1683;2147483808
7602;1690;2147483807
7632;1690;2147483806
7640;1690;2147483804
7670;1706;2147483803
7685;1706;2147483802
7718;1706;2147483801
7722;1706;2147483800
7725;1706;2147483799
7732;1721;2147483798
7737;1721;2147483797
7770;1721;2147483796
7776;1721;2147483795
