fes;time;f
1;47;2147484078
3;47;2147484077
4;47;2147484076
7;62;2147484075
12;62;2147484066
14;62;2147484062
24;62;2147484060
36;78;2147484056
37;78;2147484055
39;78;2147484054
42;78;2147484053
43;78;2147484049
46;78;2147484046
49;78;2147484042
53;78;2147484041
54;78;2147484037
64;94;2147484036
68;94;2147484031
69;94;2147484028
76;94;2147484026
79;94;2147484023
80;94;2147484022
88;94;2147484021
91;94;2147484018
94;94;2147484017
107;94;2147484016
115;109;2147484015
117;109;2147484012
119;109;2147484011
127;109;2147484010
131;109;2147484008
133;109;2147484007
135;109;2147484004
137;109;2147484003
138;109;2147484002
146;109;2147484001
151;109;2147483997
152;109;2147483996
162;125;2147483995
164;125;2147483994
168;125;2147483993
173;125;2147483992
174;125;2147483989
178;125;2147483988
184;125;2147483987
187;125;2147483986
192;125;2147483984
194;125;2147483983
205;125;2147483982
210;125;2147483978
212;125;2147483977
213;125;2147483976
219;140;2147483975
222;140;2147483974
224;140;2147483973
235;140;2147483970
237;140;2147483967
238;140;2147483966
240;140;2147483964
243;140;2147483962
246;140;2147483961
259;140;2147483959
269;140;2147483958
270;140;2147483956
283;156;2147483955
284;156;2147483954
285;156;2147483953
288;156;2147483952
299;156;2147483951
301;156;2147483950
302;156;2147483949
304;156;2147483947
307;156;2147483946
322;156;2147483944
324;156;2147483941
333;172;2147483940
338;172;2147483938
342;172;2147483936
352;172;2147483935
353;172;2147483934
355;172;2147483933
356;172;2147483932
372;172;2147483931
392;172;2147483928
411;187;2147483926
415;187;2147483924
422;187;2147483923
423;187;2147483921
426;187;2147483920
427;187;2147483919
433;187;2147483918
437;187;2147483917
450;187;2147483916
463;203;2147483915
479;203;2147483913
489;203;2147483909
492;203;2147483908
501;203;2147483907
507;203;2147483906
515;203;2147483905
537;219;2147483903
541;219;2147483902
549;219;2147483901
557;219;2147483897
559;219;2147483895
573;219;2147483894
576;219;2147483893
586;219;2147483892
594;219;2147483891
596;219;2147483889
632;234;2147483888
637;234;2147483887
640;234;2147483886
647;234;2147483884
649;234;2147483883
686;250;2147483882
703;250;2147483881
706;250;2147483880
710;250;2147483879
715;250;2147483878
726;250;2147483876
727;250;2147483873
728;250;2147483871
730;250;2147483868
734;250;2147483867
740;250;2147483866
758;265;2147483865
762;265;2147483863
766;265;2147483862
779;265;2147483861
790;265;2147483860
791;265;2147483859
794;265;2147483858
796;265;2147483857
798;265;2147483856
813;265;2147483854
814;265;2147483853
816;265;2147483851
826;281;2147483849
846;281;2147483847
853;281;2147483846
854;281;2147483845
855;281;2147483844
878;281;2147483842
879;281;2147483841
885;281;2147483840
893;297;2147483839
908;297;2147483837
915;297;2147483836
919;297;2147483834
948;297;2147483832
949;297;2147483831
954;297;2147483830
956;312;2147483828
971;312;2147483827
990;312;2147483826
995;312;2147483825
996;312;2147483824
1000;312;2147483823
